,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale Galle Upperdickson Road,22 Jul  8:31 am,"Galle, Galle","5,000,000","15 perch Square flat land for sale in Upper dickson road.Highly Residential area02 minutes walking distance to Galle town02 Access roads to this property Sea view and mountain view Beautiful, calm and quiet location (Prime land - Prime location )Inside the circle of famous schools in Galleideal for villa / Apartment / Ware house surrounded by a wall and gatePrice can be negotiate after inspection Call for more information ගාල්ල ලේඩි-හිල් පාරේ පිහිටිඅනර්ඝ පර්.15ක ඉඩම විකිණීමට ඇතගාල්ල නගරයට විනාඩි 2න් පයින් යන දුරසියළු පහසුකම් අත ලඟින් පිවිසුම් මාර්ග දෙක ඇතජල විදුලිය ඇතුළු සියලු පහසුකම් ඇතමුහුද සහ කඳු යාය පැහැදිලිව දිස්වන රමණීය ඉඩමකිසුඛෝප බෝගී නිවාස සහ විලා පිහිටි පරිසරයකිනිස්කලංකයි ඉතා හොඳ වටපිටාවගාලු නගරයේ ප්‍රධාන පාසල් සියල්ලටම අතර මැදිව පිහිටයිමිල ගණන් පැමිණ පරීක්ෂාකොට සාකච්ඡාකල හැකවැඩි විස්තර සඳහා විමසන්න","Upper Dikson Road, Galle","Commercial, Residential",15.0 perches
2,"['Land for Sale Galle Upperdickson Road', '22 Jul  8:31 am', 'Galle, Galle', '5,000,000', '15 perch Square flat land for sale in Upper dickson road.Highly Residential area02 minutes walking distance to Galle town02 Access roads to this property Sea view and mountain view Beautiful, calm and quiet location (Prime land - Prime location )Inside the circle of famous schools in Galleideal for villa / Apartment / Ware house surrounded by a wall and gatePrice can be negotiate after inspection Call for more information ගාල්ල ලේඩි-හිල් පාරේ පිහිටිඅනර්ඝ පර්.15ක ඉඩම විකිණීමට ඇතගාල්ල නගරයට විනාඩි 2න් පයින් යන දුරසියළු පහසුකම් අත ලඟින් පිවිසුම් මාර්ග දෙක ඇතජල විදුලිය ඇතුළු සියලු පහසුකම් ඇතමුහුද සහ කඳු යාය පැහැදිලිව දිස්වන රමණීය ඉඩමකිසුඛෝප බෝගී නිවාස සහ විලා පිහිටි පරිසරයකිනිස්කලංකයි ඉතා හොඳ වටපිටාවගාලු නගරයේ ප්\u200dරධාන පාසල් සියල්ලටම අතර මැදිව පිහිටයිමිල ගණන් පැමිණ පරීක්ෂාකොට සාකච්ඡාකල හැකවැඩි විස්තර සඳහා විමසන්න', 'Upper Dikson Road, Galle', 'Commercial, Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land from Galle with Green Surrounding,26 Jun  6:58 pm,"Galle, Galle","110,000","Calm and relaxed green surrounding among the paddy fields.10 feet wide vehicle accessible road.Ideal for tourism and villasSuitable for a residence,commercial purpose or agricultureHas a half built house15 minutes to galle city, karapitiya and 5 minutes to pinnaduwa entrance of southern expressway.Has the soothing breeze of nearby paddy fields.Noise free and peaceful environment.As the land is partitioned  it can be kept as a collateral and loans can be obtained.Clean deeds.","Agricultural, Commercial, Residential, Other",23.0 perches,
4,Valuable Land for Sale in Galle,24 Jul 11:39 am,"Galle, Galle","3,450,000",Valuable land for sale at Hapugala. Walking distance to Mount Calvery International School. Calm and quite environment.,"Hapugala, Galle",Residential,12.8 perches
5,Tea Land For Sale In Elpitiya,10 Jul  5:25 pm,"Elpitiya, Galle","4,900,000",වටිනා තේ ඉඩමක් විකිණීමට ඇල්පිටියේ නිවසක් සහිත තේ වගා කර ඇති විදුලිය හා ලිං ජලය සහිත අක්කර 2 ක නිරවුල් ඔප්පු සහිත ඉඩම විකිණීමට,ඇල්පිටිය,"Agricultural, Residential, Other",2.0 acres
6,Land for Sale Hapugala Horizon View,23 Jul  6:20 pm,"Galle, Galle","285,000",ගාල්ල හපුගල හොරයිසන් විව්හි පිහිටිඅනර්ග හතරැස් ඉඩම විකිණීමටකොස් පොල් ගම්මිරිස් ඇතුළු පළතුරු ශාක ඇතජලය විදුලිය ඇතවැටවල් වලින් මායිම් වෙන්කොට ඇතපිරිසිදු ඔප්පුගාල්ල හපුගල ඉංජිනේරු පීඨය විනාඩි 5යිමවුන්ට් කැලවරි ජාත්‍යන්තර පාසලට විනාඩි 5යිඉඩමට දිසා දෙකකින් ඇතුළුවිය හැකමිල ගණන් සාකච්ඡාකල හැකවැඩි විස්තර සඳහා විමසන්න,"Horizon View, Hapugala, Galle",Residential,20.0 perches
7,Land For Sale In Galle,23 Jul  6:13 pm,"Galle, Galle","130,000",ගාල්ල හපුගල බටුවන්තුඩාව බස්  පාරට ආසන්නව Rosewood Estate හී පිහිටි පර්චස් 20.9ක ඉඩම විකිණීමට ඇත.,"Bathwanthudawa Road, Hapugala, Galle.","Commercial, Residential",20.9 perches
8,Land For Sale in Hikkaduwa | Gonapinuwala,23 Jul  5:05 pm,"Hikkaduwa, Galle","70,000",Land For Sale in Hikkaduwa | Gonapinuwala,Hikkaduwa | Gonapinuwala,"Commercial, Residential",10.0 perches
9,Land for Sale - Habaraduwa,23 Jul  4:36 pm,"Galle, Galle","110,000","Habaraduwa mansandiyata1km durin hediwattha mansandiyata 500m durin pihiti pirisidu nalajalaya widuliya,sahitha per 60 idama per 110000 milata ikmanin wikinimata",Residential,60.0 perches,
