,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale Dompe,19 Jul  2:53 pm,"Delgoda, Gampaha","80,000",224 colombo-pugoda saha 207 gampaha-pugoda pradhana margayata 2km pamani.banku naya laba ganiima sadaha avashya siyaluma liyavili pavathi.adi 12 margayajalaya. viduliya. durakathana.thanithala idama,237/1 indolamulla dome,"Agricultural, Residential, Other",100.0 perches
2,"['Land for Sale Dompe', '19 Jul  2:53 pm', 'Delgoda, Gampaha', '80,000', '224 colombo-pugoda saha 207 gampaha-pugoda pradhana margayata 2km pamani.banku naya laba ganiima sadaha avashya siyaluma liyavili pavathi.adi 12 margayajalaya. viduliya. durakathana.thanithala idama', '237/1 indolamulla dome', 'Agricultural, Residential, Other', '100.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Weliweriya Land for sale,11 Jul  9:55 pm,"Delgoda, Gampaha","500,000","Weliweriya Land for saleFacing Weliweriya New Kandy Road, 110 Perch LandSuitable for a car sale/ Car service station/ YardElectricity & Water availableCan be separated as 70 Perches & 40 Perches",Commercial,110.0 perches,
4,Land for Sale in Dompe, 9 Jul 11:02 am,"Delgoda, Gampaha","155,000","15 perch land. 50m from Colombo - Pugoda main road.Water, electricity.call for more information.","Agricultural, Commercial, Residential",15.0 perches,
5,Land for Sale Delgoda, 9 Jun 10:02 am,"Delgoda, Gampaha","230,000","දෙල්ගොඩ නගරයේ නව නුවර පාරට ඇවිදින දුරින් ,අඩි 20 ප්‍රවේශ මාර්ගයකට මුහුණලා ,අගනා බිම් කොටසක් විකිණීමට.කඩුවෙල-ගම්පහ, වැලිවේරිය - පිටකොටුව , පානදුර - මහනුවර  ප්‍රධාන බස් මාර්ගයන්ට ඇවිදින දුරින් . සියලු පහසුකම් සහිතයි . බැංකු ණය පහසුකම් ලබාගත හැක.",Residential,10.0 perches,
6,"Land Sale for Malida, Kapugoda",21 Jul  3:06 pm,"Delgoda, Gampaha","95,000","land sale for malida, kapugoda.giridara delgoda road.",Residential,13.5 perches,
7,Land for Sale Dompe,19 Jul  2:53 pm,"Delgoda, Gampaha","80,000",224 colombo-pugoda saha 207 gampaha-pugoda pradhana margayata 2km pamani.banku naya laba ganiima sadaha avashya siyaluma liyavili pavathi.adi 12 margayajalaya. viduliya. durakathana.thanithala idama,237/1 indolamulla dome,"Agricultural, Residential, Other",100.0 perches
8,"Land for Sale - Dekatana ,Delgoda,Malwana.",20 Jul  3:50 pm,"Delgoda, Gampaha","200,000",දෙකටන කොළඹ ප්‍රධාන පාරට මුහුණලා පිහිටි පර්චස් 12ක අගනි ඉඩමක් මුදල් හදිස්සියක් මත ඉක්මනින් විකිනීමට.,"කලුකොදයාය  ,දෙකටන .","Agricultural, Commercial, Residential",12.0 perches
9,15 Perches Blocks for Sale in Delgoda,20 Jul 11:36 am,"Delgoda, Gampaha","230,000","දෙල්ගොඩ නාරංවල නගරයේ නව නුවර පාරට නුදුරින් ,අඩි 15 ප්‍රවේශ මාර්ගයකට මුහුණලා, පර්වස් 15වේ අගනා බිම් කොටස් 4ක් විකිණීමට.කඩුවෙල-ගම්පහ, වැලිවේරිය - පිටකොටුව , පානදුර - මහනුවර ප්‍රධාන බස් මාර්ගයන්ට නුදුරින් . සියලු පහසුකම් සහිතයි .",Residential,15.0 perches,
