,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale at Maradagahamula,19 Jul 11:52 am,"Divulapitiya, Gampaha","160,000",maradagamula nagaraye indana piraum hala asal ATHI PARE SITA 100M DURINDIULAPITIYA 2 KMNEGAMBO 24 km,shanthi printers maradaghamula,"Commercial, Residential",45.0 perches
2,"['Land for Sale at Maradagahamula', '19 Jul 11:52 am', 'Divulapitiya, Gampaha', '160,000', 'maradagamula nagaraye indana piraum hala asal ATHI PARE SITA 100M DURINDIULAPITIYA 2 KMNEGAMBO 24 km', 'shanthi printers maradaghamula', 'Commercial, Residential', '45.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,කඩිනමි ණය පහසුකම් සහිත ඉඩමක් - මිරිගම,18 Jul  2:21 pm,"Divulapitiya, Gampaha","60,000","මිරිගම මිගමුව 251 කටාන මාර්ගයට 100m දුරින්  වාරාදල හංදියේ   තැනිතලා පොල් ගස් සහිත ඉඩමක් . කොළඹ කුරුණෑගල මාර්ග අංක05 ප්‍රධාන මාර්ගයට 1km, කොටදෙණියාව නගරයට 2km , පන්නල නගරයට  බඩල්ගම නගරයට 5km, 90% කඩිනමින් ණය පහසුකම් .",වාරාදල  හංදිය .( 251 මාර්ගය ),Residential,12.0 perches
4,Land for Sale Gampaha - Maradagahamula,18 Jul 11:41 am,"Divulapitiya, Gampaha","2,700,000",සීඝ්‍රයෙන් සංවර්ධනය වන උසස් නේවාසික පරිසරකසුපිරි බිම්කොටස් ව්‍යාපෘතියක් ඔබ දන්නම තැනකින්....,මරදගහමුල,Residential,80.0 perches
5,Land for sale in Maradagahamula,13 Jul  1:08 pm,"Divulapitiya, Gampaha","100,000","මරදගහමුල, නගරයට යාබදව අගනා බිම් කොටසක් වීකිණීමට ඇත","කැළෑපිටිමුල්ල, මරදගහමුල,","Agricultural, Commercial, Residential, Other",40.0 perches
6,Land for sale in Diulapitiya,13 Jul 11:51 am,"Divulapitiya, Gampaha","120,000","Freedom Park- DiulapitiyaLocated just 2km away from Diulapitiya town and only 200m away from Colombo-Kurunegala (no 05) main bus route. Land is full of coconut trees and lush greenery surrounding the land. Green fields- Diulapitiya gives you the convenient access to Horagasmulla primary school which is just steps away.The project comes equipped with the following facilities. • 3 phase electricity • Ample water • Tarred wide road network  • Concrete drains  • Bank loans • Easy payment schemes   Blocks available from 12.5 perches and upwards   Price per perch: 120,000/= and upwards",Freedom Park- Diulapitiya,Residential,12.5 perches
7,"Land for Sale in Mallawagedara, Divulapitiya.",13 Jul 11:46 am,"Divulapitiya, Gampaha","68,500","Good solid 85.5 Perches Land Property for Sale in Mallawagedara, Divulapitiya, situated very peaceful residential area. Less than 400 m to Negombo road and Mallawagedara School.  7 Km to Divulapitiya Town. Suitable for residential purpose and garment factory or warehouse.",Mallawagedara,"Agricultural, Commercial, Other",85.5 perches
8,Land for sale in Dunagaha,12 Jul  1:42 pm,"Divulapitiya, Gampaha","850,000","මීගමුව දිවුලපිටිය 242 බස් පාරේ දුනගහ කඩවල පන්සල පාරේ ජයබිම gardens. පෙර්චෙස් 12 1/2 බිම්කොටස් 2. පෙර්චෙස් 12 1/2 ම ලක්ෂ 8 1/2.මිඩ්ලන්ඩ් දේපල වෙළද සමාගමට වසර 33ක් පිරීම නිමිත්තෙන් මේ ජුලි මාසයේ 27වන දිනට ප්‍රථම එකවර මුදල් ගෙවන අයට 5% විශේෂ වට්ටම්. රු. 75,000ක වාසිදායක ඉතිරියක්. බැංකුණය සහිති.","Dunagaha, Kadawala","Agricultural, Commercial, Residential, Other",25.0 perches
9,"Land for sale in Diwulapitiya, Kudagammana",12 Jul  1:18 pm,"Divulapitiya, Gampaha","3,500,000",දිවුලපිටිය කුරුණෑගල නො . 05 බස් පාරට කි.මී. 1 1/2 ක් නුදුරින් කුඩගම්මන පන්සල අසල සුදසිංහ වතුයාය පාරට මායිම්ව පෙර්චස් 78ක ඉඩමක්.සම්පුර්ණ වශයෙන් හෝ කොටස් දෙක බැගින් ලබා ගත හැක. පෙර්චස් 78ම ලක්ෂ 35. පෙර්චස් 40 කොටස් වශයෙන් ලබාගන්නේ නම් ලක්ෂ 18 1/2.සාරවත් පොල් හා අතුරු බෝග සහිත ඉඩමකි. ,"Near Kudagammana temple, Sudasingha Wathuyaya, Diwulapitiya","Agricultural, Commercial, Residential, Other",78.0 perches
