,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Commercial Land for Sale at Ekala,18 Jul  8:45 pm,"Ja-Ela, Gampaha","440,000",8 ACERS COMMERCIAL PROPERTY LAND FOR SALE AT JA-ELA  EKALA. 30 FEET ROAD ACCESS. 20 FEET CONTAINER ACCESS WITH AMPLE PARKINGSURROUNDED BY  BOUNDARY WALL MORE SUITABLE FOR WAREHOUSE AND FACTORY HOUSING PROJECTS.5 MINS TO NEGOMBO MAIN ROAD ALL THE SUPERMARKET ACCESS,"Ekala , Ja-Ela","Commercial, Residential",8.0 acres
2,"['Commercial Land for Sale at Ekala', '18 Jul  8:45 pm', 'Ja-Ela, Gampaha', '440,000', '8 ACERS COMMERCIAL PROPERTY LAND FOR SALE AT JA-ELA  EKALA. 30 FEET ROAD ACCESS. 20 FEET CONTAINER ACCESS WITH AMPLE PARKINGSURROUNDED BY  BOUNDARY WALL MORE SUITABLE FOR WAREHOUSE AND FACTORY HOUSING PROJECTS.5 MINS TO NEGOMBO MAIN ROAD ALL THE SUPERMARKET ACCESS', 'Ekala , Ja-Ela', 'Commercial, Residential', '8.0 acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Batuwattha,18 Jul  5:49 pm,"Ja-Ela, Gampaha","310,000",රාගමට කිලෝමිටර 3ස්ටේෂමට විනාඩි 5 දුර979 ප්‍රධාන පාරට නුදුරින්.පර්. 34.8 යිපර්. එකක් 3.10 යිමුදල සාකච්චා කර ගත හැකිය.,"111D, Batuwattha, Ragama.",Residential,34.8 perches
4,Land for sale Jaela,21 Jul 11:31 pm,"Ja-Ela, Gampaha","3,250,000",Suitable for a business or residentialPerches 10 Near to avariyawatta RoadCalm and quiet placeAn opportunity not to be missed3.25million,"Avariyawatta Road, Batagama, Jaela","Commercial, Residential",10.0 perches
5,Land for sale Jaela,21 Jul 11:30 pm,"Ja-Ela, Gampaha","4,400,000",200m for Jaela Town200m for Colombo - Negombo road200m for highway entrance200m for Railway stationClear deeds with Bank loan facilitiesAn opportunity not to be missed4.4 million per perch,"St. Mary's Road, Jaela","Commercial, Residential",8.0 perches
6,Land for Sale - Ja Ela,21 Jul  9:28 pm,"Ja-Ela, Gampaha","3,000,000",Calm and quiet area12.5 perch3 million per perch,"St. Rita Road, Maeliya, Jaela","Commercial, Residential",12.5 perches
7,Land for Sale - Ja Ela,20 Jul 12:16 pm,"Ja-Ela, Gampaha","2,175,000",Nice land for residential purpose immediately sale the products as urgent money requirement,Residential,18.78 perches,
8,20 Perch Land With Two Houses - Ja-Ela Ekala,19 Jul 11:32 am,"Ja-Ela, Gampaha","6,000,000",එකල කතොලික පල්ලිය අසන්නව පිහිටි පර්ච් 20 ක ඉඩමක් සහ අඩක් නිමකල නිවාස 2ක් විකිණීමට ඇත ,"Ja Ela,  Ekala, Kotugoda Road, Near Catholic Church Ekala","Agricultural, Commercial, Residential, Other",20.0 perches
9,"Beach Front Property for Sale in Pamunugama, Ja-Ela",19 Jul  1:18 pm,"Ja-Ela, Gampaha","650,000","Good Residential/Commercial Property in Pamunugama, Ja-ElaPeaceful surrounding, Good Neighborhood","Pamunugama, Ja-Ela","Commercial, Residential, Other",27.0 perches
10,Commercial Land for Sale at Ekala,18 Jul  8:45 pm,"Ja-Ela, Gampaha","440,000",8 ACERS COMMERCIAL PROPERTY LAND FOR SALE AT JA-ELA  EKALA. 30 FEET ROAD ACCESS. 20 FEET CONTAINER ACCESS WITH AMPLE PARKINGSURROUNDED BY  BOUNDARY WALL MORE SUITABLE FOR WAREHOUSE AND FACTORY HOUSING PROJECTS.5 MINS TO NEGOMBO MAIN ROAD ALL THE SUPERMARKET ACCESS,"Ekala , Ja-Ela","Commercial, Residential",8.0 acres
11,Land for Sale - Batuwattha,18 Jul  5:49 pm,"Ja-Ela, Gampaha","310,000",රාගමට කිලෝමිටර 3ස්ටේෂමට විනාඩි 5 දුර979 ප්‍රධාන පාරට නුදුරින්.පර්. 34.8 යිපර්. එකක් 3.10 යිමුදල සාකච්චා කර ගත හැකිය.,"111D, Batuwattha, Ragama.",Residential,34.8 perches
12,"Land for Sale in Niwandama, Ja-Ela.",18 Jul 10:17 am,"Ja-Ela, Gampaha","225,000","Residential Land Blocks with all necessary facilities for Sale in Niwandama, Ja-Ela. Close to Ja Ela, Kandana, Ganemulla cities. Close proximity to 278 Ja-Ela Bus Route.",Niwandama,"Commercial, Residential, Other",13.0 perches
13,Land for Sale in Dandugama,18 Jul  8:36 am,"Ja-Ela, Gampaha","575,000",Very good land and near the dandugama bridge this land,"no 451 dandugama,ja ela","Commercial, Residential",22.0 perches
14,Beach Land for Sale - Ja ela,17 Jul 12:24 pm,"Ja-Ela, Gampaha","500,000",- Beautiful rectangular beach front land for Sale in Pamunugama- Wide main road access - Wide beach front to property- Electricity & Water connection - Old Portugese styled house at property - Ideal location for a beach resort,Pamunugama Road,"Commercial, Residential",90.0 perches
15,Land for Sale Ja Ela,16 Jul 10:00 pm,"Ja-Ela, Gampaha","1,100,000",21 perches land with house ideal for waya House and housing project factory and transport services other immediately for sale.,chndara place ja ela. towan,"Commercial, Residential, Other",21.0 perches
