,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Commercial /Residential 13P Land for Sale in Kandana.,24 Jul  5:48 pm,"Kandana, Gampaha","13,650,000",13 Perchase Residential /CommercialLAND FOR SALE IN Kandana.,Kandana near Lycium International School.,"Commercial, Residential",13.0 perches
2,"['Commercial /Residential 13P Land for Sale in Kandana.', '24 Jul  5:48 pm', 'Kandana, Gampaha', '13,650,000', '13 Perchase Residential /CommercialLAND FOR SALE IN Kandana.', 'Kandana near Lycium International School.', 'Commercial, Residential', '13.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Kandana,23 Jul  1:40 pm,"Kandana, Gampaha","3,600,000",#7.25 Land# parapet wall with the gate# Wide Access Concrete Road# Clear deeds# Immediate Sale# 5 minutes distance to Colombo - Negombo Main Rd (1.4 Km Approx)# 2 minutes to St.Sebastian's Shrine Kandana# 10 minutes to De Mazenod college # Highly residential aria with all facilities.,"Nadurupitiya, Kandana",Residential,7.25 perches
4,Land for Sale in Mahabage.,28 Jul 11:40 am,"Kandana, Gampaha","675,000","◆ Land for Sale in Mahabage, Adi Vissa Road.◆ 44 perches square land. Surrounding in high residents environment. ◆ This land suitable for any business or residential purpose. ◆ Per perch Rs 675000/=◆ 900m distance to Negambo Road.◆ Please call genuine buyers only. ◆ Inspection strictly by appointment.◆ No brokers please.","Adi vissa Road, Mahabage.","Commercial, Residential",44.0 perches
5,Land For sale in Nagoda Kandana,28 Jul 11:06 am,"Kandana, Gampaha","375,000",- 1.5 KM to Negambo main road - 1.2 KM to Peralanda Town- Easy access to Peralanda & Ragama Stations- Well Water & Main Water Supply Available- Main Electricity Available- 15 Mins to Wattala & Jaela Town- 10 Mins to Walisara & 15 Mins to Jaela Highway Intersections- 10 Mins to Demazond college and 10 Mins to Karunarathna College,"Soysa Lane, Nagoda , Kandana",Residential,9.65 perches
6,Land in Kandana,27 Jul  9:49 pm,"Kandana, Gampaha","350,000",kadana gane mulla road 200 mkadana town 10 min,Residential,10.0 perches,
7,Land for Sale in Kandana,27 Jul  9:39 pm,"Kandana, Gampaha","180,000","Land for located in Polpithimukalana, Kandana Few minutes for Kandana Calm & quit area","Polpithimukalana , Kandana",Residential,7.5 perches
8,Land for Sale in Polpithimukalana,27 Jul  9:36 pm,"Kandana, Gampaha","180,000","Land for located in polpithimukalana, Kandana Few minutes for Kandana town Calm & quit area","Polpithimukalana, Kandana",Residential,7.5 perches
9,Land For Sale - Kandana,26 Jul 11:11 am,"Kandana, Gampaha","945,000","High residential aria with many facilities.Just 150 m to the Negambo main road.Facing Nagoda church road.Reservation = 100,000/-Down payment = 25% Balance can pay 12 month interest free or Easy payment plans.","Nagoda church road, Kandana","Commercial, Residential",6.0 perches
10,Close to Negombo Road Lands,26 Jul 11:09 am,"Kandana, Gampaha","945,000","High residential aria with many facilities.Just 150 m to the Negambo main road.Facing Nagoda church road.Reservation = 100,000/-Down payment = 25% Balance can pay 12 month interest free or Easy payment plans.","Nagoda church road, Kandana","Commercial, Residential",6.0 perches
