,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land and Building for Sale Amandoluwa,16 Jul  8:22 pm,"Katunayake, Gampaha","14,000,000",10 perches land for sale with building at amandoluwa.2 km for Bandaranayaka International airport 2.2 km for Colombo - Katunayaka highway entrance Suitable for any business,"Avariwaththa Road, Amandoluwa",Commercial,10.0 perches
2,"['Land and Building for Sale Amandoluwa', '16 Jul  8:22 pm', 'Katunayake, Gampaha', '14,000,000', '10 perches land for sale with building at amandoluwa.2 km for Bandaranayaka International airport 2.2 km for Colombo - Katunayaka highway entrance Suitable for any business', 'Avariwaththa Road, Amandoluwa', 'Commercial', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for sale at seeduwa,18 Jul  8:36 pm,"Katunayake, Gampaha","1,300,000",SEDDUWA MAIN ROAD FACING. 40 PERCHES LAND  10 MINS TO THE KATUNAYAKA AIRPORTSUITABLE FOR COMMERCIAL AND RESIDENTIAL PURPOSECLEAR PAPERS,Main Road Seeduwa,"Commercial, Residential",40.0 perches
4,Land for Sale in Seeduwa,19 Jul  4:37 pm,"Katunayake, Gampaha","4,500,000",අඩක් නිම කල නිවස සමග ඉඩම ව්කිනිමට.කොළඹ මිගනු ප්‍රධාන පාරට විනාඩි 2කොළඹ කටුනායක අධිවේගී මාර්ගයට විනාඩි 10 කටුනායක ගුවන්තොටුපලට විනාඩි 10 තාප්ප ගසා ගේට්ටු දාම ඇත.ජලය සහ විදුලිය ඇත.,"15 පටුමග රාජපක්ෂපුර,සීදුව",Residential,20.0 perches
5,27 Perch Land With House for Sale Awariwaththa,19 Jul  8:58 am,"Katunayake, Gampaha","365,000","කටුනායක ඇවරිවත්ත, අමන්දොලුව , සිදුව ප්‍රදේශයේ පිහිටි පර්ච් 27 ක ඉඩම සහ නිවසක් විකිණීමට ඇත . ","Awariwaththa, Amandoluwa,  Katunayaka, Seeduwa","Agricultural, Commercial, Residential, Other",27.0 perches
6,Land for Sale in Seeduwa,18 Jul  9:43 pm,"Katunayake, Gampaha","5,850,000","House-----------------------------------------------3 Bedrooms2 Bathrooms (1 outside)Living, Dining, Kitchen ",Residential,13.0 perches,
7,Land for sale at seeduwa,18 Jul  8:36 pm,"Katunayake, Gampaha","1,300,000",SEDDUWA MAIN ROAD FACING. 40 PERCHES LAND  10 MINS TO THE KATUNAYAKA AIRPORTSUITABLE FOR COMMERCIAL AND RESIDENTIAL PURPOSECLEAR PAPERS,Main Road Seeduwa,"Commercial, Residential",40.0 perches
8,"Land for Immediate Sale in Raddolugama, Seeduwa.",18 Jul 11:02 am,"Katunayake, Gampaha","365,000","10 Perch Land for Immediate sale in Muthuwadiya Road, Raddolugama, Seeduwa. 10 minutes drive to International Airport, near the National Housing Scheme (N.H.S.) Raddolugama. Just 50m from Muthuwadiya Road.",Muthuwadiya Road,"Commercial, Residential, Other",10.0 perches
9,Prime Land Blocks for Sale at Raddolugama,15 Jul  4:41 pm,"Katunayake, Gampaha","425,000","10 Perches Land blocks for Sale at Raddolugama. Close to House Scheme, Temple, Church & Post Office. 5 minutes drive to Katunayaka International Airport and 15 minutes drive to Colombo City.","Raddolugama, Seeduwa","Agricultural, Commercial, Residential, Other",8.0 perches
