,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,ඉඩමක් සමග නිවස විකිණීම බියගම,21 Jul  5:24 pm,"Kelaniya, Gampaha","4,500,000",සුන්දර වෙල් යායකට මුහුනලා.නිසංසල පරිසරය සහිත මාතර කඩවත අධිවේගී මාර්ගයට ආසන්නව කඩුවෙල නගරයට විනාඩි දහයකින් යා හැක. කිරිබත්ගොඩ නගරයට පැය බාගය කියා හැක.බියගම ආයෝජන කලාපය ට විනාඩි 15 ක දුර.,"439/8 Kalyani Mawatha,kottunna Biyagama",Residential,29.0 perches
2,"['ඉඩමක් සමග නිවස විකිණීම බියගම', '21 Jul  5:24 pm', 'Kelaniya, Gampaha', '4,500,000', 'සුන්දර වෙල් යායකට මුහුනලා.නිසංසල පරිසරය සහිත මාතර කඩවත අධිවේගී මාර්ගයට ආසන්නව කඩුවෙල නගරයට විනාඩි දහයකින් යා හැක. කිරිබත්ගොඩ නගරයට පැය බාගය කියා හැක.බියගම ආයෝජන කලාපය ට විනාඩි 15 ක දුර.', '439/8 Kalyani Mawatha,kottunna Biyagama', 'Residential', '29.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Kelaniya,20 Jul 10:39 am,"Kelaniya, Gampaha","500,000",This Land is in kelaniya Biyagama road ThalwAtta . Near to Nagahamuna junction. This land has 10ft road and have 15 meters to kelaniya - biyagama main road. If you want 10purches we must ready to sale ..  මෙම ඉඩම කැළණිය බියගම පාරේ තල්වත්ත ප්‍රදේශයේය. ඉඩමට යාම සඳහා අඩි 10 ක පාරක් සතුය. කැළණිය බියගම ප්‍රධාන මාර්ගයට ඇත්තේ මීටර් 15ක දුරකි . පර්චස් 10ක් හෝ ලබා දෙමි.,"Commercial, Residential, Other",20.0 perches,
4,Land for Sale Kelaniya,19 Jul  9:36 pm,"Kelaniya, Gampaha","850,000",*to kelaniya temple 50m*good condition land *this land can use for your business place or build a house or parking sapce for vechical and big trucks *to colombo nuwara road 500m*to biyagama main road 100m*we give one perch 850000*we don't need brokes,"Waragoda main road,helena school,kelaniya",Other,80.0 perches
5,Land for Sale Kelaniya,19 Jul  4:05 pm,"Kelaniya, Gampaha","800,000",කැළණිය විහාරස්ථානයෙ සිට 100 දුරින් පර්චස් 6 ඉඩමක් විකිණීමට ඇත (විහාර මාවත),KELANIYA VIHARA MAWATHA,Residential,6.0 perches
6,Land In Kelaniya,19 Jul 11:22 am,"Kelaniya, Gampaha","3,000,000","පදිංචියට හොඳම තැනක්බස්මාර්ගයට ඇවිදයන දුරින්, තෙකලා විදුලිය, නල ජලය, තාර යෙදූ මාර්ග සහිත ප්‍රාදේශීය සභා අනුමත සුන්දර නිසංසල පරිසරයක පිහිටි බිම් කැබලි කිහිපයක්;සිමිත බිම් කොටස් කිහිපයක් පමණයි.",kelaniya maabima,Residential,10.0 perches
7,Land for Sale in Kaduwela,18 Jul  1:29 pm,"Kelaniya, Gampaha","260,000","Just 20 m to the Biyagama main bus road.50 m to the bandarawaththa junction.800 m to the Kaduwela main town.800 m to the Highway entrance.Lowest price in the aria.Reservation = 100,000/-Down payment = 10% only.Balance can pay 12 month interest free or prime finance loan.","Bandarawaththa, Kaduwela.","Commercial, Residential",10.0 perches
8,"31 Perches Land for Sale - Dalugama, Kelaniya",20 Jul 12:26 pm,"Kelaniya, Gampaha","700,000","31 Perches Valuable Land for Sale in Dalugama, Kelaniya, near University of Kelaniya. The Land situated highly commercialized area, but suitable for both Residential or Commercial Purpose. Less than 200 meters to Kandy Road and close proximity to Kelaniya Raja Maha Viharaya.",Dalugama,"Commercial, Residential, Other",31.0 perches
9,Land For Sale In Kelaniya,16 Jul  9:33 pm,"Kelaniya, Gampaha","1,500,000",*face to waragoda main road *this land can use for you business place or build a house or praking sapce for vehicle and big trucks *to colombo nuwara road 1km*to colombo port 6km*පලල අඩි 100ක් තිබේ*we give one perch 1500000*we don't need brokes,"Waragoda main road,kelaniya",Other,78.0 perches
