,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale in Kiribathgoda, 6 Jul  2:16 pm,"Kiribathgoda, Gampaha","4,500,000",Highly residential land for sale in Kiribathgoda - Makola.Ten (10) perches available with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,10.0 perches,
2,"['Land for Sale in Kiribathgoda', ' 6 Jul  2:16 pm', 'Kiribathgoda, Gampaha', '4,500,000', 'Highly residential land for sale in Kiribathgoda - Makola.Ten (10) perches available with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Kiribathgoda Mawaramandiya,17 Jul 11:08 am,"Kiribathgoda, Gampaha","335,000","*  Fully developed land...* 15 minutes from Kiribathgoda,Kadawatha,Kaduwela & Delgoda junction...* Close to highway 8 minutes...* Close to government and international schools,banks,super markets and other establishments...* Clear Deeds...* Bank loan can be arranged...* All facilities available...* Down payment 10% of land value...RESERVE YOUR DREAM LAND NOW.....","Pelathawana street, Dikwala road, Mawaramandiya","Commercial, Residential",10.0 perches
4,Plot no. 01 Land for sale in Kiribathgoda,22 Jul 10:03 am,"Kiribathgoda, Gampaha","335,000","Fully developed land...* 15 minutes from Kiribathgoda,Kadawatha,Kaduwela & Delgoda junction...* Close to highway 8 minutes...* Close to government and international schools,banks,super markets and other establishments...* Clear Deed...* Bank loan can be arranged...* All facilities available...* Down payment 10% of land value...RESERVE YOUR DREAM LAND NOW.....පදිංචියට හොදම තැනක් ……………කිරිබත්ගොඩ, කඩවත ,කඩුවෙල සහ දෙල්ගොඩ නගර වලට විනාඩි 15 න් ළඟා විය හැකි. අධිවේගී මාර්ගයට විනාඩි 8 න් ළඟා විය හැකි.,සුපිරි වෙළදසැල්, රජයේ ප්‍රසිද්ධ පාසල්, ජාත්‍යන්තර පාසල් සදහා විනාඩි කිහිපයකින්ළගා විය හැකි සියළු පහසුකම් සහිත බිම් කොටස් ඔබේම කර ගන්න...","Pelathawana street, Dikwala road, Mawaramandiya","Commercial, Residential",10.0 perches
5,Land for Sale in Kiribathgoda, 6 Jul  2:16 pm,"Kiribathgoda, Gampaha","4,500,000",Highly residential land for sale in Kiribathgoda - Makola.Ten (10) perches available with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,10.0 perches,
6,Land for Sale Budupilima Junction - Mawaramandiya Facing Main Road,17 Jul  1:16 pm,"Kiribathgoda, Gampaha","900,000",16P BARE SQUARE BLOCK LAND FOR SALE IN BUDUPILIMA JUNCTION – MAWARAMANDIYA FACING DELGODA - KIRIBATHGODA MAIN ROAD,"Commercial, Residential, Other",16.0 perches,
7,Land for Sale in - Makola,20 Jul  6:30 pm,"Kiribathgoda, Gampaha","400,000","10 Perches Land for Immediate Sale in Galwala Junction, Heiyanthuduwa Road. Makola200m to Galwala Junction.10 Min to Kiribathgoda Town.Electricity & Water.Clear Deeds.Pleasent Environment.","Galawala Junction, Heiyanthuduwa, Makola",Residential,10.0 perches
8,Land for Sale Ragama,20 Jul  2:30 pm,"Kiribathgoda, Gampaha","1,250,000","Commercial / Residential land with an old house for sale from Ragama, facing Ragama Kadawatha main bus route ! Please call Vista Realtors ",Ragama,"Commercial, Residential",10.0 perches
9,Land for Sale in kiribathgoda,19 Jul  8:03 pm,"Kiribathgoda, Gampaha","2,900,000",9 Perches  Land For Sale Immediately This Land is Located In Makola Galwala JunctionPrice 29 Laks Please Call For Seen on Appointment More Information And Price Can Be Negotiable Genuine Buyers OnlyNo BorkersUrgent Sale,Makola Galwala Janction,Residential,9.0 perches
10,Land for Sale in Kiribathgoda,19 Jul 10:05 am,"Kiribathgoda, Gampaha","750,000","Highly residence area kiribathgoda Iriyawetiya Road 10 Pearch  Per Perch 7.40 lax Iriyawetiya Road to 50 meters clear documents Kiribathgoda to 900 m immediate sale.Close by, sumangala College 🎓, bank Keels, Cargils, Kiribathgoda Call for Seen on appointments, Genuine Buyers Only No Brokes DREAM HOMES REAL ESTATE","kiribathgoda, Iriyawetiya Road",Commercial,10.0 perches
11,Land for Sale in Kiribathgoda Meegahawatte,19 Jul 10:00 am,"Kiribathgoda, Gampaha","245,000",20ft access road to the land. Calm surrounding.Just 1km away from the main road. FOR Immediate Sale.,Residential,7.5 perches,
12,Land for Sale in Kiribathgoda,19 Jul  8:40 am,"Kiribathgoda, Gampaha","760,000","Highly residence area kiribathgoda Kandy bus route  750meters Perch 11.8Per Perch 7.60 lak Verry close by kiribathgoda Arpico, banks super market, KFC, Macdonald clear documentsimmediate sale . Call Seen for appointment only genuine buyer's No BROKES DREAM HOMES REAL ESTATE","kiribathgoda, Mudiyansege Watta Road",Residential,10.8 perches
13,Land for sale in Kiribathgoda,18 Jul  4:58 pm,"Kiribathgoda, Gampaha","985,000","12.9 perch square land for sale Price Rs 985,000 per perchLocation -  Pamunuvila road1km to  Kiribathgoda town600 m frm main road30feet wide road  accessUrgently selling due to migration",Residential,12.9 perches,
14,Land for Sale Makola,18 Jul  3:28 pm,"Kiribathgoda, Gampaha","6,500,000","Makola Batalanda Sapumaluyana 10.01P rectangular land carpeted road beautiful calm peaceful area 3 sides parapet walls & steel fence water tank, servant toilet, drainage line, rain water line, drainage pit available 3Phase electricity & Water can be applied various trees available few meters to Sapugaskanda & Makola Junctions, Police Station, Vishaka Balika College, Ashoka College & Central College, Petroleum Refinery, Udupila-Delgoda-Kaduwela-Free Trade Zone access Roads, Post Office, Pradeshiya Sabha, Biyagama Maha Lekam Office, all major banks, nearby Clear deeds & titles All enquiries  ","Batalanda Road, Makola South, Makola ; in-front of Defence Services Command and Staff College",Residential,10.01 perches
15,Land for Sale in Kiribathgoda,18 Jul  3:31 pm,"Kiribathgoda, Gampaha","375,000","300 m to the Kiribathgoda / Biyagama main bus road.5 Minutes to the Kiribathgoda & Kadawatha Town.4 minutes from Biyagama Zone.Reservation = 100,000/-Down payment = 20%Balance can pay 12 month interest free or easy payment.","Makola , Kiribathgoda.",Residential,10.0 perches
16,Land for Sale in - Kiribathgoda,15 Jul  3:03 pm,"Kiribathgoda, Gampaha","465,000","Highly Residential Land for Sale in Kiribathgoda - Makola,sabawa Road.(100m from The Main Road)14.3 Perches Available with All Clear Documents.",Residential,14.3 perches,
17,Land in kiribathgoda,15 Jul  1:38 pm,"Kiribathgoda, Gampaha","375,000",Kiribathgoda / Biyagama pradana parata 300 m.Kiribathgoda / Kadawatha / Biyagama town walata winadi 5 i.Pahasu geweeme kramayata saha banku naya magin.,"Gunasekara para, Sapugaskanda, Kiribathgoda.",Residential,10.0 perches
18,Land for Sale Kiribathgoda,15 Jul 11:48 am,"Kiribathgoda, Gampaha","500,000",කිරිබත්ගොඩ නගරයට ආසන්න 1 1/2 km දුරින් පර්චස් 10 ඉඩමක් පර්චස් 1ක් 500000/- මුදල් හදිසියකට විකිණේ,කිරිබත්ගොඩ මාකොළ,Residential,10.0 perches
19,Land for Sale - Kiribathgoda,13 Jul  3:26 pm,"Kiribathgoda, Gampaha","425,000","High residential aria with many facilities.150 m to 234 main bus road.4.5 km to the Kiribathgoda main town.Reservation = 100,000/-Down payment = 25%Balance can pay 12 month interest free / Bank loan or prime finance loan.","Sabawa road, Makola, Kiribathgoda.",Residential,14.5 perches
20,Land in Kiribathgoda,13 Jul 11:22 am,"Kiribathgoda, Gampaha","375,000","Kiribathgoda / Biyagama pradana bus parata 300 m.Kiribathgoda / Kadawatha / Biyagama nagara walata winadi 5 i.Nala jalaya / Viduliya / Pulul maarga athulu siyalu pahasukam sahithai.Wen karawa ganeemata = 100,000/-Muulika geweema = 25%Ithiriya masa 12k dakwa poli rahithawa ho deerga kalinawa gewanna.","Makola , Kiribathgoda.",Residential,10.0 perches
21,Land for Sale - Kiribathgoda,20 Jul 11:22 am,"Kiribathgoda, Gampaha","395,000","just for 395,000/- per perch.300 meters from land to colombo / kandy roard. hurry up this is suitable for your parking area and to build a ware house any time of commercial requirements.Reservation Rs.100,000/-Down payment of 50% with 2 weeksBalance can pay by installments or a bank loanIdeal place for your future residence which is very close to Colombo city. Only 350m to Colombo / kandy Road and 2.0 km to Kiribathgoda town. Land is located within kiribathgoda city area with easy access to all the facilities.",Land for sale in kiribathgoda,"Commercial, Residential",10.0 perches
22,Land for Sale Kiribathgoda,12 Jul 10:48 am,"Kiribathgoda, Gampaha","400,000","කිරිබත්ගොඩ ( නුවර පාර) 3kmකඩවත ( HIGHWAY ENTRANCE ) 2kmකඩුවෙල (අලුත් නුවර පාර ) 3km නල ජලය, තෙකලා විදුලිය ඉඩමට පිවිසුමට්‍ය මාර්ග 3ක් (කොන්ක්‍රිට්)",KIRIBATHGODA MAKOLA,Residential,13.5 perches
23,Land in Kiribathgoda,11 Jul  6:28 pm,"Kiribathgoda, Gampaha","375,000",Kiribathgoda / Biyagama pradana parata 300 m.Kiribathgoda town ekata 4.5 km.Biyagama Zone ekata 4 km.Nala jalaya / Viduliya athulu siyalu pahasukam samagin.Mulin 25% k gewa Ithiriya masa 12 k dakwa poli rahithawa gewanna.,"Makola , Kiribathgoda.",Residential,10.0 perches
24,ඉඩම පමුණුවිල පාරට මුහුණලා, 9 Jul  4:18 pm,"Kiribathgoda, Gampaha","750,000",නිරවුල් පිරිසිදු ඔප්පු සහිත ඉඩම,103 පමුණුවිල පාර පමුණුවිල,"Commercial, Residential",40.0 perches
25,නිරවුල් ඔප්පු සහිත ඉඩම, 9 Jul  4:14 pm,"Kiribathgoda, Gampaha","750,000",පමුණුවිල පාරට මුහුණලා,103 පමුණුවිල පාර පමුණුවිල,"Commercial, Residential",40.0 perches
26,Land for Sale - Kiribathgoda, 9 Jul  3:13 pm,"Kiribathgoda, Gampaha","725,000",KIRIBATHGODA GAMUNU MAWATHA (MANE ROAD 500 m) KIRIBATHGODA TOWN 700m10 PARCHESELE/ WATER HAVE 1 PARCHES 7/25 /- NEGOTIABLE,KIRIBATHGODA GAMUNU MAWATHA,Residential,10.0 perches
27,ප.40 ඉඩම විකිණීමට - පමුණුවිල, 9 Jul  4:30 pm,"Kiribathgoda, Gampaha","750,000",නිරවුල් හිස් ඉඩම විකිණීමට පමුණුවිල පාරට මුහුණලා.,"103 පමුණුවිල පාර ,පමුණුවිල.","Commercial, Residential",40.0 perches
28,Land for Sale in Kiribathgoda, 8 Jul  7:01 pm,"Kiribathgoda, Gampaha","2,250,000","කිරිබත්ගොඩ නගරයට කිලෝමීටර් 2යි,සපුගස්කන්ද හන්දියට කිලෝමීටර් 1යි,පචස් 1ක් 375000යි.","Dewalapara,Makola Uthura,Makola","Agricultural, Commercial",6.0 perches
29,Excellent land දෙල්ගොඩ මීගහවත්ත නගරයේ (18 Perches) - Delgoda,12 Jul  8:56 pm,"Kiribathgoda, Gampaha","215,000","# මාවරමණ්ඩිය නගරයට විනාඩි 5 ක දුරින්ද , බියගම පාරට ආසන්නයේද , දෙල්ගොඩ මීගහවත්ත පොලිසියට නුදුරින් ඇති සුබද්‍රරාම මාවතේ 4 වන පටුමගේ මීටර 50 ක් පමණ  දුරින් පිහිටි පර්චෙස් 18 ක ඉඩම (විසල් උයන)  පෙර්චසය ලක්ෂ 2,25 බැගින් ඉක්මනින් විකිණිමට තිබේ . ( විදෙස් ගත වන බැවින් )",දෙල්ගොඩ පාර  මීගහවත්ත,"Residential, Other",18.0 perches
30,Land for Sale in Kiribathgoda, 6 Jul  2:16 pm,"Kiribathgoda, Gampaha","4,500,000",Highly residential land for sale in Kiribathgoda - Makola.Ten (10) perches available with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,10.0 perches,
31,Land& House Sale in Kiribathgoda, 8 Jul  3:06 pm,"Kiribathgoda, Gampaha","21,000,000",2BSingle Storey House & single Storey sale,Kiribathgoda,Residential,25.0 perches
32,Land in Kiribathgoda, 8 Jul 12:27 pm,"Kiribathgoda, Gampaha","375,000",Kiribathgoda / Biyagama pradana bus parata 300 m.Kiribathgoda town ekata saha Biyagama Zone ekata WINADI 5 I.Nala jalaya / Viduliya / Banku naya saha pahasu geweem samagin.Awasana bim kotas 6 k pamanai.,"Makola , Kiribathgoda.",Residential,10.0 perches
33,Land for Sale in Kiribathgoda, 8 Jul 11:43 am,"Kiribathgoda, Gampaha","425,000",Kiribathgoda / Delgoda 234 pradana bus parata 150 m.Kiribathgoda town ekata saha Kadawatha town ekata winadi 5 i.Siyalu pahasukam samagin Pahasu geweeme kramayata saha banku naya magin.,"Sabawa road, Makola, Kiribathgoda.",Residential,10.0 perches
34,කිරිබත්ගොඩ මාකොල පාරේ ඉඩමක් විකිණීමට ඇත, 5 Jul 10:11 pm,"Kiribathgoda, Gampaha","750,000",කිරිබත්ගොඩ මාකොල පාරේ ගල්වලහන්දියෙ සගබෝමාවතේ පර්චස් 10ක හතරැස් සමතලා ඉඩමක් විකිණීමටඇත.,සගබෝමාවත,Other,10.0 perches
35,Sapugaskandha Biyagama Land For Sale, 5 Jul  9:04 am,"Kiribathgoda, Gampaha","600,000",Sapugaskandha Biyagama Land facing Samurdhi Mawatha. 130 perches.,"Commercial, Residential",130.0 perches,
36,Land for Sale - Kiribathgoda, 4 Jul  7:16 pm,"Kiribathgoda, Gampaha","650,000","8 perch land in kohalwila road, 1km to kiribathgoda city.land with 4 boundry walls and a gate.",Residential,8.0 perches,
37,"Residential Land for Sale Near Galwala Handiya, Makola", 4 Jul  1:03 pm,"Kiribathgoda, Gampaha","8,500,000","Square land of 20p. Just 200m from Galawala junction, Makola.Situated on Sama Mawatha.5km to Kiribathgoda town and also Kadawatha.Clear deeds, single ownership for long time.","Sama Mawatha, Dewala Road, Galwala Handiya, Makola",Residential,20.0 perches
38,Land for Sale in Kiribathgoda,20 Jul 11:25 am,"Kiribathgoda, Gampaha","455,000","Land in Maharam malawatha  road Sirimangala para 12 perches bare land for sale 4.30 laks per perch , 12 perches land 350  mtrs to the colombo / kandy main roadWith pipe born water and electricity Wide roads, highly residential area Clear deeds Very close to Mahara junction",Land for sale in kiribathgoda,Residential,12.0 perches
39,Land For Sale In Kiribathgoda Mawaramandiya,22 Jul 11:58 am,"Kiribathgoda, Gampaha","335,000","* Fully developed land...* 15 minutes from Kiribathgoda,Kadawatha,Kaduwela & Delgoda junction...* Close to highway 8 minutes...* Close to government and international schools,banks,super markets and other establishments...* Clear Deeds...* Bank loan can be arranged...* All facilities available...* Down payment 10% of land value...RESERVE YOUR DREAM LAND NOW.....","Pelathawana street, Dikwala road, Mawaramandiya","Commercial, Residential",10.0 perches
40,Land in Kiribathgoda,26 Jun  4:10 pm,"Kiribathgoda, Gampaha","375,000",300 m to the Kiribathgoda / Biyagama main bus road.5 minutes from Kiribathgoda town.4 minutes to the Biyagama Zone.Few land plots are available.Bank loan / Easy payment with many facilities.,"Makola , Kiribathgoda.",Residential,10.0 perches
41,125 Perch Land for Sale in Kiribathgoda - Kadawatha,26 Jun  1:38 pm,"Kiribathgoda, Gampaha","250,000","කිරිබත්ගොඩට සහ කඩවත නගරයන්ට විනාඩි 10 න් ලගා විය හෑකි, කඩවත අධිවේගී මාර්ග පිවිසුමට ආසන්නව -  පදින්චියට සුදුසු නිදහස් පරිසරයකින් යුතු, නිරවුල් ඔප්පු සහිත මනාව නඩත්තු කරන ලද පොල් ගස් 60 වගාවකින් සහ කොස් ගස් 2 කින් යුත් ළිං ජලය/ නල ජලය සහ තෙකලා විදුලිය සහිත කුඩා ගොඩනෑගිල්ලක්ද සහිත පර්චස් 125 ක් පුද්ගලිකව එකවර විකිනේ. පුද්ගලික පදංචියට හෝ ආයෝජනයක් සදහා සුදුසු ඉතා නිදහස් නිස්කලංක ස්වාභාවික වටා පිටාවක පිහිටා ඇත. බ්රොකර් වරුන් අනවශ්යයි. මිල ගණන් සාකච්ඡා කළ හැක්කේ ඉඩම පරීක්ශා කිරීමෙන් පසුව පමණි. ","Kadawatha , Kiribathgoda","Agricultural, Commercial, Residential",125.0 perches
42,10 p Face to Highway Land for sale in Kiribathgoda,26 Jun  8:03 am,"Kiribathgoda, Gampaha","4,000,000",10 p LAND FOR SALE IN  kadawatha,"Kiribathgoda, Galwala junction, Daluggala rd",Residential,10.0 perches
43,Commercial Land for Sale Kiribathgoda,25 Jun  3:31 pm,"Kiribathgoda, Gampaha","1,800,000","15.5 commercial land for sale from Kiribathgoda Eriyavetiya Road, 20 meters to Kiribathgoda town.ව්‍යාපාරික ස්ථානයකට ඉතා සුදුසු කිරිබත්ගොඩ නගරයේ ඊරියවෑටිය පාරෙන් , නුවර කොළඹ මාර්ගයට මීටර 20කි.Vista 0767647693",Kiribathgoda Town,"Commercial, Residential",15.5 perches
44,Land in kiribathgoda,23 Jun  5:47 pm,"Kiribathgoda, Gampaha","375,000",Kiribathgoda / Siyabalape pradana bus parata 300 m.Kiribathgoda towan ekata winadi 5 i.Biyagama zone ekatath winadi 5 i.Nala jalaya / viduliya athulu siyalu pahasukam samagin.Pahasu geweeme kramayata saha banku naya samagin.,"Makola , Kiribathgoda.",Residential,10.0 perches
45,Land in Kiribathgoda,23 Jun  5:44 pm,"Kiribathgoda, Gampaha","450,000",234 Kiribathgoda / Delgoda pradana parata 200 m .Kiribathgoda town ekata winadi 5 i.Siyallu pahasukam walin samanwitha agana bim kotasak.High way ekata muhunala.Pahasu geweem saha banku naya samagin.,"Sabawa road, Makola, Kiribathgoda.",Residential,14.5 perches
46,Land For Sale - Kiribathgoda,21 Jun  5:57 pm,"Kiribathgoda, Gampaha","2,100,000","9 perch land for sale from Kiribathgoda Housing Scheme, 25 meters to Kiribathgoda Town, ideal for an office or for residential purpose. Call Vista පර්චස් 9ක අනර්ඝ ඉඩමක් විකිණීමට කිරිබත්ගොඩ නිවාස යෝජනා ක්‍රමයෙන් , කිරිබත්ගොඩ නගරයට මීටර් 25 පමණ දුරකින් පිහිටා ඈත, විය්‍යාපාරික ස්ථානයකට හෝ නිවසකට කදිමයි",National Housing Scheme Kiribathgoda,"Commercial, Residential",9.0 perches
47,Land for Sale Kiribathgoda,21 Jun  5:34 pm,"Kiribathgoda, Gampaha","1,100,000","16.75 perch land for sale , 3 mnts walking distance to Kiribathgoda town, call vista 0767647693",Kiribathgoda Gemunu Mawatha,Residential,16.75 perches
48,Land for Sale - Kiribathgoda,27 Jun  6:19 pm,"Kiribathgoda, Gampaha","2,300,000","20 perch residential / commercial land for sale from Kiribathgoda National Housing Scheme, facing main road. 20 metes to Kandy Kiribathgoda A1 Road. Pls Call Vista ප්‍රධාන පාරට මුහුණලා ඈති පර්චස් 20 ක අනර්ග නේවාසික / ව්‍යාපාරික ඉඩමක් කිරිබත්ගොඩ ජාතික නිවාස යෝජනා ක්‍රමයෙන් විකිණීමට ඈත, නුවර කොළඹ පාරට මීටර 20කි Call Vista",National Housing Scheme,"Commercial, Residential",20.0 perches
49,Land for sale in Kiribathgoda,22 Jun  2:25 pm,"Kiribathgoda, Gampaha","2,500,000",බියගම කලාපයට මිනිත්තු 15කිරිබත්ගොඩ නගරයට විනාඩි 20 පිරිසිදු ඔප්පු බෝඩින් කාමර සදහා වඩාත් සුදුසුයි.මිල ගණන් සාකච්චා කර ගත හැක.,"Kajuhena Road,Heyiyanthuduwa",Residential,10.0 perches
