,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Lands for Sale Minuwangoda,29 Jul  1:11 pm,"Minuwangoda, Gampaha","110,000","උඩුගම්පලින්ප, ම්නුවන්ගොඩින්, දිවුලපිටියෙන් පහසු ගෙවීමේ ක්‍රමයට ඉඩම්...ප්‍රාදේශීය සභා අනුමැතිය සහිතයි...තෙකලා විදුලිය, නල ජලය, පුලුල් පිවිසුම් මාර්ග...(අඩි10,12,15)පොදු කටයුතු, ලමා ක්‍රීඩා පිටි සදහා ඉඩ වෙන්කර ඇත(මිනුවන්ගොඩ)මූලික ගෙවීම ලක්ෂ 2ක් පමනි....ඉතිරිය මාසිකව අප ආයතනයටම ගෙවන්න( වසර 5න්/8න්)මූලික ගෙවීමෙන් පසු නිවස ඉදිකිරීමට, පදින්චිවීමට අයිතිය...",Residential,12.5 perches,
2,"['Lands for Sale Minuwangoda', '29 Jul  1:11 pm', 'Minuwangoda, Gampaha', '110,000', 'උඩුගම්පලින්ප, ම්නුවන්ගොඩින්, දිවුලපිටියෙන් පහසු ගෙවීමේ ක්\u200dරමයට ඉඩම්...ප්\u200dරාදේශීය සභා අනුමැතිය සහිතයි...තෙකලා විදුලිය, නල ජලය, පුලුල් පිවිසුම් මාර්ග...(අඩි10,12,15)පොදු කටයුතු, ලමා ක්\u200dරීඩා පිටි සදහා ඉඩ වෙන්කර ඇත(මිනුවන්ගොඩ)මූලික ගෙවීම ලක්ෂ 2ක් පමනි....ඉතිරිය මාසිකව අප ආයතනයටම ගෙවන්න( වසර 5න්/8න්)මූලික ගෙවීමෙන් පසු නිවස ඉදිකිරීමට, පදින්චිවීමට අයිතිය...', 'Residential', '12.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land with Banglow for Sale in Minuwangoda,23 Jul  9:00 am,"Minuwangoda, Gampaha","13,500,000",* Located just 05 minutes away from Minuwangoda town and 06 km to Gampaha city.* Only 10km to Katunayake International Air port.* Clear Titles.* 40ft Carpet road* 03 phase Electricity* with swimming pool* Suitable for small resort or personal Ban glow* Former used by a Foreigner* Can arrange bank loan* Call more information,Between Gampaha Minuwangoda main road,"Commercial, Residential, Other",70.0 perches
4,76 Perches Land for Sale in Minuwangoda.,29 Jul 11:06 am,"Minuwangoda, Gampaha","135,000","76 Perches Land for Sale in katuwellegama, Minuwangoda. Suitable for Residential, Farming and Agriculture. 4.5 Km to Minuwangoda town. 2.5 km to Nilpanagoda Junction, 10 Minutes to Katunayake FTZ,  International Airport and easy access to Colombo via Airport Highway. 10 km to Negombo Town.",katuwellegama,"Agricultural, Commercial, Residential, Other",76.0 perches
5,ඉඩමක් විකිණීමට ඇත මිනුවන්ගොඩ,29 Jul 10:00 am,"Minuwangoda, Gampaha","1,500,000","පචස් 25 ක ඉඩම් කැබැල්ලක් ,,ඉතා ඉක්මනින්ම විකිණීමට ඇත,,  කොළඹ 05  මාර්ගයට km 2යි .(වාහන හුවමාරුව ද සැලකේ).","157,බටහිර,දිවුලපිටිය.",Other,25.0 perches
6,Land for Sale - Minuwangoda,28 Jul  4:56 pm,"Minuwangoda, Gampaha","70,000","පිරිසිදු ජලය, තෙකලා විදුලිය, තැනිතලා බිම, නිරවුල් ඔප්පු. කුරුණෑගල කොළඹ 5 ප්‍රධාන පාරට විනාඩි 5 යි.. පර්චස් 20 කැබලි තුනක් වහාම විකිණීමට.. පදිංචියට හෝ ව්‍යාපාරයකට ඉතාම සුදුසුයි... පොල් ඉඩම..","Agricultural, Commercial, Residential",60.0 perches,
7,Valuable Land for Sale - Minuwangoda,28 Jul 11:25 am,"Minuwangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMVeyangoda 6 km,Dewalapola,"Residential, Other",74.6 perches
8,Valuable Paddy Land for Sale Katunayaka,29 Jul 11:45 am,"Minuwangoda, Gampaha","125,000","කටුනායක නිට්ටඹුව ප්‍රධාන මාර්ගයට මුහුණලා ඉතා සාමකාමී නිශ්ශබ්ද සුන්දර පරිසරයක පිහිටා ඇත.මිනුවන්ගොඩ නගරයේ සිට සැතපුම් 1ක් දුරින් පිහිටා ඇත.කොළඹ කටුනායක අධිවේගී මාර්ගයට මිනිත්තු 10කින් ළඟා විය හැක.කොළඹ නුවර අධිවේගී මාර්ගයට මිනිත්තු 15කින් ළඟා විය හැක.ඉහළම ඉල්ලුම්කරුට දෙනු ලැබේ.-------------------------------------------------------------Facing to Katunayake nittambuwa roadCalm , peacefull and beautifull environment1 Mile away from minuwangoda townCan reach colombo kayunayake highway in 15 minutesCan reach colombo , kandy highway in 10 minutesWill be given to the highest offer",Katunayaka Nittambuwa Main Rd,Agricultural,80.0 perches
9,Land in Minuwangoda,26 Jul 12:51 pm,"Minuwangoda, Gampaha","70,000","Minuwangoda / Diwlapitiya Nagarayanta madiwa.Ballapana handiyen maboddala paren.Agana newasika bim kotas kihipayak.Ikman karanna .Awasana bim kotas 10 k pamanai.Muulika geweema 90,000/- k pamanai.Ithiriya wasara 5 k dakwa geweeme kramayata.","Ballapana, Minuwangoda.",Residential,15.0 perches
10,Land for Sale Veyangoda,28 Jul  2:35 pm,"Minuwangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMVeyangoda 6 km,Dewalapola,"Agricultural, Residential, Other",74.6 perches
11,Land for sale in Minuwangoda,24 Jul  1:37 pm,"Minuwangoda, Gampaha","6,500,000",Land for sale in Minuwangoda,Minuwangoda,"Commercial, Residential",109.0 perches
12,Land for Sale in Mirigama,23 Jul  9:20 pm,"Minuwangoda, Gampaha","180,000",~~~ නගරාසන්නයේම පිබිදෙන ඉසව්වක ඉස්තරම් ආයෝජනයක්~~~______________මීරිගම_____________,"Nittabuwa - Giriulla Main Rd, Mirigama",Residential,12.5 perches
13,Land for Sale Minuwangoda,23 Jul  8:41 pm,"Minuwangoda, Gampaha","170,000",මිනුවන්ගොඩ නගරයෙන්මමිනුවන්ගොඩ පන්සිල්ගොඩ පාරෙන්____අයිඩීයල් ග්‍රීන් වීව්____,"Pansilgoda Road,Minuwangoda",Residential,12.0 perches
14,Lands for Sale Minuwangoda,29 Jul  1:11 pm,"Minuwangoda, Gampaha","110,000","උඩුගම්පලින්ප, ම්නුවන්ගොඩින්, දිවුලපිටියෙන් පහසු ගෙවීමේ ක්‍රමයට ඉඩම්...ප්‍රාදේශීය සභා අනුමැතිය සහිතයි...තෙකලා විදුලිය, නල ජලය, පුලුල් පිවිසුම් මාර්ග...(අඩි10,12,15)පොදු කටයුතු, ලමා ක්‍රීඩා පිටි සදහා ඉඩ වෙන්කර ඇත(මිනුවන්ගොඩ)මූලික ගෙවීම ලක්ෂ 2ක් පමනි....ඉතිරිය මාසිකව අප ආයතනයටම ගෙවන්න( වසර 5න්/8න්)මූලික ගෙවීමෙන් පසු නිවස ඉදිකිරීමට, පදින්චිවීමට අයිතිය...",Residential,12.5 perches,
15,Land For Sale In Katunayake,22 Jul  9:15 pm,"Minuwangoda, Gampaha","350,000","Land located in Katunayeka Andiambalama,Only 10 minutes away to Katunayeke airport & Colombo Expressway. Very clear title. laugfs supermarket | Euro star Hotel and The Tamarind Tree Hotel | Petrol shed are very close to land. Call for more information.",Katunayake (bigcity),Residential,12.5 perches
16,Land for Sale in Minuwangoda,20 Jul 10:31 pm,"Minuwangoda, Gampaha","75,000","aluthapola, Karmale waththa","Aluthapola, Dunagaha",Residential,16.5 perches
17,Valuable Land for Sale - Minuwangoda,20 Jul  7:32 am,"Minuwangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KM,Minuwangoda,"Agricultural, Other",74.6 perches
18,Land for Sale - Minuwangoda,26 Jul  6:16 pm,"Minuwangoda, Gampaha","435,000",Minuwangoda Katunayaka road yatiyana 10m away from main road.,Residential,23.0 perches,
19,Land For Sale in Minuwangoda,19 Jul  1:27 pm,"Minuwangoda, Gampaha","80,000",මිනුවන්ගොඩ ඉඩම විකිණීමට ඇත============================,Residential,15.0 perches,
20,Land for Sale - Minuwangoda,19 Jul 10:03 am,"Minuwangoda, Gampaha","175,000","සීඝ්‍රයෙන් සංවර්ධනය වෙමින් දිනෙන් දින වටිනාකම් වැඩිවන නගරාසන්නයේ වින්දනීය නේවාසික /අායෝජනයට...මිනුවන්ගොඩ - ගුවන්තොටුපල ප්‍රධාන මාර්ගයට මීටර් 50ජලය විදුලිය සමග සියළු පහසුකම් සහිත සුපිරි බිම්කොටස (බිම් කොටස් අංක 6 විකීණීමට තිබේ)පර්චසයක් රු.175,000/= සිට...- බැංකු ණය ඇතුළු පහසු ගෙවීමේ ක්‍රම - එකවර ගෙවීමේදී සුවිශේෂී මිළ අඩුකිරීමක්...ඉක්මන් කරන්න..වැඩි විස්තර සඳහා දැන්ම අමතන්න...","Minuwangoda,Bulugahamulla","Agricultural, Commercial, Residential, Other",15.35 perches
21,Land for Sale Minuwangoda,27 Jul  2:26 pm,"Minuwangoda, Gampaha","68,000","Minuwangoda, nilpanagoda 30.5perches for sale.Rs.70000 per perch.prices are negotiable.","Agricultural, Commercial, Residential",30.5 perches,
22,Land for Sale - Minuwangoda,24 Jul  3:02 pm,"Minuwangoda, Gampaha","1,500,000",කොලබ කුරුණෑගල ප්‍රධාන පාරේ සිට කිලෝමීටර් 1විදුලිය ඇත නල ලින් මෝටර් කර ඇත නිරවුල් ඔප්පු,"no.11/2, walhena, minuwangoda",Residential,15.0 perches
23,Land for Sale - Minuwangoda,21 Jul  9:52 pm,"Minuwangoda, Gampaha","11,000,000",මිනුවන්ගොඩ නගරයට නුදුරින්  වේයන්ගොඩ පාරට මීටර් 500 දුරින් පර්චස් 107 ක්  විකිණීමට ඇත .අඩි 15 ක් පලල පුද්ගලික පාර. නිරවුල් ඔප්පු. මිල ලක්ෂ 110. වැඩි විස්තර සඳහා විමසන්න,Minuwangoda,Residential,107.0 perches
24,Land for Sale in Nilpanagoda,17 Jul 11:48 am,"Minuwangoda, Gampaha","75,000",perches 14k saha  12.5k idam  kabali  dekak  atha. adi 12ka parak  atha. polgas  3k  atha. light saha wathura  atha.,112/1 Nilpanagoda daminnagahawaththa,Other,26.5 perches
25,Land For Sale in Minuwangoda,20 Jul 11:12 am,"Minuwangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMWeyangoda 800M,minuwangoda,"Agricultural, Commercial, Residential, Other",74.0 perches
26,Land for Sale in Minuwangoda,20 Jul 11:14 am,"Minuwangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMWeyangoda 800M,"Agricultural, Other",74.0 perches,
27,"Land for sale – in Gampaha Ditrict, Minuangoda, Nilpanagoda vilage",14 Jul  1:20 am,"Minuwangoda, Gampaha","90,000","20-minute drive from the airport, 1-acre land with a partition title.","Agricultural, Commercial, Residential",1.0 acres,
28,Prime Commercial Land for Sale at Airport Road Minuwangoda,23 Jul 10:06 am,"Minuwangoda, Gampaha","525,000","Commercial Land for Sale at Airport Road, Minuwangoda facing mainroad. About 1 Km to Minuwangoda City and 5 minutes drive to Katunayake International Air Port and easy access to Colombo Katunayake Airport High way. Ideal for Hotel, Reception Hall, Apartment/ Housing Complex, Were House, Factory, Yard or any other commercial purpose.",Airport Road,"Commercial, Residential, Other",22.0 perches
29,Land with Banglow for Sale in Minuwangoda,23 Jul  9:00 am,"Minuwangoda, Gampaha","13,500,000",* Located just 05 minutes away from Minuwangoda town and 06 km to Gampaha city.* Only 10km to Katunayake International Air port.* Clear Titles.* 40ft Carpet road* 03 phase Electricity* with swimming pool* Suitable for small resort or personal Ban glow* Former used by a Foreigner* Can arrange bank loan* Call more information,Between Gampaha Minuwangoda main road,"Commercial, Residential, Other",70.0 perches
