,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Bare Land for Sale - Mahabage / Ragama,29 Jul 10:53 am,"Ragama, Gampaha","23,999,999","BARE LAND FOR SALE, FACING NEGOMBO MAIN ROAD මීගමු පාරට මුහුණලා මෙම හිස් ඉඩම පිහිටා ඇත ","Commercial, Residential",8.0 perches,
2,"['Bare Land for Sale - Mahabage / Ragama', '29 Jul 10:53 am', 'Ragama, Gampaha', '23,999,999', 'BARE LAND FOR SALE, FACING NEGOMBO MAIN ROAD මීගමු පාරට මුහුණලා මෙම හිස් ඉඩම පිහිටා ඇත ', 'Commercial, Residential', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Bare Land for Sale at - Peralanda,26 Jul  8:33 am,"Ragama, Gampaha","450,000","•	LAND EXTENT 40 PERCH BARE LAND AT PERALANDA ROAD•	SURROUNDED WITH PARAPET WALL AND FLAT LAND•	CLEAR DEEDS•	VERY CLOSE PROXIMITY TO ALL MAIN BANKS , SUPER MARKETS , SCHOOLS , PRIVATE AND GENERAL  HOSPITALS •	HAVING 2 ROAD ENTRANCES •	IDEAL FOR APARTMENTS RESIDENTIAL PURPOSES •	PEACEFUL AND QUIET NEIGHBOURHOOD",PERALANDA ROAD RAGAMA,"Commercial, Residential",40.0 perches
4,Bare Land for Sale - Mahabage / Ragama,29 Jul 10:53 am,"Ragama, Gampaha","23,999,999","BARE LAND FOR SALE, FACING NEGOMBO MAIN ROAD මීගමු පාරට මුහුණලා මෙම හිස් ඉඩම පිහිටා ඇත ","Commercial, Residential",8.0 perches,
5,Land For Sale In Ragama,29 Jul  7:46 am,"Ragama, Gampaha","325,000",පේරලන්දට  2.0kmරාගම නගරයට  2.5kmගනේමුල්ල කදාන පාරට  1.8kmDe Mazenod College  2kmකදාන නගරයට 3kmදුරින් නිස්කලංක ඉඩම වහාම විකිණීමට.,"boys twon road, ragama",Residential,20.0 perches
6,Land for Sale Ragama,26 Jul  5:18 pm,"Ragama, Gampaha","397,500","රාගම නගරයට මි.900 යි.තේවත්ත පාරට මි.150 යි.රාගම වෛද්‍ය පීඨයට සියලු පහසුකම් සහිත පර්.6,7,8 බිම් කොටස් විකිනීමට පර්චසය රු.397,500 සිට බැංකු ණය සහ පහසු ගෙවීමේ ක්‍රම මුලික ගෙවීම රු.200,000","Thewaththa,Ragama",Residential,6.0 perches
7,"8.15P Residential Land for Sale in Ragama, Kadawatha Road.",27 Jul 12:44 pm,"Ragama, Gampaha","3,600,000",Ragama Kadawatha road Land for Sale.8.15P Land in Ragama Kadawatha Road near Ayurvedha Junction.Ranaviru Devananda Mawatha. ,"Ragama, Kadawatha Road,Ranaviru Devananda Mawatha.",Residential,8.15 perches
8,Land for Sale in Ragama,26 Jul  6:34 pm,"Ragama, Gampaha","350,000","Land for Sale in Ragama===================* Location - ragama* Land Type - commercial and residential* Land Size - 7.5 perches* Price - 395,000 per perch","Commercial, Residential",7.5 perches,
9,Land for Sale in Ragama Ganemulla Rd,26 Jul  1:11 pm,"Ragama, Gampaha","4,400,000","Ragama Ganemulla parata āsanna thibena perches 16ka idamak wikineemata atha. 1 perches = 275,000/= ",Residential,16.0 perches,
10,Land with House for Sale in Ragama,26 Jul  8:39 am,"Ragama, Gampaha","6,500,000",Land with House for sale in Ragama,Ragama,"Commercial, Residential",14.2 perches
11,Bare Land for Sale at - Peralanda,26 Jul  8:33 am,"Ragama, Gampaha","450,000","•	LAND EXTENT 40 PERCH BARE LAND AT PERALANDA ROAD•	SURROUNDED WITH PARAPET WALL AND FLAT LAND•	CLEAR DEEDS•	VERY CLOSE PROXIMITY TO ALL MAIN BANKS , SUPER MARKETS , SCHOOLS , PRIVATE AND GENERAL  HOSPITALS •	HAVING 2 ROAD ENTRANCES •	IDEAL FOR APARTMENTS RESIDENTIAL PURPOSES •	PEACEFUL AND QUIET NEIGHBOURHOOD",PERALANDA ROAD RAGAMA,"Commercial, Residential",40.0 perches
12,Land for Sale in Ragama,27 Jul  9:36 am,"Ragama, Gampaha","9,500,000",Highly residence area Ragama Ragama town to 1km Perch 16. 56,"Ragama,ketakewatta Road",Residential,16.56 perches
13,Land with House - Ragama,23 Jul  7:48 pm,"Ragama, Gampaha","872,000","Land valued house with sale residential area in Ragama HPT scheme. 7 min walk to ragama station, General hospital. 1min walk to bus stop and petrol station,  2-4 min walk to Cargills and keels, 7 min distance for all banks and ATM, s. Easy access to matara highway, airport and commercial services. With in 0.2 km to 1km area. All facilities can be accessed. Friendly neighbourhood. Just for 15 million negotiable.",Residential,17.2 perches,
14,Land For Sale in Ragama,23 Jul  6:51 pm,"Ragama, Gampaha","3,600,000",නිවස සියලු පහසුකම් සහිත මනරම් නිස්කලංක පරිසරයක පිහිටා ඇත.සියලු දේ අතේ දුරින්......* රාගම ජයශ්රිගම මාර්ගයට මුහුනලා* රාගම කදාන මාර්ගයට 100 m* රාගම නගරයට 500 m* මීගමුව කොළඹ පාරට කි.මී 2යි * කඩවත නගරයට කි.මී 6 යි*කදාන නගරයට කි.මී 1 යි* අඩි 20  කාපට් ඇතිරු මාර්ගයකින් යුක්ත වේ.*  විදුලිය  නල ජලය සහ ළින් ජලය* සෑම දිශාවකටම පහසුවෙන් ලගාවිය හැකි අතරම* පිරිසිදු නිරවුල් ඔප්පු සහිතය,"Jayasrigama. Road, Ragama",Residential,10.25 perches
15,Land for Sale - Ragama,20 Jul  8:39 am,"Ragama, Gampaha","285,000","Land For Sale In Ragama (with house )5 Minutes to Ragama Tewatta Church Road5 KM To Ragama Town(15 MIN)6 KM To Kadawatha (15 MIN)6 Km to Ganemulla TownElectricity,telephone.water(well water and pipe born water)very calm surroundingland include in-15 coconut plant(big)                         14 coconut plant (small)                         02 Mahogani trees (small)                         01 teak tree (small)","Kandaliyaddapaluwa,Ragama",Residential,35.0 perches
16,Land For Sale Ragama,19 Jul  2:55 pm,"Ragama, Gampaha","21,000,000","A LAND FOR SALE IN RAGAMA, SRI LANKAOne perch - LKR 6.5 Lacks (Negotiable)There are 34 perches. It's situated 300m away from the Ragama Railway station and 100m away from the Ragama Police station. The house is free of charge. If you are interested Please contact us.","730/A, Police Lane, Tewatta Road, Ragama",Residential,34.0 perches
17,Valuable Land for Sale in Ragama,19 Jul  2:27 pm,"Ragama, Gampaha","500,000",සියලු දේ අතේ දුරින්.....සියලු පහසුකම් සහිත මනරම් නිස්කලංක පරිසරයක පිහිටා ඇත...,"Kurukulawa, Ragama",Residential,6.0 perches
18,Commercial Land In Ragama,16 Jul  5:49 pm,"Ragama, Gampaha","8,300,000","8.8 P LAND SALE AT FACING RAGAMA KADAWATHA MAIN ROAD, IDEAL FOR LUXURY HOUSE / OFFICE BUILDING OR ANY RESIDENTIAL / COMMERCIAL WORK ...05 minutes to Railway station03 minutes to North Colombo Teaching Hospital,Browns hospital and lessons hospital..10 Minutes to high way05 minutes to supermarkets and banksTOTAL PRICE 8,300,000/= PER PERCH - NEGOTIABLEPlease call for Seen on appointment more information and PriceGENUINE BUYERS ONLY",Commercial,8.8 perches,
19,Land for Sale in Ragama,19 Jul 12:38 pm,"Ragama, Gampaha","800,000","LAND FOR SALE IN RAGAMA SITUATED IN THE SARASAWI MAWATHA BEHIND THE   RAGAMA GENERAL HOSPITAL ( BOUNDARY OF THE HOSPITAL )VERY CLOSE TO PRIVATE HOSPITALS (BROWNS / LEESONS) ,SUPER MARKETS , BANK,RAILALWAY STATION AND etc.NEAR THE  RAGAMA MEDICAL COLLEGE VERY GOOD  FOR DOCTORS OR COMMERCIAL PROPOSE ELECTRICITY , WATER AVAILABLE 800 000/=  PER PERCHEPRICE CAN BE NEGOTIABLE AFTER INSPECTION CALL FOR MORE INFORMATION ---------------------------රාගම නගරයේ පර්චස් 18 ක අගනා ඉඩමක් විකිණීමට රාගම ප්‍රධාන රෝහල පිටුපස , රෝහලට මායිම්ව සරසවි මාවතේ ඉඩම පිහිටා ඇත.බ්‍රවුන්ස් , ලීසන්ස් වැනි පුද්ගලික රෝහල්  ,  සුපර්මාර්කට් , දුම්රිය ස්ථාන වලට ඉතාමත් ආසන්නව හා රාගම නේවාසික වෛද්‍ය විද්‍යාලය ආසල පිහිටා ඇතවෛද්‍යවරයකුට මෙන්ම ව්‍යපාර ස්ථානයක් සඳහා ද සුදුසුයි ජල විදුලි පහසුකම් සහිතයි පර්චසයක් 800 000/=මිල ගණන් සාකච්ඡා කරගත හැක වැඩි විස්තර සඳහා අමතන්න",NEAR THE RAGAMA HOSPITAL - RAGAMA,"Commercial, Residential",18.0 perches
20,Residential Land for Sale in Welisara,12 Jul  4:23 pm,"Ragama, Gampaha","10,000,000",8P Land for Sale in Welisara6,mahabage welisara,Residential,8.0 perches
21,Valuable Square Land in Ragama (44p.), 8 Jul  4:13 pm,"Ragama, Gampaha","225,000","44 perchasFacing the Main Road1.5KM to Ragama TownClear DeedsLocated in Kapuwawewa,Podi Weekubura,Araliya Uyana(Road next to Leesons Hospital)Very Good environment1 KM from Leesons HospitalValuable Square Land for Residential or Commercial Purpose","Commercial, Residential",44.0 perches,
22,Land for Sale - Ragama, 8 Jul 11:36 am,"Ragama, Gampaha","600,000",හරි හතරැස් ඉඩමකි. පිරිසිදු ඔප්පුවකි. නල ජල පහසුකම් හා තෙකලා විදුලි පහසුකම් ඇත. ඉඩමේ සිට රාගමට 2km කි. කඩවත අධිවේගී මාර්ග පිවිසුමට 3km කි. කිරිබත්ගොඩ නගරයට 3km කි.වත්තලට 4.0km කි.,"සියබලාගහවත්ත, කුරුකුලාව, රාගම","Commercial, Residential",10.0 perches
23,Land for Sale - Ragama, 6 Jul  5:48 pm,"Ragama, Gampaha","250,000",batuwatta ha walpola dumriya sathanayanta ithama lagin Ragamata 5km pamana durin ukgashena pradeshye pihita athi idama prachace 30ma ho kotas 3kata (10×3) wekinimata,"Commercial, Residential, Other",30.0 perches,
24,Land for Sale in Ragama, 6 Jul  1:53 pm,"Ragama, Gampaha","550,000","Closed by to ragama railway and ragama town, near to ragama and Browns hospital. Please call for seen on appointments and more informations/Price.Genuine buyers only.No brokers.",Aniyakanda Rd. Ragama. (Near the Linton ground 100m),Residential,17.5 perches
25,Land For Sale - Ragama, 5 Jul  1:48 pm,"Ragama, Gampaha","400,000",11perchs clear deedsElectricity WaterClose to Batuwatta railway station Inbutween Ragama and Kandana townsCalm and decent area,"Kiriyadeniya Road,Batiwatta,Ragama",Residential,11.0 perches
26,ඉඩමක් විකිණීමට - රාගම, 4 Jul  9:24 am,"Ragama, Gampaha","8,500,000",රාගම මහබාගේ ප්‍රධාන පාරට මුහුනලා පර්චස් 5 ක ඉඩමක් විකිණීමට ඇත .ව්‍යාපාර ස්ථානයකට වඩාත් සුදුසුයි.නළ ජලය සහ විදුලිය සහිතයි .,රාගම මහබාගේ ප්‍රධාන පාර,"Commercial, Residential",5.0 perches
27,"8.15P Land for Sale in Ragama, Kadawatha Road.", 2 Jul  1:48 pm,"Ragama, Gampaha","450,000","Ragama, Kadawatha road Land for Sale.8.15P Land in  Ragama, Kadawatha Road near Ayurvedha Junction.Ranaviru Devananda Mawatha. ","Ragama, Kadawatha Road, Ranaviru Devananda Mawatha.",Residential,8.15 perches
28,22P Resident For Sale in Ragama, 1 Jul  3:59 pm,"Ragama, Gampaha","7,700,000","jayasrigama Road,RagamaPrice is 77laks","jayasrigama Road,Ragama",Residential,22.0 perches
29,Bare Land for Sale at - Peralanda,26 Jul  8:33 am,"Ragama, Gampaha","450,000","•	LAND EXTENT 40 PERCH BARE LAND AT PERALANDA ROAD•	SURROUNDED WITH PARAPET WALL AND FLAT LAND•	CLEAR DEEDS•	VERY CLOSE PROXIMITY TO ALL MAIN BANKS , SUPER MARKETS , SCHOOLS , PRIVATE AND GENERAL  HOSPITALS •	HAVING 2 ROAD ENTRANCES •	IDEAL FOR APARTMENTS RESIDENTIAL PURPOSES •	PEACEFUL AND QUIET NEIGHBOURHOOD",PERALANDA ROAD RAGAMA,"Commercial, Residential",40.0 perches
30,Bare Land for Sale - Mahabage / Ragama,29 Jul 10:53 am,"Ragama, Gampaha","23,999,999","BARE LAND FOR SALE, FACING NEGOMBO MAIN ROAD මීගමු පාරට මුහුණලා මෙම හිස් ඉඩම පිහිටා ඇත ","Commercial, Residential",8.0 perches,
31,Valuable land for sale- Ragama,29 Jun  3:10 pm,"Ragama, Gampaha","300,000","Only last 3 slots available of 12 ,10 perches and 1more acre out of 5acre flat coconut and other fruits cultivated residential land in a calm environment close to Ragama, Ganemulla, Kadawatha main cities with Schools ,Railway stations, hospitals ,supermarkets, temples and Thewatte Church .Water ,electricity , phone lines ,public transport available with carpet roads around.Pradeshiya Sabha  approved with clear deeds and can get bank loans. Sold directly by owner.","Ganemulla, Kadawatha,Ramaga",Residential,10.0 perches
32,10 Perches Land Blocks for Sale in Ragama,23 Jul 10:06 am,"Ragama, Gampaha","520,000",10 Perches square shaped Land Blocks for sale in Ragama. three sides are surrounded by walls. Just 400 meters away from Delpe Junction.  2.4 km from Ragama town and 3.4 km to Kadawatha Town. Peaceful environment and Respectful Neighborhood.  All approved plans from UDA.,"Commercial, Residential",10.0 perches,
33,Bare Land in Ragama Town,28 Jun  7:54 pm,"Ragama, Gampaha","900,000",18 P .  BARE LAND  to sell in ragama town    *10 feet Rd access * locate ragama town *Good for residential   *good  for Commercial purpose  *All facilities available   *  150 m to Leesons hospital   *close to  ragama hospital ,Ragama Town,"Commercial, Residential",18.0 perches
34,Residential Lands for Sale in Ragama,25 Jun  4:30 pm,"Ragama, Gampaha","900,000",Resident land For Sale in Ragama 500meters to Ragama 300 metres to Ragama General hospital --------------------------Ideal For:----  / Office/Wearhouse/ Bulding/Residence etc...,Ragama Near Medical Faculty.,"Commercial, Residential",15.0 perches
35,"7P Land For Sale in sarasavi RD, Ragama",23 Jun 11:56 pm,"Ragama, Gampaha","5,950,000",7P LAND FOR SALE IN Ragama ,"Hospital Rd, Sarasavi Mawatha, Ragama",Residential,7.0 perches
36,Residential Land for sale in Ragama,19 Jun 12:25 pm,"Ragama, Gampaha","14,400,000",Resident land For Sale in Ragama 500meters to Ragama 300 metres to medical facility 400 metres to Ragama General hospital ,"Ragama, Hospital Rd, Sarasavi Mawatha",Residential,17.9 perches
37,Residential Land For Sale in Ragama,19 Jun 11:04 am,"Ragama, Gampaha","9,000,000",Residential 12. 4P Land For Sale in Ragama ------------With  20 feet Road,"Ragama, thewatta palliya Rd",Residential,12.5 perches
38,Land for sale in Welisara,18 Jun  3:04 pm,"Ragama, Gampaha","825,000","Location - Adiwissa Road, Welisara, Ragama2Km to Ragama town1/2 Km to Colombo Negombo Main road.",Residential,10.0 perches,
