,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Prime Land for sale in Wattala,19 Jul  9:30 am,"Wattala, Gampaha","695,000","The next greatest land project by Odiliya Homes is here! The Wattala Carmel Residencies land project is not one that you can afford to miss!Just 1.5 KM to Colombo (15)Just 2.5 KM to the Negombo Main RoadJust 3 KM to the HighwaySchools, supermarkets, and hospitals all just a short walk away!# Three phase Electricity and pipe born water","Wattala, Nayakakanda Road","Agricultural, Commercial, Residential, Other",7.0 perches
2,"['Prime Land for sale in Wattala', '19 Jul  9:30 am', 'Wattala, Gampaha', '695,000', 'The next greatest land project by Odiliya Homes is here! The Wattala Carmel Residencies land project is not one that you can afford to miss!Just 1.5 KM to Colombo (15)Just 2.5 KM to the Negombo Main RoadJust 3 KM to the HighwaySchools, supermarkets, and hospitals all just a short walk away!# Three phase Electricity and pipe born water', 'Wattala, Nayakakanda Road', 'Agricultural, Commercial, Residential, Other', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Wattala, 9 Jul  2:49 pm,"Wattala, Gampaha","1,500,000",YOUR NEXT INVESTMENT ?,"Averiwatte Road, Wattala.","Commercial, Residential, Other",63.0 perches
4,6.65 Perches Land For Sale in - Wattala,22 Jul  9:32 am,"Wattala, Gampaha","5,900,000","6.65 LAND FOR SALE IN Wattala, HunupitiyaAround 120 meters from Hunupitiya Railway crossing main road. Around 600m to Handala & wattala junction . And also close tho Kiribathgoda Junction. Rs 5,900,000/= Total price.--------------------------Ideal For:---- / Residence houseGOOD INVESTMENT","Wattala, Hunupitiya",Residential,6.65 perches
5,Valuable Land for Sale in Wattala,21 Jul 10:24 pm,"Wattala, Gampaha","26,000,000",Valuable land for sale in Wattala Avriwatta20 Perch land and Square block20 feet wide excess RoadHundred metres to main roadHundred metres to at Atami International SchoolHigh residential areaPrice per perch 1.3 million negotiable,Residential,20.0 perches,
6,Prime Land for sale in Wattala,19 Jul  9:30 am,"Wattala, Gampaha","695,000","The next greatest land project by Odiliya Homes is here! The Wattala Carmel Residencies land project is not one that you can afford to miss!Just 1.5 KM to Colombo (15)Just 2.5 KM to the Negombo Main RoadJust 3 KM to the HighwaySchools, supermarkets, and hospitals all just a short walk away!# Three phase Electricity and pipe born water","Wattala, Nayakakanda Road","Agricultural, Commercial, Residential, Other",7.0 perches
7,Land for Sale at Wattala,21 Jul  2:08 pm,"Wattala, Gampaha","1,000,000",Land For Sale at WATTALA5 ACRES💠 Very Use Full For  Business        For Quickly Sell☎ Call For More Details...,L-WATTALA-01,Commercial,5.0 acres
8,Land For Sale in Wattala,20 Jul 10:56 pm,"Wattala, Gampaha","1,025,000",11 Perches bare Land in Wattala Hunupitiya. 5 minutes to Wattala and Kiribathgoda Town. 7 minutes to Katunayake highway. Clear deeds.Mob:,"Padiliyatuduwa Rd:, Hunupitiya Wattala.",Residential,11.0 perches
9,Land for Sale in - Wattala,20 Jul  4:08 pm,"Wattala, Gampaha","680,000","Land for sale in Wattala-PalliyawattaTotal 7.2 perches current bank (HNB, COMMERCIALBANK) valuation 650,000.00 per perchconcrete fence around landNo brokers pls","3rd Lane, Palliyawatta, Wattala",Residential,7.2 perches
10,Luxury Living Space - Wattala -(2 Blocks),20 Jul  8:23 am,"Wattala, Gampaha","850,000",Proposed land is situated at Wattala - Hunpitiya on padiliyatuduw rd. Facing Wattala - Kiribathgoda bus route No 983From Negombo road 2kmFrom Peliyagoda juntion 5kmFrom kiribaathgoda town 3km2 Blocks (11p / 12p ),Wattala,Residential,11.0 perches
11,Beach Front Land For Sale Wattala,19 Jul  5:04 pm,"Wattala, Gampaha","600,000",Beach front 🏖 Land For Sale in Uswetakiyava( infront of the Besama)80 perches Purch price 6 lak8 Km to colombo30 min to AirPort Perchs can dividedImmediate sale,"Uswetakeiya, Wattala",Other,80.0 perches
12,Valuable Land For Sale Wattala - Elakanda.,19 Jul  3:17 pm,"Wattala, Gampaha","825,000","Just 20m to the Elakanda junction.Just 1.5km to Colombo 15.Just 2.5km to the Negambo main road.Just 5km to the highway.School , supermarkets and hospitals all just a short distance.Please call genuine buyers only.No brokers please.","Wattala , Elakanda.",Residential,10.0 perches
13,Land For Sale Wattala Kerawalapitiya,19 Jul  2:31 pm,"Wattala, Gampaha","1,000,000","* Electricity, Water, Telephone Are available* 1km to Colombo Negombo main road* 9.6 Perches",Wattala Kerawalapitiya Rose Garden,Residential,9.6 perches
14,LAND FOR SALE WITH HOUSE - WATTALA,19 Jul  3:02 pm,"Wattala, Gampaha","1,500,000",A compact two-bedroom house near a residential area in Wattala. Price Rs. 14 million. Open to negotiation. For more information contact us .,"No. 144/14, Bogahawatta Road, Hekittha, Wattala",Residential,9.2 perches
15,Land for Sale in - Kandana,19 Jul 12:27 pm,"Wattala, Gampaha","10,000,000","Land for sale in Kandana,10 m to colombo -negombo roadroad in front of Arpico super center ",st jude road,"Commercial, Residential",30.0 perches
16,Residential Land for Sale at Wattala Kerawalapitiya,18 Jul  9:01 pm,"Wattala, Gampaha","300,000",4 ACERS LAND FOR SALE  WATTALA KERAWALAPITIYA. 20 FEET ROAD ACCESS. 600 METERS TO THE HIGHWAY ENTRANCE.. MORE SUITABLE FOR AN APARTMENT COMPLEX AND A HOUSING PROJECTACCESS TO ALL THE SHOPS AND SUPERMARKETSCLEAR PAPERS AND PURE WATER FACILITIES,"WATTALA , KERAWALAPITIYA",Residential,4.0 acres
17,Land for Sale - 500 m to Katunayake Expressway and Negombo RD,18 Jul  3:51 pm,"Wattala, Gampaha","760,000","Only  2 blocks(2A &2B) left, (7 and 8  perches ) in Gunasekara Mawatha, Mahabage . This is rare opportunity to buy a block of land with 8 feet parapet wall, 15 feet wide road including proper drainage built around the land and established coconut trees with good neighborhood. If you want to live in bit of space to adjoining properties. This will be an ideal opportunity due to well established large residential blocks around this property. ",Gunasekara Road,Residential,7.0 perches
18,Valuable Land for Sale in Pokuna Juction Hendala Wattala,18 Jul  2:12 pm,"Wattala, Gampaha","1,295,000","This land is located in WattalaHendala-Pokuna JuctionKerawalapitiya Road6 Perches (2 Plots)Whole land can be purchased at 12.80 Perches (Then the price is Negotiable) Per Perch expected price is Rs.1,295,000 (For 6 Perch)50 Meters to Pokuna JuctionClose to Keells Super, Lyceum and all other International Schools and highway entrance to all areas.Clear Deeds, Therefore easy access to Loan facility.FOR MORE DETAILS PLEASE CONTACT THE BELOW NUMBER. ","Pokuna Juction, Hendala, Wattala","Commercial, Residential",6.0 perches
19,8 Land for Sale in Wattala,18 Jul 12:30 pm,"Wattala, Gampaha","3,300,000",8 LAND FOR SALE IN Wattala,100meters to  Sen josap college,Residential,8.0 perches
20,Land for sale in Wattala,17 Jul  6:37 pm,"Wattala, Gampaha","16,500,000",Land for sale in Wattala====================,Residential,14.25 perches,
21,Residential Land for Sale in Wattala,17 Jul  9:19 am,"Wattala, Gampaha","11,000,000",20 LAND FOR SALE IN Wattala,paduna kanda Road wattala,Residential,20.0 perches
22,10.65P Land for Sale in Wattala,15 Jul  5:48 pm,"Wattala, Gampaha","525,000","10P Land For Sale waththala, Walisara, near Macdonal, parakrama Road.","Wattala. walisara, parakrama Road, neara Macdonal",Residential,10.65 perches
23,Land for Sale - Wattala 9.5 Perches,15 Jul 12:26 pm,"Wattala, Gampaha","1,500,000",WATTALA TOWNSeewali Lane - Station RoadLuxurious Residential area9.5 Perches ( 2 Plots )1.5 Million Per Perch200 Meters from Hendala JunctionBank Loan facility availableSquire Land Please Call For More Details,Seewali Lane - Station Road,Residential,9.5 perches
24,Land in Uswetakeiyawa Wattala,15 Jul 10:24 am,"Wattala, Gampaha","3,800,000",50m for bopitiya colombo main road5min to 275 bus routeWater & electricity facilities Have all clear deeds,Paranambalama Uswetakeiyawa,"Commercial, Residential",22.0 perches
25,Land for Sale in Enderamulla,14 Jul  7:32 pm,"Wattala, Gampaha","550,000",Land for sale in Enderamulla===================================,"Commercial, Residential",30.88 perches,
26,Land for Sale in Wattala Mabola,12 Jul 10:54 pm,"Wattala, Gampaha","700,000",300 m to wattala mabola town golden opportunity reasonable price.please make sure not to reduce. its fixed price 01 peach 07 lakh total 18 peach.,mabola town wattala,Residential,18.0 perches
27,Land for Sale - Wattala,15 Jul  4:02 pm,"Wattala, Gampaha","1,350,000",Walking distance to main Road loan facility available residential Area close to keels banks genuine buyers only,Residential,6.05 perches,
28,7 pch land Wattala.,12 Jul  9:38 am,"Wattala, Gampaha","4,550,000","7 Perches land for sale in highly residential neighborhood Hendala, Elakanda junction. 5 minutes waking distance to Elakanda junction. 15 minutes drive to Wattala town and 20 minutes drive to Colombo through Mattakkuliya. All four sides covered with the wall. Water and Electricity available in the property and 15 feet road in front. ","Elakanda, Hendala, Wattala.",Residential,7.0 perches
29,Land for Sale in Wattala, 2 Jul 10:41 pm,"Wattala, Gampaha","18,050,000",19. 5 perch land for sale in Wattala20 feet wide access RoadHighly residential areaPrice per perch 950000/-negotiable250 metres to Colombo main roadAround the land paper wall and GatePlease call genuine buyers only no broker please,Residential,19.5 perches,
