,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Alutgama,24 Jul 11:04 am,"Alutgama, Kalutara","70,000",අළුත්ගම මතුගම බස් මාර්ගයේ දර්ගා නගරය සමීපයෙන් පදිංචියට සුදුසු නේවාසික බිම් කොටස් විකිණීමට...විස්තර සඳහා අමතන්න,Darga town,Residential,15.0 perches
2,"['Land for Sale - Alutgama', '24 Jul 11:04 am', 'Alutgama, Kalutara', '70,000', 'අළුත්ගම මතුගම බස් මාර්ගයේ දර්ගා නගරය සමීපයෙන් පදිංචියට සුදුසු නේවාසික බිම් කොටස් විකිණීමට...විස්තර සඳහා අමතන්න', 'Darga town', 'Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Alutgama,22 Jul  1:10 pm,"Alutgama, Kalutara","70,000","ඇල්පිටිය අලුත්ගම ප්‍රධාන පාරට ඇවිදින දුරින් ,නිස්කලංක පරිසරයක පිහිටි අගනා නේවාසික බිම් කොටස් කිහිපයක් විකිනිමට",aluthgama benthara,"Commercial, Residential",10.0 perches
4,Land in Alutgama,22 Jul 12:01 pm,"Alutgama, Kalutara","1,050,000",# Clear Deeds & tittels.# Calm & Quite area.# Lakdinu easy payment and bank loan available.#  14km to Mathugama#  7km To Alutgama# 3km to Darga Town,Darga town,Residential,15.0 perches
5,අළුත්ගම - මතුගම බස් මාර්ගය අසළින් ඉඩමක්,20 Jul  1:38 pm,"Alutgama, Kalutara","70,000",අළුත්ගම - මතුගම බස් මාර්ගයේ දර්ගා නගරය ආසන්නයෙන් වටිනා ඉඩමක් විකිණීමටපදිංචියට ඉතා සුදුසු නිසංසල පරිසරයක පිහිටා ඇතඅළුත්ගම නගරයට කි.මී. 2.5යි,aluthagama - dharga town,Residential,15.0 perches
6,Land in Alutgama 15p,17 Jul 12:51 pm,"Alutgama, Kalutara","70,000",අළුත්ගම මතුගම බස් මාර්ගයේ දර්ගා නගරයට ආසන්නව බිම් කොටස් කිහිපයක් විකිණීමට...විස්තර සඳහා අමතන්න,Darga town,Residential,15.0 perches
7,Land for sale - Alutgama,15 Jul  9:59 am,"Alutgama, Kalutara","60,000","අලුත්ගම මතුගම ප්‍රධාන  මර්ගයට මි,600ක් දුරින් වෙල් යායකට මුනලා අගනා නේවසික බිම් කොටස් කිහිපයක්",welipenna,"Commercial, Residential",12.0 perches
8,Land for Sale in Benthara,15 Jul  9:55 am,"Alutgama, Kalutara","70,000","ඇල්පිටිය අලුත්ගම ප්‍රධාන  පාරට ඇවිදින දුරින් ,නිස්කලංක පරිසරයක පිහිටි අගනා නේවාසික බිම් කොටස් කිහිපයක් විකිනිමට",Benthara,"Commercial, Residential",10.0 perches
9,Land For Sale - Aluthgama,12 Jul  2:51 pm,"Alutgama, Kalutara","130,000,000","The Land situated in a one of the most attractive tourist areas Aluthgama -Bentota District of Kalutara, Western Province, Sri Lanka. There is a heritage house with 5 bedrooms.Total Land Area:  3.5Acres","Dargatown ,Athuthgama,Bemthita","Commercial, Residential, Other",3.5 acres
