,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Bandaragama,12 Jul  3:37 pm,"Bandaragama, Kalutara","390,000","පිහිනුම් තාටාක,ඇවිදින මංතීරු සහ ආරක්ෂිත වට තාප්ප සහිත මනරම් බොල්ගොඩ ගංතීරුව පෙනෙන මානයේ පදිංචියට හෝ නිවාඩු නිකේතනයකට ඉතාමත් සුදුසු පර්10ක බිම්කොටස වැඩිම ඉල්ලුමට.",කිදෙල්පිටිය,"Commercial, Residential, Other",10.0 perches
2,"['Land for Sale - Bandaragama', '12 Jul  3:37 pm', 'Bandaragama, Kalutara', '390,000', 'පිහිනුම් තාටාක,ඇවිදින මංතීරු සහ ආරක්ෂිත වට තාප්ප සහිත මනරම් බොල්ගොඩ ගංතීරුව පෙනෙන මානයේ පදිංචියට හෝ නිවාඩු නිකේතනයකට ඉතාමත් සුදුසු පර්10ක බිම්කොටස වැඩිම ඉල්ලුමට.', 'කිදෙල්පිටිය', 'Commercial, Residential, Other', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for sale in Raigama Bandaragama,24 Jul  9:37 am,"Bandaragama, Kalutara","200,000","10 perches x 2 units = 20 perches.Panadura - Horana ප්‍රධාන පාරට 600m.ගැලනිගම අධිවේගී මාර්ග පිවිසුමට 2km.උයන්වත්ත වැවට පයින් යන දුර 100m.ප්‍රධාන ඉඩමේ මුල්ම ඉඩම් 2ක.Panadura -Horana ප්‍රධාන පාරේ සිට ඉඩමට අතුරු පාරවල් 3ක්. එක පාරක් උයන්වත්ත වැව් බැම්ම උඩින්.පැත්තක් කුඹුරට මායිම්ව, තව පැත්තක් අතුරු පාරකට මායිම්ව පිහිටා ඇත.දුරකථන සහ විදුලි කණු ඉඩමේ මයිමට සම්බන්දව ඇත.තැනිතලා හතරැස් බිම් කොටස.",Rev. Punnananda Mawatha,Residential,20.0 perches
4,Land for Sale - Bandaragama,12 Jul  3:37 pm,"Bandaragama, Kalutara","390,000","පිහිනුම් තාටාක,ඇවිදින මංතීරු සහ ආරක්ෂිත වට තාප්ප සහිත මනරම් බොල්ගොඩ ගංතීරුව පෙනෙන මානයේ පදිංචියට හෝ නිවාඩු නිකේතනයකට ඉතාමත් සුදුසු පර්10ක බිම්කොටස වැඩිම ඉල්ලුමට.",කිදෙල්පිටිය,"Commercial, Residential, Other",10.0 perches
5,Lake View Land For Sale in Bolgoda South,23 Jul 11:07 am,"Bandaragama, Kalutara","95,000","Slightly over 1,760 Perches (11.5 Acres) of Tightly Held land is coming up for Sale.",Bolgoda South,"Commercial, Other",11.5 acres
6,Land for Sale - Bandaragam,22 Jul 12:22 pm,"Bandaragama, Kalutara","575,000","බන්ඩාරගම නගරයෙන්ම සියලු පහසුකම් සහිතව විදුලිය, නල ජලය,තාර යෙදු පුලුල් මාර්ග,සුන්දර වෙල් යායකට මායිම්ව පිහිටි ඉඩමේ තවත් බිම් කොටස් කිහිපයක් විකිනිමට ඇත.",Bandaragam Town,"Commercial, Residential",10.0 perches
7,නේවාසික බිම් කොටස් හොරණ කළුතර පාරෙන්,22 Jul 11:20 am,"Bandaragama, Kalutara","1,649,999",~~~ ඉක්මන් කරන හැමෝම දිනුම් ~~~දිනෙන් දින දියුණු වෙමින්වටිනාකම් රැස්වනනගරාසන්නයේ සුපිරි නේවාසික පරිසරය____හොරණ _____,කළුතර පාර බටගොඩ,Residential,10.0 perches
8,Commercial Land with Property Bandaragama,22 Jul 10:34 am,"Bandaragama, Kalutara","19,000,000",commercial land with building in front of wavita lake & mithri college.1.2 million per perch,In front of wavita lake,Commercial,20.0 perches
9,20 Perch Land Near Bandaragama,21 Jul  2:18 pm,"Bandaragama, Kalutara","7,000,000","20 perch valuable land block situated at honorable calm residential area near bandaragama town at kamburugoda roadJust 300 meters to colombo main roadOnly 150 meters to kamburugoda kanishta vidyalayaWide road entranceOnly 1 km to bandaragama town5 minutes drive to highway entranceIts very nice residential area also close to bolgoda river (600 meters)350,000/= p.pClear deeds and approved plansThe land can easily divide in to two 10 perch blocks","Kamburugoda, bandaragama","Commercial, Residential, Other",20.0 perches
