,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale in Panadura - පානදුර නගරයට සමීපයේ ඉඩමක්,23 Jun  1:29 pm,"Panadura, Kalutara","650,000",පානදුර නගරයට කි .මී 1ක් යාබද ගොරකපොල කුමාරතුංග මුනිදාස මාවතේ පිහිටි පදිංචියට සුදුසු පර්චස් 12 ක ඉඩම විකිණීමට තිබේ . පර්චසයක් ලක්ෂ 6.5 කි. සියලු පහසුකම් සහිත නිදහස් පරිසරය . විස්තර සඳහා  විමසන්න Land for  sale in panadura gorakapola kumarathunga munidasa mawatha. 1km to panadura town. calm surrounding area .12 perchase available . 6.5 laks  per one perch . call for mor details .,"Commercial, Residential, Other",12.0 perches,
2,"['Land for Sale in Panadura - පානදුර නගරයට සමීපයේ ඉඩමක්', '23 Jun  1:29 pm', 'Panadura, Kalutara', '650,000', 'පානදුර නගරයට කි .මී 1ක් යාබද ගොරකපොල කුමාරතුංග මුනිදාස මාවතේ පිහිටි පදිංචියට සුදුසු පර්චස් 12 ක ඉඩම විකිණීමට තිබේ . පර්චසයක් ලක්ෂ 6.5 කි. සියලු පහසුකම් සහිත නිදහස් පරිසරය . විස්තර සඳහා  විමසන්න Land for  sale in panadura gorakapola kumarathunga munidasa mawatha. 1km to panadura town. calm surrounding area .12 perchase available . 6.5 laks  per one perch . call for mor details .', 'Commercial, Residential, Other', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land in Panadura - Dibbedda | Plot 2,18 Jun  1:15 pm,"Panadura, Kalutara","280,000",Land in Panadura - Dibbedda Road,"Panadura ,Dibbedda Road,","Commercial, Residential",11.5 perches
4,Land for Sale - Panadura,24 Jul 10:55 am,"Panadura, Kalutara","685,000",Suitable for residence or a business18.5 perches land located close to the Panadura Horana main road and close to Wawul Bogaha for sale. The land is located 10 mins away from the Panadura city and 10 mins away from the highway. Approved survey plans and clear deeds.,"Commercial, Residential, Other",18.5 perches,
5,කුරුප්පුමුල්ල පදිංචියට සුදුසු අනර්ග ඉඩමක්,21 Jul  8:40 am,"Panadura, Kalutara","285,000",කුරුප්පුමුල්ල මානෙල් මාවතේ පදිංචියට සුදුසු අනර්ග ඉඩමක් නිසංසල පරිසරය පිරිසිඳු ඔප්පු විදුලිය නල ජලය,කුරුප්පුමුල්ල මානෙල් මාවතේ,Residential,15.4 perches
6,Land For Sale In - Panadura,18 Jul  1:35 am,"Panadura, Kalutara","215,000","පානදුර හිරණ පිංකෑල්ල පාරේ  හිරණ බස්මාර්ගයට ඇවිදයන දුරින්, තෙකලා විදුලිය, නල ජලය, තාර යෙදූ මාර්ග සහිත ප්‍රාදේශීය සභා අනුමත සුන්දර නිසංසල පරිසරයක පිහිටි බිම් කැබලි කිහිපයක්;කැස්බෑවට, පානදුර නගරයට, බණ්ඩාරගමට පහසුවෙන් පිවිසීම; අනාගත ආයෝජනයටත් ඉතා උචිතයි.බැංකු ණය හෝ අවුරුදු හතරක් දක්වා අපගේම පහසු ගෙවීමේ ක්‍රමයට",Residential,10.0 perches,
7,Land Panadura Indigaha for Sale,24 Jul  8:17 am,"Panadura, Kalutara","325,000",# ඉන්දිගහ බස් පාරට මුහුණලා # අඩි 20 කාර්ප්ට් පාර සහ අඩි 18 පාර# පදිංචියට හෝ වියාපාරයකට සුදුසු # 100% පිරුසිදු ඔප්පු # ඉක්මනින් විකිණේ,"ඉන්දිගහ පාර, පානදුර (ලය්සියම් පාර)","Commercial, Residential",10.0 perches
8,Land for Sale - Panadura,22 Jul  2:33 pm,"Panadura, Kalutara","285,000","පානදුර නගරයට වි.10න් විදුලිය නල ජලය,තාර යෙදු පුලුල් මාර්ග,මාලමුල්ල බස් මර්ගයට මිටර් 50,සුන්දර වෙල් යායකට මායිම්ව පිහිටි ඉඩමේ තවත් බිම් කොටස් කිහිපයක් විකිනිමට ඇත.",kiriberiya galpoththa,"Commercial, Residential",10.0 perches
9,Panadura land for,22 Jul  1:25 pm,"Panadura, Kalutara","725,000","පානදුර නගර සීමාවේ පර්,6,7 නේවාසික බිම් කොටස් කිහිපයක් විකිනිමට,සියලු පහසුකම් හා පහසු ගෙවීම් ක්‍රම සමගින්",nalluruwa,"Commercial, Residential",6.0 perches
