,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Vijayapura Galaha Peradeniya,19 Jun 11:58 am,"Peradeniya, Kandy","175,000","“Vijayapura Galaha” is a premium land development presented to you by Vishwalands©. With close proximity to Kandy town and out suburbs such as Peradeniya and Gampola, This development is close enough to enjoy the benefits of city with access to all required amenities without losing its natural surroundings. ","Residential, Other",20.0 perches,
2,"['Vijayapura Galaha Peradeniya', '19 Jun 11:58 am', 'Peradeniya, Kandy', '175,000', '“Vijayapura Galaha” is a premium land development presented to you by Vishwalands©. With close proximity to Kandy town and out suburbs such as Peradeniya and Gampola, This development is close enough to enjoy the benefits of city with access to all required amenities without losing its natural surroundings. ', 'Residential, Other', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,කුණ්ඩසාලේ පිලවල සියලු පහසුකම් සහිත බිම් කොටසක් විකිණීමට,27 Jun  6:15 pm,"Kundasale, Kandy","75,000","කුණ්ඩසාලේ පිලවල   පර්චස්  11 ඉඩම් කොටසක් ඉක්මනින් විකිණිමට. ග්‍රාමීය වටපිටාවක   පිහිටා ඇත ජල ,විදුලිය  පහසුකම් සහිතයි.   මාර්ග පහසුකම් සහිතයි.නිරවුල් ඔප්පු ඇත.  ප්‍රදේශ්යේ පවතින මිල ගණන් දක්වා ඇත.  361 මහ්වත්ත ,625  මැණික්හින්න,621  බස් මාර්ග  තුනෙන්ම පැමිණිය හැක.දිගන  නුවර ප්‍රධාන පාරට කිලොමිටර තුනකි.",කුණ්ඩසාලේ පිලවල,"Residential, Other",11.0 perches
4,Land for Sale in Kandy,24 Jul 11:36 am,"Kandy, Kandy","140,000",__Solid Investment & Beautiful Surrounding__~~~ පිබිදෙන ඉසව්වක සුවිශේෂී ආයෝජනයකට ~~~,"Walala , Kandy",Residential,10.0 perches
5,Land in Kandy - Galagedara,24 Jul 11:36 am,"Galagedara, Kandy","750,000",~~~~~~~ ආයෝජනයත් පදිංචියටත් ~~~~~~~~,"Rabukkana Rd,Galagedhara Town",Residential,10.0 perches
6,Kandy - Peradeniya Land for Sale,22 Jul  2:28 pm,"Kandy, Kandy","275,000","පහසු ගෙවීමේ ක්‍රම.වටිනාකමින් 25% ගෙවා ඉතිරිය වසරකින් පොළී රහිතව.ණය පහසුකම්ද ලබා ගත හැක.පේරාදෙණිය විශ්වවිද්යාලය ආසන්නයේ මනරම් නිස්කලංක පරිසරයක පිහිටි සංවර්ධනය කරනු ලැබූ ඉඩමක අවසන් බිම් කැබලි 3 විකිණීමට.ජලය, විදුලිය සහිතයි.සියලු අනුමැතීන් සහිතයි. (NBRO/UDA)අඩි 15 තාර දැමූ පුලුල් මාර්ග.නිරවුල් ඔප්පු.ගම්පල නුවර ප්‍රධාන මාර්ගයට මීටර් 700.පේරාදෙණිය විශ්වවිද්යාලයට 1.5Km.පේරාදෙණිය මංසන්ධියට 3.5Km.පේරාදෙණිය රෝහල, උද්භිත උද්යානය, ඉන්ධන පිරවුම්හල, දුම්රිය ස්ථානය අදී ස්ථානවලට පහසුවෙන් ලගාවිමේ හැකියාව.මිල ගනන් සාකච්ඡා කරගත හැක.INSTALLMENT SCHEMES AVAILABLE25% Down payment and balance in 01 Year (Interest FREE)10 years(15.5 P.A.)Located at a serene , tranquil location near University of Peradeniya in a PROFESSIONAL NEIGHBOURHOODThe closest residential area to Peradeniya with a greenish environmentLast 03 plots now on sale15 feet roadWater / Electricity availableNBRO / UDA ApprovedClear titles700 metres to Kandy – Gampola main road1.5 km to Peradeniya university3.5 km to Peradeniya junctionNearby to University of Peradeniya / Peradeniya Hospital / Department of Agriculture / Botanical Gardens / Peradeniya Railway Station / Petroleum Corporation - Penideniya","Crest Residencies,Angunawala,Peradeniya",Residential,15.0 perches
7,Kandy - Pilimathalawa Embilmeegama Residential Land for sale,18 Jul  9:04 pm,"Pilimatalawa, Kandy","275,000",4 Plots remaining out of 5.Extents : 4 plots - 10 / 11 / 12.5 / 14 Residential LocationAll facilities on site20 ft  Road AccessAll approvals Bank loans can be arrangedEasy payment schemes available 25% Down payment and balance in 01 year(NO INTEREST) or can be extended upto 10 years with an interest of 15.5 P.A.RESERVATIONS NOW ON...CALL NOW TO RESERVE YOUR PLOT TODAY ...මහනුවර පිළිමතලාව - ඇඹ්ල්මීගම කොළඹ - නුවර මාර්ගයට මීටර් 800         නුදුරින් සංවර්ධනය කර විකුණනු ලබන ඉඩම..කැබලි 05 කි..සියලු පහසුකම් සහිතයි.සියලු අනුමැතීන් සමඟ...ණය පහසුකම් සහ පහසු ගෙවීමේ ක්‍රම යටතේ මිලදී ගත හැක.,"Heeressagala Road,Embilmeegama",Residential,10.0 perches
8,Land For immediate Sale Polgolla,23 Jul  6:00 pm,"Katugastota, Kandy","200,000",Land with old house for immediate sale,"Doragamuwa Road , Polgolla",Residential,69.0 perches
9,Camping Land for Sale in Kandy,23 Jul  5:09 am,"Kandy, Kandy","15,000",** සතියට දින දෙකක් ඉඩමේ හිමිකරු ඉඩමට එන නිසා ඉඩම බැලීමට කතා කරගන්න.නැවත 2019-07-21 ඉරිදා දින ඉඩමේ හිමිකරු ඉඩමට යාමට අදහස් කර ඇත.ඔබ නුවර ආශ්‍රිත ප්‍රදේශයකට පැමිණ  සිටින කෙනෙකු නම් ඉඩම පෙන්වීමට කෙනෙකු යොමු කල හැකිය.***,wegala mountains (kandy-teldeniya),Commercial,177.0 perches
