,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Kuliyapitiya,20 Jul  5:08 pm,"Kuliyapitiya, Kurunegala","35,000","**   අලුතින් සාදන ලද නිවසක් සහිත පර්චස් 80ක ඉඩමක් විකිණිමට ඇත.**  පාලුගම, බෝවත්ත, කුලියාපිටිය** අංග සම්පුර්ණ නිවස** කාමර 04, බාත්රූම් 01,** ළිදක් ඇත.** ජල,විදුලිය,දුරකතන පහසුකම් සහිතයි.** නිරවුල් ඔප්පු.**  පර්චස්   01ක් 40,000/-** වැඩි විස්තර සඳහා අමතන්න.","palugama, bowaththa, kuliyapitiya","Agricultural, Residential, Other",80.0 perches
2,"['Land for Sale in Kuliyapitiya', '20 Jul  5:08 pm', 'Kuliyapitiya, Kurunegala', '35,000', '**   අලුතින්\xa0සාදන\xa0ලද නිවසක් සහිත පර්චස් 80ක ඉඩමක් විකිණිමට ඇත.**  පාලුගම,\xa0බෝවත්ත, කුලියාපිටිය** අංග සම්පුර්ණ නිවස** කාමර 04, බාත්රූම් 01,** ළිදක් ඇත.** ජල,විදුලිය,දුරකතන පහසුකම් සහිතයි.** නිරවුල් ඔප්පු.**  පර්චස්   01ක් 40,000/-** වැඩි විස්තර සඳහා අමතන්න.', 'palugama, bowaththa, kuliyapitiya', 'Agricultural, Residential, Other', '80.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,දුම්මලසූරිය වටිනා බිම් කොටස ඉක්මනින් විකිණීමට,23 Jul  7:02 pm,"Kuliyapitiya, Kurunegala","800,000",දුම්මලසූරිය..යගන්වෙල ..මානෙල්වත්ත ප්‍රදේශයේ තාවල්ල මහ විදුහලට ආසන්නයෙන් නිස්කලංක බිම් කොටස..සියලු පහසුකම් සහිතව නිරවුල් සින්නක්කර ඔප්පු ..,Residential,20.0 perches,
4,Land for Sale - Kuliyapitiya,19 Jul  3:00 pm,"Kuliyapitiya, Kurunegala","35,000","This coconut land is located just 3km away from kuliyapitiya city. Ideal investment for a factory, Commercial purpose ,residential purpose or for a purpose of block out.Asking price Rs 35000.00 for a perch.","Agricultural, Commercial, Residential",320.0 perches,
5,5 Acre Coconut Land for sale in Kuliyapitiya,22 Jul  2:36 pm,"Kuliyapitiya, Kurunegala","26,000,000",5 Acre Land for sale in KuliyapitiyaCoconut cultivated in entire land. Banana plant also cultivated,"Pannala Road, Kuliyapitiya","Agricultural, Residential",5.0 acres
6,Land for sale in Kuliyapitiya,22 Jul  1:23 pm,"Kuliyapitiya, Kurunegala","70,000",Land for sale in Kuliyapitiya ,Kuliyapitiya,"Commercial, Residential",16.0 perches
7,Land for sale-Near Kuliyapitiya town/ඉඩමක් විකිනීමට-කුලියාපිටිය,21 Jul  6:18 pm,"Kuliyapitiya, Kurunegala","200,000",Land for sale near Kuliyapitiya town1 km to Kuliyapitiya town/Medical faculty of Wayamba university500 Meters to the leading primary schools (Vishakha school/Assedduma school)With all facilities/Peaceful surroundingClear documentsඉඩමක් විකිනීමට-කුලියාපිටිය නගරයට ආසන්නව කුලියාපිටිය නගරයට හා වෛද්ය පීථයට  කි.මි 1 ප්‍රධාන ප්‍රාථමික විද්යාල වලට මි. 500 (විශාකා විද්යාලය/ අස්සැද්දුම විද්යාලය )සියලු පහසුකම් සහිත නිස්කලන්ක පරිසරයනිරවුල් ඔප්පුSTRICTLY NO BROKERS OR AGENT'S 🚫GENUINE BUYER'S ARE WELCOME.,"Muththettuwa Watte,Kongahagedara,Kuliyapitiya","Commercial, Residential, Other",31.1 perches
8,Land for Sale Ebawa - Kuliyapitiya,19 Jul  8:48 pm,"Kuliyapitiya, Kurunegala","88,000","Land for sale Ebawa - Kuliyapitiya - ඇඹව පෙර පාසල අසල පිහිටි පර්. 30 ක පදිංචියට සුදුසු අගනා බිම් කොටසක් විකිණීමට... - කුලියාපිටිය නගරයට විනාඩි 10 - නගරයේ  සියලුම ප්‍රසිද්ධ පාසල් වලට ආසන්න දුරින්... - ඉක්මණින් විකිණීමට, වැඩි විස්තර සඳහා අමතන්න","Ebawa, Kuliyapitiya",Residential,30.0 perches
9,Coconut Land for Sale in Kuliyapitiya,21 Jul 10:48 am,"Kuliyapitiya, Kurunegala","3,500,000","* Location - Madakumburamulla, Bopitiyawaththa* Land type - Agricultural, Commercial & Residential* Land size - Acres 13 perches 28* Price - Rs. 3,500,000/= ( Per Acre ) ( Price can be negotiable )","Madakumburamulla, Bopitiyawaththa","Agricultural, Commercial, Residential, Other",13.28 acres
