,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale In - Pannala,21 Jul  1:24 pm,"Pannala, Kurunegala","38,000",Document - 100%clear Carpet Road- YesElectric - YesWatter- Yes 365 Days as Well1.5 Km from 34 Bus Route1.5 Km from Omega LinePlz Call Immediately,"Jayakody Vila, Irabadagama Sadalankava","Agricultural, Residential",50.0 perches
2,"['Land for Sale In - Pannala', '21 Jul  1:24 pm', 'Pannala, Kurunegala', '38,000', 'Document - 100%clear Carpet Road- YesElectric - YesWatter- Yes 365 Days as Well1.5 Km from 34 Bus Route1.5 Km from Omega LinePlz Call Immediately', 'Jayakody Vila, Irabadagama Sadalankava', 'Agricultural, Residential', '50.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Two Lots @ 33.37 Perch Land for Sale in Pannala,19 Jul 11:08 am,"Pannala, Kurunegala","415,000","මීගමුව_ කුරුණෑගල ( මාර්ග අංක 34) ප්‍රධාන පාරට යාබදව තලම්මැහැර පිහිටි ඉඩමේ පිටුපස පර්. 33.37 බැගින් වූ යාබද ඉඩම් කැබලි 02  ( කැබලි අංක 03 හා 04) විකුණනු ලැබේ. ඉඩමට ප්‍රවේශ වීම සඳහා ප්‍රධාන පාරේ සිට අඩි 15 ක් පළල පාරක් ඇත. දුර මීටර් 200. පන්නල නගරයට දුර කි.මි.02 . පදිංචියට හෝ ව්‍යාපාරයකට සුදුසුයි. නිරවුල් ඔප්පු සහිතයි.පර්. 01 ක් රු. 415,000 . මිළ ගණන් සාකච්ඡා කළ හැක.","Thalammehera, Pannala.","Commercial, Residential",66.74 perches
4,Cocont Land for Sale in - Pannala,12 Jul  3:02 pm,"Pannala, Kurunegala","6,500,000",# සදලoකාව / ගෝනුල්ලේ පිහිටි අක්කර 1 1/2 ක පිහිටි පොල් ඉඩම සමඟ නිවස  වහාම විකිණීමට තිබේ ....# සදලoකාව ජාතික පාසලට කි.මී. 1 ක් දුරින් ඇත # මීගමුව - කුරුණෑගල ප්‍රධාන බස් මාර්ගයට කි.මී. 1 යි# දoකොටුව හා පන්නල නගරවලට විනාඩි 15 ක් ඇතුළත # සින්නක්කර හා නිරවුල් ඔප්පු ....,Sandalankawa / Gonulla,"Agricultural, Commercial, Residential, Other",240.0 perches
5,Land with home for sale Pannala,11 Jul 10:20 pm,"Pannala, Kurunegala","1,500,000","PANNALA NAGARAYATA  AASANNAWA PURCHASE 11 KA NIWASA SAMAGA IDAMA, LINDA, WIDULIYA SAMAGA WIKINEEMATA.",Pannala,Residential,11.0 perches
6,Coconut Land Pannala - Nedalagamuwa, 8 Jul 12:34 pm,"Pannala, Kurunegala","4,000,000","Coconut Land Pannala - Nedalagamuwa - නැදලගමුව, මානවල ආයුර්වේදය අසල පිහිටි අක්. 02 කට ආසන්න පොල් ඉඩම ඉක්මණින් විකිණීමට... - ළිං 02 ක් සහ විදුලිය සහිත කුඩා නිවසක් ද සහිතයි. - අක්කරයක මිල රු. 4,000,000/- - වැඩි විස්තර සඳහා අමතන්න",Nedalagamuwa,Other,2.0 acres
7,Land for Sale in - makadura pannala, 8 Jul  9:01 am,"Pannala, Kurunegala","2,975,000",Makadura 31 Kanuwa Pare Pachas 18k Adak Nimakara Ati Demahal Niwasa Wikinimata Wawakata Asannaye Pihiti Nidahas Niskalanka Idama,makadura 31 road,Residential,18.0 perches
8,Land for sale in Pannala, 5 Jul 10:16 pm,"Pannala, Kurunegala","3,100,000","MAKANDURA, ELUWILA PRADAANA PAARATA METER 650  KA PAMANA DURIN I DIMINNA WATHTHA AKKARA 10 KA IDAMAK WIKINE. MURA GEYAKDA  ETHA. WAHAAMA KATHAA KARANNA.",Makandura- Eluwila,Residential,10.0 acres
9,"Land for Sale in Makadura,Pannala", 4 Jul  4:33 pm,"Pannala, Kurunegala","400,000","**  මාකදුර  පර්චස් 30ක ඉඩමක් විකිණිමට ඇත.** පර්චස් 01 - 400,000/-** කූරුණෑගල මීගමු පාරට 30 M**  පන්නල  නගරයට 5 KM** ජල,විදුලිය පහසුකම් සහිතයි.** නිරවුල් ඔප්පු.**  පාරට මුහුණලා අඩි 6ක තාප්පයක් ඇත. ** වැඩි විස්තර සඳහා අමතන්න.","Manthri waththa,Makadura,Gonawila","Residential, Other",30.0 perches
10,Land For sale Pannala,28 Jun  5:20 pm,"Pannala, Kurunegala","6,500,000",200 Meter  Near to Kurunegala -Negombo Road Makandura lake also near to this land Beautiful residential land with fruit garden Quick sale,Makandura,Residential,30.0 perches
11,Land For sale Bopitiya,27 Jun  7:43 pm,"Pannala, Kurunegala","8,500,000","300 Meter near to Kurunegala- Negombo Road Coconut, Gammiris, Kesel, Kaju, Kos Wagaa kara etha,Half building finished and current supply No need broker Call after 6.00 pm. Quick sale",Bopitiya-Waholawa,Residential,121.0 perches
12,"20 Perches Land Sale In Makandura,Pannala",27 Jun  2:59 am,"Pannala, Kurunegala","2,000,000",Call for Thusitha,"Makandura,Pannala",Residential,20.0 perches
13,"Pannala, Singakkuliya, Coconut Land",26 Jun 12:38 am,"Pannala, Kurunegala","4,500,000","ඔමෙගා ලයින් ගාමන්ට් ආසන්නයේ,අක්කර 3 1/2 සාරවත් පොල් ඉඩම,ජලය, විදුලිය සහිතයි,මුර ගෙවල් දෙකක් ඇත,වත්ත පුරා වතුර ලයින් ඇත,අඩි 18 පලල් පාර,නිරවුල් ඔප්පු,මිල ගනන් සාකච්චා කරගත හැක.ස්තුති,","Pannala, Singakkuliya,","Agricultural, Commercial",3.5 acres
