,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,"2.5 Acres Land for Sale in Iruppola-Pidurangala, Sigiriya",10 Jul  8:58 am,"Sigiriya, Matale","8,000,000","2.5 Acres 2 Land for Sale in Iruppola, Pidurangala, Sigiriya100m & 600m to Quara HotelSwarana Bhoomi Deed & Jaya Bhoomi DeedUrgent SaleNo BrokersEach Selling Price: Rs.8 MillionCall for More Details","Iruppola, Pidurangala","Commercial, Residential",2.5 perches
2,"['2.5 Acres Land for Sale in Iruppola-Pidurangala, Sigiriya', '10 Jul  8:58 am', 'Sigiriya, Matale', '8,000,000', '2.5 Acres 2 Land for Sale in Iruppola, Pidurangala, Sigiriya100m & 600m to Quara HotelSwarana Bhoomi Deed & Jaya Bhoomi DeedUrgent SaleNo BrokersEach Selling Price: Rs.8 MillionCall for More Details', 'Iruppola, Pidurangala', 'Commercial, Residential', '2.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Road front property in matale, 1 Jul 12:11 pm,"Matale, Matale","295,000","Facing the A9 , 10 mints drive to matale, situated in the heart of spice region , ideal location for a commercial development in a rapidly developing area, clean titles.",Kawdupelalla,Commercial,125.0 perches
4,Land for Sale in Matale,24 Jul 11:36 am,"Matale, Matale","150,000","මාතලේ නගරයට ආසන්නයෙන්ම මාතලේ කූඹියන්ගොඩ මාර්ගයෙන්අනඟි තැනිතලා පර්.12 ක බිම්කොටස විකිණීමට..ජලය,විදුලිය,පුළුල් ප්‍රවේශ මාර්ග සහිතයි.","Kubiyangoda Road,Matale",Residential,12.0 perches
5,Land for Sale in Dambulla,12 Jul  1:43 pm,"Dambulla, Matale","1,000,000",Land for Sale in Dambulla=================,"Agricultural, Commercial",40.0 perches,
6,පදිංචියට සුපිරි ඉඩම් මාතලේ,24 Jul 11:20 am,"Galewela, Matale","70,000",Facing Galewela - Matale Main Rd1.5 Km to St' Antonie's Church15 Perch Blocks,මාතලේ පාර වහකෝට්ටේ,Residential,15.0 perches
7,Land for Sale in Matale,24 Jul 11:12 am,"Matale, Matale","60,000",Facing Galewela - Matale Main Rd1.5 Km to St' Antonie's Church15 Perch Blocks,ගලේවෙල පාර වහකෝට්ටේ,Residential,15.0 perches
8,Land for Sale Matale Ketawala,15 Jul  9:41 pm,"Palapathwela, Matale","35,000,000",25 acres land for sale matale ketawala 35 milion,Residential,25.0 acres,
9,Land for Sale Sigiriya,23 Jul  4:20 pm,"Sigiriya, Matale","25,000,000","සීගිරිය ඉනාමළුව ප්‍රධාන පාරට  මුහුනලා  පර්චස් 206 ක තැනිතලා ඉඩම.සියලුම නාගරික පහසුකම් සහිතයි.ලිං ජලය ,නල ජලය,තෙකලා විදුලිය,දුරකතන පහසුකම් සියල්ලම සහිතයි.සීගිරිය සංචාරක පුරවරයට කිලෝමීටර් 2.5යි.සංචාරක හෝටලයක්  සදහා වඩාම සුදුසුයි.","Agricultural, Commercial, Residential, Other",206.0 perches,
