,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්,15 Jul 12:19 pm,"Chilaw, Puttalam","210,000",හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්,හලාවත - මහවැව,"Agricultural, Commercial, Residential, Other",24.0 perches
2,"['හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්', '15 Jul 12:19 pm', 'Chilaw, Puttalam', '210,000', 'හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්', 'හලාවත - මහවැව', 'Agricultural, Commercial, Residential, Other', '24.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක්,15 Jul 12:19 pm,"Chilaw, Puttalam","210,000",හලාවත - මහවැව පර් 24ක සුපිරි ඉඩමක් මහවැව වැවට මුහුණලා...මනස්කාන්ත පරිසරයක පහස..විමසීම්,හලාවත - මහවැව,"Agricultural, Commercial, Residential, Other",24.0 perches
4,Land for Sale in - Madurankuliya,28 Jul 10:30 pm,"Puttalam, Puttalam","5,500,000",Power FacilitiesTube Well 07Diesel Motor 02Water Facilities Full LandSinnakara OppuCan Successfully Plant Aloe PlantPhone no,Madurankuliya Jeevana Gama,Agricultural,3.0 acres
5,Water Front Land in Kochchikade/waikkala,29 Jul  9:48 am,"Wennappuwa, Puttalam","395,000",වයික්කාල ප්‍රදේශයේ ඉඩමක් විකිණීමට=========================,Waikkala / Kochchikade,"Commercial, Residential",22.0 perches
6,Coconut State for Sale Nattandiya,17 Jul 12:15 pm,"Nattandiya, Puttalam","45,000","15 Acres 45,000 perpech well maintained 11,300 picks every 45 days water,electricity, watcher house Small bungalow .additional therer  are cashews ,teak.kos dumala,wallapata,rath hadun,pani dodam,mango.Selling due to owner migrating.",Agricultural,15.0 acres,
7,Land for Sale in Wennappuwa,27 Jul  4:19 pm,"Wennappuwa, Puttalam","3,900,000",වෙන්නප්පුව නගර ආසන්නයේ (වෙන්නප්පුව පොලිසිය පාරේ) පර්චස් 15ක අගනා ඉඩම විකිණීමට*ජාතික පාසල් දෙකට අනිවාර්ය දුරින්*ඉඩමේ පැති 3ක සම්පූර්ණයෙන් තාප්පය ඉදි කර ඇත*පිරිසිදු භූගත ජලය සහිතයි*පදිංචියට ඉතා සුදුසු නිස්කලංක වටපිටාවක පිහිටා ඇත,"නො.260, ජයවීදි මාවත, වෙන්නප්පුව",Residential,15.0 perches
8,Coconut Land for Sale Mundalama,27 Jul  2:58 pm,"Puttalam, Puttalam","25,000,000","Young coconut trees, sinnakkara deed, attached bath with bungalow, electricity, 200 feet deepwell, good road access, full fertilizer, surround fence, good investment and income, owner going to migrate, can exchange with vehicle.","mundalama, nawadakkulama.",Agricultural,15.0 acres
9,Land for Sale in - Koswadiya,27 Jul  1:05 pm,"Marawila, Puttalam","250,000","This Land Is Situated in An Area Closer to Chilaw Colombo Main Road and Mahawewa Town. Ideal to Use as A Residential Land or Business Premises. Nice Mahawewa River Flows Nearby, Making Natural Beauty and Calm Environment. Ideal for any purpose,either to reside peaceful and all inclusive ( water,electricity,popular schools,market places) environment or do a good business with financially viable customer base.","Agricultural, Commercial, Residential",45.0 perches,
