,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Balangoda,21 Jul  3:02 pm,"Balangoda, Ratnapura","20,000",බලන්ගොඩ නගරයෙ සිට 8km දුරින් පිහිටා ඇත 40 per..නල ජලය ..විදුලිය ඇත..අඩි 20 ක පරකට මුහුනලා ඇත,පීල්ල කුබුර වීකීලිය බලන්ගොඩ,"Agricultural, Residential",40.0 perches
2,"['Land for Sale in Balangoda', '21 Jul  3:02 pm', 'Balangoda, Ratnapura', '20,000', 'බලන්ගොඩ නගරයෙ සිට 8km දුරින් පිහිටා ඇත 40 per..නල ජලය ..විදුලිය ඇත..අඩි 20 ක පරකට මුහුනලා ඇත', 'පීල්ල කුබුර වීකීලිය බලන්ගොඩ', 'Agricultural, Residential', '40.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,10.5 P Land for Sale in Balangoda,24 Jul 10:06 pm,"Balangoda, Ratnapura","175,000",Land for sale in balangoda .,Balangoda,Residential,10.5 perches
4,1 Acres Residential Land For Sale In Balangoda,24 Jul 10:02 pm,"Balangoda, Ratnapura","1,200,000",Land sale in balangoda iwarawela.,"Balangoda, Iwarawela",Residential,1.0 acres
5,Land for Sale - Balangoda,24 Jul  4:41 pm,"Balangoda, Ratnapura","110,000","LIGHT,WATER AVAILABALE","JAYANTHI SCHOOL ROAD,THUMBAGODA,BALANGODA",Residential,15.8 perches
6,Land for Sale in Godakawela,23 Jul  4:45 pm,"Balangoda, Ratnapura","250,000",* Ideal land for residential or commercial purposes with all facilities.* 5min to Godakawela town.* Clear policy.,"Siddawatta Rd, Godakawela","Agricultural, Residential",18.0 perches
7,20p Land for sale in Balangoda,21 Jul  8:07 am,"Balangoda, Ratnapura","400,000",Land  for sale in balangoda.,"Commercial, Residential",20.0 perches,
8,20P Land for sale in Balangoda,20 Jul  8:52 am,"Balangoda, Ratnapura","110,000","Residential  Perches Land For sale in Balangoda, passaramulla. 700 metres to Colombo Badulla bus route 12 feet Rd.residential eria.","Balangoda, weliharanawa",Residential,20.0 perches
9,20P Land For Sale In Balangoda Allepola,20 Jul  5:27 am,"Balangoda, Ratnapura","100,000",Land for sale in balangoda allepola,Balangoda. Allepola,"Commercial, Residential",20.0 perches
10,Land with house for sale in Ratmalawinna,19 Jul 11:15 am,"Balangoda, Ratnapura","7,800,000",Land with house for sale==================,Residential,36.0 perches,
11,20 P Land for Sale in Balangoda,19 Jul  8:18 am,"Balangoda, Ratnapura","110,000","Residential  Perches Land For sale in Balangoda, passaramulla. 500 metres to Colombo bus route 12 feet Rd.residential eria.","Balangoda, passaramulla",Residential,20.0 perches
