,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale - Embilipitiya,25 Jul  2:08 pm,"Embilipitiya, Ratnapura","30,000","කාමර 4ක් සමග නිවස, අක්කර 1 ක පොල් වගාව, ජලය විදුලිය ඇත.වගා කටයුතු සදහා ඵහසුයි",Agricultural,4.0 acres,
2,"['Land for Sale - Embilipitiya', '25 Jul  2:08 pm', 'Embilipitiya, Ratnapura', '30,000', 'කාමර 4ක් සමග නිවස, අක්කර 1 ක පොල් වගාව, ජලය විදුලිය ඇත.වගා කටයුතු සදහා ඵහසුයි', 'Agricultural', '4.0 acres']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Kalawana,26 Jul  6:06 pm,"Ratnapura, Ratnapura","6,000,000",කලවාන සිට වැද්දාගල පාරට 3kmදෙල්ගහ හන්දිය දකුණ දෙසට කොන්ක්‍රීට් ඇතිරූ පාරේ 6km දුරින් ෆයිනස් වත්ත සිට 1km දුරින් අක්කර 11 ඉඩම විකිණීමටමිල ලක්ෂ 60,"Waddagala Road, Kalawana",Residential,11.0 acres
4,Land for Sale Pelmadulla,29 Jul  9:41 am,"Pelmadulla, Ratnapura","1,242,000","0panayaka bogashandiyen badulu parata 60m k durin nalajalaya, widuliya sahitha padinchiyata itha sudusu perch 13.8ka idamaki. Perch 1ka mila Rs 90 000 ki.",Residential,13.8 perches,
5,Land For Sale Thunkama,27 Jul  6:05 pm,"Embilipitiya, Ratnapura","400,000","නල ජලය විදුලිය සහිතයි ඇඹිලිපිටිය , නෝනගම ප්‍රධාන පාරට 250m තුංකම නගරයට 500m","Landawaththa, Thunkama.",Residential,20.0 perches
6,Land for Sale in Embilipitiya,29 Jul  7:21 am,"Embilipitiya, Ratnapura","1,000,000",අක්කරයක පොල් ඉඩම..ඇඹිලිපිටිය මිද්දෙණිය ප්‍රධාන පාරේ (කැන්දකැටියේ)  සිට මීට‍ර් 50ක්  පමණ දුරින් පිහිටා ඇත.ඉතා ඉක්මනින් විකිණීමට අවශයයි.වැඩි විස්තර සදහා අමතන්න..මිල ගණන් සාකච්චා කරගත හැකිය.,Agricultural,1.0 acres,
7,"30 P Residential Land for Sale in Balangoda, Kirimatithenna",29 Jul 12:25 am,"Balangoda, Ratnapura","3,800,000",Land for sale in balangoda kirimatenna.,"Balangoda,kirimatithenna",Residential,30.0 perches
8,"2 Acres Tea Land For Sale In Balangoda,karukatiya",28 Jul 10:59 pm,"Balangoda, Ratnapura","5,500,000",Tea Land for sale in balangoda karaukatiya.,"Balangoda,karaukatiya","Agricultural, Residential",2.0 acres
9,Land for Sale Kuruwita - Rathnapura,26 Jul  3:31 pm,"Ratnapura, Ratnapura","375,000",***************************************************************සියලුම අනුමැතීන් සහිත රත්නපුර ඉඩම Trust Lanka Holdings අප වෙතින් දැන් ඔබ අතට ***************************************************************,Kuruwita,"Commercial, Residential",8.0 perches
10,Land for Sale Kuruwita - Rathnapura,26 Jul  3:22 pm,"Ratnapura, Ratnapura","125,000",***************************************************************සියලුම අනුමැතීන් සහිත රත්නපුර ඉඩම Trust Lanka Holdings අප වෙතින් දැන් ඔබ අතට ***************************************************************,Kuruwita,"Commercial, Residential",13.31 perches
11,Land for Sale in Rathnapura,29 Jul 10:58 am,"Ratnapura, Ratnapura","1,500,000",රත්නපුර-ගිලීමලේ පාගොඩ බස් පාරට මුහුනලා පර්චස් 37.6 ඉඩම විකිනීමට. ලක්ශ 15. රත්නපුර ඩිපො හන්දියෙ සිට කි.ම් 9.7,Pagoda Gileemale,"Agricultural, Commercial, Residential",37.6 perches
12,Land for Sale Embilipitiya,28 Jul  7:28 am,"Embilipitiya, Ratnapura","1,192,500",ඇඹිලිපිටිය උඩුගම දර්ශන ගම පාරේ මාර්ගයට මීටර් 300ක් දුරින් වටිනා ඉඩමක් විකිණීමට තිබේ. පර්චස් 26.5 පිරිසිදු සින්නක්කර ඔප්පු නළ ජලය විදුලිය පුලුල් මාර්ග පහසුකම් ඇත. ඇඹිලිපිටිය නගරසභා බල ප්‍රදේශය තුල. පර්චස් එකක් රු 45000/=යි සම්පූර්ණ මුදල 1192500/=මිල ගනන් සාකච්ඡා කර ගත හැක. මුදල් හදිස්සියක් නිසාම විකිණීමට ඇත.,උඩගම ඇඹිලිපිටිය,Residential,26.5 perches
13,Land in Niwithigala (Ratnapura),27 Jul  1:16 pm,"Eheliyagoda, Ratnapura","2,000,000",1km to Niwithigala Townගල උඩවත්ත පාරකොන්ක්‍රට් පාරක් ඇත,"Niwithigala, Gala Udawatta Road",Residential,17.5 perches
