,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Beds:,Baths:,Size:,
1,Furnished apartment-Colombo 6,16 Jul 10:52 am,"Colombo 6, Colombo","90,000","Beautiful cozy apartment down collingwood place,wellawattawifi/AC/hot water & dish TV available",2,2,"1,100 sqft",
2,"['Furnished apartment-Colombo 6', '16 Jul 10:52 am', 'Colombo 6, Colombo', '90,000', 'Beautiful cozy apartment down collingwood place,wellawattawifi/AC/hot water & dish TV available', '2', '2', '1,100 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment for Rent in Colombo 06 (649 B/1), 2 Jul  1:33 pm,"Colombo 6, Colombo","100,000",Apartment on 6th floor available with three bedrooms and three bathrooms (two attached and one common bathrooms)1800 square feet ,KIRULAPONE,3,3,"1,800 sqft"
4,4 Bedroom Luxury Apartment With Pool - Colombo 06, 4 Jul  9:23 am,"Colombo 6, Colombo","120,000","A lovely, very spacious 4 bedroom apartment with 3 bathrooms available for long rent.",4,3,"1,500 sqft",
5,Brand New Apartment for Rent - in Col.6,20 Jul  5:41 pm,"Colombo 6, Colombo","150,000","3Rooms-1 Attached and 1Common Bathroom.5th Floor Apartment.1,425 sqftFully Furnished..","36,..IBC Road, Colombo 6",3,2,"1,425 sqft"
6,3 Bed Room New Apartment in Colombo - 6,20 Jul  5:19 pm,"Colombo 6, Colombo","80,000",Brand new apartment off arpico super market wellawatta one car park and lift and 4th floor  land site 200m from gold road wellawatta,"52 , E S Fando mawatha Colombo 6",3,2,"1,260 sqft"
7,3 Br Furnished Apartment in Col-4,20 Jul  5:07 pm,"Colombo 6, Colombo","120,000",Fully furnished 3bed room apartment In de krester place colombo-4 Near ITBC Campass pool and gym One car park,Seagull residents 42 De krester place colombo-4,3,3,"1,450 sqft"
8,Apartment for rent in Colombo 6,12 Jul  1:35 pm,"Colombo 6, Colombo","39,000","AC master bedroom with attached bathroom is available for rent. Fully furnished with wardrobe, dressing table double bed. The room has a nice view of the city and a large balcony. Kitchen is equipped with fridge, stove, kettle and glassware. Lobby is with dining table sofa and TV. It’s the 6th floor apartment with two lifts and one parking slot. Highly secure area and quite close to Havlock city. It’s a 3 bedroom apartment and other two rooms are fitted with bathroom which are occupied. The kitchen and the lobby is shared.",1,1,350 sqft,
9,3 Bedroom in Attach Bathroom - Col 6,20 Jul  4:11 pm,"Colombo 6, Colombo","120,000",GRAND NEW APARTMENT. FULLY FURNISHED APARTMENT WITH AIR CONDITION. 24 HOUR SECURITY WITH PARKING. MAINTENENCE.  NOW AVAILABLE WORRY TO NOW CALL,"42 , 4/2 DE KRESTER  PLACE  COL 06",3,3,"1,560 sqft"
10,Apartment for rent in Colombo 6,20 Jul  4:01 pm,"Colombo 6, Colombo","80,000",3  BED ROOM APARTMENT  COL 06,3,3,"1,260 sqft",
