,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Beds:,Baths:,Size:,
1,2 Bed Room Apartment for Rent in Dehiwala,20 Jul 10:11 pm,"Dehiwala, Colombo","50,000",Rs 50000 per month +bill,2,1,"1,175 sqft",
2,"['2 Bed Room Apartment for Rent in Dehiwala', '20 Jul 10:11 pm', 'Dehiwala, Colombo', '50,000', 'Rs 50000 per month +bill', '2', '1', '1,175 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment For Rent in Dehiwala, 4 Jul  2:47 pm,"Dehiwala, Colombo","90,000",♤Un Furnished Apartment For Rent ☆3 Bed Rooms.☆1 Attach 1 Common Bath Rooms.☆Belcony.☆Hot Water ☆A/C.☆24rs Sequrity.☆2 Lift.🚘1 Parking.🏊Swimming Pool and Gym Available.☜Close To Mosque 🕌,Off Marine Drive Dehiwala,3,2,"1,200 sqft"
4,1 Bed Room Apartment - Dehiwala (APT1522),20 Jul  3:43 pm,"Dehiwala, Colombo","75,000","Address -34 ebanizer place*Access - Galle Road *Rent - 75000\=*Sqft - 700*Floor- 8*Bedrooms -1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",34 Ebanizer Place Dehiwala,1,1,700 sqft
5,Apartment For Rent In Dehiwala,20 Jul  3:40 pm,"Dehiwala, Colombo","90,000",Brand new 7 the floorNear I'll shopping malls24 ower securityGall road and hospital road 3 months advanced,3,3,"1,500 sqft",
6,3 Room Apartment for Long Stay in Dehiwela(001517),20 Jul  3:26 pm,"Dehiwala, Colombo","100,000","HREE BEDROOM APARTMENT DEHIWALA PETERSON LANE Address: - Northpole Residences, Peterson LaneThis spacious beautiful sea view apartment is located very close to the beach in Peterson Lane, Dehiwela. Its 500 meters from Galle Rd and the Dehiwala Zoo is just 10mins Drive.This modern and spacious apartment consists of 3 Rooms with one attached and one common bathroom, has a large living and dining area, and a fully equipped kitchen. The apartment is Fully Furnished including TV, Washing Machine, Fridge, Ironing, and Microwave. Kitchen is Fully Equipped including Cutleries and Crockeries. Linen also provided------------------------------------------------------------------------------------■ Three Bedroom Apartment. ■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Long Term- Rs 100,000+Bill------------------------------------------------------------------------------------Call/Whatsapp/Viber us for more info/to reserve.AKARA APARTMENTS.-Serviced Apartments-Sales & Rental-Property Management.44, Lorenze Rd, COlombo 4.",50 D Peters Lane Dehiwala,3,2,"1,200 sqft"
7,2 Bed Room Apartment (APT001511) - Dehiwala,20 Jul  3:23 pm,"Dehiwala, Colombo","95,000","Address -winser avanue*Access - Galle road*Rent - 95000*Sqft - 1000*Floor- *Bedrooms -2*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",D Alwis Mawatha Dehiwala,2,2,"1,000 sqft"
8,2 Bed Room Apartment (APT001508) - Dehiwala,20 Jul 10:27 am,"Dehiwala, Colombo","95,000","Address -winser avanue*Access - Galle road*Rent - 95000*Sqft - 1000*Floor- *Bedrooms -2*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",Dehiwala,2,2,"1,000 sqft"
9,Brand New 3 Bedroom Apartment for rent in Kalubowila,20 Jul  9:10 am,"Dehiwala, Colombo","85,000","2nd FLOOR UNIT, 3 BEDROOM LUXURY APARTMENT AVAILABLE FOR RENT - Brand New Construction - Move in Ready - Centrally Located in Kalubowila - 3 Bedrooms - 2 Bathrooms - AC - Built in Closets - Rent: Rs. 85,000 - Deposit Required for 6 months - No maintenance fee. Please Call or WhatsApp: +94 77 534 0897 for more information or to visit.",3,2,"1,200 sqft",
