,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Beds:,Baths:,Size:,
1,Apartment for Rent - Mount Lavinia,18 Jul  9:06 pm,"Mount Lavinia, Colombo","160,000",▶ 4 bedrooms with ATTACHED bathrooms▶ Spacious living room▶ Modern pantry cupboard▶ Fully air-conditioned bedrooms▶ Long term rent or lease▶ Can negotiate the price after inspection,4,4,"1,900 sqft",
2,"['Apartment for Rent - Mount Lavinia', '18 Jul  9:06 pm', 'Mount Lavinia, Colombo', '160,000', '▶ 4 bedrooms with ATTACHED bathrooms▶ Spacious living room▶ Modern pantry cupboard▶ Fully air-conditioned bedrooms▶ Long term rent or lease▶ Can negotiate the price after inspection', '4', '4', '1,900 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment for rent in Mount Lavinia,20 Jul  6:08 pm,"Mount Lavinia, Colombo","97,000","*** NO BROKERS*** Brandnew Furnished Apartment For Rent in Mount Lavinia*** Two Air-conditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** 4-month refundable deposit ( negotiable )*** HALF MONTH AGENT FEE",Mount lavinia - Siripala rd,2,2,900 sqft
4,Apartment for Rent in Mount Lavinia,20 Jul  6:05 pm,"Mount Lavinia, Colombo","90,000","*** NO BROKERS*** Brand new Furnished Apartment For Rent in Mount Lavinia*** Two Air-conditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 10m from Galle road ( walking distance )*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** Prefer for Maldivians and locals*** 3 months refundable deposit",Mountlavinia,2,2,950 sqft
5,Brand New 3 Bed Room Apartment (apt496) - Mount Lavinia,20 Jul 10:31 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
6,New Luxury Apartment for Rent in Mt Lavinia,20 Jul  7:07 am,"Mount Lavinia, Colombo","88,000","3 bed room,3 bath room, large Hall, modern kitchen,5th floor, servant room with bath room, close to galle road and nasjudh,24 hours 6, lift service,car park,6 months advance. AGENT FEE HALF MONTHS.",Facing watrapola road Mt Lavinia,3,3,"1,500 sqft"
7,Brand New Apartment in Mt Lavinia for Rent,20 Jul  7:06 am,"Mount Lavinia, Colombo","90,000",3 bedroom 2 bathroom large hall modern kitchen fully tiled 3rd floor very close to galle road car parking 24 hour security  lift service 6 month advanced agent fee half month,Near galle road Mt Lavinia,3,2,"1,200 sqft"
8,Apartment for Rent - Mount Lavinia,18 Jul  9:06 pm,"Mount Lavinia, Colombo","160,000",▶ 4 bedrooms with ATTACHED bathrooms▶ Spacious living room▶ Modern pantry cupboard▶ Fully air-conditioned bedrooms▶ Long term rent or lease▶ Can negotiate the price after inspection,4,4,"1,900 sqft",
9,Furnished Apartment for Rent - Mt Lavinia,17 Jul  7:29 pm,"Mount Lavinia, Colombo","100,000",♤Fully Furnished Luxury Apartment For    Rent.☆2 Bed Rooms ☆2 Bath Rooms.☆Hot Water.☆24rs Sequrity.☆1 Parking Area.🏊Swimming Pool Available.🚶Walking Distance To Beach.,De Seram Road Mt Lavinia,2,2,"1,000 sqft"
10,Furnished Apartment Rent Mt Lavinia,17 Jul  7:18 pm,"Mount Lavinia, Colombo","130,000","♤Sea View Fully Furnished Luxury    Apartment For Rent.☆3 Bed Rooms.☆1 Attach 1 Common Bath Rooms.☆Large Sitting and Dining Area.☆Open Kitchen With Pantry.☆Servant's Room and Bath Room.☆Belcony.☆A/C,Hot Water.☆24rs Sequrity.🚘1 Parking.🏊Swimming Pool and Gym Available.🚶Walking Distance To Beach.",Mount Lavinia,3,3,"1,650 sqft"
11,Furnished Apartment Rent Mt Lavinia,17 Jul  7:09 pm,"Mount Lavinia, Colombo","130,000",♤Fully Furnished Fully Air Condition     Luxury Apartment For Rent.☆Sea View.☆3 Bed Rooms.☆ 2 Bath Rooms.☆24rs Sequrity.☆1 Parking.🏊Swimming Pool Available.🚶Walking Distance To Beach.,De Seram Road Mt Lavinia,3,2,"1,500 sqft"
12,Apartment for Rent in Mount Lavinia,16 Jul  9:54 am,"Mount Lavinia, Colombo","90,000","*** NO BROKERS*** Brand new Furnished Apartment For Rent in Mount Lavinia*** Two Airconditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 10m from Galle road ( walking distance )*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** Prefer for Maldivians and locals*** 3 months refundable deposit*** HALF MONTH AGENT FEE",Mountlavinia,2,2,920 sqft
13,2 Bedroom Furnished Apt for Rent in Mount Lavinia,15 Jul  3:11 pm,"Mount Lavinia, Colombo","90,000","2 Bedroom Furnished Apartment for Rent in Mount LaviniaFully furnished 2 bedroom / Airconditioned-	Location – Sripala Road, Mount Lavinia-	Status – Immediate Occupation-	Property type – Apartment / / Furnished / Air conditioned-	Rent – Rs. 90,000/=-	Sq ft - 1100-	Floor – 1st Floor -	Bedrooms - 02  -	Bathrooms – 02 (one attached / one common)-	Parking -01-	Others – Tastefully designed / All high standard furniture / Standby Generator / 24hrs Security with CCTV. Imported Toilet fittings and accessories / Swimming pool and Gym at the roof top. Stunning sea view. Highly Residential Area, Fully Secured Place,",Mount Lavinia,2,2,"1,100 sqft"
14,Apartment for Rent in Mount Lavinia,15 Jul 12:56 pm,"Mount Lavinia, Colombo","90,000","This apartment complex is situated 100 metres away from Galle Road, on the seaside. Floor area is 1,030 sq.ft. It has 2 bedrooms and 2 bathrooms. Fully furnished. Fully air conditioned. Hot water in both bathrooms. Both bedrooms and the living room have balconies. Has a modern pantry. It includes electrical appliances such as tv, washing machine, fridge, and microwave. Also has a landline telephone, and wifi connection. 1 parking slot available. The apartment complex has a swimming pool, gym, meeting/function room, and rooftop terrace. Rental Rs. 90,000 per month.",2,2,"1,030 sqft",
15,Fully Furnished Luxury 2 BHK Apartment For Rent in Mt.Lavnia,15 Jul 11:15 am,"Mount Lavinia, Colombo","100,000",Fully Furnished Luxury 2 BHK Apartment For Rent in Mt.Lavnia,"De Alwis Avenue, Mt.Lavnia",2,2,"1,270 sqft"
16,Fully Furnished Apartment Rent Mt Lavinia,14 Jul  2:34 pm,"Mount Lavinia, Colombo","175,000","Fully Furnished Apartment Rent in Mt Lavinia,  2 b, 2 bath, Gym,  summing pool,  Rent Rs 175,000/ per month make and earlier appointment only for foreigners,",Mount Lavinia,2,2,"1,300 sqft"
17,Fully Furnished 3 Bed Room Apartment for Rent - Mount Lavinia,14 Jul  3:14 pm,"Mount Lavinia, Colombo","125,000",The apartment is fully furnished and ready to occupy immediately. It includes from towels to bedlinen till you settle down. Some of the key features  are;3D televisionPio Tv Free wifi - 90GB per monthWater free of chargeThe management fee is born by the ownerSafety lockerFans and AC option to control your electricity. Water free of chargeKitchen utensils Cutlery and others,"Beach Road, Mount Lavinia",3,2,"1,410 sqft"
18,Apartment for Rent in Mount Lavinia,13 Jul 10:02 am,"Mount Lavinia, Colombo","75,000","*** NO BROKERS*** Unfurnished New Apartment For Rent.*** 5th floor*** 2 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** 24 hours Security service*** One Vehicle parking*** Walking distance from Galle road.*** Only for Maldivians*** 4-month deposit *** HALF MONTH AGENT FEE",Mount lavinia,2,2,900 sqft
