,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Brand New Apartment for Rent in Nugegoda, 6 Jul  1:09 pm,"Nugegoda, Colombo","87,000","2 bed rooms, 3 bathrooms, A/C, 1400 Sq Ft, Servant area, 4 balconiesFacilities: Gym, Swimming Pool, security, parking ",Nugegoda,2,3,"1,400 sqft"
2,"['Brand New Apartment for Rent in Nugegoda', ' 6 Jul  1:09 pm', 'Nugegoda, Colombo', '87,000', '2 bed rooms, 3 bathrooms, A/C, 1400 Sq Ft, Servant area, 4 balconiesFacilities: Gym, Swimming Pool, security, parking ', 'Nugegoda', '2', '3', '1,400 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment for Rent in Nugegoda (344 B ),18 Jul  2:42 pm,"Nugegoda, Colombo","133,000",Three bedrooms and two bathrooms (one attached and one common bathrooms)1285 square feet,PRIME LAND,3,2,"1,285 sqft"
4,Brand New Apartment for Rent in The Heart of Nugegoda,20 Jul  7:14 am,"Nugegoda, Colombo","120,000",Ref: C7-0031,Nugegoda,3,2,"1,300 sqft"
5,Apartment for Rent in Nugegoda (344 B ),18 Jul  2:42 pm,"Nugegoda, Colombo","133,000",Three bedrooms and two bathrooms (one attached and one common bathrooms)1285 square feet,PRIME LAND,3,2,"1,285 sqft"
6,Ground Floor Apartment Quick Rent at Nugegoda.,16 Jul  2:18 pm,"Nugegoda, Colombo","88,000",Ground Floor Apartment Quick Rent at Nugegoda.3B/R unit. Elbert Perera Road. 50 meters to Nawala Main Rd,"Nugegoda,Elbert Perera Road.",3,2,"1,150 sqft"
7,Brand New Modern Apartment for Rent Nugegoda,16 Jul  8:27 am,"Nugegoda, Colombo","95,000",Modern Apartment for rent 3rd floorBedroom 2Bathroom 2 2 attached bedroom2 AcDinning hall AcHot waterFull air conditionCookery with hobCurtainedCentral gas24 hours security Lift facilities Garbage collection 20 feet road placing1 vehicles parking Nugegoda city 1kmBank and super market and international school Rs.95000(including management fee)6 months advance Contact agent laksiri,Nugegoda Pagoda road,2,2,"1,100 sqft"
8,Luxury Appartement in Nugegoda,15 Jul  6:17 pm,"Nugegoda, Colombo","60,000","Nugegoda wijerama Quiet area near transport and shops. Beautiful air-conditioned apartment with a living room, two bedrooms, a kitchen, a bathroom. Free parking. 6 months deposit is required. for any information contact Ms. suneetha ranjani phone number",2,1,"1,000 sqft",
9,Apartment for Rent in Nugegoda,16 Jul  1:33 pm,"Nugegoda, Colombo","125,000","Spacious Apartment to rent in Nugegoda, Kohuwala Junction.",3,2,"1,520 sqft",
10,"Apartment for Rent in Udahamulla, Nugegoda",14 Jul  3:19 pm,"Nugegoda, Colombo","22,000","Location is the key to desirability with a rental property. This flat property is in a superb location that will ensure its popularity with tenants. It is walking distance to Embuldeniya junction, Udahamulla bus depot, railway station, Jayawardenapura hospital, Maharagama and many more places which are to be visited in day to day life. An easy walk to supermarkets and cafes, Vegetable shops and fish outlets.  Additionally, the property is located closer to 119, 689, 259 bus routes. Small families will thrive with the Kindergarten, Primary and secondary schools all in close proximity, this is the perfect location.A solid newly built in 2004 home that's superbly specified for modern living Inside and out - on a sunny, up stair section in the 2nd floor with one large bed room, pantry cum living room and one modern bathroom. Ideal for a couple or a small family with one child. Furnished with all the necessary items. Double-garage and off-street parking. Hot water available with solar power. No need to pay for your electricity for hot water. A roof top section with a shrine room and nice sunny space can be utilized for drying the clothes etc. Owners are abroad. Ground floor and first floor are occupied by owner’s mature kind parents.","407/24 A, 5 th Lane, Samagi Mawatha, Udahamulla, Nugegoda 10250",1,1,450 sqft
11,Brand New Apartment with Car Parking for Rent - Nugegoda, 8 Jul  3:44 pm,"Nugegoda, Colombo","80,000",2nd floor 6month advance,Nugegoda,3,2,"1,200 sqft"
12,Brand New Apartment for Rent in Nugegoda, 6 Jul  1:09 pm,"Nugegoda, Colombo","87,000","2 bed rooms, 3 bathrooms, A/C, 1400 Sq Ft, Servant area, 4 balconiesFacilities: Gym, Swimming Pool, security, parking ",Nugegoda,2,3,"1,400 sqft"
13,Kotte Brand New Short Term Luxury Apartment for Rent,18 Jul  1:00 pm,"Nugegoda, Colombo","4,800","Minimum rental Period has to be two weeks.Brand new apartment with spectacular views of Aquatic lands of Sri Jayawardenapura Kotte near parliament. Wetland view to living room, front balcony and Master bedroom.","155A, Bird Park Residencies, Quarry Road, Nugegoda, Sri Jayawardenapura kotte.",2,2,"1,200 sqft"
14,Long Term rental-Nature Green Pocket view Luxury Apartment Nugegoda,16 Jul  2:26 pm,"Nugegoda, Colombo","98,000","Brand new fully furnished apartments in Colombo suburbs located at a centralized location to nearby cities, with traffic avoiding easy access carpet roads to the cities Nugegoda, Thalawathugoda, Rajagiriya, Nawala, Colombo etc. Apartment front facing to the spectacular views of Aquatic lands of Sri Jayawardenapura Kotte near parliament creating a perfect peaceful location. Apartment offers all the thoughtful facilities needed to complement your lifestyle in Colombo. Ideal for professionals, artists, etc.Apartment comprises of following features Living area extending to front balcony  Studio type Kitchen  Dining zone. Master bedroom  Guest bedroom Master Bathroom and Common bathroom Balconies around the whole unit.  Store room","155A, Bird Park Residencies, Quarry Road, Nugegoda, Sri Jayawardenapura kotte.",2,2,"1,200 sqft"
15,3 Apartment Bedroom For Rent At Nawala, 5 Jul 11:39 am,"Nugegoda, Colombo","62,000","Apartment in Nawala, Nugegoda for rent with 3 Bed rooms(1 master bedroom),1 sitting Room,1 utility Room,2 attached washrooms,1 servants bathroom,1 Kitchen and vehicle garage.Fully tiled and in perfect condition. 24h security with water, telephone and electricity connections. Ready for inspection by appointment. In a pleasant location. in close proximity to Nugegoda, Nawala, open university.","5 8/3, Kandawatte Residences, Kandawatte Terrece, Nawala, Nugegoda",3,2,"2,000 sqft"
16,Apartment - Nugegoda, 3 Jul  1:08 pm,"Nugegoda, Colombo","25,000","one room  apartment  for rent at delkada attach bathroom,pantry  separate  entrance,water & electricity .walking  distance to high level road.","No.26,Old kesbewa road,Delkada,Nugegod.",1,1,500 sqft
17,Rent | 3 BR Apartment Nugegoda, 1 Jul  2:24 pm,"Nugegoda, Colombo","140,000","Apartment for rent in Nugegoda, Lyceum3 Bedrooms2 BathroomsDomestic room14500 SqftFurnished140k Per month",3,2,"1,450 sqft",
18,Apartment for Rent - Nugegoda,30 Jun 11:15 pm,"Nugegoda, Colombo","140,000",*FURNISHED APARTMENT FOR RENT*_Colombo 4_,Nugegoda,3,3,"1,400 sqft"
19,Apartment for Rent in Nugegoda, 1 Jul  7:19 am,"Nugegoda, Colombo","40,000","An apartment consist with 2 large bed rooms, one bathroom, hall, kitchen and one parking slot.seperated water, electricity and entrance. Rs.40000/- (negotiable). 28, chapel lane, nugegoda.",2,1,"1,000 sqft",
20,Apartment for Rent in Embuldeniya, 2 Jul  5:04 pm,"Nugegoda, Colombo","125,000","Apartment at Embuldeniya, Nugegoda. (For rent)",Embuldeniya Junction,3,3,"1,550 sqft"
