,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Luxury Apartment For Rent Rajagiriya(1518),20 Jul  3:27 pm,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,2,"1,500 sqft"
2,"['Luxury Apartment For Rent Rajagiriya(1518)', '20 Jul  3:27 pm', 'Rajagiriya, Colombo', '200,000', 'Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.', 'No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya', '3', '2', '1,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,3BR Apartment For Rent - Rajagiriya,19 Jul  2:56 pm,"Rajagiriya, Colombo","190,000","3 Bedrooms2 Attach and 1 Common BathroomsServant Room and Servant Bathroom1680 Square FeetUnfurnishedMini Super Market, Kitties Play Area, Restaurant, Walking Distance To McDonald's And Rajagiriya Junction.","Parliment Road, Rajagiriya",3,3,"1,680 sqft"
4,Iconic Luxury Apartment for Lease - Rajagiriya,17 Jul  4:38 pm,"Rajagiriya, Colombo","235,000","Iconic apartment in Rajagiriya for long term lease. 3 bedrooms, 1690sq.ft. 11th floor apartment with scenery view of Colombo and greenery. Fully Air-conditioned. Close proximity to all leading supermarkets, schools, Government & Private sector organizations. Easy access to greater Colombo area. Fully furnished and fully equipped with all facilities. FOREIGNERS only.  Apartment  comprises of:•	Master bedroom with attached bath with hot water•	2 Bedrooms with 2 attached bath with hot water•	Balcony•	Fully equipped pantry•	Domestic room and washroom•	Parking space for 1 vehicle",3,3,"1,650 sqft",
5,Three Bed Apartment for Rent at Clearpoint [ar08] - Rajagiriya,16 Jul 12:38 am,"Rajagiriya, Colombo","275,000","Brand new, never before lived-in three bedroom apartment for rent at Clearpoint Residencies. Conveniently located in Rajagiriya within close proximity to all modern day conveniences. The apartment offers generous living space along with a total of three bedrooms, two bathrooms and a powder room. ","Clearpoint Residencies, Perera Mawatha, Buthgamuwa Road, Rajagiriya",3,3,"2,350 sqft"
6,2 Bedroom Sky Gardens Apartment for Rent - Rajagiriya,12 Jul  2:06 pm,"Rajagiriya, Colombo","185,000","2 Bedroom apartment , 2 bathrooms, above 20th Floor, with an amazing view, Furnished, AC, Pool, Gym, 1 parking slot and many modern amenities,Will be vacant after 10th August 201903 months Rent in advance, 03 months Refundable DepositRs.185,000 monthly / Ref.No AR0461Call or Msg Chanuka on or email to Capital TRUST Properties,NO BROKERS / PRINCIPALS ONLY!",2,2,"1,000 sqft",
7,Apartment for Rent - Rajagiriya,11 Jul  2:44 pm,"Rajagiriya, Colombo","50,000",Rajagiriya 1st Floor ApartmentRajagiriya Highly Residential Area3 Bed Rooms and One Bath Room with Hot WaterServant Toilet and Parking Available.20 feet Road,3,1,750 sqft,
8,Brand New Fully Furnished Apartment - Opposite to HSBC Rajagiriya,15 Jul 10:33 am,"Rajagiriya, Colombo","250,000","This apartment done by Prime Residencies called Prime Wrendale is located in Rajagiriya - Opposite to HSBC Rajagiriya. 3 Spacious Bed Rooms & 2 Wash Rooms including Maids room & Wash room with Ample parking.Apartment is Fully Furnished, Air conditioned and all other luxury specifications are avalabile including GYM, Swimming Pool & Entertainment area.1625 Sq. Ft",Parilment Road,3,2,"1,625 sqft"
9,"3BR Apartment in Iconic, Rajagiriya",12 Jul  9:54 pm,"Rajagiriya, Colombo","225,000",• Our Reference No - LA 257(Please quote this reference number when inquiring),Rajagiriya,3,3,"1,650 sqft"
