,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Wattala - Two Bedroom Apartment for Rent, 8 Jul  2:26 am,"Wattala, Gampaha","35,000",Wattala - Two Bedroom Apartment for Rent,Wattala,2,2,"1,000 sqft"
2,"['Wattala - Two Bedroom Apartment for Rent', ' 8 Jul  2:26 am', 'Wattala, Gampaha', '35,000', 'Wattala - Two Bedroom Apartment for Rent', 'Wattala', '2', '2', '1,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment for Rent - Gampaha,19 Jul 10:31 am,"Gampaha, Gampaha","35,000",2 Bedrooms 2 Bathrooms Living Room with Pantry at 1st Floor 200m to Bus stand Railway station Working distance to Sumedha Collage Rathnawali Vidyalaya Yasodara Vidyalaya General Hospital1 Dedicated Parking Slot 24*7 Security Lift Available   6 Months Key money,Sanasa Sooriya Residents  Wijaya Road,2,2,900 sqft
4,Apartment for Rent in Kelaniya,17 Jul 10:06 am,"Kelaniya, Gampaha","45,000","Luxury upstairs  Apartment ,2 bedrooms 1 bathroom ( Hot Water ) with master bedroom with Air Condition Dining room with semi  facility, balcony:s .Parking space is available5 mini to drive kelaniya & Kiribathgoda ,kelaniya university .15 mini to kadawatha & katunayaka  high wayentrance . 25 mini to rajagiriya , 30 mini to colombo .all bank facility's available in kiribathgoda . Separates Entrance .Semi Furniture.WE ARE LOOKING FOR A SINGLE PERSON ,CUPPLE OR CUPPLE AND ONE KID .","No.138/B1, polhena road,Polhena,Kelaniya",2,1,"1,300 sqft"
5,Newly Unused Apartment Kadawatha,19 Jul  4:38 pm,"Kadawatha, Gampaha","85,000",NEW UNUSED APARTMENT FOR RENT OR LEASE NEAR KADAWATHA. FULLY AIRCONDITIONED TWO BED ROOMS TWO BATH PANTRY DININD KITCHEN VISITERS ROOM 3rd FLOOR. SEPARATE PARKING SWIMMING POOL GYM. HIGHLY SECURED RESIDENTIAL PLACE. FOR HIGHEST OFFER. PRICE IS NEGOTIAE.,"KANDY ROAD ,9th MILE POST, KADAWATHA.",2,2,900 sqft
6,Luxury Apartment for Rent in Kandana,11 Jul 12:35 pm,"Wattala, Gampaha","150,000","WATHTALA  ( HENDALA  / / MARADANA  RD.) LUXURY APARTMENT AVAILABLE FOR RENT ) 4 STORIED / BRAND NEW LUXURY APARTMENT / EACH FLOOR 4000 SQUAR FEET  / 20 PERCHES / FULLY TILLED / 5 BEDROOMS EACH FLOOR / 3 TOILETS  AND SERVENTS TOILET / HOT WATER / LARGE ROOF / HIGHLY RESIDENTIONAL AREA / 1.5 K.M. TO WATHTALA TOWN / LYCIUM  / OKI AND ATAMI  INTERNATIONAL SCHOOLS AND HEMAS PRIVATE HOSPITAL / IDEAL FOR FOREIGNERS OR LOCALS / SHORT TERM AND LONG-TERM  ( FURNISHED AND UNFUNDED ) ROLLER GATE WITH REMOTE CONTROLER / CCTV CAMERAS / NO FLOOD THREATS AND VISITS CAN BE ARRANGED ON APPOINMENTS ONLY FOR APPOINMENT PLEASE CALL - RENT PER MONTH - FURNISHED 150000/= (UNFURNISHED   AVAILABLE AS WELL, NEGOTIABLE)","Hendala, Wattala",5,4,"4,000 sqft"
7,Furnished Apartment for Rent in Kelaniya,17 Jul  6:27 pm,"Kelaniya, Gampaha","100,000",Fully furnished Luxury Apartment.             2nd floor onwards.,732 Kohalwila road Kelaniya,3,3,"3,000 sqft"
8,3 bedroom Upper Floor Rent - Wattala, 7 Jul 12:10 pm,"Wattala, Gampaha","28,000","100ms to Negombo Road500ms to Hendala Junction 10 mins walk to Cool Planet, Wattala Police Station, Post Office","Mabola, Wattala",3,1,900 sqft
9,Apartment Available for Rent at - Ja Ela, 7 Jul  1:11 pm,"Ja-Ela, Gampaha","25,000","2 bed apartment conveniently located on Colombo-Negombo road at Tudella, JaEla. Please call for details.",2,2,"1,400 sqft",
