,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,3BR Apartment for Sale in Colombo 03,21 Jul 11:04 am,"Colombo 3, Colombo","44,000,000","Convenience with a view! 3 bedrooms, 2 bathrooms, spacious (1635 sqft), 14th floor at St Michaels Apartment Building. Secure and convenient location. Uninterrupted sea and city views. Each room has a balcony. Maid's room, bathroom and laundry area. The apartment comes fully furnished (option). Urgent Sale. Price is negotiable.","Alfred House Gardens, Colombo 03",3,2,"1,635 sqft"
2,"['3BR Apartment for Sale in Colombo 03', '21 Jul 11:04 am', 'Colombo 3, Colombo', '44,000,000', ""Convenience with a view! 3 bedrooms, 2 bathrooms, spacious (1635 sqft), 14th floor at St Michaels Apartment Building. Secure and convenient location. Uninterrupted sea and city views. Each room has a balcony. Maid's room, bathroom and laundry area. The apartment comes fully furnished (option). Urgent Sale. Price is negotiable."", 'Alfred House Gardens, Colombo 03', '3', '2', '1,635 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,"Colombo 03, 3 Bedroom Appartment for Quick Sale",19 Jul  4:22 pm,"Colombo 3, Colombo","29,000,000",3 bed room 4 bathroom (including one servant washroom) 30 feet wide road (Glen Aber place colombo 03) 5 minutes walk to majestic city (mall) Air conditioned Sea view balconyPlease leave a text if no answerContact for more details,Colombo 03,3,4,"1,370 sqft"
4,"Colombo 03, 3 Bedroom Appartment for Quick Sale",19 Jul  4:22 pm,"Colombo 3, Colombo","29,000,000",3 bed room 4 bathroom (including one servant washroom) 30 feet wide road (Glen Aber place colombo 03) 5 minutes walk to majestic city (mall) Air conditioned Sea view balconyPlease leave a text if no answerContact for more details,Colombo 03,3,4,"1,370 sqft"
5,Luxury Monarch Residency for Sale Colombo 03,23 Jul  1:06 pm,"Colombo 3, Colombo","45,000,000","Luxury Monarch Residencies adjoining Cinnamon Grand hotel and Crescat shopping Mall.Fully furnished, Sea & lake view, 2 bedrooms, 2 bathrooms, total Square feet 1,330, fully A/C, Central Gas System, Wi- Fi internet,Reserve parking, Outdoor pool, Gym, Sauna. business center. Looking for a quick sale. Please call on -for an inspection.",2,2,"1,330 sqft",
6,Apartment for Sale in Colombo 03,23 Jul 12:22 pm,"Colombo 3, Colombo","52,000,000",property is available for immediate occupation. Has a View of Sea & port city ,"Monarch Residencies , Galle road, Colombo - 03",2,2,"1,400 sqft"
7,3BR Apartment for Sale in Colombo 03,21 Jul 11:04 am,"Colombo 3, Colombo","44,000,000","Convenience with a view! 3 bedrooms, 2 bathrooms, spacious (1635 sqft), 14th floor at St Michaels Apartment Building. Secure and convenient location. Uninterrupted sea and city views. Each room has a balcony. Maid's room, bathroom and laundry area. The apartment comes fully furnished (option). Urgent Sale. Price is negotiable.","Alfred House Gardens, Colombo 03",3,2,"1,635 sqft"
8,Monarch Apartment in Colo 03,19 Jul 12:16 pm,"Colombo 3, Colombo","54,500,000","2 Bed Apartment for A Quick Sale.  Vacant Possession.Was Being Rented for 1,800 Us $ up Until End of June.","Galle Road, Kollupitiya",2,2,"1,330 sqft"
9,Colombo 3 St Michel's Apartment For Sale,18 Jul  2:39 pm,"Colombo 3, Colombo","45,000,000",3 Bedrooms2 BathroomsFully Furnished1650 Square FeetServant Room and Servant Toilet,"Prince Alfred Road, Colombo 3",3,2,"1,650 sqft"
10,Apartment for Sale in Dehiwala,17 Jul  2:32 pm,"Colombo 3, Colombo","22,500,000",*Located on the First Floor.*24 Hour Security*Washrooms with Hot water Facility*2 Parking Slots*Fully Air Conditioned*Fully Furnished*High Quality Teak Fittings ,"Windsor Avenue, Dehiwala",3,2,"1,200 sqft"
11,Colombo 3 Astoria Apartment for Sale - A0554-A,12 Jul  7:43 pm,"Colombo 3, Colombo","60,000,000","Brand new Apartment for sale in Astoria Apartment, Colombo 3",3,2,"1,300 sqft",
12,Apartment for Sale in Colombo 03 (1112 B),11 Jul  3:25 pm,"Colombo 3, Colombo","38,000,000","Apartment in 6th floor available with three rooms and two bathrooms (one attached and one common bathrooms)1540 square feet ( 1420 sqft including rooms balcony , 120 sqft common utility with car parking area)",COLOMBO 03,3,2,"1,540 sqft"
13,Colombo 3 Prince Alfred Tower Apartment For Sale,13 Jul  4:05 pm,"Colombo 3, Colombo","57,000,000",2 Bedrooms2 Bathrooms1800 Square FeetServant's roomServant's toiletCar Park,"Alfred Place, Colombo 3",2,2,"1,800 sqft"
14,Apartment for Sale in Colombo 3- A0558,10 Jul 10:49 am,"Colombo 3, Colombo","64,000,000","Apartment for sale in Monarch Apartment, Colombo 3",2,2,"1,076 sqft",
15,Astoria Apartment | For sale Colombo 03 - A0581,10 Jul  9:22 am,"Colombo 3, Colombo","85,500,000",Astoria Apartment for sale in Colombo 03,3,2,"1,300 sqft",
16,Colombo 3 Monarch 2 BR Apartment For Sale, 9 Jul  3:51 pm,"Colombo 3, Colombo","55,000,000",02 Bedrooms02 Bathroom1150 Square FeetFully FurnishedMid FloorDirect Sea View.,"Galle Road, Colombo 3",3,3,"1,150 sqft"
17,2B/R Apartment for Sale in Colombo 3, 9 Jul  2:16 pm,"Colombo 3, Colombo","16,500,000","Kolpetty, Muhandiram Rd 2 B/R Apartment For Sale2nd Floor * 2 Bedrooms * 1 Bathroom and Servants Toilet * Living * Pantry * Personal car park.* Close to Colombo Schools.","Colombo 3,Muhandiram Road.",2,2,800 sqft
18,Apartment for Sale - Colombo 03,24 Jul  2:00 pm,"Colombo 3, Colombo","56,000,000",Alferd house garden Easy access from gall road and duplication road. Walking destance to British council. 2 bathrooms with  2 bathrooms. Maids rooms with toilet. Large living hall with balcony over looking sea.Large master bedroom with balcony over looking sea. High security.,Alferd house garden,2,2,"1,800 sqft"
19,2BR Apartment - Colombo 3 Monarch (Sea View Apartment) for Sale, 9 Jul  9:39 am,"Colombo 3, Colombo","52,000,000",3 bedrooms and 2 bathroomssea view 1100 sqft unfurnished,Galle Road,2,2,"1,100 sqft"
20,Fully Furnished Apartment in - Colombo 03, 6 Jul 10:29 pm,"Colombo 3, Colombo","35,000,000","NOTE    Sales Agreement •            fully furnished•.           24 hours Security Service•            One vehicle Parking •.           Swimming Pool•.            Nearby Masjid,Supermarkets,Schools, ETC",Ower Bagatalle Road Colombo,3,2,"1,700 sqft"
21,Kollupitiya 3 bed rooms apartment for sale, 2 Jul 11:15 pm,"Colombo 3, Colombo","33,900,000","LOCATION Maintained as brand new apartment built by HRL Homes on 466/5 Gale Road, Kollupitiya. Close proximity to the beach the railway station, Fab, Mc Donalds, hotels, restaurants, supermarkets, shopping malls, banks, places of worship etc,. It is about fifty meters to the Galle road it in Colombo city, Sixty minute drive to the Katunayake International airport & close to most of the towns in & around Colombo & the suburbs, from this location.",Sea Avenue Kollupitiya,3,3,"1,340 sqft"
22,Brand New Apartment for Sale at Colombo 3 with guaranteed returns, 2 Jul  3:10 pm,"Colombo 3, Colombo","33,500,000",beautiful brand new apartment for sale 2 beds with 2 bath - 1080 sqft 3 beds + maid  - 1810 sqft for sale at 42 MillionSingle duplex ( 4 bed + maid) - 2900 sqft is available ,schofield place,2,2,"1,080 sqft"
23,Condominium for Sale Colombo 3, 2 Jul  8:12 am,"Colombo 3, Colombo","80,000,000",Condominium house for sale 3 bedrooms 2 bedrooms annex 1700 sqft price 800 lakhs please no brokers,pediris road colombo 3,3,2,"1,700 sqft"
24,Apartment for Sale in Colombo 3 (1245 B/1 ),29 Jun  2:15 pm,"Colombo 3, Colombo","70,000,000",8th floor available with Three Bedrooms and Two Bathrooms4200 sqft,LAND SIDE,3,2,"4,200 sqft"
