,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,3 Bedroom Apartment for Sale in Dehiwala,22 Jul  4:27 pm,"Dehiwala, Colombo","19,500,000","3 Bedroom Apartment for Sale in Dehiwela-	Location – 2nd Lane, Dehiwala-	Status - Available-	Property type – Apartment / Unfurnished-	Asking price – 19.5 Million-	Sq ft - 1350 -	Deed – Pending-	Floor – 1st floor -	Bedrooms - 03 (Master Bedroom and Living area Airconditioned) / Maid’s Room-	Bathrooms – 03 (one attached / one common / one maid’s)-	Servant room – 1-	Servant washroom – 1-	Parking -01-	Others – Standby Generator / 24hrs Security with CCTV. Imported Toilet fittings and accessories. Highly Residential Area, Fully Secured Place, can be accessed from Galle Road and Marine Drive",Dehiwala,3,3,"1,350 sqft"
2,"['3 Bedroom Apartment for Sale in Dehiwala', '22 Jul  4:27 pm', 'Dehiwala, Colombo', '19,500,000', '3 Bedroom Apartment for Sale in Dehiwela-\tLocation – 2nd Lane, Dehiwala-\tStatus - Available-\tProperty type – Apartment / Unfurnished-\tAsking price – 19.5 Million-\tSq ft - 1350 -\tDeed – Pending-\tFloor – 1st floor -\tBedrooms - 03 (Master Bedroom and Living area Airconditioned) / Maid’s Room-\tBathrooms – 03 (one attached / one common / one maid’s)-\tServant room – 1-\tServant washroom – 1-\tParking -01-\tOthers – Standby Generator / 24hrs Security with CCTV. Imported Toilet fittings and accessories. Highly Residential Area, Fully Secured Place, can be accessed from Galle Road and Marine Drive', 'Dehiwala', '3', '3', '1,350 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Luxury Apartment Dehiwela,22 Jul  4:34 pm,"Dehiwala, Colombo","25,200,000","OWN YOUR OWN HOME AT PEACEFUL LIVING HEART OF DEHIWELA,,,,,,,,,,,,,,,,,,,,COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, 24 HRS SECURITY, MAID ROOM AND BATH AND MORE,,,,",DE ALWIS PLACE DEHIWELA,4,4,"1,680 sqft"
4,Luxury Apartment Dehiwala,23 Jul 12:46 pm,"Dehiwala, Colombo","24,500,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT,MAID ROOM AND BATH, AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,",DE ALWIS PLACE DEHIWELA,4,4,"1,680 sqft"
5,3 Bedroom Apartment - Dehiwala,25 Jul  9:43 am,"Dehiwala, Colombo","20,000,000","Apartment on 7th floor for sale on Hill Street. Three air-conditioned bedrooms with living and dining area, open kitchen with hob. Balconies all round, good location with covered car park, 24 hour security, roof terrace, gym and kids pool.Two elevators, Standby generator, garbage clearance. Vacant possession.",3,2,"1,303 sqft",
6,Luxury Apartment for Sale | Dehiwala,17 Jul 10:31 am,"Dehiwala, Colombo","25,000,000","The IVY complex is yet another stylish and unique apartment complex by NEMRA, which comprises of 28 modishly designed 3 BEDROOM APARTMENTS stretched in 7 floors.","Malwatta Road, Dehiwela",3,2,"1,468 sqft"
7,Apartment for Sale in Mount Lavinia,24 Jul  5:37 pm,"Dehiwala, Colombo","20,000,000","Brand New ApartmentAll furniture and fittings includedThis is a model house type of an apartment You must see to believe how nice-------------------------------ROOMS...2 Bed rooms with imported Double Beds1 attached toilet with hot water & shower cubical1 common toilet with hot water & shower cubicalCarpeted floor for both roomsCustom made Aluminium wall cupboards in both roomsWall mounted TVs with local channels in both roomsWall mounted split type AC Units in both roomsWall mounted mirrors in both roomsFeature walls with nice wall paper in both rooms, Ceiling fans in both roomsLarge Windows with Light & Shade blinds in both rooms..All doors and windows tinted -----------------------------------LIVING ROOM...Imported Settee with wall mounted 55' smart TVDialog TV connectionWall mounted split type AC unit Imported dining table for 6 Green ivory feature wall / Tiled Floor Ceiling fanWall mounted hand painted artWindows with Light & Shade blinds..-----------------------------------------BALCONY...Garden furniture with green grass carpeted floorWashing Machine with piped lines ----------------------------------PANTRY...Fully equipped pantry with large refrigeratorMicrowave, Rice Cooker4 burner CookerWater Dispenser.-----------------------------------24 hours Security & Parking Facility.--------------------------2 minutes walk to Galle Road10 minutes walk to St Thomas College, Mt Lavinia5 minutes walk to beach and many restaurants 5 minutes walk to Church or Temple or Mosque 5 Minutes walk to Super market, 5 Minutes to Petrol station, 5 Minutes to Bakery and all day to day places-----------------------------------------------This is a ready to move-in cozy fully furnished comfortable Luxury apartment & probably the lowestselling price compared to all other apartments.","Nemra Apartment, Siripala Road, Mount Lavinia",2,2,875 sqft
8,Luxury Apartment Dehiwela,22 Jul  5:14 pm,"Dehiwala, Colombo","21,500,000","OWN YOUR OWN HOME AT PEACEFUL LIVING HEART OF DEHIWELA,,,,,,,,,,,,,,,,,,,,COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, 24 HRS SECURITY, MAID ROOM AND BATH AND MORE,,,,",DE ALWIS PLACE DEHIWELA,3,3,"1,440 sqft"
9,Brand New 3 BHK Apartment For Sale in Dehiwala,24 Jul  4:13 pm,"Dehiwala, Colombo","22,000,000",Brand New 3 Bedroom Spacious Apartment For Sale in Dehiwala,"Peters Lane, Dehiwala",3,2,"1,305 sqft"
10,Luxury Apartment Dehiwela,24 Jul  2:36 pm,"Dehiwala, Colombo","20,100,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2019 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,","PETERS LANE, DEHIWELA",3,3,"1,340 sqft"
11,Luxury Apartment Dehiwela,24 Jul  2:33 pm,"Dehiwala, Colombo","21,600,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, MAID ROOM AND BATH, AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,",DE ALWIS PLACE DEHIWELA,3,3,"1,440 sqft"
12,Luxury Apartment in Dehiwala,22 Jul  5:15 pm,"Dehiwala, Colombo","20,100,000","OWN YOUR OWN HOME AT PEACEFUL LIVING HEART OF DEHIWELA,,,,,,,,,,,,,,,,,,,,COMPLETION DATE 2019 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, 24 HRS SECURITY, MAID ROOM AND BATH AND MORE,,,,","PETERS LANE, DEHIWELA",3,3,"1,340 sqft"
13,Sea View Apartment for Sale - Dehiwala,24 Jul 10:28 am,"Dehiwala, Colombo","20,550,000",New Apartment For Sale - Dehiwala-Ongoing Project--6 Interest Free Installments--Completion December 2019- ,"Peters Lane , Dehiwala",3,3,"1,370 sqft"
14,Luxury Apartment Dehiwela,23 Jul 12:54 pm,"Dehiwala, Colombo","21,500,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, MAID ROOM AND BATH, AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,",DE ALWIS PLACE DEHIWELA,3,3,"1,440 sqft"
15,Luxury Apartment Dehiwela,22 Jul  4:34 pm,"Dehiwala, Colombo","25,200,000","OWN YOUR OWN HOME AT PEACEFUL LIVING HEART OF DEHIWELA,,,,,,,,,,,,,,,,,,,,COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, 24 HRS SECURITY, MAID ROOM AND BATH AND MORE,,,,",DE ALWIS PLACE DEHIWELA,4,4,"1,680 sqft"
16,Brand New Apartment For Sale - Dehiwala (001521),20 Jul  3:40 pm,"Dehiwala, Colombo","27,000,000","*Address -Allen Avanue Dehiwala*price - 27000000\=*Sqft - 1740*Floor- 6*Bedrooms -3*Bathrooms -3*Servant Room - 01*Servant Bathroom - 01*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. Facilities - Parking , Lift , Generator, Hot water,24/h",Allen Avanue Dehiwala,3,3,"1,740 sqft"
17,Luxury Apartment In Dehiwela,20 Jul  1:31 pm,"Dehiwala, Colombo","21,500,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2020 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, MAID ROOM AND BATH AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,",DE ALWIS PLACE DEHIWELA,3,3,"1,440 sqft"
18,Luxury Apartment In Dehiwela,20 Jul  1:10 pm,"Dehiwala, Colombo","22,500,000","HURRY UP DISCOUNT AVAILABLE !!!!!! 24 HRS SECURITY COMPLETION DATE 2019 DECEMBER,,,,,,,,,,,,FULLY INSTALLMENT PAYMENT METHOD, FULLY LUXURY TYPE OF APARTMENT, ROOFTOP, GENERATOR, VISITORS LOBBY, CAR PARK, TWO LIFT, DIRECT SEA VIEW,  AND MORE,,,CALL ,,,,,,,,,,,,,,,,,,,,,","PETERS LANE, DEHIWELA",3,3,"1,340 sqft"
