,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Completed Brand New Apartment for Sale - Mount Lavinia,14 Jul 11:19 am,"Mount Lavinia, Colombo","22,000,000","We Have Brand New Completed Apartments At Beach Road, Mount Lavinia At Very Affordable Prices.","11C Beach Road, Mount-Lavinia",3,2,"1,084 sqft"
2,"['Completed Brand New Apartment for Sale - Mount Lavinia', '14 Jul 11:19 am', 'Mount Lavinia, Colombo', '22,000,000', 'We Have Brand New Completed Apartments At Beach Road, Mount Lavinia At Very Affordable Prices.', '11C Beach Road, Mount-Lavinia', '3', '2', '1,084 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,"No Investments Risks, Brand New Completed Apartment’s Mount Lavinia",23 Jul 12:24 pm,"Mount Lavinia, Colombo","23,000,000","Mount Lavinia, Siripala road, 3 bed rooms, 3 bathrooms, apartment for sale close proximity St.Thomas College, walking distance to Galle road and beach. gym, roof top terrace, stand by generator, CCTV camera, lift, 24 hours security, water reserve tanks and car park.conveniently located",Mount Lavinia,3,3,"1,200 sqft"
4,Luxury Living In Mount lavinia,25 Jul  1:38 pm,"Mount Lavinia, Colombo","21,900,000","Floor No - 1st Floor Unit No  - A•	Whether you want to be a short walk away from the beach or the heart of the city, we have the Vesta apartment for you","4 , Beach Road , Mount Lavinia.",3,2,"1,270 sqft"
5,Mt.Villa 3BR - 1st Floor Smart Apartment Mt.Lavinia,25 Jul 11:57 am,"Mount Lavinia, Colombo","25,900,000","LOCATION Vesta Mount Villa focus on the people wants to live in land in an elegant and peaceful atmosphere side and regular visit to beach. It is about forty minutes’ drive to the Colombo city Center, 1 hrs drive to the Katunayake International airport, 10 minutes drives to Ratmalana airport. It is very close to most of the towns in & around Colombo & the suburbs, from this location.From here easy access to St. Thomas College, Girls high school, international hotel school, Hejaaz international school and many other schools and vocational training centers. Also near to the beach, restaurants, the railway station, supermarkets, shopping malls, banks, places of worship, the post office the Mount Lavinia hotel and several other resort hotels & restaurants in this area. Etc.Address 	 - 04, Beach Road, Mount Lavinia.Status 	             - SaleProperty type   - Construction ApartmentCompletion  	- Dec 2019Asking price     - 25.9 Million LKRSqft                  - 1,485Deed                - Clear TitleFloor	        - 1st FloorBedrooms 	- 03Bathrooms 	- 02Servant room 	- NoServant washroom - NoParking 	       - 01 ( on request additional slot – T&C apply)","@4,Beach Road,Mt.Lavinia,Sri Lanka.",3,2,"1,485 sqft"
6,Completed Brand New Apartment for Sale - Mount Lavinia,14 Jul 11:19 am,"Mount Lavinia, Colombo","22,000,000","We Have Brand New Completed Apartments At Beach Road, Mount Lavinia At Very Affordable Prices.","11C Beach Road, Mount-Lavinia",3,2,"1,084 sqft"
7,Mt.Villa 3BR Apartment in Mt.Lavinia,25 Jul 11:06 am,"Mount Lavinia, Colombo","22,100,000","This is the latest project on offer from Vesta Group. We are a company committed to provide the best that can be offered to our customers in every project have undertaken so Far. With the experiences of two already completed landmark project which complies with issuing deeds on time while offering an excellent quality to our delighted customers, as well as two more ongoing project, one of which is nearing completion, we are going to make another proud address for us at the Beach Road in Mount lavinia. Vesta Group is fully equipped with a vastly capable team that includes qualified and well experienced architects, engineers and many other professionals. The successful projects we have completed are testament to our experience and the quality of construction.*********************************************Call Now!!!!!!!*********************************************1) Address         - No 4, Beach Road, Mount Lavinia.2) Property type - Brand New Apartment3) Deed              - Clear Title4) Floor               - 2nd   floor5) Parking            -1 slot 6) Other	    - Air-conditioned for master bed room, Hot Water,, Highly Residential Area, Fully Secured Place with CCTV backups, Peace full Environment and Neighborhood.24 units are in this Complex.","no.#4,Beach R'D,Mt.Lavinia.Sri Lanka.",3,2,"1,270 sqft"
8,Mt.Villa Apartments in Mt.Lavinia,25 Jul 11:04 am,"Mount Lavinia, Colombo","21,900,000","*********************************************Call Now!!!!!!!*********************************************1) Address         - No 4, Beach Road, Mount Lavinia.2) Property type - Brand New Apartment3) Deed              - Clear Title4) Floor               - 1st   floor5) Parking            -1 slot 6) Other	    - Air-conditioned for master bed room, Hot Water,, Highly Residential Area, Fully Secured Place with CCTV backups, Peace full Environment and Neighborhood.24 units are in this Complex.","no.4,Beach R'D,Mt.Lavinia.Sri Lanka.",3,2,"1,270 sqft"
9,"Mt.Lavinia,3BR Apartment Sale 1st Floor - 1,270sqft",24 Jul 12:38 pm,"Mount Lavinia, Colombo","21,900,000","Address   	 - 04, Beach Road, Mount Lavinia.Status 	         - SaleProperty type   - Construction ApartmentCompletion  	- Dec 2019Asking price     - 21.9 Million LKRSqft                  - 1,270Deed                - Clear TitleFloor	         - 1st FloorBedrooms 	- 03Bathrooms 	- 02Servant room 	- NoServant washroom - NoParking 	       - 01 ( on request additional slot – T&C apply)","4) Beach R'd,Mt. Lavinia.Sri Lanka",3,2,"1,270 sqft"
10,Mount Lavinia Apartments,24 Jul 11:45 am,"Mount Lavinia, Colombo","21,900,000","Floor No - 1st FloorUnit No - A•	Luxury, Location, and Convenience","4.Beach Road, Mount Lavinia",3,2,"1,270 sqft"
11,Mount Lavinia Apartments,24 Jul 11:45 am,"Mount Lavinia, Colombo","22,100,000","Floor No - 2nd FloorUnit No - A•	Luxury, Location, and Convenience","4.Beach Road, Mount Lavinia",3,2,"1,270 sqft"
12,Mount Lavinia Apartments,24 Jul 11:45 am,"Mount Lavinia, Colombo","22,100,000","Floor No - 2nd FloorUnit No - A•	Luxury, Location, and Convenience","4.Beach Road, Mount Lavinia",3,2,"1,270 sqft"
13,Apartments for sale in Mount Lavinia,24 Jul 11:32 am,"Mount Lavinia, Colombo","21,900,000","Floor No - 1st FloorUnit No - A•	Luxury, Location, and Convenience","4.Beach Road, Mount Lavinia",3,2,"1,270 sqft"
