,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Luxury Apartments in Pagoda,10 Jul  4:35 pm,"Nugegoda, Colombo","20,850,000","The high-rise complex at No 96, Pagoda Road in Kotte comprises of 60 well- appointed Luxury Apartments ranging from 905 Sq. Ft.- 1475 Sq. Ft with 02 and 03 bedrooms specifications. Some of the key features of these apartments are fully Air- Conditioned units, fibre optic connections ensuring high speed internet and HD TV, fully fitted German kitchens by Wellman, Marazzi Italian tiles, and high quality imported light and bathroom fittings. This Project comprises of a 15 storey tower with 04 floors of ample parking, and 10 floors of luxury living. The Roof top area nestling 02 infinity Swimming Pools (Adults/ Kids), Entertainment Lounge, and a Fully Equipped Gymnasium all add up to an undoubted reason as to why one should invest with ‘96 Residencies’. The starting price is slated at Rs. 18.5 million upwards.",pagoda,2,2,900 sqft
2,"['Luxury Apartments in Pagoda', '10 Jul  4:35 pm', 'Nugegoda, Colombo', '20,850,000', 'The high-rise complex at No 96, Pagoda Road in Kotte comprises of 60 well- appointed Luxury Apartments ranging from 905 Sq. Ft.- 1475 Sq. Ft with 02 and 03 bedrooms specifications. Some of the key features of these apartments are fully Air- Conditioned units, fibre optic connections ensuring high speed internet and HD TV, fully fitted German kitchens by Wellman, Marazzi Italian tiles, and high quality imported light and bathroom fittings. This Project comprises of a 15 storey tower with 04 floors of ample parking, and 10 floors of luxury living. The Roof top area nestling 02 infinity Swimming Pools (Adults/ Kids), Entertainment Lounge, and a Fully Equipped Gymnasium all add up to an undoubted reason as to why one should invest with ‘96 Residencies’. The starting price is slated at Rs. 18.5 million upwards.', 'pagoda', '2', '2', '900 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Luxury Apartments in Pagoda,10 Jul  4:35 pm,"Nugegoda, Colombo","20,850,000","The high-rise complex at No 96, Pagoda Road in Kotte comprises of 60 well- appointed Luxury Apartments ranging from 905 Sq. Ft.- 1475 Sq. Ft with 02 and 03 bedrooms specifications. Some of the key features of these apartments are fully Air- Conditioned units, fibre optic connections ensuring high speed internet and HD TV, fully fitted German kitchens by Wellman, Marazzi Italian tiles, and high quality imported light and bathroom fittings. This Project comprises of a 15 storey tower with 04 floors of ample parking, and 10 floors of luxury living. The Roof top area nestling 02 infinity Swimming Pools (Adults/ Kids), Entertainment Lounge, and a Fully Equipped Gymnasium all add up to an undoubted reason as to why one should invest with ‘96 Residencies’. The starting price is slated at Rs. 18.5 million upwards.",pagoda,2,2,900 sqft
4,3 Bed Room Apartment Close to Jayawardhanapura Hospital,24 Jul  4:29 pm,"Nugegoda, Colombo","16,500,000","3 bed room apartment is available for sale at Thalapathpitiya, Nugegoda500 meters to Sri Jayawardhanapura hospital700  meters to Kimbulawala walking pathLiving and dinning area3 bed rooms with 2 bath roomsFully fitted pantryFacilitiesSwimming poolElevatorGymnasiumRoof top terraceOne car parking24/7 security","Thalapathpitiya, Nugegoda",3,2,"1,125 sqft"
5,Apartment for Sale in Nugegoda,23 Jul 10:31 am,"Nugegoda, Colombo","33,000,000",A brand new apartment in Highlevel road Nugegoda (PRIME 194 NUGEGODA)3 Bedroom spacious 1460 Sq.Ft,"Highlevel Road, Nugegoda",3,2,"1,460 sqft"
6,Stylish apartment for sale in Nugegoda,18 Jul  2:05 pm,"Nugegoda, Colombo","23,500,000",3 bedrooms2 bathroomsFully refurbished apartmentAir conditioningHot waterAccess to all amenitiesConvenient locationLaundry roomStore room2 balconies24 hour securityPrivate parking,Poorwarama Road,3,2,"1,200 sqft"
7,Emerald Tower | Apartment For Sale In Nugegoda - AA515 A,18 Jul  4:30 am,"Nugegoda, Colombo","29,000,000",Special Features:Swimming poolGymRoof top Roof balcony garden24 hour security GeneratorHot waterACParking space Pantry cupboards,3,2,"1,580 sqft",
8,Apartment Sale Near Kohuwala & Nugegoda,17 Jul  1:12 am,"Nugegoda, Colombo","26,000,000",Apartment Sale 4 Bed Rooms @ Raththanapitiya Delkanda road. -----------Located just 100meters from the 120 Bus route(Horana-Colombo).,Close to 120 Bus Route. Raththanapitiya Junction,5,3,"1,450 sqft"
9,Most Spacious Apartment in Nugegoda, 9 Jul  4:00 pm,"Nugegoda, Colombo","28,500,000","Araliya Terrace off Pagoda Road, Nugegoda is a private and exclusive residential development with only 09 units in total. Located in a quiet, highly residential private road, it is in close proximity to Kotte, Nawala, Rajagiriya and Colombo. With 75% of the building complete, hand-over of the project is intended for December 2018 and viewing of the units currently undergoing finishing work can be arranged. ","Pagoda Road, Nugegoda",3,2,"1,600 sqft"
10,2 Bedroom Apartment For Sale - Homagama, 7 Jul  9:57 am,"Nugegoda, Colombo","6,000,000",Apartment for sale in Homagama. Prime location with multiple access points and entry. - 2 Bedrooms- 1 Bathroom- A/C- Fully tiled floor- Swimming pool- Gymnasiums- Jogging Track- Kids Play Area- Allocated parking for residence,Green Valley Housing Project Arama Road Jalthara Homagama,2,1,680 sqft
11,Nugegoda Prime Apartment For Sale - AA562, 5 Jul  1:39 am,"Nugegoda, Colombo","32,000,000","DESCRIPTION It is a three bed roomed spacious apartment situated in the consists of a spacious sitting & dinning room, three bed rooms including a spacious master bed room with an attached bathroom, servant room and common bathroom, an elegant pantry with fitted cupboards & two balcony areas.",3,2,"1,326 sqft",
