,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Brand New Luxury 3 Bedroom Apartment Residencies) Rajagiriya-,23 Jul 12:07 pm,"Rajagiriya, Colombo","37,000,000","Brand New Spacious 3 Bed room apartment with separate maid room and private balconies at 6th floor ( 9th Level) with Scenic city view. Floor area 1512Sqft with fully equipped gym and infinity roof top pool. 1.5 km from the city in a highly residential area with excellent road network, supermarkets, Schools around.(Ready to Occupy)",Rajagiriya,3,3,"1,512 sqft"
2,"['Brand New Luxury 3 Bedroom Apartment Residencies) Rajagiriya-', '23 Jul 12:07 pm', 'Rajagiriya, Colombo', '37,000,000', 'Brand New Spacious 3 Bed room apartment with separate maid room and private balconies at 6th floor ( 9th Level) with Scenic city view. Floor area 1512Sqft with fully equipped gym and infinity roof top pool. 1.5 km from the city in a highly residential area with excellent road network, supermarkets, Schools around.(Ready to Occupy)', 'Rajagiriya', '3', '3', '1,512 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Apartment for sale rajagiriya 3 Bed 2 Bath,19 Jul  2:27 pm,"Rajagiriya, Colombo","32,800,000",Home land Sky Line semi Luxury Apartments• Three bedrooms with one attached bathroom and one common bathroom • Dinning area• Living area• Open pantry and kitchen• servant room and toilet • Four balconies one large balcony,Darmapala road rajagiriya,3,2,"1,400 sqft"
4,Three Bed Apartment for Sale in Rajagiriya [AS17],24 Jul  8:25 am,"Rajagiriya, Colombo","32,500,000","Brand new, three bedroom apartment for sale at Prime Splendour, Rajagiriya. Conveniently located on Rajagiriya Road, only 1.2 km from Cotta Road & Rajagiriya Flyover Junction. The apartment is located on a high floor level and offers spectacular views from the living area and all three bedrooms. ","Prime Splendour Residencies, Rajagiriya Road, Rajagiriya",3,2,"1,329 sqft"
5,Luxury | Apartment For Sale In Rajagiriya,25 Jul  4:15 am,"Rajagiriya, Colombo","48,000,000",Luxury | Apartment for sale @ Rajagiriya_____________________________________________ Floor Area -,Near Rajagiriya City Limit,3,2,"1,700 sqft"
6,Luxury Apartment for Sale in Rajagiriya,24 Jul  5:04 pm,"Rajagiriya, Colombo","36,000,000","Luxury apartment for sale at Sky Gardens Rajagiriya. 15th floor apartment. Fully Furnished. 3 bedrooms and 3 bathrooms. Seperate servant's quarters and washroom. A/C and Hot water available. 2 car parking slots. Pool, Gym, Rooftop Garden and Function area. Cargills supermarket on the ground floor. Selling urgently. Cash buyers will be given a good discount.","Sky Gardens, Buthgamuwa Road, Rajagiriya.",3,3,"1,454 sqft"
7,4BR Apartment at Elements Kotikawatta,24 Jul  1:41 pm,"Rajagiriya, Colombo","45,000,000",Brand new unfurnished apartmentLake and city viewFully air conditioned4 bed rooms3 bathrooms1 visitors bathroomMaids room and bathroom2 Car parksInspection by appointment,"Elements, by Fairway Holdings, Buthgamuwa Rd, Kotikawatta",4,3,"2,100 sqft"
8,Element Fairway Apartments for Sale Rajagiriya - A0568,23 Jul  8:28 pm,"Rajagiriya, Colombo","67,000,000",Fairway Apartment for sale in Rajagiriya,4,3,"2,123 sqft",
9,Apartment for Sale in Rajagiriya,23 Jul  3:01 pm,"Rajagiriya, Colombo","45,000,000",Apartment in Rajagiriya (Iconic Residencies),"Iconic Residencies, Rajagiriya",3,3,"1,605 sqft"
