,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Super Luxury Apartment Mount Lavinia.,12 Jun  1:23 pm,"Colombo 14, Colombo","35,700,000",🏢Super Luxury apartment Designed to international standards and specifications.💠Status of Apartment: verge of completion.🔹3 bedrooms🔹4 bathrooms🔹Maid rooms with attached bathroom🔹Living and dining hall🔹Kitchen with pantry🔹Split type inverted A/C units for the hall and bedrooms🔹Car parking🔹swimming Pool🔹GYM🔹kids park🔹landscaped rooftop party area🔹Area of flat: 1700 Sqft.and  more amenities..........................Rush Reliance is architecturally nuanced to take advantage of its location. It’s a virtual ocean of peace and tranquility – amidst the hustle and bustle of one of Mount Lavinia’s emerging hubs.,"No. 11, Templers Avenue, Templers Road, Mount Lavinia.",3,4,"1,700 sqft"
2,"['Super Luxury Apartment Mount Lavinia.', '12 Jun  1:23 pm', 'Colombo 14, Colombo', '35,700,000', '🏢Super Luxury apartment Designed to international standards and specifications.💠Status of Apartment: verge of completion.🔹3 bedrooms🔹4 bathrooms🔹Maid rooms with attached bathroom🔹Living and dining hall🔹Kitchen with pantry🔹Split type inverted A/C units for the hall and bedrooms🔹Car parking🔹swimming Pool🔹GYM🔹kids park🔹landscaped rooftop party area🔹Area of flat: 1700 Sqft.and  more amenities..........................Rush Reliance is architecturally nuanced to take advantage of its location. It’s a virtual ocean of peace and tranquility – amidst the hustle and bustle of one of Mount Lavinia’s emerging hubs.', 'No. 11, Templers Avenue, Templers Road, Mount Lavinia.', '3', '4', '1,700 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,2 Bedroom Fully Furnished Apartment for Sale - Havelock City,10 Jul 11:41 am,"Colombo 6, Colombo","55,000,000",Unit Type:-	2 Bedrooms-	1 Attached Bathroom | 1 Common Bathroom-	Living | Dining | Fully Fitted Pantry Kitchen-	Balcony - Views - Havelock City Bridge | Ocean | City-	Maid Rest Room/Utility Room & Maid’s Toilet,2,2,"1,291 sqft",
4,Colombo 6 Apartments,25 Jul  2:29 pm,"Colombo 6, Colombo","33,900,000","Floor No - 2nd FloorUnit No  - AA world apart from the fast paced city life, the idyllic beaches of Indian Ocean are just a walk away front Vesta Residencies. A relaxing and peaceful environment for the discerning customer has been coupled with the most exclusive of addresses to create a residence guaranteed to make you rediscover the pure joy of living.","36.IBC Road, Col 6",3,2,"1,425 sqft"
5,Colombo 6 Apartments Paradise at the Point,25 Jul  2:29 pm,"Colombo 6, Colombo","33,900,000","Floor No - 2nd FloorUnit No  - AA world apart from the fast paced city life, the idyllic beaches of Indian Ocean are just a walk away front Vesta Residencies. A relaxing and peaceful environment for the discerning customer has been coupled with the most exclusive of addresses to create a residence guaranteed to make you rediscover the pure joy of living.","36.IBC Road, Col 6",3,2,"1,425 sqft"
6,Col.6 3BR Apt. Sale - 2nd Floor Colombo.06,25 Jul  2:26 pm,"Colombo 6, Colombo","33,900,000",Construction completed and ready for occupation.,"@36.I.B.C Rd,Colombo.06.SL.",3,2,"1,425 sqft"
7,3BR Apt in Mt.lavinia 3rd Floor,25 Jul  2:26 pm,"Mount Lavinia, Colombo","26,300,000","Address 	         - 04, Beach Road, Mount Lavinia.Status 	         - SaleProperty type   - Construction ApartmentCompletion  	- Dec 2019Asking price     - 26.3 Million LKRSqft                  - 1,485Deed                - Clear TitleFloor	         - 3rd FloorBedrooms 	- 03Bathrooms 	- 02Servant room 	- NoServant washroom - NoParking 	       - 01 ( on request additional slot – T&C apply)","@4,Beach R'd,Mt.Lavinia.SL.*",3,2,"1,485 sqft"
8,Mt.Lavinia Apt.3BR 2nd floor,25 Jul  2:25 pm,"Mount Lavinia, Colombo","26,100,000","Address 	         - 04, Beach Road, Mount Lavinia.Status 	         - SaleProperty type   - Construction ApartmentCompletion  	- Dec 2019Asking price     - 26.1 Million LKRSqft                  - 1,485Deed                - Clear TitleFloor	         - 2nd FloorBedrooms 	- 03Bathrooms 	- 02Servant room 	- NoServant washroom - NoParking 	       - 01 ( on request additional slot – T&C apply)","@4,Beach R'd,Mt.Lavinia.Sri Lanka.*",3,2,"1,485 sqft"
9,Mt.Lavinia Apt.3BR,25 Jul  2:25 pm,"Mount Lavinia, Colombo","25,900,000","LOCATION Vesta Mount Villa focus on the people wants to live in land in an elegant and peaceful atmosphere side and regular visit to beach. It is about forty minutes’ drive to the Colombo city Centre, 1hrs drive to the Katunayake International airport, 10 minutes drives to Ratmalana airport. It is very close to most of the towns in & around Colombo & the suburbs, from this location.From here easy access to St. Thomas College, Girls high school, international hotel school, Hejaaz international school and many other schools and vocational training centers. Also near to the beach, restaurants, the railway station, supermarkets, shopping malls, banks, places of worship, the post office the Mount Lavinia hotel and several other resort hotels & restaurants in this area. Etc.Address 	         - 04, Beach Road, Mount Lavinia.Status 	         - SaleProperty type   - Construction ApartmentCompletion  	- Dec 2019Asking price     - 25.9 Million LKRSqft                  - 1,485Deed                - Clear TitleFloor	         - 1st FloorBedrooms 	- 03Bathrooms 	- 02Servant room 	- NoServant washroom - NoParking 	       - 01 ( on request additional slot – T&C apply)","@4,Beach Road,Mt.Lavinia.Sri Lanka.",3,2,"1,485 sqft"
10,Luxury Apartments.In Mount Lavinia,25 Jul  2:22 pm,"Mount Lavinia, Colombo","21,900,000","Floor No - 1st Floor.Unit  No  - A•	Whether you want to be a short walk away from the beach or the heart of the city, we have the Vesta apartment for you..2Bathroom3Bedrooms1 SlotCar Park1270Area (Sq.Ft)Wall tiledNon slippery floor tilesWaterproof doorProvision for hot water geyserInternational standard sanitary wares and fittings","Mount Lavinia, Beach Road, No 04.",3,2,"1,270 sqft"
