,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Commercial Property for Rent - Pelawatta,18 Jul  9:22 am,"Battaramulla, Colombo","650,000",NOTICE		: 	THE PROPERTY WILL BE VACANT ON JANUARY 2020,Building,"11,060 sqft",
2,"['Commercial Property for Rent - Pelawatta', '18 Jul  9:22 am', 'Battaramulla, Colombo', '650,000', 'NOTICE\t\t: \tTHE PROPERTY WILL BE VACANT ON JANUARY 2020', 'Building', '11,060 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Office Space for Rent in Heart of Pelewatha,20 Jul  1:25 pm,"Battaramulla, Colombo","75,000",1400 sq office space for rent in 2 nd floorIn a prime location in palawatta(infrint of Cargills Foodcity)Seperate entrance Suitable for a office space / or apartment.,Office,956 Pannipitiya Road Palawatha Batharamulla,"1,400 sqft"
4,Commercial Property for Rent - Pelawatta,18 Jul  9:22 am,"Battaramulla, Colombo","650,000",NOTICE		: 	THE PROPERTY WILL BE VACANT ON JANUARY 2020,Building,"11,060 sqft",
5,Panadura Town Commercial Building for Lease,17 Jul 11:19 am,"Battaramulla, Colombo","300,000","3 storied, Allocated car parking,Separate entrance for each floor,25M from Galle road,Situated opposite to the Panadura CTB bus standIdeal for Bank, Office purpose, Restaurant, GYM, Floor wise also possible to rent",Building,"114, Janapriya Mawatha, Panadura","6,000 sqft"
6,Shop For Rent In Battaramulla,14 Jul  3:53 pm,"Battaramulla, Colombo","30,000",Facing main street1st Floor shop with Bathroom FacilitiesParkingSeperate electricity billWalking distance to Sethsiripaya6month advance payment,Shop,"171, Main Street, Battaramulla.",190 sqft
7,Commercial Property For Rent In Battaramulla,12 Jul 12:16 pm,"Battaramulla, Colombo","52,500","Battaramulla, Robert Gunawardena Mawatha at No. 417, Second Floor (1000 sq. ft.) - 500 m from Battaramulla, Close to all the important government institutions,Sethsiripaya, UDA, RDA, Passport office, Western Provincial Council, Foreign Bureau, CEA ....  - Suitable for a office -      separate electricity & water supply. 6 months security deposit.",Building,"417, Robert Gunawardena Mawatha, Battaramulla","1,000 sqft"
8,"15,600 Sqft Commercial Space for Rent in Battaramulla",10 Jul  2:06 pm,"Battaramulla, Colombo","1,000,000",• Our Reference No LC 616( Please quote this reference number when inquiring),Building,Battaramulla,"15,600 sqft"
9,Upsatir Office Space for Rent in Pelawatte, 9 Jul  9:08 pm,"Battaramulla, Colombo","75,000",Upstair Office Space for Rent in Pelawatte Junction. in Parliment Road. Separate Entrance. Ideal Lacation for Any Kind of Commercial Purposes.,Office,850 sqft,
10,Shop for Rent in - Battaramulla, 6 Jul  4:42 am,"Battaramulla, Colombo","65,000",Shop for rent in battaramulla main street. Any business can do. Rs 65000 per month. There are three parts. Three business can do.Sale kirimatada idea eka atha.,Shop,650 sqft,
