,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Colonial Type House Rent for Office kirullapona, 8 Jul 12:43 pm,"Colombo 6, Colombo","90,000",8P.COLONIAL TYPE HOUSE FOR RENT WITH ALL FACILITIES KIRULLAPONE CLOSE TO BASELINE ROAD  20 FEET WIDE ROAD. ,Office,KIRULLAPONE,"1,200 sqft"
2,"['Colonial Type House Rent for Office kirullapona', ' 8 Jul 12:43 pm', 'Colombo 6, Colombo', '90,000', '8P.COLONIAL TYPE HOUSE FOR RENT WITH ALL FACILITIES KIRULLAPONE CLOSE TO BASELINE ROAD  20 FEET WIDE ROAD. ', 'Office', 'KIRULLAPONE', '1,200 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Office Space for Rent in - Colombo 3,20 Jul  7:41 pm,"Colombo 6, Colombo","45,000",Office Space for Rent in Colombo 3.,Office,425 sqft,
4,Commercial Property for Rent in - Colombo 6, 7 Jul  4:23 pm,"Colombo 6, Colombo","550,000","Property with 5 Rooms, 3 Internal Bathrooms, Security Room and Bathroom, Storage Room and a Shrine Room on 16.7 P Land.Parking Spaces Available for 10 -12 Vehicles.Wide Road Frontage Facing Stratford Avenue. In Close Proximity to Highlevel Road and Colombo-Horana Road.Ideal for Office or Business Purposes.",Building,"Stratford Avenue, Colombo 6","2,000 sqft"
5,Three Stories Building for Rent. - Wellawatte,20 Jul  2:20 pm,"Colombo 6, Colombo","275,000",Three stories building with three separate portion in a highly commercial area available for rent. In Wellawatte.,Building,Wellawatte,"3,200 sqft"
6,Wellawatte Office for rent,12 Jul  2:42 pm,"Colombo 6, Colombo","55,000","Colombo 6  –  Wellawatte.  Office For Rent. 615 Square Feet, 2 Main Rooms, 1 Store Room, 1 Toilet / Bathroom, Modern Pantry with Dining Area, 50 Meters from Galle Road (Near IFS).",Office,615 sqft,
7,Office Space For Rent in Colombo 6,10 Jul  2:34 pm,"Colombo 6, Colombo","300,000",♤Office Space For Rent in Colombo 6    Close To Wellawatta Gunction.☆Suitable For Office/Institute   /Academy/Call Centre.☆First Floor.☆2200sqft.☆4 Bath Rooms.,Office,Off Galle Road Colombo 6,"2,200 sqft"
8,Building for Rent in Colombo 6,10 Jul  2:33 pm,"Colombo 6, Colombo","300,000",♤Three Storied Building For Rent in    Colombo 6 Close To Pamankada    Junction.☆3 Floors.☆5 Rooms.☆2 Wash Rooms 3 Bath Rooms.☆Parking Available.,Building,Hevalock Road Colombo 6,"2,800 sqft"
9,2000 sqft Two unit house commercial/ residential Colombo 6,10 Jul 11:34 am,"Colombo 6, Colombo","180,000","Two unit unfurnished house available for rent at Lily Avenue, Colombo 6, Sri Lanka",Office,"Lily Avenue, Colombo 6","2,000 sqft"
