,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Building for Rent in - Dehiwela, 8 Jul  1:57 pm,"Dehiwala, Colombo","100,000","Ideally located just close to Galle Road, Dehiwela.",Building,"Campbell Place, Dehiwela","2,500 sqft"
2,"['Building for Rent in - Dehiwela', ' 8 Jul  1:57 pm', 'Dehiwala, Colombo', '100,000', 'Ideally located just close to Galle Road, Dehiwela.', 'Building', 'Campbell Place, Dehiwela', '2,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,3000 Sq.Ft 3 Storied Building for Rent - Dehiwala,14 Jul  7:34 am,"Dehiwala, Colombo","150,000","3 STORIED BUILDING FOR RENT IN DEHIWALA WITH ALL FACILITIES, MAIN ROAD FRONTAGE. ",Building,Dehiwala,"3,000 sqft"
4,Garment Factory for Rent in - Dehiwala,16 Jul  3:16 pm,"Dehiwala, Colombo","200,000",Garment Factory for Rent with Every Type of  30 Machines Including with Cutting/ironing/packing Facilities or sale every machines and equipment (negotiable sale) .Also We Can Introduce Few Operators.,Factory / Workshop,"1,200 sqft",
5,3000 Sq.Ft 3 Storied Building for Rent - Dehiwala,14 Jul  7:34 am,"Dehiwala, Colombo","150,000","3 STORIED BUILDING FOR RENT IN DEHIWALA WITH ALL FACILITIES, MAIN ROAD FRONTAGE. ",Building,Dehiwala,"3,000 sqft"
6,Office space for rent Dehiwala,13 Jul  8:41 pm,"Dehiwala, Colombo","65,000",Dehiwala facing galle road 1st floor 950 sf space for rent with one attached bathroom 6 months advanced,Office,950 sqft,
7,Buildings for rent or lease in Dehiwala,13 Jul  7:12 pm,"Dehiwala, Colombo","120,000","Building for rent or leaseNo 28A, Piyarathanarama place, Dehiwala (near the zoo)Fully tiled ,three bedrooms ,two bathrooms, two houses (ground and first floor) and second floor hall with rooftop. Parking available . Ideal for living, office, stores, boarding house for company or any suited business. Approximately 3000sqft. Three floors available to be leased separately. Total rent for all the floors 120,000If leased by one occupant rent can be negotiated.",Building,"13, Station Road, Dehiwala","3,000 sqft"
8,Dehiwala Office Spaces for Rent,13 Jul 11:48 am,"Dehiwala, Colombo","130,000","Dehiwala Alen avenue 5 floors of commercial building available for rent.Ground floor1700 sqft - 200,000 pm1 ft floor 1400 - 170,000 pm2nd floor 1400 - 130,000 pm3rd floor and 4th floors residential apartments for rent - 100,000 pm",Office,36 Alen Avenue,"1,400 sqft"
9,Office Space for Rent - Dehiwala,13 Jul 11:09 am,"Dehiwala, Colombo","100,000",5 th floor office space for rent  1500 sqft lift vehicle parking monthly rent 1 lakhs advance 6 month half month broker fees please no brokers suitable for it company,Office,galle road dehiwala,"1,500 sqft"
10,Warehouse/storage for Rent Dehiwala,12 Jul 11:41 pm,"Dehiwala, Colombo","600,000",Warehouse/storage for rent sqft 12000   price for per sqft 50 total price 6 lakh advance 6 month half month broker fees please no brokers  immediately rent,Warehouse / Storage,main road attidiya dehiwala,"12,000 sqft"
11,5500 Sqft Commercial Space for Rent in Dehiwala,11 Jul  4:33 pm,"Dehiwala, Colombo","700,000",• Our Reference No LC 553( Please quote this reference number when inquiring),Building,Dehiwala,"5,500 sqft"
12,1st floor Property for Rent Galle Road Dehiwala,10 Jul  3:51 pm,"Dehiwala, Colombo","60,000",Facing dehiwala galle road building first floor for rent. Glass fitted and tiled floor.,Office,No. 22 Galle Road Dehiwala.,550 sqft
13,Building for Rent - Dehiwala,10 Jul 10:30 am,"Dehiwala, Colombo","700,000",Building for rent  6000 sqft monthly rent 700000 advance 1 year month half month broker fees please no brokers suitable for company storage/,Building,dehiwala city,"6,000 sqft"
14,Office Space Rent - Dehiwala, 9 Jul 12:15 pm,"Dehiwala, Colombo","100,000","Office Space Rent in Dehiwala,  Sqft 2000, Rent Rs 100,00/ per month make and earlier appointment",Office,Dehiwala,"2,000 sqft"
