,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Commercial Property for Rent in Maharagama,30 Jun  9:42 am,"Maharagama, Colombo","160,000",Commercial Property for rent in Maharagama==================================,Building,"1,750 sqft",
2,"['Commercial Property for Rent in Maharagama', '30 Jun  9:42 am', 'Maharagama, Colombo', '160,000', 'Commercial Property for rent in Maharagama==================================', 'Building', '1,750 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Office Space At A Prime Location In Maharagama,17 Jul 11:44 pm,"Maharagama, Colombo","100,000",Ground floor of a house only 5 minutes walk from Maharagama city centre is on offer for letting for a commercial property or residential living. ,Office,"1,090 sqft",
4,Two Workshop Space / Storage for Lease Maharagama,12 Jul  7:13 pm,"Maharagama, Colombo","50,000","Two work space / storage spaces are available near Parakum mawatha, Maharagama (close to Keells Supermarket 119 road near Maharagama Cancer hospital road). Small Area is approx 450 sqrft, Large Area approx 2400 sqrft. It was used as a garment previously and could be used as storage as well. Please contact number for more details, leases are as belowSmall Area lease -> Rs. 30,000/=Large Area lease -> Rs. 50,000/=",Factory / Workshop,"No 107/1, Parakum Mawatha, Maharagama","2,850 sqft"
5,Commercial Building for Rent in - Maharagama, 7 Jul  1:47 pm,"Maharagama, Colombo","60,000",Commercial Building 2nd Floor for For Rent. Building Is Located in Old Road Maharagama Behind the Telecom3 Bedrooms 1 BathroomLiving & Pantry Suits for Office Space,Office,"173, Old Road, Maharagama",800 sqft
6,Restaurant / Hotel For Rent In Maharagama, 4 Jul 10:34 pm,"Maharagama, Colombo","210,000",On going restaurant. ,Restaurant,"73/A Highlevel Road,Maharagama","1,000 sqft"
7,Shop for Rent in Maharagama, 4 Jul  2:50 pm,"Maharagama, Colombo","45,000","Business space (shop) for rent at nawinna road, maharagama ",Shop,600 sqft,
8,Commercial Building for Rent in Maharagama, 3 Jul  5:52 pm,"Maharagama, Colombo","650,000",Commercial Building for Rent in Maharagama===================================,Building,"6,500 sqft",
9,Building for rent in Maharagama facing High Level Road, 1 Jul  4:15 pm,"Maharagama, Colombo","200,000","Two floors of the newly constructed building at No 214, High Level Road, Maharagama with all facilities are available for rent or lease. Each floor has a floor area of 4000 square feet. Separate toilets, Electricity and water meters for each floor. Elevator,  back-up power(Generator) and parking area available.",Building,"4,000 sqft",
10,Maharagama Building | For Rent - R0520, 5 Jul 12:57 pm,"Maharagama, Colombo","1,500,000",This Building is close to Maharagama cool planetParking space for 16 vehicles.,Building,"15,000 sqft",
11,Office Space Available nawinna nugegoda,30 Jun 10:56 am,"Maharagama, Colombo","300,000","2200 square feet property availableMain road facingSuitable for office, restaurant, supermarketPlease call",Restaurant,141 old kottawa road nugegoda,"2,200 sqft"
12,Apartment complex for rent in nawinna, 3 Jul  4:56 pm,"Maharagama, Colombo","1,500,000",Total apartments 421bedroom apartment 8 Floors Lift available Parking available A/C Non A/C apartments available,Building,141 old kottawa Road Nawina Maharagama,"25,000 sqft"
