,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Commercial Building for Rent - Nawala,19 Jul  5:25 pm,"Nawala, Colombo","180,000",There are 2 floors available : - 1st floor                                               - 2nd floorEach floor comprises of : - 2160 sq ft.                                          - Glass frontOther facilities available : - Parking                                          - Elevator                                          - GeneratorOwned by : Dr.W.L.A Wijedasa,Building,"No.25, Narahenpita road, Nawala","2,160 sqft"
2,"['Commercial Building for Rent - Nawala', '19 Jul  5:25 pm', 'Nawala, Colombo', '180,000', 'There are 2 floors available : - 1st floor                                               - 2nd floorEach floor comprises of : - 2160 sq ft.                                          - Glass frontOther facilities available : - Parking                                          - Elevator                                          - GeneratorOwned by : Dr.W.L.A Wijedasa', 'Building', 'No.25, Narahenpita road, Nawala', '2,160 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Commercial Building for Lease in Nawala, 6 Jul 10:07 am,"Nawala, Colombo","6,000,000","Prime location facing Nawala Road, Nawala. 7 storeyed building. Built on 5 floors and extends up to 50,000 sq.ft. Each Floor approx 6000 Sqft (approx) Total Carpet area - 42,000 Sqft. Underground Car Park Area -10,000 (2 Floors) Designated Car Parks -50+, Central A/C system, Separate Transformer, Backup Generator (630 KVA), 2 Elevators, Each Gender split washrooms per floor, Suitable for Showroom (Ground Floor) and other Floors for any office Space.",Building,275 Nawala Road,"50,000 sqft"
4,Commercial Space for Rent Rajagiriya,20 Jul  5:28 am,"Nawala, Colombo","650,000",Nawala road rajagiriya building space for rent 3rd floor 5200 sqft elevator vehicles car parking monthly rent 650000 advance 6 month half month broker fees please no brokers,Building,Nawala road Rajagiriya,"5,200 sqft"
5,Commercial Building for Rent - Nawala,19 Jul  5:25 pm,"Nawala, Colombo","180,000",There are 2 floors available : - 1st floor                                               - 2nd floorEach floor comprises of : - 2160 sq ft.                                          - Glass frontOther facilities available : - Parking                                          - Elevator                                          - GeneratorOwned by : Dr.W.L.A Wijedasa,Building,"No.25, Narahenpita road, Nawala","2,160 sqft"
6,Office Space for Rent - Nawala,17 Jul  9:48 pm,"Nawala, Colombo","45,000","Office space facing Nawala main road is for rent inclusive all basic facilities like electricity, water, lights and a toilet",Office,450 sqft,
7,Building for Rent in Nawala,16 Jul  7:13 am,"Nawala, Colombo","150,000",Nawala road rajagiriya 2nd floor office space for rent 1200 sqft elevator car parking monthly rent 150000 advance 6  month half month broker fees please no brokers,Building,nawala road Rajagiriya,"1,500 sqft"
8,Commercial Building For Rent Nawala,15 Jul 10:26 am,"Nawala, Colombo","450,000",Nawala Road facing 6000 sqft 3 story building 450000.00 Lease or rent 6 Parking Office School Ware house,Building,Nawala,"6,000 sqft"
9,Office Space for Rent in Nawala [AR06],11 Jul  7:32 am,"Nawala, Colombo","200,000","The top floor [only] of a three story building is available for long term rent, suitable for residential or office purposes. The property is located facing Nawala Road, less than 300 meters from Nawala Junction. The unit features a separate entrance with an indoor staircase leading to the premises. ",Office,"Nawala Road, Nawala","1,750 sqft"
10,3 Story Building For Rent Nawala, 7 Jul  9:12 am,"Nawala, Colombo","600,000",Nawala road facing 7000 sqft 3 story building rent 600000.00,Building,Nawala,"7,000 sqft"
