,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Shop for Rent (Commercial Property) - Nugegoda,19 Jul  8:35 am,"Nugegoda, Colombo","160,000","Commercial property for rent in Nugegoda, Old Kesbewa Raod. Ideal for a Showroom, Clothing Store, Grocery shop or for a Hotel 24x7 ( Current Lessee - Milano Hotel ) With or without furniture and fittings. 1500+ Squat feet Expecting 1.5 million advance for two to four year agreement. Monthly rent 160,000/=",Shop,"1,500 sqft",
2,"['Shop for Rent (Commercial Property) - Nugegoda', '19 Jul  8:35 am', 'Nugegoda, Colombo', '160,000', 'Commercial property for rent in Nugegoda, Old Kesbewa Raod. Ideal for a Showroom, Clothing Store, Grocery shop or for a Hotel 24x7 ( Current Lessee - Milano Hotel ) With or without furniture and fittings. 1500+ Squat feet Expecting 1.5 million advance for two to four year agreement. Monthly rent 160,000/=', 'Shop', '1,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Commercial Office for Rent Facing High Level Road Nugegoda,14 Jul  2:18 pm,"Nugegoda, Colombo","150,000",2000 sq ft Commercial Office for rent facing high level road at Gamsabha Junction.Just opposite  building to Keels Super market.,Office,"292,High Level road,Gamsabha Junction,Nugegoda","2,000 sqft"
4,Single Story Office with 10 Car Parking Slots for Rent - Nugegoda, 8 Jul 10:19 am,"Nugegoda, Colombo","175,000",* - This office permission has more than 10 Car Parks with 1000 Square Feet and 16 Desk are available. Fulled furnished and with A/C Facility ,Office,Jumbugamulla Road Nugegoda,"1,500 sqft"
5,"Office for Rent in Nawala Rd, Nugegoda",19 Jul  4:09 pm,"Nugegoda, Colombo","40,000","නාවල - නුගේගොඩ පාරට මුහුණලා පිහිටා ඇත.විවෘත විශ්ව විද්‍යාලය ආසන්නයේ පිහිටා ඇත.පළවන මහල, වෙනම පිවිසුමතොරතුරු තාක්ෂණ කාර්යාලයකට හෝ වෙනත් කාර්යාලයකට සුදුසුය.මාස 6ක අත්තිකාරම් මුදලක් ලබා ගැනේ.",Office,"176/1, Nawala Rd, Nugegoda",400 sqft
6,Office Space for Rent in Nugegoda (1070 B ),19 Jul  3:04 pm,"Nugegoda, Colombo","80,000",Two story house  Five bedrooms with three bathrooms1500 sqft08 perch land( One land with two houses. one house is available ),Office,JAMBUGASMULLA MAWATHA,"1,500 sqft"
7,2500 SQ 2 Storied Buidling Rent with Car Parking - Nugegoda,18 Jul 12:50 pm,"Nugegoda, Colombo","125,000",This building is facing 40 Feet Road,Building,Nugegoda,"1,250 sqft"
8,Warehouse for Rent Nugegoda,19 Jul  9:33 am,"Nugegoda, Colombo","150,000",Office/ Stores/ Warehouse space available for rent or lease at Nugegoda with over 4000sqft floor area (Two storey house with 11 rooms) & car park (Garden area) for over 12 vehicles. Property is facing Udahamulla Nugegoda main Road & with specious access.,Warehouse / Storage,Udahamulla Station Road,"4,000 sqft"
9,Commercial Building for Rent Udahamulla,19 Jul 10:29 pm,"Nugegoda, Colombo","150,000","තෙමහල් ගොඩනැගිල්ල ,ව්‍යාපාර ස්ථානයකට ඉතා කදිම ස්ථානයක්. උඩ තට්ටු දෙක නිවසක් වශයෙන්ද භාවිතා කලහැක.",Building,"උඩහමුල්ල, ඡයපාර.","3,900 sqft"
10,4 Story Building For Rent - Nugegoda,15 Jul 10:26 am,"Nugegoda, Colombo","450,000",Nugegoda 4 story Building 3000 sqft Main road facing 450000.00 Monthly Rental,Building,Nugegoda,"3,000 sqft"
