,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Commercial Property Is For Rent At Minuwangoda Galle,17 Jul  1:40 pm,"Galle, Galle","70,000","2 story Building is for Rent near Minuwangoda Rail Gate GalleFace to Wackwella RoadWater and electricity separately Washrooms with all facilities Fully tiled Good Business location Ground floor 600 Sqft1st Floor 600 SqftCan access both floors separately Ground floor can give for Rs.75,0001st floor can give for Rs.35,000Call for more information ගාල්ල මිණුවන්ගොඩ හන්දිය අසලපිහිටි පාරට මුහුණලා ඇති අනර්ඝ ගොඩනැගිල්ලබදු දීමට ඇතසියලු පහසුක සහිතයව්‍යාපාර කටයුතු සඳහා කදිම ස්ථානයකිමහල් දෙක වෙන් වෙන් වශයෙන්ද ලබාදිය හැකජලය විදුලිය වෙන වෙනම ඇතමහල් දෙකම වෙන් වෙන්ව භාවිතාකිරීමට හැකිපරිදි ඇතවැඩි විස්තර සඳහා විමසන්න",Building,"186, wackwella Road, Minuwangoda, Galle",600 sqft
2,"['Commercial Property Is For Rent At Minuwangoda Galle', '17 Jul  1:40 pm', 'Galle, Galle', '70,000', '2 story Building is for Rent near Minuwangoda Rail Gate GalleFace to Wackwella RoadWater and electricity separately Washrooms with all facilities Fully tiled Good Business location Ground floor 600 Sqft1st Floor 600 SqftCan access both floors separately Ground floor can give for Rs.75,0001st floor can give for Rs.35,000Call for more information ගාල්ල මිණුවන්ගොඩ හන්දිය අසලපිහිටි පාරට මුහුණලා ඇති අනර්ඝ ගොඩනැගිල්ලබදු දීමට ඇතසියලු පහසුක සහිතයව්\u200dයාපාර කටයුතු සඳහා කදිම ස්ථානයකිමහල් දෙක වෙන් වෙන් වශයෙන්ද ලබාදිය හැකජලය විදුලිය වෙන වෙනම ඇතමහල් දෙකම වෙන් වෙන්ව භාවිතාකිරීමට හැකිපරිදි ඇතවැඩි විස්තර සඳහා විමසන්න', 'Building', '186, wackwella Road, Minuwangoda, Galle', '600 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,First Floor Shop for Rent in Galle,12 Jul 10:09 pm,"Galle, Galle","110,000","First floor of a 3 store building, opposite keels super for rent in kaluwalle, suitable for office,fiance institute,show rooms,mini super market & many with full facilities",Shop,"kaluwalla, Galle, opposite KEELS SUPER","1,000 sqft"
4,30 Rooms Hotel with 02 Wedding Halls for Rent in Unawatuna Beach,18 Jul 12:38 pm,"Galle, Galle","4,000,000", 4 Story Hotel complex completed in 2016 End.,Hotel,Unawatuna,"20,000 sqft"
5,Luxury Three Storey Commercial Building For Rent In Karapitiya,14 Jul 10:25 pm,"Karapitiya, Galle","1,000,000",Newly Built Luxury Three Storey Commercial Building for RentPrime location - Facing to Karapitiya - Labuduwa main roadNewly Constructed (not occupied yet),Building,Karapitiya-Labuduwa Main Raod,"4,000 sqft"
6,Commercial Property Is For Rent At Minuwangoda Galle,17 Jul  1:40 pm,"Galle, Galle","70,000","2 story Building is for Rent near Minuwangoda Rail Gate GalleFace to Wackwella RoadWater and electricity separately Washrooms with all facilities Fully tiled Good Business location Ground floor 600 Sqft1st Floor 600 SqftCan access both floors separately Ground floor can give for Rs.75,0001st floor can give for Rs.35,000Call for more information ගාල්ල මිණුවන්ගොඩ හන්දිය අසලපිහිටි පාරට මුහුණලා ඇති අනර්ඝ ගොඩනැගිල්ලබදු දීමට ඇතසියලු පහසුක සහිතයව්‍යාපාර කටයුතු සඳහා කදිම ස්ථානයකිමහල් දෙක වෙන් වෙන් වශයෙන්ද ලබාදිය හැකජලය විදුලිය වෙන වෙනම ඇතමහල් දෙකම වෙන් වෙන්ව භාවිතාකිරීමට හැකිපරිදි ඇතවැඩි විස්තර සඳහා විමසන්න",Building,"186, wackwella Road, Minuwangoda, Galle",600 sqft
7,First Floor Shop for Rent in Galle,12 Jul 10:09 pm,"Galle, Galle","110,000","First floor of a 3 store building, opposite keels super for rent in kaluwalle, suitable for office,fiance institute,show rooms,mini super market & many with full facilities",Shop,"kaluwalla, Galle, opposite KEELS SUPER","1,000 sqft"
8,Hotel For Rent In Hikkaduwa Front Of The Beach, 7 Jul  5:07 pm,"Hikkaduwa, Galle","100,000","Rebeka Garden Hotel, large Restaurant & Reception Hall for rent. Just after you cross the Galle to Colombo Road in godagama kahava, before you enter Hikkaduwa from the Galle side, you will find a magnificent reception hall & large restaurant. The location of the reception hall is unique with a fantastic sea view. The two story building can accommodate around 350 guests, where as all facilities are available, either for rent (including its furniture & all accessories)part from the reception hall there are five rooms. One family A/C room & four non A/c rooms. there is plenty of space to add a few more rooms. Land size 130 purchase",Hotel,"35,392 sqft",
9,Wanduramba Lion Center Building for Rent,15 Jul  2:13 pm,"Galle, Galle","20,000",වදුරඹ නගර මධ්‍යයේ තෙල් පිරවුම්හල ඉදිරිපිට හා මහජන බැංකුවට හා ලංකා බැංකුවට යාබදව පිහිටි තෙමහල් ගොඩනැගිල්ලේ        **රජයේ හෝ පෞද්ගලික ආයතනයකට සුදුසු වර්ග අඩි 1800 කින් යුත් බිම් මහලේ කොටස,Building,"1,800 sqft",
10,Shop For Rent - Baddegama, 2 Jul 10:34 am,"Baddegama, Galle","14,000","Suitable for a shopLocated near Pothupitiya Furniture Shop, Baddegama TownWater,Electricity,wash room and store facilities are availableLand covered from a wall",Building,"1,362 sqft",
11,Prime Commercial Building for Rent - Galle, 1 Jul  7:17 pm,"Galle, Galle","300,000","මෙම ගොඩනැගිල්ල ගාල්ල නගරයේ ඉතාමත් අනගි ව්‍යාපාරික hot spot  එකක පිහිටා ඇත. මෙය වට ඇති ව්‍යාපාර නම්, DSI, BATA , සහන කූල් ස්පොට්, අබාන්ස්, යුනියන බැංකුව, කොමර්ශල් බැංකුව, LB  ෆිනැන්ස් etc . මෙහි තට්ටු 2ක් ඇති අතර, මෙම ගොඩනැගිල්ලට පැති 2කින් ඇතුල් වීමට හැක. (ඕල්කට් මාවත, ඕල්කට් පිළිරුව අසලින් හා ගාල්ල මහජන පොළ අසලින් ). උඩු මහලේ 2000sqft  සහ යටි මහලේ 2000sqft. ඕනෑම වයපාරයකට ඉතාම සුදුසු ස්ථානයකි. බැංකුවකට ඉතාම සුදුසුයි. . සියලු පහසුකම් ඇත. ඔනම ප්‍රවාහන මාද්යකට ඉතා ආසන්නය.  වැඩි විස්තර -Prime commercial building situated near all the sophisticated businesses is to be rented/ leased. This building has 2 stories- 2000 sqft each. This has a rich neighborhood and finest location that attracts customers from all the sides. This is in the heart of Galle and this has all sorts of transport facilities. Suitable for any type of business and even for offices. Walking distance to Galle Matara road. Only serious considerations please.",Building,Olcott Mw,"4,000 sqft"
12,Ware House / Storage/ Showroom Office Building Rent in Galle.,29 Jun  9:43 pm,"Galle, Galle","135,000",Ware house / Storage/ Showroom / Office Building Rent in Galle A Highly Commercial Property to be rented out at the Center of the Galle City one of the finest points in Galle Town. Ideal for warehouse / Storage/ Showroom / Office Building  ETC 3500 Sqft Parking Area - 5000 Sqft  5 Mints to Galle Bus Stand 10 Mints to Galle Highway Entrance for More information please Contact Muzine,Warehouse / Storage,Olcott Mawatha Galle,"8,500 sqft"
13,Shop for Rent in Galle town.,19 Jun 12:17 pm,"Galle, Galle","135,000",Shop for Rent in Galle town.show is located at the start of the Galle town with 2 storey and a rooftop,Shop,585 sqft,
14,"Hotel for Rent , tissamaharamaya",18 Jun  6:16 pm,"Galle, Galle","60,000","8 ROOMS WITH ATTACH BARTH ROOM.1KM TO TISSA, 500M TO YODHA KANDIYA.",Hotel,"Oshadi Holiday Resort, Kirinda Road , Kasingama, tissamaharamaya","1,000 sqft"
15,Building for Rent in Galle (2 floors), 9 Jul  1:08 pm,"Galle, Galle","50,000","Bottom floor 750sqft, Top floor 550sqft ~facing to old matara road but backside 3sqft road is available from to go sea road~ (very close to galle town)",Building,"No.166,Old matara road,pettigalawatte,galle.","1,300 sqft"
16,Commercial Property for Rent in Galle,15 Jun  9:18 am,"Galle, Galle","90,000",මිදිගම හංදියට ආසන්නව ගාල්ල-මාතර ප්රසධාන පාර අසල පර්. 48කින් යුත් ඉඩමේ වර්ගඅඩි 3500 ක පමණ ප්ර මාණයකින් යුත් ඉතා අගනා නිවස සහ ඉඩම ව්යා පාරයක් සඳහා දීර්ඝකාලීනව හෝ කොටි කාලීනව බද්දට දීමට ඇත. ඉතා සුන්දර පරිසරයකින් ද යුක්තය.Rooms- 3bath room - 1servant bath room -1,Other,"Midigama junction, Galle","3,500 sqft"
17,Commercial Building for Rent in Ambalangoda,12 Jun  7:12 pm,"Ambalangoda, Galle","75,000",අම්බලන්ගොඩ මහා වීදියේ ව්‍යාපාර ස්ථානයකට සුදුසු දෙමහල් ගොඩනැගිල්ල බදු දීමට ඇත.( වර්ග අඩි 1200)වර්ග අඩි 600 ක බිම් මහල සහ වර්ග අඩි 600 ක ඉහළ මහළ ඇත.නාන කාමර පහසුකම් ඇත පැමිණ විමසීමෙන් පසුව මිල ගණන් සාකච්ඡා කරගත හැක.වැඩි විස්තර සඳහා ඉක්මනින් විමසන්න,Building,Main Street Ambalangoda,"1,200 sqft"
18,Hotel for Rent in - Galle,11 Jun  5:06 pm,"Galle, Galle","650,000","11 rooms flooting rooms, river face  rooms , jungle face rooms, swimming pool,125kw Genarator full equipment kitchen. All rooms are air conditioning and hot water. 200 pax capacity Restuarent  available. Running hotel. Location Mahaladuwa balapitiya galleRiver boarder in Maduganga",Hotel,Mahaladuwa Balapitiya Galle,"20,000 sqft"
19,"Business Spaces for Lease - Karapitiya, Galle",10 Jun  9:54 am,"Galle, Galle","400,000",Ground floor and 1st floor each containing over 2000sqft in a building at Karapitiya junction available for lease on reasonable terms to a private bank or a business organization,Building,"Karapitiya Junction, Galle","4,200 sqft"
20,Commercial Property for Rent in - Ambalangoda, 7 Jun  1:01 pm,"Ambalangoda, Galle","60,000",Situated in Highly Commercial Area at Ambalagoda.Adjoining to Galle RoadGround Floor of Nations Trust Bank Building.Opposite of Asb Shopping Complex.,Shop,"No.20, 5th Cross street, Ambalangoda",300 sqft
21,Property for rent Near Kalegana Galle, 5 Jun  3:41 pm,"Galle, Galle","75,000",2 Story Building facing Kalegana  Wackwella Road150m to Kalegana Junction Suitable for living and Business Ground Floor -:  1 Room / Washroom  and Hall,Building,Kalegana Galle,"2,200 sqft"
22,Shop for Rent in Galle,19 Jun  2:32 pm,"Galle, Galle","40,000",Commercial property for rent heading to wackwella road near julgaha junction,Shop,"No:344,wackwella road",750 sqft
23,ව්‍යාපාරික ස්ථානයක් බදු දීමට. කුරුදුගහ /ඇල්පිටිය නගරයේ,18 Jun  2:37 pm,"Elpitiya, Galle","75,000","කුරුදුගහ හැතැප්ම නගරයේ ව්‍යාපාරික ස්ථානයක් ඛදු දීමට ඇත.#. කුරුදුගහ අධිවේගී පිවිසුමට දුර 500 m. #. ඔීනෑම ව්‍යාපාරයකට / අයතනයකකට සුදුසුයි.#. වගීි අඩි 793+250ක් සහිත තෙමහල් ගොඩනැගිල්ල#. සියලු පහසුකම් සහිතයිපිලිගත් ආයතනයක් සදහා බදු දීමට,, විමසන්න .",Building,Kurudugaha - elpitiya,"1,590 sqft"
24,Commercial Property for Rent - Galle, 3 Jun  4:44 pm,"Galle, Galle","25,000","A/C shop,attach bathroom,good for office,saloon,pharmacy,studio,book shop,phone shop,all kind of show rooms.in front of abeywickrama food city & dsp y zone gim.immediately for rent",Shop,kalegana galle,500 sqft
25,First Floor for Rent in Newly Built Building Karapitiya, 7 Jul  2:06 pm,"Karapitiya, Galle","75,000","1st floor of a newly built building is for rent. The floor has 1400 sq.ft.Parking space available.Suitable for a bank, showroom, office, shop, restaurant etc.The floor can be partitioned. Separate washrooms available. 300m to Karapitiya Junction, 500m to Labuduwa Junction, 50m to Cargills FoodCity and other banks",Building,"No.251, Labuduwa Rd, Karapitiya, Galle","1,400 sqft"
26,Hotel for Lease in Ambalangoda,31 May  4:36 pm,"Ambalangoda, Galle","500,000","Hotel for Lease in Ambalangoda, Facing Galle road",Hotel,"Galle Road, Ambalangoda","7,000 sqft"
27,Commercial Building For Rent - Baddegama,31 May  4:01 pm,"Galle, Galle","140,000","* Very suitable for bank, financialc company, office or commercial show room",Building,"Gothatuwa, Baddegama","3,000 sqft"
28,ගාල්ල නගරයෙන් ඕනෑම ව්‍යාපාරයකට සුදුසු ගොඩනැගිල්ලක්,28 May 11:05 am,"Galle, Galle","60,000","මෑතක දී ටයිල් කරන ලද පොලොව ,ලී නිමාවෙන් යුතු සිවිලිම  සමගින යකඩ ග්‍රිල්  මගින් මනාව ආරක්‍ෂිත කර ඇති කඩ කාමරයකි. .තවමත් අලුත්වැඩියා කටයුතු සිදු වෙන බැවින් ඔබේ අවශ්‍යතාවය මත ගොඩනැගිල්ලට වෙනස්කම් කල හැක .",Shop,"400,MATARA ROAD,MAGALLE GALLE",800 sqft
29,First Floor Shop for Rent in Galle,12 Jul 10:09 pm,"Galle, Galle","110,000","First floor of a 3 store building, opposite keels super for rent in kaluwalle, suitable for office,fiance institute,show rooms,mini super market & many with full facilities",Shop,"kaluwalla, Galle, opposite KEELS SUPER","1,000 sqft"
