,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Office Space for Rent in Wattala Junction,28 Jun  8:11 pm,"Wattala, Gampaha","115,000",Office space for rent in Wattala Junction old Negambo roadSuitable for any kind of businessPrice 115000 per monthParking space available,Office,"3,500 sqft",
2,"['Office Space for Rent in Wattala Junction', '28 Jun  8:11 pm', 'Wattala, Gampaha', '115,000', 'Office space for rent in Wattala Junction old Negambo roadSuitable for any kind of businessPrice 115000 per monthParking space available', 'Office', '3,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Warehouse Space For Rent Pethiyagoda,20 Jul 11:07 am,"Gampaha, Gampaha","2,000,000","Pethiyagoda 40,500 sqft Warehouse•	6.5km to port gate•	40 feet container access facing Biyagama main road•	Guaranteed flood free•	Office toilets and worker toilets•	Security rooms and quarters •	CCTV•	Ample parking•	Work gangs•	Office Spaces",Warehouse / Storage,Pethiyagoda,"40,000 sqft"
4,Commercial Property / Office Space - Ganemulla,20 Jul  3:04 pm,"Gampaha, Gampaha","75,000","Commercial property / Office Building Rent in Ganemulla junction - Opposite Peoples bank, 1800 Sqft , Ground floor. This is suitable for office, banks, saloon, doctor channeling etc .. Car parkings available for 6 carsTwo big washrooms",Building,Ganemulla,"1,800 sqft"
5,Commercial Building For Rent in Kadawatha, 4 Jul  6:23 pm,"Kadawatha, Gampaha","35,000",Commercial Building For Rent in Kadawatha,Building,Kadawatha,"1,800 sqft"
6,Garment Factory for Rent Katunayake,20 Jul  5:24 am,"Katunayake, Gampaha","2,500,000",garment Factory/warehouse/ storage for rent 40000 sqft monthly rent 25 lakhs 1 year advance half month broker fees please no brokers,Factory / Workshop,"Seeduwa Road, Katunayake","40,000 sqft"
7,Commercial Property First Floor for rent Kandana,20 Jul  1:35 am,"Kandana, Gampaha","25,000","Nagoda Kandana commercial property first floor for rent.475 sqft.Rent price per month is 25,000.6 months advance.Faced to Negombo main road.Any genuine is fine.Rent price of half month (12,500) is charged as our agent fee. Get your appointment before an hour at least.Genuine buyers only no brokers",Building,Nagoda Kandana,475 sqft
8,Office Building for Rent Raddoluwa,19 Jul 11:58 am,"Minuwangoda, Gampaha","15,000","Office Space/ Showroom available for rent in Raddoluwa, facing Seeduwa Raddoluwa, Kotugoda Road. ",Building,Seeduwa Raddoluwa Kotugoda Road,600 sqft
9,Lecture Rooms for Rent In Negombo Town,17 Jul 11:09 pm,"Negombo, Gampaha","60,000",Classrooms complete with student and office furniture are available for monthly rental. Located in very close proximity to Negombo bus terminal and surrounded by other educational institutes. Third floor of the building. Rear vehicle park.,Other,"187 Thaladuwa Road , Negombo.","1,600 sqft"
10,"Warehouse For Rent 20,000 Sqft In Kelaniya",19 Jul  4:16 pm,"Gampaha, Gampaha","1,000,000",• COMMODITY BULK STORAGE	,Warehouse / Storage,Pethiyagoda Kelaniya,"20,000 sqft"
11,Commercial Building For Rent Kelaniya,17 Jul  4:41 pm,"Kelaniya, Gampaha","110,000","නුවර පාරට මායිම්ම, පෑලියගොඩ අධිවේගී පිවිසුමට 1 KM පමණ, කැලණිය දුම්රිය ස්ථානයට 400 M පමණ, කැලණිය පට්ටිය හන්දිය සිට 300 M පමණ කොළඹ දෙසට පිහිටි ව්‍යාපාරයකට හෝ කාර්යාලයකට ඉතා සුදුසු නවීන පන්නයට සකසා ඇති සියලු පහසුකම් සහිත මෙම ගොඩනැගිල්ල බද්දට දීමට තිබේ.",Building,"512/1/1, Kandy Road, Pattiya Junction, Kelaniya",390 sqft
12,Restaurant for Rent in - Yakkala,17 Jul  8:50 pm,"Gampaha, Gampaha","120,000","On Going Restaurant( Tasty Food Yakkala.)situated at Yakkala Town.This Has Tables Chairs ,kitchen with All Equipments.If You Are Interested Please Contact for More Details.More details visit our website www . tasty food yakkala",Restaurant,975 sqft,
