,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,3 Story Bulling & Modern House for Rent in Waragoda, 6 Jul  6:08 pm,"Kelaniya, Gampaha","50,000","කැලණිය,වරාගොඩ ( ධර්මාලෝක මහා විද්‍යාලය ) අසල නව තෙමහල් ගොඩනැගිල්ල කුලියට දීමට ඇත.",Building,"3,700 sqft",
2,"['3 Story Bulling & Modern House for Rent in Waragoda', ' 6 Jul  6:08 pm', 'Kelaniya, Gampaha', '50,000', 'කැලණිය,වරාගොඩ ( ධර්මාලෝක\xa0මහා\xa0විද්\u200dයාලය ) අසල නව තෙමහල්\xa0ගොඩනැගිල්ල කුලියට\xa0දීමට\xa0ඇත.', 'Building', '3,700 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Commercial Building For Rent Kelaniya,17 Jul  4:41 pm,"Kelaniya, Gampaha","110,000","නුවර පාරට මායිම්ම, පෑලියගොඩ අධිවේගී පිවිසුමට 1 KM පමණ, කැලණිය දුම්රිය ස්ථානයට 400 M පමණ, කැලණිය පට්ටිය හන්දිය සිට 300 M පමණ කොළඹ දෙසට පිහිටි ව්‍යාපාරයකට හෝ කාර්යාලයකට ඉතා සුදුසු නවීන පන්නයට සකසා ඇති සියලු පහසුකම් සහිත මෙම ගොඩනැගිල්ල බද්දට දීමට තිබේ.",Building,"512/1/1, Kandy Road, Pattiya Junction, Kelaniya",390 sqft
4,Shop for Rent Kelaniya,15 Jul  6:16 pm,"Kelaniya, Gampaha","23,000","Newly built shop for rent on a two storied commercial building on Gonawala Road, close to Naagahamulla Junction.Vacant shop locataed on the ground floor. Includes basic amenities such as water, electricity and bathroom facilities.Ideal space of salon, clothes shop, grocery, hardware, storage space, juice bar, tuition classes, dance class, medical laboratory.",Shop,"No. 275/A Gonawala Road, Kelaniya",500 sqft
5,Shop in Kelaniya,15 Jul 11:22 am,"Kelaniya, Gampaha","35,000","දුම්රියපොල පෙනෙන මානයේ ,නුවරපාරට     100mබියගම පාරට 150mජාතික පාසලක් ඉදිරිපිට commercial property for rent in gampahashop rent in kelaniya",Shop,"දුම්රියපොල මාවත,කෑළණිය",776 sqft
6,Commercial Building For Rent Or Lease in Kelaniya,12 Jul 11:38 am,"Kelaniya, Gampaha","130,000",Commercial Building For Rent Or Lease in Kelaniya,Building,Kelaniya,"2,000 sqft"
7,Commercial Property for Rent - Kelaniya,16 Jul  9:52 pm,"Kelaniya, Gampaha","100,000","Newly Completed three story house is for long and short term rent. An ideal place for an Office, rent house or any other commercial activity. Close to Biyagama main road. - 1.5km to kelaniya temple, 10 km to colombo- 5 bed rooms , 3 Attached bathrooms- Extra 10 perch land for storage space  - 10-15 vehicle parking space - Fully tiled with pantry - Separate entrance to upstairs- Large garden area, Balcony, lobby - Water, electricity and other supplies - Can be rented out as separate floors - Expecting 6 month's key money  With many more facilities , Call for moreCan be inspect in weekends and weekday after 5.30pm only",Building,"kelaniya, Biyagama road, Gonawala West, Udana mawatha.","5,000 sqft"
8,3 Story Bulling & Modern House for Rent in Waragoda, 6 Jul  6:08 pm,"Kelaniya, Gampaha","50,000","කැලණිය,වරාගොඩ ( ධර්මාලෝක මහා විද්‍යාලය ) අසල නව තෙමහල් ගොඩනැගිල්ල කුලියට දීමට ඇත.",Building,"3,700 sqft",
9,Shop for Rent in - Kelaniya, 1 Jul  5:24 pm,"Kelaniya, Gampaha","20,000","Shop in Kelaniya Station Road , 200 Sqft",Shop,200 sqft,
