,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Building for Rent in Kandy,18 Jul  4:35 pm,"Kandy, Kandy","525,000","The building is right in front of the new keels super market mahiyawa, kandy. 3storey building with sqft2890 each. Can park 7 vehicles. Each floor has two toilets. Call for more details.PLEASE SEND ME A TEXT IF I DONT ANSWER.",Building,"280a, Katugastota Road, Kandy.","8,670 sqft"
2,"['Building for Rent in Kandy', '18 Jul  4:35 pm', 'Kandy, Kandy', '525,000', 'The building is right in front of the new keels super market mahiyawa, kandy. 3storey building with sqft2890 each. Can park 7 vehicles. Each floor has two toilets. Call for more details.PLEASE SEND ME A TEXT IF I DONT ANSWER.', 'Building', '280a, Katugastota Road, Kandy.', '8,670 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Shop for Rent in Kaduganawa,19 Jul 12:28 pm,"Kadugannawa, Kandy","10,000",This shop can be rented for a Bakery / Saloon /any Food outlet / Mini supermarket / Phone selling / Communication / Grocery / General DoctorBike showroom ,Shop,160 sqft,
4,4 Store Building for Rent in Pilimathalawa,18 Jul  9:39 am,"Pilimatalawa, Kandy","200,000",4 store building with a roof top. Suitable for a factory or a showroom. Each level includes a separate wash rooms. 2km from Pilimathalawa town at Danthure road.Water and electricity facilitiesParking available,Building,"No 18/B, Siyambalagoda,Pilimathalawa","6,000 sqft"
5,Tution Hall for Rent in Kandy,16 Jul  6:05 pm,"Kandy, Kandy","15,000",Tution class to be rentout on week days and Sundays with furniture... Situated in kandy katugastota road “In front of vidyartha college” Please call us for more details,Building,"No 83, Katugastota Road, Kandy","2,000 sqft"
6,Commercial Building for Rent - Katugasthota,16 Jul  2:12 pm,"Kandy, Kandy","250,000","Facing Kandy Kurunegala Main Rd (2km from Katugasthota ) 2 Stories building Each 3000sqf,Car park can park 10-15 vehicles, Rest room 4 Wash rooms,3Pace Electricity,CCTV Kitchen ,1st floor Fully tiled .",Building,471 Wathuwala Katugasthota,"6,000 sqft"
7,Building for rent in Kandy,13 Jul 10:13 am,"Kandy, Kandy","30,000",Commercial building for rent nearby Halloluwa junction. Call for more details.,Building,Halloluwa,750 sqft
8,Attractive Shop for Rent in Kandy,11 Jul  3:17 pm,"Kandy, Kandy","35,000",300 SQF new fully Tilled Shop with shutter door and attached bathroom located opposite to famous Channelling Consultation Centre in kandy town.(Near Wembley theatre)This shop can be rented for a Bakery / Beauty Saloon /any Food outlet / Mini supermarket / Phone selling / Communication / Grocery / General DoctorAround 4000 students pass the shop daily as there is a big institute up the road and very easy attractive to customers and this shop is a famous landmark known as “Abbas Kade” for 83 yearsMonthly rental is Negotiable,Shop,300 sqft,
9,Commercial Space in Peradeniya, 8 Jul  5:14 pm,"Peradeniya, Kandy","75,000",Commercial spaces available in peradeniya Facing main road.Parking spaces available.,Building,"1,100 sqft",
10,Shop for Rent Kandy, 7 Jul 12:08 pm,"Kandy, Kandy","55,000",Shop for rent kandy. ..peradaniya road ..55000 upwards ... (al hadi international,Shop,750 sqft,
11,Biscuit Factory for Rent - Kandy, 7 Jul  3:28 pm,"Kandy, Kandy","350,000",•	Two electric ovens •	2000kg of biscuit output per day•	Two storey  building (Each floor approximately 3200 sqft)•	Separate office room (600sqft)•	Electricity is supplied with a 200 kilovolt-ampere (kVA) transformer,Factory / Workshop,Kandy,"6,400 sqft"
12,Hostel for Long Term Rent or Lease in Kandy, 5 Jul  2:14 pm,"Kandy, Kandy","100,000",Hostel For Long Term Rent or Lease in Kandy,Building,Kandy,"1,500 sqft"
13,Building Space for Rent - Kandy, 4 Jul 11:49 am,"Kandy, Kandy","140,000",Building for Rent in Kandy 2nd Floor1600 Sqft with Parking facilities,Building,Kandy / Kandy,"1,600 sqft"
14,Building for Rent in Gampola, 3 Jul  7:23 pm,"Gampola, Kandy","80,000","ගම්පොල නගරයේ, අඹගමුව පාර රෝහණ හන්දියේ (ගගසිරිපුර හන්දියේ) පවත්වාගන යන ප්‍රසිද්ධ ව්‍යාපාරික ස්ථානයක බිම් මහළ, දෙවන මහළ සහ තෙවන මහල වෙන් වෙන් වශයෙන් හෝ සම්පූර්ණ මහළ් තුනම ලෙස හෝ බදුදීමට ඇත. අඩි 12 ක් පළලින් සහ අඩි 60 දිගින් සමන්විතයි. උඩුමහල් සදහා ඉදිරිපසින් වෙනම පිවිසිය හැක. මිළ ගණන් පරීක්ෂා කර බලා සාකච්ඡා කරගත හැක. මෙය ඉතා ජනාකීර්ණ ගම්පොල නගරයේ වැඩි ජනගහනයක්  එහා මෙහා යන ස්ථානයකි. මිල ගණන් පැමිණ පරීක්ෂා කර බලා සාකච්ඡා කරගත හැක.",Building,"Ambagamuwa Road, Gampola","2,160 sqft"
15,Building For Rent Gampola, 5 Jul  5:52 pm,"Gampola, Kandy","200,000",🏢 Modern looking building for rent.🏢 Upper 4 floors available.🏢 Ground floor rented out.🏢 Elevator facility.🏢 Near gampola railway.🏢 Middle of the gampola town.🏢 1st floor   Rs.200000.00🏢 2nd floor  Rs.150000.00🏢 3rd floor   Rs.100000.00🏢 4th floor   Rs.  75000.00🏢 Contntact for more details 9.00 AM to 8.00 PM.,Building,"Kandy Road,Gampola.","12,400 sqft"
16,Commercial Property for Rent - Kandy, 1 Jul  1:34 pm,"Kandy, Kandy","300,000",PRIME COMMERCIAL PROPERTY IN HEART OF KANDY FOR RENT FACING PERADENIYA ROAD,Office,"Peradeniya Road, Kandy","2,800 sqft"
17,Building for Rent - Kandy,30 Jun  6:13 pm,"Kandy, Kandy","60,000","front of the HNB bank in Mulgampola Near by Pan asia BankElectricity/ Water Facility Face to a Kandy, Pearadeniya main Road",Building,"763,Peradeniya Road, Mulgampola, Kandy.",405 sqft
18,Shop for Rent - Kandy,28 Jun 11:29 am,"Kandy, Kandy","50,000",# Shop For Rent Facing Kandy - Peradeniya New Road. # Near Kingwood College and Highschool College. # Ground floor. (10* 35),Shop,"No: 691/26, Williamgoppalawa mawatha, Kandy",350 sqft
19,Building For Rent - Pilimathalawa Town,26 Jun  9:35 am,"Pilimatalawa, Kandy","75,000",පිළිමතලාව නගරයේ පිහිටි වර්ග අඩි 3300ක පමණ අලුතින් ඉදිකළ ගොඩනැගිල්ලේ පහත මාලය කුලියට දීමට තිබේ. කොළඹ - මහනුවර ප්‍රධාන මාර්ගයට මීටර් 100යි.,Building,Pilimathalawa Town,"3,300 sqft"
20,Commercial Shop Space For Rent Peradeniya,23 Jun 12:32 pm,"Peradeniya, Kandy","16,000",දොළුව හරහා ගම්පොළ මහනුවර මාර්ගයට මුහුණලාතනි කඩකාමරයක් බදු දීමට ඇත.,Shop,"N.E.M GAMINI EKANAYAKA 281/3 KADUSISILA ,PAYINGAMUWA,HIDAGALA.",288 sqft
21,Commercial Retail space for lease Great location Kandy - Jaffna Highway, 5 Jul  8:52 pm,"Akurana, Kandy","40,000","A great 2 story commercial property with over 5000SQF for lease in a busy convenient area with very high demands. Grab this opportunity before its gone. Very high exposure storefront on Kandy-Jaffna Highway (A9) in Akurana. High customer traffic area. Great Opportunity to Run Your Own Business. Suitable for Retail, Services, Banks, Restaurant, Showroom, Hotels, Warehouse, and many other Kinds of Businesses. 30 Minutes to Kandy and Matale. A lot of parking available & roads on 2 sides of the building. Units Well Managed with Improvements and you can customize it at your convenience (Point it and we will get it done for you). ",Shop,"194 Matale Road, Kudugala Ambatenna.","4,600 sqft"
22,Shop for Rent in Kandy,16 Jul  7:16 am,"Kandy, Kandy","12,500",Heart of the Commercial AreaSuitable for Any kind of bussinessNext to N.S.Bank & Ali brothers Car sale#Size 14'×5'   (70 Squre Feet)#Available Electricity#No Water#No Deposite#No Key Money# Minimum only One Year Rent   Rs 12500/=×12 (150000/=)#Call Genuine buyers Only,Shop,27A D S Senanayaka veediya KANDY,70 sqft
23,Commercial Space in mid of Kandy town,26 Jun  9:24 am,"Kandy, Kandy","500,000","4-story building for restaurant, hotel and culture school use in mid of Kandy town located just  200m away from Dalada Maligawa",Restaurant,"4,800 sqft",
24,Building for Rent/ Lease - Kandy,20 Jun  9:18 am,"Kandy, Kandy","150,000","Near the Asiri Hospital , Kingswood College ,international Schoolsall facility with House for rent Suitable to Business Or Riddance",Building,"859 /3 PERADENIYA ROAD ,KANDY","3,500 sqft"
25,Building for Rent in Peradeniya,17 Jul 10:29 am,"Kandy, Kandy","25,000","වියාපාරික ස්ථානයකට හෝ කාර්යාලයකට සුදුසුයි.පේරාදෙණිය පාර, මහනුවර.Suitable for Channeling Center, Dental Clinic, Salon Or Office500 meter to Asiri Hospitalනේවාසික පහසුකම් සදහාද ඉඩ ඇත.Residential facilities also available",Building,"Peradeniya Road, Kandy",320 sqft
26,Building Rent - Kandy,10 Jun  8:48 pm,"Kandy, Kandy","45,000",බුවැලිකඩ ප්‍රදාන මාර්ගයට යාබදව තොග ගබඩා සදහා සුදුසු ගොඩනැගිල්ලක් කුලියට  හෝ බදු දීමට විමසන්න,Building,Anagarika Dharmapala Mawatha Kandy,"4,500 sqft"
