,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Commercial Property for Rent - Narammala,21 Jul  8:02 am,"Narammala, Kurunegala","30,000","Narammala town,kuliyapitiya road,infront of aruveda hospital,highly commercial area,suitable for bank/office/shop/classes act...Another space(500 sq feet) also available in the same place.",Office,"1,800 sqft",
2,"['Commercial Property for Rent - Narammala', '21 Jul  8:02 am', 'Narammala, Kurunegala', '30,000', 'Narammala town,kuliyapitiya road,infront of aruveda hospital,highly commercial area,suitable for bank/office/shop/classes act...Another space(500 sq feet) also available in the same place.', 'Office', '1,800 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Shop/office Space for Rent - Pannala,20 Jul 11:48 am,"Pannala, Kurunegala","35,000",ground floor of the buildingcommercial areasuitable for any businessNegombo Kurunegala main roadToilet Bathroom available,Building,860 sqft,
4,Storage and Warehouse for Rent - Kurunegala,18 Jul 12:51 pm,"Kurunegala, Kurunegala","35,000",Warehouse and Storage facility in Kurunegala (Mallawapitiya Road)Easy access for 40 feet containers.MRP operations(repacking).responsible for the Stock and good security system.Trasport facility.WMS Technology.  Distribution ServicesAll our facilities are well equipped to handle your cargo and we have an experienced team of professionals to fulfill your specific needs.minimum of 700 sqft =35000,Warehouse / Storage,Kurunegala,"40,000 sqft"
5,Shop for Rent in Kurunegala,18 Jul  8:57 pm,"Kurunegala, Kurunegala","40,000",Shop For Rent in Kurunegala===============================,Shop,"No.83, Wilgoda Road, Kurunegala","1,200 sqft"
6,Shop for Rent - Kurunegala,15 Jul  1:51 am,"Kurunegala, Kurunegala","45,000","Up stair with wash room, tea room 2 way entrance. faced negombo main road, aluth malkaduwawa town.suitable for showroom, werehouse, office, medical center, saloon or any kind of business",Shop,aluthmalkaduwawa,900 sqft
7,Office Space for Rent in Kurunegala,10 Jul 12:07 pm,"Kurunegala, Kurunegala","14,000",Office space for rent in kurunegalaFacing puttalam/kurunegala main roadWith or without air conditionerWith or without furniture,Office,"Puttalam Road, Kurunegala",400 sqft
8,Commercial Building for Rent in Kurunegala, 8 Jul  1:37 pm,"Kurunegala, Kurunegala","175,000","කුරැණෑගල විල්ගොඩ පාරට මුහුණලා දීර්ඝ කාලයක් පුද්ගලික හා රාජ්‍ය අංශයේ කාර්යාල පවත්වාගෙන ගිය ගොඩනැගිල්ලකිබිම් මහල හොල් එකක් සාමන්‍ය ප‍්‍රමාණයේ කාමර 2යි. නාන කාමර 1යි, විශාල ඉස්තොප්පුවක් වැනි ලොබියක් සහ වාහන 4 නැවතිය හැකි ඉඩ ප‍්‍රමාණයක්පලමු මහලෙහි හෝල් 2 ක් ,විහාල කාමරයක්, සාමාන්‍ය කාමර 4 කින් සහ නාන කාමර 2කින්  සමන්විතයKurunegala Wilgoda  facing to puttam road Building for rent It has been used as a Government and Privet office for last long period,Ground floor, large 1 hall can use as a lobby,   2 large room,1 bath room. 4 car park facility Fast floor, Large 2 hall ,1 lage room, and 4 other room, and 2 bath room.",Building,"48, wilgoda Road, Kurunegala.","7,500 sqft"
9,Building For Rent in Kurunegala Colombo Road, 6 Jul  9:32 pm,"Kurunegala, Kurunegala","50,000","️කොළඹ- කුරැණෑගල ප‍්‍රධාන මාර් ගයේ නගරයට 4km ඇති මෙම ගොඩනැගිල්ල බදු දීමට ඇත.වාහන පාර්කින්ද සමග ,ව්‍යාපාර ප්‍රදේශයක පිහිටා ඇත  මිල ගණන් සාකච්ජා කල හැක. වැඩි විස්තර සදහා අමතන්න දෙවැනි මහළද ඉදිකිරීම් කඩිනම්ව අවසන් වීමට නියමිතය. වි‍යාපාරික කටයුතු සදහා තෙවැනි මහළ දක්වා බදු දීමට කඩිනමින් ඉදි කෙරේ..",Building,"Colombo Road ,Waduragala,Kurungala",650 sqft
10,Building for Rent in Melsiripura., 5 Jul  2:41 pm,"Ibbagamuwa, Kurunegala","100,000","මැල්සිරිපුර නගර මධ්‍යයේ ඉන්දන පිරවුම් හල අසල, කුරුණෑගල දබුල්ල ප්‍රධාන මාර්ගයට මුහුනලා ඇති. අඩක් සාදා නිමකල දෙමහල් ගොඩනැගිල්ල. අවශ්‍ය පරිදි සකස්කර බදු දීමට ඇත.",Building,"Dambulla Road, Melsiripura.",500 sqft
11,Warehouse for Rent in Kurunegala, 5 Jul  9:30 am,"Kurunegala, Kurunegala","600,000","This warehouse is ready to rent.there is 20000 sqft.price is Rs600,000/= per month.call me further details.",Warehouse / Storage,Kurunegala,"20,000 sqft"
12,Shop for Rent - Kurunegala, 4 Jul  8:07 am,"Kurunegala, Kurunegala","25,000",1st floor new shopping complex kurunegala bus stand. Shop with the best lighting and racks and fittings.,Shop,50 sqft,
13,Building Space Available for Rent at Mawathagama Town, 3 Jul 11:19 am,"Mawathagama, Kurunegala","35,000","A Building space available for rent at Mawathagama town. Ideal for tuition or ware house.Location – Walking distance from Mawathagama town.                    Delgolla Waththa road ,  400 M from the main road . just behind the Mawathagama police station. (Circular road)",Building,Delgolla Waththa road,"4,700 sqft"
14,Office Space Shop for Rent in - Kurunegala, 2 Jul  5:04 pm,"Kurunegala, Kurunegala","35,000",Two shops in ground floor and first floor of 3 storey building for rent.,Office,"No 162, Wilgoda Junction, Kurunegala",750 sqft
15,Alawwa Shop for Rent, 1 Jul 11:36 am,"Alawwa, Kurunegala","50,000","*** In-front of Cargills Food City **** Alawwa Shop for Immediate rent* 16 feet x 62 feet Size* Fully Tiled Floor* Glassed Front with Roller Door* Contact me for more details..-----------------------------------------------------අලව්ව නගර මධ්‍යයේ කාගිල්ස් ෆුඩ් සිටි ඉදිරිපිට...වර්ග අඩි 1000 වන අඩි 16 ක් පළල සම්පූර්ණයෙන් ටයිල් කල කඩ කාමරයවහාම බදු දීමට ඇත.* ජලය, බාත්රූම් ඇත.* විදුලිය* වීදුරු දොර සහ රෝලර්ඩෝ දමා ඇත.    විමසන්න.",Shop,"1,000 sqft",
16,Commercial Building for Rent in Kurunegala.,29 Jun  1:49 pm,"Kurunegala, Kurunegala","10,000","බුලුගහමුල හංදිය (සණස බැංකුව ඉිදිරිපිටකඩ කාමර 02ක් විකිණීමට. ව්‍යාපාර කටයුතු සඳහා හෝ ගබඩාවන් සඳහා.තෙකලා විදුලිය, ජල පහසුකම්,එක් කඩ කාමරයක වර්ග අඩි ගණන 429 කි.",Building,"Bulugahamula Junction, Puttalam Road, Kurunegala.",858 sqft
17,Commercial Building for Rent - Ibbagamuwa,29 Jun  3:20 pm,"Ibbagamuwa, Kurunegala","15,000",කුරුණෑගල දඹුල්ල ප්‍රධාන පාරට මුහුණලා අලුතින් ඉදිකල ගොඩනැගිල්ල ( වර්ග අඩි 360 ) බදු දීමට තිබේ.,Shop,360 sqft,
18,Building For rent Kurunegala,27 Jun  3:26 pm,"Kurunegala, Kurunegala","250,000","3 story commercial building facing puttalam road just in front of keells super 350 metres 2 twon,suitable for finance companies 2000 square feet",Building,"#155, puttalam rd, Kurunegala","2,000 sqft"
19,Building for Rent Kurunegala,27 Jun  3:16 pm,"Kurunegala, Kurunegala","450,000",4 story brand new commercial building at negombo road near maliyadewa boys.200 metres to kurunegala city centre.5000 square feet10 vehicles can be parked,Building,"# 4 B,","5,000 sqft"
20,Shop for rent in Kurunegala Town,20 Jun  8:17 am,"Kurunegala, Kurunegala","160,000",This commercial building is for rent in kurunegala .there is 2000sqft.price is 160000/=.,Shop,Kurunegala City,"2,000 sqft"
21,Commercial Building for Rent in Kurunegala City,20 Jun  8:03 am,"Kurunegala, Kurunegala","380,000","Commercial building is available for rent in kurunegala city.there is 3000sqft.price is Rs.380,000/= per month.it suitable for any commercial purpose.",Building,Kurunegala Town,"3,000 sqft"
22,Shop for Rent Alawwa,18 Jun  2:17 pm,"Alawwa, Kurunegala","120,000",අවුරැද්දක කී මනීටයිල් කර ඇත Super Condition,Shop,"No 152,Main Street,Alawwa","2,400 sqft"
23,Shop with Land for Rent - Kurunegala,18 Jun  3:10 am,"Kurunegala, Kurunegala","36,000","දඹුල්ල පාරට මුහුණලා කුරුණෑගල නගරයේ සිට කි මී 2ක් පමණ, ශ්‍රී සම්බෝධි විහාරයට යාබදව , රිය පොලකට, හාර්ඩ්වෙයාර්, හෝටලයකට, ඉතාමත් සුදුසුය,ඉඩම - පර්චස් 18කුරුණෑගල නගරයට පසු දියුණුවන පෙදසෙහි පිහිටා ඇත.",Shop,"Yaggapitiya , Kurunegala",280 sqft
24,Building in Kurunegala Town Center for Rent,18 Jul  8:22 am,"Kurunegala, Kurunegala","9,750,000",6500sqft per floorCan go up to 15 floors 6 floors structure complete In Dambulla road next to main bus station Only 3 minutes walk to bus station Underground parking - up to 50 carsIdeal for retail 3 elevators Best location in Kurunegala!!!,Building,"97,500 sqft",
25,Commercial Building for Rent in Kurunegala.,13 Jun  4:50 pm,"Kurunegala, Kurunegala","100,000",කුරුණෑගල නගර මධ්‍යයේ රජපිහිල්ල පාරේ නවීතතම අංග සම්පූර්ණ මහල් 6කින් යුත් ගොඩනැගිල්ලේ මහල් කුලියට දීමට තිබේ. (කොළඹ පාරට මීටර් 50*මූල්‍ය අයතන / රාජ්‍ය ආයතන සඳහා වඩාත් සුදුසුයි,Building,"rajapihilla Road, Kurunegala.","6,000 sqft"
26,"Commercial Property for Rent at Lake Round, Kurunegala",12 Jun  7:10 am,"Kurunegala, Kurunegala","200,000",Located in front of Kurunegala lake Only 1 minute to Kurunegala town10 Minutes to Bus & Railway Station 48 perches landLocated in heart of kurunegala citySingle Story House 5 Bedrooms and 3 Bathrooms/ one is A/C roomEasily park 05 vehiclesoffering for business or residential (trusted company)Clear deeds Please contact us for price and more details,Building,"3,600 sqft",
27,කුරුණෑගල නගරයේ සිව් මහල් ගොඩනැඟිල්ලක් බදූ දීමට ඇත - (Kurunegala), 7 Jun  9:56 pm,"Kurunegala, Kurunegala","115,000",කුරුණෑගල නගරයේ පුත්තලම් පාරට මුහුණලා අගනා සිව් මහල් ගොඩනැඟිල්ලක්.බස් නැවතුම් පොළ / වෙළද සංකීර්ණයට ඉතා ආසන්නව.පලමු මහලේ ඉදිරිපස සම්පූර්ණ විදුරු සවිකර ඇත.විදේශ රැකියා නියෝජිත ආයතනයක් සදහා හො වෙනත් වෙළඳ කටයුත්තක් සඳහා උචිත වේ.ගිවිසුම් කාලය සාකච්ඡා කර ගැනීමට හැක.නල ජලය ගබඩාකර ගැනීම සඳහා පහසුකම් ද ඇත.Kurunegala ප්‍රධාන බැංකු වලට විනාඩි පහකින් ලගා විය හැක.,Building,No 26 Puttlam Road Kurunegala,800 sqft
28,Shop for Rent Kurunegala,16 Jun 10:25 am,"Kurunegala, Kurunegala","30,000","Dear,I would like to rent a shop in MC plaza Kurunegala 1st floor No:30, it’s a good location for computer shop, office , mobile shop , saloon , Textile shop and more..",Shop,400 sqft,
