,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,"5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama",10 Jul  9:08 am,"Maharagama, Colombo","55,000,000","5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama16 PerchesEach Floor is 2000 Sq.Ft. Apartment4 Apartments3 Bedrooms & 2 Bathrooms on Each ApartmentFully TiledA/C, Hot Water, Car Park, CCTV & All Facilities ThereRoof Top on 5th FloorRoof Tops are Tiled & Have Separate Bathroom8 Perch Car Park20Ft. Access RoadClose to Sri Jayawardenapura Hospital2km to Highlevel RoadIdeal for Commercial or Residential UseIdeal for School, Private Hospital or Care HomeUrgent SaleNo BrokersSelling Price: Rs.55 MillionCall for More Details",Building,Pathiragoda Road,"8,000 sqft"
2,"['5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama', '10 Jul  9:08 am', 'Maharagama, Colombo', '55,000,000', '5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama16 PerchesEach Floor is 2000 Sq.Ft. Apartment4 Apartments3 Bedrooms & 2 Bathrooms on Each ApartmentFully TiledA/C, Hot Water, Car Park, CCTV & All Facilities ThereRoof Top on 5th FloorRoof Tops are Tiled & Have Separate Bathroom8 Perch Car Park20Ft. Access RoadClose to Sri Jayawardenapura Hospital2km to Highlevel RoadIdeal for Commercial or Residential UseIdeal for School, Private Hospital or Care HomeUrgent SaleNo BrokersSelling Price: Rs.55 MillionCall for More Details', 'Building', 'Pathiragoda Road', '8,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Hotel for sale Maharagama,30 Jun  8:25 am,"Maharagama, Colombo","100,000,000",14 RoomsAttached bathroom and graniteFull furnishedTile and granited1 side 2 storey second side 3 storey,Hotel,109/6 Railway Avenue,"10,000 sqft"
4,03 Story Building Sale At Maharagama,25 Jul 10:20 am,"Maharagama, Colombo","29,500,000",3 STORY BUILDING & 02 P SALE AT  FACING HIGH-LEVEL ROAD WATHEGEDRA MAHARAGAMA  ,Building,FACING HIGH LEVEL ROAD WATHEGEDARA MAHARAGAMA,"2,200 sqft"
5,Commercial Building For Sale in Maharagama,23 Jul  5:20 pm,"Maharagama, Colombo","47,500,000",Commercial Building For Sale in Maharagama,Building,Maharagama,800 sqft
6,3 Story Commercial Property for Sale in Maharagama.,23 Jul 11:15 am,"Maharagama, Colombo","19,800,000",Three Storey Building SaleAt Maharagama Pamunuwa Junction.,Building,"Maharagama near Pamunuwa,Mihindu Mawatha.","4,600 sqft"
7,SINGLE STORY BUILDING MAHARAGAMA,22 Jul  8:40 am,"Maharagama, Colombo","52,500,000",Rs 52500000.00,Building,MAHARAGAMA,"2,500 sqft"
8,40 Apartments Building for Sale Nawinna,21 Jul 10:29 pm,"Maharagama, Colombo","400,000,000",Total apartments 421bedroom apartment 8 Floors Lift available Parking available A/C Non A/C apartments available,Building,141 old kottawa Road Nawina Maharagama,"25,000 sqft"
9,Building for Sale in Kotte,21 Jul 10:20 pm,"Maharagama, Colombo","190,000,000",Main road facing 5 story building Parking available Suitable for office store and any kind of commercial purposes,Building,815 EAP perera Mawatha Ethul kotte,"10,000 sqft"
10,Factory for Sale Piliyandala - C0686-F,19 Jul  7:52 am,"Maharagama, Colombo","25,000,000","10 perch and with Garment factory for sale in Maharagama Road, Piliyandala.",Factory / Workshop,"5,000 sqft",
11,COMMERCIAL PROPERTY & 43 P MAHARAGAMA,18 Jul  6:28 pm,"Maharagama, Colombo","50,000,000",Rs 50000000.00 LAKHSPER PERCH ( 1162790.00 LAKHS PER PERCH )Negotiable,Shop,FACING PAMUNUWA ROAD MAHARAGAMA,"2,000 sqft"
12,Gym for Sale - Maharagama,11 Jul 11:59 am,"Maharagama, Colombo","5,500,000",Sale for gym and supplement shop.call for more details .,Other,"89/1,old road,nawinna, maharagama","4,000 sqft"
13,"Commercial Property for Sale in Pamunuwa Junction, Maharagama",10 Jul  1:03 pm,"Maharagama, Colombo","40,000,000","7.3 Perches or 10 Perches Commercial Land for Sale in Pamunuwa Junction, MaharagamaFacing to Pamunuwa Road (Maharagama-Ja'Pura Hospital Bus Route)Suitable to Build a 4 Storied Commercial PropertyHighly Commercial EnvironmentLack of For Sale Commercial Lands in Pamunuwa Junction, MaharagamaTherefore, This will be Massive Future Investment for a BusinessmanVery Urgent SaleSerious Buyers Welcome; No BrokersSelling Price: Rs.55 Lakhs Per Perch (If 7.3P-Rs.40 Million or 10P-Rs.55 Million)Call for More Details:",Building,Pamunuwa Junction,"4,000 sqft"
