,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Size:,
1,Villa for Sale at Ahangama,28 Jun 11:15 am,"Ahangama, Galle","29,000,000",Villa for sale at Ahangama ( Famous for surfing area)39 Perches05 bedrooms03 BathroomsBeautiful garden750m from the beach( 5 minutes walking distance),Hotel,"3,500 sqft",
2,"['Villa for Sale at Ahangama', '28 Jun 11:15 am', 'Ahangama, Galle', '29,000,000', 'Villa for sale at Ahangama ( Famous for surfing area)39 Perches05 bedrooms03 BathroomsBeautiful garden750m from the beach( 5 minutes walking distance)', 'Hotel', '3,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Size:']",,,,,,
3,Hotel for Sale in - Hikkaduwa,20 Jul 11:26 am,"Hikkaduwa, Galle","100,000,000",It's a three story building with separate huge kitchen also there ia cosy wedding hall. The land along with beautiful Nakanda lake. The property includes 157perhes. It situated  1.2km inside the Hikkaduwa townThere are 8 AC rooms with attached bathrooms and 3 Non AC rooms.,Hotel,"450,000 sqft",
4,Fully renovated commercial house with swimming pool - Beruwala,21 Jul  1:40 pm,"Galle, Galle","70,000,000","Fully renovated three bedroom house with swimming pool on 22 perches of land in China Fort, Beruwala. Can be used for commercial purposes or as a private residence. All permits in place and approvaed by the local authorities.",Other,"China Fort, Beruwala.","5,000 sqft"
5,Fully Functional Hotel for Immediate Sale Ahangama,21 Jul 12:26 pm,"Ahangama, Galle","135,145,000","Fully functional unique hotel on the beach, land 31 perches, 6 rooms, 2 Apartments , Pool , Outdoor kitchen and restaurant with beautiful landscape garden",Hotel,Ahangama,"6,000 sqft"
6,Hotel for Sale in - Hikkaduwa,20 Jul 11:26 am,"Hikkaduwa, Galle","100,000,000",It's a three story building with separate huge kitchen also there ia cosy wedding hall. The land along with beautiful Nakanda lake. The property includes 157perhes. It situated  1.2km inside the Hikkaduwa townThere are 8 AC rooms with attached bathrooms and 3 Non AC rooms.,Hotel,"450,000 sqft",
7,Beach Hotel for Urgent Sale in Galle,18 Jul  6:43 pm,"Galle, Galle","80,000,000","Beautiful beach front property in Pitiwella, Boosa, Galle. Its around 7 km from Galle. House has 3 bedrooms with AC, 3 attached bathrooms, kitchen, living, dining area. 2 bedrooms are sea view. Housemaid area is behind the house with extra bathroom.Its GOOD INVESTMENT as we need to sell it quickly for cheap. Please ONLY SERIOUS BUYERS. We are selling property AS A COMPANY ONLY. Company has only 1 owner. There is no loan on house, all documents are prepared to transfer to new owner.We are selling house fully furnished as it is, we can give access to booking.com under name Aura Beach villa, if you wish. House is ready for building FIRST FLOOR! You can build other 2 seaview bedrooms. 25perches land. Easy to maintain. Beautifull coconut trees on the garden.",Hotel,"Pitiwella, Galle","2,500 sqft"
8,Building For Sale In Galle.,15 Jul  1:51 pm,"Galle, Galle","35,000,000",03 Stories Building For Sale.At The Center Of Galle Town.Ideal for a Business.Face to main road.Urgently For Sale,Building,"No.33, New Street, Galle.","1,500 sqft"
9,Commercial Property for Sale Kahaduwa,14 Jul 10:31 pm,"Elpitiya, Galle","3,800,000",Road Frontage 50FeetFacing Mapalagama main RoadThree Phase ElectricityWater Available,Building,"Kahaduwa Junction,Mapalagama Road,Kahaduwa","3,000 sqft"
