,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Hotel For Sale Matara,20 Jul 11:40 am,"Matara, Matara","105,000,000","Super Luxurious Hotel With 14 Rooms, With Apartments, Swimming Pool, Gym, Restaurant & Parking Facility, Close To The Beach 750 Meters.",Hotel,"3/3, Aurora Avenue, Kaluwaragas Rd/-, Walgama Center, Matara.","18,000 sqft"
2,"['Hotel For Sale Matara', '20 Jul 11:40 am', 'Matara, Matara', '105,000,000', 'Super Luxurious Hotel With 14 Rooms, With Apartments, Swimming Pool, Gym, Restaurant & Parking Facility, Close To The Beach 750 Meters.', 'Hotel', '3/3, Aurora Avenue, Kaluwaragas Rd/-, Walgama Center, Matara.', '18,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Hotel for Sale in - Pitabeddara,19 Jul 10:56 am,"Akuressa, Matara","32,500,000",5 Rooms with 2 AC Rooms 1 Apartment (Upper Floor) with ACRestaurantLand Size - 64 P30m to Galle - Deniyaya Main RoadAll common facilities in this area200m to Pitabeddara City CenterAll furniture and other goods included. (Price: 37.5M),Hotel,"3,500 sqft",
4,Sea View 04 Story Hotel Sale at Weligama,25 Jul  1:09 pm,"Weligama, Matara","197,500,000",SEA VIEW 04 STORY HOTEL & 26 P SALE AT FACING GALLE ROAD WELIGAMA ,Hotel,FACING GALLE ROAD AHANGAMA  WELIGAMA,"12,000 sqft"
5,Building for Sale - Matara,24 Jul  4:08 pm,"Hakmana, Matara","32,760,000",25.2 perch land and Building Facing Matara Hakmana Main Road,Building,"Hakmana, Matara","2,800 sqft"
6,Running Guest House for Sale in Matara,24 Jul 11:16 am,"Matara, Matara","27,500,000","Well Running Guest House for Sale at SK town Matara. Two Storied Building built on 10 Perches Well maintained Land with over 3,500 sq.ft floor area. Consists 6 comfortable rooms with attached bathrooms.This area ideally suitable for tourism related business well know among the foreign travelers. Over 3 lakhs income per month.",Restaurant,SK town Matara,"3,500 sqft"
7,Hotel for Sale Matara Polhena - MCP564,23 Jul  8:03 pm,"Matara, Matara","210,000,000","Land Area : 331.86 perches (two sections bisected by a public road) Width of the Beach front is approximately 120 feet. Access : Access from Galle road via Polhena Road from Polhena junction. Width up to the T junction near Dudley Senanayake statue is about 40 feet. There after a 30 ft road all the way up to the Hotel. Rooms section floor area : 4696 Sq feet per floor. Two floors. Rooms 16 Standard size rooms each 290 Sq feet Rooms 2 Family size rooms each 400 Sq feet Total 9392 Sq feet Service buildings: Lobby: 748 Sq feet Restaurant: 660 Sq feet Kitchen : 1431 Sq feet Lotus Hall (180 Pax seating capacity) : 2830 Sq feet Sunflower Hall (Board room) : 673 Sq feet Laundry room 455 Sq feet Generator room 198 Sq feet Total - 6,995 Sq feet Beach side Buildings : Wadiya : 1634 Sq feet",Hotel,"18,021 sqft",
8,50 P & Single Story Building Sale Mathara,21 Jul  8:33 pm,"Matara, Matara","63,750,000",Rs 1275000.00 LAKHSPER PERCHNegotiable,Warehouse / Storage,200 METERS TO MATHARA HIGH WAY ENTERENCE / FACING AKURESSA ROAD MATHARA,"3,500 sqft"
9,Commercial Building for Sale in - Matara Town,15 Jul  2:55 pm,"Matara, Matara","65,000,000",Commercial Building for Sale Matara Town for More Details Please Contact UsUrgent Sale,Building,"2,400 sqft",
10,Building For Sale - Devinuwara,14 Jul  8:33 pm,"Matara, Matara","20,000,000","දෙවිනුවර නගරයේ ප්‍රධාන මාර්ගයට මුහුණලා තෙමහල් ගොඩනැගිල්ල වර්ග අඩි 4600 ක පර්චස් 15 ක් ඉක්මනින් විකිණීමට ඇත.ඉදිරිපස ,පසුපස වාහන නැවතීමේ පහසුකම් ඇත .දෙවිනුවර ඉන්ධන පිරවුම් හල සීමාව.වැඩි විස්තර සහ පරීක්ෂා කිරීමට අමතන්න",Building,"4,600 sqft",
11,A Shop for Sale - Kotuwegoda Matara, 9 Jul 11:58 am,"Matara, Matara","5,000,000","මාතර කොටුවෙගොඩ ශාන්ත සර්විසියස් මාවතේ, පරණ තංගල්ල පාරට යබදව පිහිටි මෙම කඩ කාමරය අතිශය ව්‍යාපාරික ස්ථානයකි.විදුලි, ජල හා වැසිකිලි යන සියළු පහසුකම් ඇත.",Shop,"No. 07/A, St. Servatius Road, Kotuwegoda, Matara.",440 sqft
12,Building for Sale in Pitabeddara,10 Jul  9:30 am,"Akuressa, Matara","20,000,000",හාඩ්වෙයාර් ආයතනයක් පවත්වාගෙන ගිය ව්‍යාපාරික ස්ථානයකි.පිටබැද්දර නගර සීමාව තුළ පිහිටා ඇති අතර පිටබැද්දර නගර මධ්‍යයට මීටර් 600 ක් පමණි.අකුරැස්ස - පස්ගොඩ ප්‍රධාන මාර්ගයට මුහුණ ලා ඇත.ඩඩ්ලි සේනානායක මහා විද්‍යාලයට මීටර් 100 ක් පමණි. සියලු පහසුකම් සහිතයි.පිරිසිදු / නිරවුල් ඔප්පුඉඩමේ ප්‍රමාණය පර්චස් 25 කි.මිල ගණන් සාකච්ඡා කර ගත හැකිය.අකුරැස්ස නගරයට දුර කි.මී. 13 කි.,Building,"1,500 sqft",
13,Shop for Sale in Matara,21 Jul 12:12 pm,"Matara, Matara","7,800,000",Quick Sale,Shop,"(Main Street) Kumarathunga Mawatha, Matara.",220 sqft
14,Sam Villa ( Chichii Bay ) for Sale in Mirissa Weligama, 8 Jul  8:54 pm,"Weligama, Matara","32,500,000",Our Hotel is 43 perches and 2 Floors and 2 Buildings on a peaceful hamlet in a greenery lush. The nearest Beach  ( Secret Beach ) is just 6 Minute walking Distance is to right hand side and left side goes to Famous Mirissa Beach. We have 7 A/C Rooms + 4 Non A/C Rooms + 9 Bathrooms + Kitchen + Living Room +  Garden + Roof Top + Hotel Brand Name and the Web site + CCTV + Rooms Fully Equipment and Running Living Buisness + Clear Approved Property and Land and Building Documents.,Hotel,"Henwala, Mirissa, Weligama",430 sqft
15,Sea View Hotel & 21 P Sale at Mirissa,29 Jun 12:39 pm,"Weligama, Matara","270,000,000",SEA VIEW 03 STORY HOTEL & 21 P SALE AT MIRISSA WELIGAMA MATHARA  ,Hotel,MIRISSA WELIGAMA MATHARA,"6,000 sqft"
16,Hotel for Sale in Matara,24 Jun  8:42 pm,"Deniyaya, Matara","8,000,000",දෙමහල් ගොඩනැගිල්ලකි.දෙනියාය - අකුරැස්ස ප්‍රධාන මාර්ගයට මුහුණ ලා පිහිටා ඇත. දැනට පවත්වාගෙන යන හෝටලය එහි උඩුමහලේ රෙස්ටුරන්ට් එකද සමග විකිණේ. මේස - පුටු - ෂෝකේස් ඇතුළු සියලු උපකරණ ලබා දේ.සියලුම පහසුකම් සහිතයි.,Hotel,"Weliwa, Morawaka","1,500 sqft"
17,සිව්මහල් ගොඩනැගිල්ල විකිණීමට මාතර,24 Jun  8:40 pm,"Matara, Matara","180,000,000",මාතර අකුරැස්ස පාරේ (මාතර - කොළඹ අධිවේගී පිවිසුම් මාර්ගයේ )රාහුල හන්දියේ කාර්ගිල්ස් ෆුඩ් සිටි ඉදිරිපිට පිහිටි සිව්මහල් ගොඩනැගිල්ල විකිණීමට ඇත.,Building,"නො:58 අකුරැස්ස පාර,මාතර","12,800 sqft"
18,Hotel for Sale in - Pitabeddara,19 Jul 10:56 am,"Akuressa, Matara","32,500,000",5 Rooms with 2 AC Rooms 1 Apartment (Upper Floor) with ACRestaurantLand Size - 64 P30m to Galle - Deniyaya Main RoadAll common facilities in this area200m to Pitabeddara City CenterAll furniture and other goods included. (Price: 37.5M),Hotel,"3,500 sqft",
19,Sea View 04 Storey Hotel Weligama,21 Jun  5:46 pm,"Weligama, Matara","197,500,000",SEA VIEW 04 STORY HOTEL & 26 P SALE AT FACING GALLE ROAD WELIGAMA ,Hotel,FACING GALLE ROAD / SEA VIEW HOTEL WALIGAMA,"12,000 sqft"
20,Running Guest House Sale in Mirissa,20 Jun  4:42 pm,"Weligama, Matara","80,000,000","Clear Documents,8 Rooms are Full Completly,Now also Running Guest House,Quick Sale,Bulding and other Legal Documents, Approved,and All Facility available (Telephone/ Water Supply/ Internet),Small Garden with Parking Area,Mirissa Popular Tourist Main Beach 5 Minute Walking time,Main Street are 10Minute Walking Time,this Property are into the Famous Mirissa Tourist Area.Call for More Details.",Hotel,"Paradise Beach Road, Mirissa","4,100 sqft"
21,Shop For Sale - Matara,17 Jun  1:52 pm,"Matara, Matara","25,000,000","Shop For Sale In The Heart Of Matara With A Floor Area Of 1080 Sqft At A Highly Commercialized Center With Access To Kumarathunga Mawatha, (Close To BOC Bank, ST. Thomas Collage, Police Station)",Shop,"89, Kumarathunga Mawatha, Matara.","1,080 sqft"
22,Two Story Building For Sale In Kamburupitiya,15 Jun  1:58 pm,"Kamburupitiya, Matara","16,500,000","Two Story Building For Sale In Kamburupitiya * කඹුරුපිටිය නගර මධ්‍යයේ , මාතර ප්‍රධාන මාර්ගයට මුහුණලා පිහිටා ඇති දෙමහල් ව්‍යාපාරික ස්ථානය සහ පිටුපස කුඩා නිවස විකිණීමට තිබේ.* වර්ග අඩි 2600sqft * සම්පූර්ණ ඉඩම පර්චස් 7යි.* විදුළිය , ජලය ඇත.* කඹුරුපිටිය බස් නැවතුම්පලට 400m * සමූපකාර තෙල් පිරවුම්හල අසල * මිල ලක්ෂ 165   මිල ගණන් සාකච්චා කළ හැක.",Building,"2,600 sqft",
23,Shop For Sale In Dikwella,18 Jun 10:49 am,"Dikwella, Matara","7,500,000","Demahal kada kamara deka itha ikmanin wikinimatapara ainen demahal kada dekak .Shop Dekema mulu watinakama 8,000,000",Shop,"no17, mahawela road, dikwella","2,000 sqft"
24,Sea View Restaurant & 25 P for Sale at Mathara,28 Jun 10:03 am,"Kamburugamuwa, Matara","65,000,000",SEA VIEW RESTAURANT  & 25 P SALE AT FACING GALLE ROAD KAMBURUGAMUWA MATHRA ,Restaurant,GALLE ROAD KAMBURUGAMUWA MATHRA,"3,000 sqft"
25,Hotel for Sale in Mirissa, 6 Jun  3:41 pm,"Weligama, Matara","26,800,000",Land size - 16 perch.30m from galle - matara main road. Right infront of famous giragala mirissa.situated in High tourist zone. All approval are have from government authorities. Weligama pradeshiya sabawa approved  the building plan.approval from costal conservation department. Approval  from fire department. Clear deeds. Building extent  over 4500 square feets.very good  investment. Quick sale for highest offer.price  can negotiate after inspection. Offers are welcome.,Hotel,"5,000 sqft",
26,ලී මෝල සමග නිවස ඉක්මනින් විකිණීමට අකුරැස්ස, 6 Jun  1:44 pm,"Akuressa, Matara","26,000,000","සියළු දැව ඉරීමට හා විකිණීමට  බලපත්‍ර සහිත නවීන යන්ත්‍රෝපකරණ වලින් සමන්විත, මාතර-අකුරැස්ස ප්‍රධාන පාරට මුහුණලා පිහිටි ලී මෝල සහ නිවස  ඉක්මනින් විකිණීමට !",Factory / Workshop,"දිසානි, පරදුව, අකුරැස්ස.","3,000 sqft"
