,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,"5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama",10 Jul  9:08 am,"Maharagama, Colombo","55,000,000","5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama16 PerchesEach Floor is 2000 Sq.Ft. Apartment4 Apartments3 Bedrooms & 2 Bathrooms on Each ApartmentFully TiledA/C, Hot Water, Car Park, CCTV & All Facilities ThereRoof Top on 5th FloorRoof Tops are Tiled & Have Separate Bathroom8 Perch Car Park20Ft. Access RoadClose to Sri Jayawardenapura Hospital2km to Highlevel RoadIdeal for Commercial or Residential UseIdeal for School, Private Hospital or Care HomeUrgent SaleNo BrokersSelling Price: Rs.55 MillionCall for More Details",Building,Pathiragoda Road,"8,000 sqft"
2,"['5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama', '10 Jul  9:08 am', 'Maharagama, Colombo', '55,000,000', '5 Storied Commercial Building for Sale in Pathiragoda Road, Maharagama16 PerchesEach Floor is 2000 Sq.Ft. Apartment4 Apartments3 Bedrooms & 2 Bathrooms on Each ApartmentFully TiledA/C, Hot Water, Car Park, CCTV & All Facilities ThereRoof Top on 5th FloorRoof Tops are Tiled & Have Separate Bathroom8 Perch Car Park20Ft. Access RoadClose to Sri Jayawardenapura Hospital2km to Highlevel RoadIdeal for Commercial or Residential UseIdeal for School, Private Hospital or Care HomeUrgent SaleNo BrokersSelling Price: Rs.55 MillionCall for More Details', 'Building', 'Pathiragoda Road', '8,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Building for sale Kaduwela,23 Jul  5:24 pm,"Angoda, Colombo","8,800,000",General Features • attached bathroom • fully fitted kitchen • tiled floor • electricity • tap line water In front of Kaduwela low level road,Building,"1,800 sqft",
4,Hotel for sale Maharagama,30 Jun  8:25 am,"Maharagama, Colombo","100,000,000",14 RoomsAttached bathroom and graniteFull furnishedTile and granited1 side 2 storey second side 3 storey,Hotel,109/6 Railway Avenue,"10,000 sqft"
5,Building for sale Kaduwela,23 Jul  5:24 pm,"Angoda, Colombo","8,800,000",General Features • attached bathroom • fully fitted kitchen • tiled floor • electricity • tap line water In front of Kaduwela low level road,Building,"1,800 sqft",
6,Building for Sale in Kurunegala,25 Jul  2:10 pm,"Kurunegala, Kurunegala","25,500,000","කුරුණෑගල නගරයට කි.මී 3යි.කොලඹ කුරුණෑගල ප්‍රදාන මාර්ගයට මුහුනලා පිහිටා ඇති ව.අඩි 4000කින් සමන්විත, ඕනෑම ව්‍යාපාරයකට සුදුසු ඉඩම සහ ගොඩනැගිල්ල විකිණීමට හෝ බදු දීමට ඇත. පර්චස් 15.6ණය පහසුකම් ලබාගත හැක.අදිවේගී මාර්ගයට කි.මී 1/2නිරවුල් ඔප්පුසියළුම පහසුකම් සහිතයිපාරට මුහුනලා අඩි 33මිළ ගනන් සාකච්චා කරගත හැක.",Building,"4,000 sqft",
7,Building for Sale in Kurunegala,25 Jul  2:05 pm,"Kurunegala, Kurunegala","28,500,000","කුරුණෑගල නගරයට කි.මී 3යි.කොලඹ කුරුණෑගල ප්‍රදාන මාර්ගයට මුහුනලා පිහිටා ඇති ව.අඩි 6000කින් සමන්විත, ඕනෑම ව්‍යාපාරයකට සුදුසු ඉඩම සහ ගොඩනැගිල්ල විකිණීමට හෝ බදු දීමට ඇත. පර්චස් 23 1/2.ණය පහසුකම් ලබාගත හැක.අදිවේගී මාර්ගයට කි.මී 1/2සියළුම පහසුකම් සහිතයිමිළ ගනන් සාකච්චා කරගත හැක.",Building,"6,000 sqft",
8,Sea View 04 Story Hotel Sale at Weligama,25 Jul  1:09 pm,"Weligama, Matara","197,500,000",SEA VIEW 04 STORY HOTEL & 26 P SALE AT FACING GALLE ROAD WELIGAMA ,Hotel,FACING GALLE ROAD AHANGAMA  WELIGAMA,"12,000 sqft"
9,Building for Sale in Moratuwa,25 Jul 12:45 pm,"Moratuwa, Colombo","38,000,000",Building for Sale in MoratuwaFacing Galle Road 6 storied Building with Basement  car parkingHighly Commercialize  AreaBuilding 5000 sq ftProvision  for Lift wellNearly -   moratuwa urban council  puran appu ground under  main car park               HNB / Peoples Bank / NSB  / PABC                Nation Trust Bank / DFCC Opposite  Petrol Shed &  YMCA / Super market Selling Price Rs 38 million  ( Immediate Sale  for migrate ),Building,Galle Road - Moratuwa,"5,000 sqft"
10,Vehicle Service Station for Sale in Negombo,21 Jul  4:45 pm,"Negombo, Gampaha","32,000,000",Well-equipped Vehicle Service Centre for Sale situated in a prime location (Colombo Negombo Main Road)  within Negombo city limits.,Building,Negombo,"8,000 sqft"
