,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Property type:,Beds:,Baths:,
1,Selagala Hotel - Anuradhapura, 4 Jun  9:30 am,"Anuradhapura, Anuradhapura","1,500","Selagala Hotel is a comfortable place to stay. Walking distance to new town and very close to old town bus stand. Can reach to the city and sacred city  in a few minutes. The hotel has comfortable double bedrooms and family bedrooms. Some rooms have air conditioned facility. Restaurant, living room and lobby area available. Large garden area comes with parking space. Room basis and the entire premises can be taken for groups.Budget room Rs.1500/ - Rs.3000/Standard Room  Rs.2500/-  Rs.3500/We have small budget house with an attached bathroom and outdoor bathroom. Television is available.Rs.2500/ for 5 guestsRs.4000/ for 10 guestsRs.5000/ for guests",Holiday bungalow,5,5,
2,"['Selagala Hotel - Anuradhapura', ' 4 Jun  9:30 am', 'Anuradhapura, Anuradhapura', '1,500', 'Selagala Hotel is a comfortable place to stay. Walking distance to new town and very close to old town bus stand. Can reach to the city and sacred city  in a few minutes. The hotel has comfortable double bedrooms and family bedrooms. Some rooms have air conditioned facility. Restaurant, living room and lobby area available. Large garden area comes with parking space. Room basis and the entire premises can be taken for groups.Budget room Rs.1500/ - Rs.3000/Standard Room  Rs.2500/-  Rs.3500/We have small budget house with an attached bathroom and outdoor bathroom. Television is available.Rs.2500/ for 5 guestsRs.4000/ for 10 guestsRs.5000/ for guests', 'Holiday bungalow', '5', '5']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,ABC Holly day Homes in - Anuradhpura,18 Jul  5:59 pm,"Anuradhapura, Anuradhapura","5,000","Two new separate apartments with  2 rooms and three rooms about  5-6 minutes to Sri Mahabodhi. Each apartment   consist with attached bathrooms,living area,kitchen with appliances ,parking facilities,T.V. and refrigerator, Fully tiled.Specially for the families who seek a clean green and calm place.( families only)",school  Lane   airport road  Anuradhpura (near the Janadhipathi collage,Holiday bungalow,2,2
4,Sineli Family Villa Anuradhapura,18 Jul  5:37 pm,"Anuradhapura, Anuradhapura","2,500",අනුරාධපුර නව නගරයේ කාශ්‍යප මාවතේ සිත් ගන්නාසුලු නිසංසල පරිසරයක පිහිටි සිනේලි ෆැමිලි විලා තුලින් ඉතාම නවින පන්නයේ නානකාමර පහසුකම් සහිත ආකර්ෂණීය කාමර පහසුකම් ( සෑම කාමරයක් සදහාම නානකාමර පහසුකම් සහිතයි )ආහාර ගැනිමේ පහසුකම් රියදුරු නැවතිමේ පහසුකම් වාහන නැවතිමේ ඉඩකඩ සහිත අලංකාර වටපිටාවකින් යුත් ගෙවත්ත මෙම නිවාඩු නිකේතනයේ සිට ජය ශ්‍රී මහා බෝධියට රුවන්වැලිසෑය විනාඩි 10 තුල ළගා විය හැකි දුර  අවශ්‍යතා අනුව ප්‍රවාහන පහසුකම් සැකසා දිය හැකඔබද වෙනස අත්විදින පැමිනෙන නවින පන්නයේ Attached bath room සහිත  5 දෙනෙකු සදහා වු AC සහිත කාමරය   රු 4000 /=නවින පන්නයේ Attached bath room සහිත  4 දෙනෙකු සදහා වු AC සහිත කාමරය   රු 3500 /=නවින පන්නයේ Attached bath room සහිත  4 දෙනෙකු සදහා වු AC රහිත කාමරය   රු 2500 /=AC සහිත 20 දෙනකුට එකවර පහසුකම් ලබාගැනීමට 13000/=AC රහිත 20 දෙනෙකුට එකවර පහසුකම් ලබාගැනීමට  12000/=,කාශ්‍යප මාවත 3 වන පියවර අනුරාධපුර,Seasonal room,4,4
5,House For Your Holiday Reservation In Anuradhapura,16 Jul  5:10 pm,"Anuradhapura, Anuradhapura","5,000",3 Bed rooms1 Living room1 Bathroom and 1 Attached bathroomසියලුම කුස්සියේ උපකරන වලින් සමන්විතයි.තනිව කෑම පිසගත හැක.කිරි ආහාර සකසා ගැනීමේ පහසුකම් වලින් යුක්තයි.වාහන park කල හැක.නිශ්ශබ්ද හා සන්සුන් වටපිටාවක්නිවස පූජනීය නගරයේම පිහිටා ඇත ශ්‍රී මහා බෝධියට විනාඩි 10 ක දුර එකවර 15 දෙනෙකුට නිදාගත හැක මුදල් කතාකර අඩුකර ගත හැක.,"LOT B,Ruwanveli city,Anuradhapura",Holiday bungalow,8,2
6,Sasoba Family Resort - Anuradhapura,16 Jul  1:59 pm,"Anuradhapura, Anuradhapura","1,000","Sasoba Family Resort is a large bungalow near Anuradhapura city. 3 km from the center of the town and 10 minutes to Puja Nagaraya. The two storied house-7 bedrooms come with 6 bathrooms. Has bedding facility for 28 guests. The land is well covered and secure parking area and large open space. Can stay large groups. We rent single, double and family rooms separately. Room rates Rs.1000/ - Rs.4000/Entire bungalow  Rs.12000/ up","Wijayapura, Anuradhapura",Holiday bungalow,7,6
7,Welkin Hotel - Anuradhapura,16 Jul 11:39 am,"Anuradhapura, Anuradhapura","1,000","Welkin Hotel for the best place for your stay next visit in Anuradhapura. Located at Pothanegama, Anuradhapura. Walking distance to Tisawewa and five minutes away from the sacred city. Very relax place with calm village environment and not far from the city. We have some range of room types to suit your budget. Non Ac room rates start from Rs.1000/.  Ac room rates from Rs.2500/ upwards. Garden areaVehicle Parking MealsBicycle rentals/ car hiresStation pick ups/ drops",Holiday bungalow,10+,10+,
8,Family resort Anuradhapura,15 Jul  7:08 pm,"Anuradhapura, Anuradhapura",500,"අනුරාධපුර නව නගරයේ පූජා භූමියට 2km දුරකින් නිසසල පරිසරයක පිහිටා ඇත.සම්පූර්ණ නිවස කාමර 3කින් සමන්විත වන අතර වායු සමනය කල කාමරයකින්ද යුක්තයි.එක් කාමරයක ඇදන් 3 බැගින් කාමර දෙකකින්ද තනි ඇදක් සහිත කාමරයක්ද වේ.කාමරයටම අලලා සැකසුණු නාන කාමරද සහිතයි.සාලයකින්,නාන කාමර දෙකකින් සහ කුස්සියකින්ද යුක්ත වන අතර කුම්බිච්චන්කුලම වැවට සහ ළමා උද්‍යානයට ඉතාමත් ආසන්න වේ.එකවර 15 දෙනෙකුට නවාතැන් ගැනීමට හැකිය.",Seasonal room,7,2,
9,Seasonal Rooms For Rent In Anuradhapura,15 Jul 11:44 am,"Anuradhapura, Anuradhapura",999,"පුජා නගරයට 1.5 කිලෝ මිටර් , කිරි ආහර නොමිලේ ,ඉතා පිරිසිදු සුපිරි තත්වයෙ යාබද නාන කමර","nuwarawewawatta, mihintalaya road, jaffna junctuion,Anuradhapura",Seasonal room,10+,10+
