,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Property type:,Beds:,Baths:,
1,The Regent Hotel - Colombo 03, 8 Jul  7:04 am,"Colombo 3, Colombo","1,500",The Regent Hotel is reputed hotel in Colombo. We have double rooms for long &amp; short periods.,Seasonal room,10+,10,
2,"['The Regent Hotel - Colombo 03', ' 8 Jul  7:04 am', 'Colombo 3, Colombo', '1,500', 'The Regent Hotel is reputed hotel in Colombo. We have double rooms for long &amp; short periods.', 'Seasonal room', '10+', '10']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,Hotel Relax on - Kollupitiya, 8 Jul  7:04 am,"Colombo 3, Colombo","1,500","The Relax on is reputed hotel in Colombo. We have single,double family rooms for long & short periods.",Seasonal room,10+,10+,
4,City view Apartment For Rent Colombo 6,20 Jul  2:28 pm,"Colombo 3, Colombo","8,000","This new apartment is located very close to Galle Rd in Colombo 3. Its just few minutes walking distance to the beach, mosque and all the amenities including banks, restaurants and shopping.  The Central Business District, Kollupitya Market, Liberty Plaza, Majestic City, Galle Face, Fort and Vihara Maha Devi Park all are 5 mins drive from the apartment.  This is a perfect location for your holiday or business trip.","Galle Rd, behind Lalson Tailors, Colombo 3 - Kollupitiya",Apartment,3,2
5,3 Bed Room Apartment for Rent (APT001504) - Kolupitiya,20 Jul  9:56 am,"Colombo 3, Colombo","7,500","THREE BEDROOM APARTMENT COLOMBO 3 JESIMA APARTMENT (LALSON) Address :- Jesima Apartment, (Behind Lalson)This new apartment is located very close to Galle Rd in Colombo 3. It’s just few minutes walking distance to the beach, mosque and all the amenities including banks, restaurants and shopping. The Central Business District, Kollupitya Market, Liberty Plaza, Majestic City, Galle Face, Fort and Vihara Maha Devi Park all are 5 mins drive from the apartment. This is a perfect location for your holiday or business trip.------------------------------------------------------------------------------------	■ Three Bedroom Apartment. ■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Rs.7,500 + Electricity per Day. ------------------------------------------------------------------------------------",415\10 Kolupitiya Colombo 03,Apartment,3,3
6,Luxury Apartment For Rent Colombo 3,20 Jul  6:07 am,"Colombo 3, Colombo","8,000","■ 3 Rooms-1 Attached and 1 Common Bathroom.■ Living and Dining Area.■ Fully Furnished and Fully Air conditioned.■ Free WiFi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Electricity Rs 50 per unit.",Lower Bagathale Colombo 3,Apartment,3,2
7,3 Rooms Luxury Apartment For Rent Colombo,20 Jul  6:07 am,"Colombo 3, Colombo","8,000","■ 3 Rooms-1 Attached and 1 Common Bathroom.■ Living and Dining Area.■ Fully Furnished and Fully Air conditioned.■ Free WiFi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Electricity Rs 50 per unit.","Galle Rd, behind Lalson Tailors, Colombo 3 - Kollupitiya",Apartment,3,2
8,3 Rooms Apartment For Rent Colombo,20 Jul  6:06 am,"Colombo 3, Colombo","8,000","■ 3 Rooms-1 Attached and 1 Common Bathroom.■ Living and Dining Area.■ Fully Furnished and Fully Air conditioned.■ Free WiFi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Electricity Rs 50 per unit.",19th Lane Colombo 3,Apartment,3,2
9,Luxury Apartment For Rent Colombo 3,19 Jul  9:19 pm,"Colombo 3, Colombo","8,500","These Spacious Modern Apartments consists 3 Rooms with one attached and one common bathroom, a large Living and Dining Area and a Fully Equipped Kitchen. The Apartments are Fully Furnished including TV, Washing Machine, Fridge, Ironing, Microwave etc. Kitchen is Fully Equipped including Cutleries and Crockeries. Linen also provided.",Bagathale Road Colombo 3,Apartment,3,2
