,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Property type:,Beds:,Baths:
1,2 Rooms Apartment In Colombo 4,17 Jul  9:14 pm,"Dehiwala, Colombo","5,500","these apartment are located in Lorenz Rd in Colombo 4 (Bambalapitiya), with easy access to other parts of the city and all the amenities. Most of Colombo’s attractions are all within 15 mins drive from the Apartment. There are many fast food outlets within few minutes walking distance. Public transport is just few meters from the building. up to 10 days Only this rate","Lorenze Rd, Colombo 4, Colombo 4 - Bambalapitiya",Apartment,2,2
2,"['2 Rooms Apartment In Colombo 4', '17 Jul  9:14 pm', 'Dehiwala, Colombo', '5,500', 'these apartment are located in Lorenz Rd in Colombo 4 (Bambalapitiya), with easy access to other parts of the city and all the amenities. Most of Colombo’s attractions are all within 15 mins drive from the Apartment. There are many fast food outlets within few minutes walking distance. Public transport is just few meters from the building. up to 10 days Only this rate', 'Lorenze Rd, Colombo 4, Colombo 4 - Bambalapitiya', 'Apartment', '2', '2']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,Luxury Budget Rooms for Rent Dehiwala (46),16 Jul 12:31 pm,"Dehiwala, Colombo","1,500",For more details type Hillstreet villaBook us through Agoda / Expedia / hotels.com / AIRBNB etc or call us,142 Hill Street Dehiwala,Seasonal room,10+,10+
4,3 BHK Apartment Dehiwala Attached,21 Jul  8:03 am,"Dehiwala, Colombo","7,470",Fully furnished apartment Fully air condition Parking Fifi All kitchen equipment 24 hours security,Apartment,3,3,
5,Three Bedroom Apartment/Dehiwala New,21 Jul  8:02 am,"Dehiwala, Colombo","6,999",Fully furnished apartment Fully air condition Parking Fifi Brand New Apartment Close to Galle RdElectricity per unit 48,Apartment,3,2,
6,3 BHK at Dehiwala,21 Jul  8:06 am,"Dehiwala, Colombo","7,340",Fully furnished apartment Fully air condition Parking Fifi All kitchen equipment Brand New apartment,Apartment,3,2,
7,Three Bedroom Apartment Dehiwala,18 Jul  2:51 pm,"Dehiwala, Colombo","6,666",Fully furnished apartment Fully air condition Parking Fifi All kitchen equipment 24 hours security Close to sea side,Apartment,3,2,
8,3 Bed Room Apartment for Rent - Kolupitiya,20 Jul  3:56 pm,"Dehiwala, Colombo","7,500","APARTMENT (LALSON) Address :- Jesima Apartment, (Behind Lalson)This new apartment is located very close to Galle Rd in Colombo 3. It’s just few minutes walking distance to the beach, mosque and all the amenities including banks, restaurants and shopping. The Central Business District, Kollupitya Market, Liberty Plaza, Majestic City, Galle Face, Fort and Vihara Maha Devi Park all are 5 mins drive from the apartment. This is a perfect location for your holiday or business trip.------------------------------------------------------------------------------------	■ Three Bedroom Apartment. ■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Rs.7,500 + Electricity per Day. ------------------------------------------------------------------------------------",415\10 Kolupitiya Colombo 03,Apartment,3,3
9,Studio Type Apartment for Rent Dehiwala,16 Jul  9:40 am,"Dehiwala, Colombo","4,500",Luxury studio bedroom A/CBathroom with hot water and separate shower areaFully furnished Clean and Quality bed linens Fully Equipped Kitchen including Cutleries and Crockeries (light cooking)Refrigerator Cable TV with International channelsParking and security !!!!,Apartment,1,1,
