,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Property type:,Beds:,Baths:,
1,Holiday Rooms in Kandy, 9 Jul 10:49 am,"Kandy, Kandy","1,500",FOR FOREIGNERS AND LOCALS .ඔබ සොයන්නෙ නිදහස්ව ඉන්න්න නම් හන්තානට එන්න .අරක්සාකරි වගකීම් සහිත ස්ථානයකට එන්න  වැදගත්ම එයයි,Seasonal room,6,5,
2,"['Holiday Rooms in Kandy', ' 9 Jul 10:49 am', 'Kandy, Kandy', '1,500', 'FOR FOREIGNERS AND LOCALS .ඔබ සොයන්නෙ නිදහස්ව ඉන්න්න නම් හන්තානට එන්න .අරක්සාකරි වගකීම් සහිත ස්ථානයකට එන්න  වැදගත්ම එයයි', 'Seasonal room', '6', '5']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,Kandy La Grande Rooms (Hantana) for Rent,18 Jul  8:26 pm,"Kandy, Kandy","2,000","^^ PANORAMIC VIEW OF THE MISTY MOUNTAINS ON TOP OF THE HANTANA      MOUNT RANGE.....^^ 5 ROOMS WITH EN-SUITE BATHROOMS..^^ A/C, FREE WI-FI,DIALOG TV,HOT/COLD SHOWER,FAN^^ FREE CAR PARKING,DRIVER QUARTERS,FULLY EQUIPPED KITCHEN^^ BBQ FACILITY,BADMINTON,CARROM,DART,CHESS,MOUNT HIKING,BIRD     WATCHING....^^ 10 min KANDY DALADA MALIGAWA^^ 5 min kANDY RAILWAY STATION...^^ 5 min HANTANA TEA MUSEUM/TEA PLANTATIONS ^^ 15 min PERADENIYA BOTANICAL GARDEN... ^^ 10 min KANDY CITY CENTER...^^ IDEAL PLACE FOR SMALL FAMILIES,COUPLES,GROUPS & HONEY MOON     COUPLES....","25B, Thapodaramaya Road, Hantana,Kandy",Holiday bungalow,10+,4
4,Luxury Rooms for Rent in - Kandy,13 Jul  9:12 am,"Kandy, Kandy","2,000",Luxury Rooms for Rent in a fully furnished apartment in Kandy City Limits.,Ampitiya Road,Seasonal room,3,3
5,Luxury Rooms for Rent - Kandy, 1 Jun  3:11 pm,"Kandy, Kandy","2,500","Rooms with attached barth room With a /c, hot water, t.v, car praking, wi-fi.",Holiday bungalow,5,5,
6,Rooms in Kandy,29 Jun  2:51 pm,"Kandy, Kandy","1,500","මහනුවර - ඉතා සුව පහසු කාමර - අඩුම මිලට ලබාගන්න ඔබේ නිවාඩුව සුව සේ අත්විදින්න .කාමර - රු - 1,500/- සිට ඉහලට ","Classio View Kandy No 50 A 1/1 , Thapodarama  Mawatha, Hanthana, Kandy",Seasonal room,5,5
7,Perfect Choice for Your Stay in Kandy,12 Jul 10:13 pm,"Kandy, Kandy","3,500",Banana Lodge,"No: 204/A-1 Halloluwa, Kandy, 20000",Seasonal room,5,5
8,"Villa in Kandy, rooms",19 Jul 10:00 am,"Kandy, Kandy","2,000","Fully Furnished antique type villa in Kandy, Lewalla 10 minutes to Dalada Maligawa (temple of the tooth) 15 minutes to kandy city center,","39, Gunnapana, Lewalla road, kandy",Holiday bungalow,5,5
9,Rooms for Rent in Kandy,18 Jul  9:28 am,"Kandy, Kandy","1,500",සුන්දර සෙංකඩගල පුරවරයේ සුවපහසු නිවාඩුවක් ගත කිරීමට පැමිණෙන ඔබ සැම වෙනුවෙන් අපගේ ආයතනය හන්තාන කඳුවැටිය පිවිසුම් මාර්ගය ආසන්නයේ පිහිටා ඇත.වායුසමීකරණය කරන ලද කාමර සහ තවත් කාමර ද ඇතුළුව සුවපහසු කාමර අටකින් සමන්විත අප ආයතනයේ විසි දෙනකුට පමණ එකවර නවාතැන් පහසුකම් ලබාගත හැක. තනි කාමර වශයෙන් ද නවාතැන් පහසුකම් ලබාගත හැක.මහනුවර නගරය සහ අවට කඳු පන්තීන් මැනවින් දර්ශනය වන අපගේ භෝජනාගාරය තුළ ඔබට අවශ්‍ය ආහාර වර්ග පහසු මිල ගණන් යටතේ ඉතාමත් පිරිසිදුව ඇනවුම් කර ලබා ගත හැක.,"Mount palace hotel,no51,Gemunu Mawatha,Hanthana place,kandy",Seasonal room,8,8
10,Comfortable Rooms for Rent in Kandy,20 Jul 11:12 am,"Kandy, Kandy","2,000","We are in Dharmashoka mawatha, Just 3km to kandy city centerSpecious garden space with ample parkingOn site restaurantComfortable specious rooms (Double ,Triple or Family rooms)Can get whole bungalow or Room wiseContact us for more info and reservations","No.147/7 A , Dharmashoka mawatha , Kandy",Seasonal room,4,4
11,Holiday Bungalow Rooms in kandy,12 Jul 10:33 am,"Kandy, Kandy","3,000",We are in LewellaFull bungalow or rooms wise Parking / Meals / care taker availableDouble room rs3000/- upwardsFull bungalow rs.10000/= upwards(Prices may change time to time) Contact us for more info,"Dharmashoka mawatha ,Lewella ,Kandy",Holiday bungalow,4,4
12,Villa for Rent - Kotakadeniya,11 Jul  8:07 am,"Pilimatalawa, Kandy","15,000","Steeped in the very essence of authentic Kandyan heritage, Villa Kotakadeniya is a great option for your holiday getaway. Nestled within the serene surroundings and the lush greenery of the hill country, it is located just 30 minutes away from the bustling Kandy City center. The villa showcases it's very own antique splendor where it's current owners have retained it's traditional architectural aspects. The interiors of the villa are also enriched with the antiques. It boasts of five bedrooms, four bathrooms (four bedrooms with attached bathrooms), three sitting areas, a large verandah, a dining area, a bar, a kitchenette and a big garden. The guests are provided with the warmest of hospitality and the best comforts throughout their stay within a setting of tranquility.",Holiday bungalow,5,4,
13,Holiday Rooms in Kandy, 9 Jul 10:49 am,"Kandy, Kandy","1,500",FOR FOREIGNERS AND LOCALS .ඔබ සොයන්නෙ නිදහස්ව ඉන්න්න නම් හන්තානට එන්න .අරක්සාකරි වගකීම් සහිත ස්ථානයකට එන්න  වැදගත්ම එයයි,Seasonal room,6,5,
