,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Property type:,Beds:,Baths:
1,Room for Rent in Nuwara Eliya, 3 Jul 11:19 am,"Nuwara Eliya, Nuwara Eliya","1,000",*ACCOMMODATION FOR 50-60 GUESTS AT ONCE*SPECIAL OFFERS FOR FULL BOOKINGS!        1)  WEEKDAYS                           - Rs 25000/= UPWARDS         2) WEEKENDS AND HOLIDAYS - Rs 35000/= UPWARDS,"Walimada road, Nuwara Eliya",Holiday bungalow,10+,10+
2,"['Room for Rent in Nuwara Eliya', ' 3 Jul 11:19 am', 'Nuwara Eliya, Nuwara Eliya', '1,000', '*ACCOMMODATION FOR 50-60 GUESTS AT ONCE*SPECIAL OFFERS FOR FULL BOOKINGS!        1)  WEEKDAYS                           - Rs 25000/= UPWARDS         2) WEEKENDS AND HOLIDAYS - Rs 35000/= UPWARDS', 'Walimada road, Nuwara Eliya', 'Holiday bungalow', '10+', '10+']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,Holiday Bungalow Nuwara Eliya,20 Jun  2:05 pm,"Nuwara Eliya, Nuwara Eliya","15,000","The very best Place For a Holiday In Nuwara Eliya______Holiday Inn______Set amidst rolling hills and tea plantations with a peaceful,calm & quiet , romance surrounding. "" Forest Edge Holiday Inn"" is the answer to enjoy your holiday.if you are looking for a personalized & unique service based holiday come to us.Easy access to Victoria park , Gregory Lake & Race course , Restaurants , Banking facilities.Hearty hospitality is a remained for you to make your holiday with a refreshing experience and with a unique service.For your comfort,- 7 Bed rooms with attached bathrooms.- Dining Room- BBQ- Kitchen- TV and Facility.- Car parking- Small Garden area with From "" Holiday Inn ""* 1 km to Nuwara Eliya Town* 1.5 km to Piduruthalagala Mountain* 5 km to Hakgala","Underbank, Nuwara Eliya",Holiday bungalow,7,7
4,Nuwaraeliya Rooms / Apartment,30 Jun 11:03 am,"Nuwara Eliya, Nuwara Eliya","3,500","The apartment is ideal for families and small groups. Walking distance from the city center. The apartment has 1 family rooms with 2 comfortable double beds, fully furnished living room, equipped kitchenette and a hot water bathroom. Flat screen television available. Comfortable for 4 guests.Rs.3500/",Holiday bungalow,1,1,
5,The White Rose Balgalow in Nuwara Eliya,21 Jul  7:22 am,"Nuwara Eliya, Nuwara Eliya","3,500","A bunglow with four bed rooms, kitchen, hot water and parking facilities. 1km away from the gregory lake and 5min drive to the city.",Holiday bungalow,8,4,
6,Holiday Home in Nuwara Eliya, 6 Jun  8:19 pm,"Nuwara Eliya, Nuwara Eliya","6,500",Lake View Holiday HomeNear Gregory lake4 Bedroom House 2 bathroomHotshowerKitchen and gas,Holiday bungalow,4,2,
7,Room for Rent in Nuwara Eliya, 3 Jul 11:19 am,"Nuwara Eliya, Nuwara Eliya","1,000",*ACCOMMODATION FOR 50-60 GUESTS AT ONCE*SPECIAL OFFERS FOR FULL BOOKINGS!        1)  WEEKDAYS                           - Rs 25000/= UPWARDS         2) WEEKENDS AND HOLIDAYS - Rs 35000/= UPWARDS,"Walimada road, Nuwara Eliya",Holiday bungalow,10+,10+
8,Minwood Luxury Holiday Bungalow - Nuwaraeliya,19 Jul  2:03 pm,"Nuwara Eliya, Nuwara Eliya","25,000",Minwood Luxury Holiday Bungalow - Nuwaraeliya======================================,"Minwood Bungalow, Rose Garden,Katumana, Nuwaraeliya",Holiday bungalow,5,4
9,Rooms in Nuwaraeliya,18 Jul  1:46 pm,"Nuwara Eliya, Nuwara Eliya","2,500",Two bed room attach bath room with hot water 1km nuwaraeliya town Kitchen and gas supply ( 250 Family room 2500Full house 5000(for August month 6500),Apartment,2,2,
10,Holiday Bungalow Nuwara Eliya,20 Jun  2:05 pm,"Nuwara Eliya, Nuwara Eliya","15,000","The very best Place For a Holiday In Nuwara Eliya______Holiday Inn______Set amidst rolling hills and tea plantations with a peaceful,calm & quiet , romance surrounding. "" Forest Edge Holiday Inn"" is the answer to enjoy your holiday.if you are looking for a personalized & unique service based holiday come to us.Easy access to Victoria park , Gregory Lake & Race course , Restaurants , Banking facilities.Hearty hospitality is a remained for you to make your holiday with a refreshing experience and with a unique service.For your comfort,- 7 Bed rooms with attached bathrooms.- Dining Room- BBQ- Kitchen- TV and Facility.- Car parking- Small Garden area with From "" Holiday Inn ""* 1 km to Nuwara Eliya Town* 1.5 km to Piduruthalagala Mountain* 5 km to Hakgala","Underbank, Nuwara Eliya",Holiday bungalow,7,7
11,Canvi Villa in Nuwara Eliya,20 Jul  9:58 am,"Nuwara Eliya, Nuwara Eliya","10,000","Canvi Villa Nuwara Eliya Full Villa Month-August (Only10,000/=)","No-62, Vijithapura, Magastota, Nuwara Eliya",Holiday bungalow,5,2
12,Aaradhya villa Rooms or Bungalow in Nuwara Eliya,20 Jul 10:23 am,"Nuwara Eliya, Nuwara Eliya","4,000","Aaradhya villa,Nuwara Eliya in features accommodation with a garden,a shared lounge and on/site dining.all rooms are private bathroom.free wifi and concierge service are provided.",22200,Holiday bungalow,6,6
13,Holiday Bungalow in Nuwara Eliya,20 Jul 11:37 am,"Nuwara Eliya, Nuwara Eliya","13,000","Attractive rates given  upto 10 pax  - Rs 13,000                                    11- 15pax    -  Rs 15,000                                            16- 18pax   -  Rs 18,000                                    19 - 21 pax - Rs 22,000   for above rates A cook /caretaker will be provided ,Bungalow equipped with Hot water , Purified water dispenser,Stereo sound setup, LCD TV with foreign channels.Heaters available at an  extra payment of Rs 500/- per heater.",Katumana Nuwaraeliya,Holiday bungalow,10+,4
14,Nuwara Eliya Holiday Bungalow Near Racecourse,20 Jul  1:22 pm,"Nuwara Eliya, Nuwara Eliya","15,000","Osrin Villa NuwaraeliyaNestled in the heart of N’eliya, right next to the legendary Racecourse, Osrin Villa is the perfect getaway for those who are looking for serenity in the chilly hill country weather. It’s perfectly located, with walking distance to Gregory Lake, Victoria Park, Kids Carnival, and N’Eliya town, the must visit sites if you are in the hill-country.",Holiday bungalow,3,2,
15,Holiday Bungalow Rooms in Nuwaraeliya Eliya,17 Jul  6:08 pm,"Nuwara Eliya, Nuwara Eliya","3,500","Inroma Holiday Resort in Nuwara Eliya provides accommodation with a garden, a bar and a shared lounge. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The accommodation offers entertainment staff and a concierge service.",Holiday bungalow,9,5,
16,Lake View Holiday Home in Nuwara Eliya,17 Jul 12:47 am,"Nuwara Eliya, Nuwara Eliya","2,000",සංචාරක නිවාසය නූවර එළිය,නුවරඑළියේ ගෙගරි වැවට ආසන්න,Holiday bungalow,4,2
17,Clayton Bungalow Nuwara Eliya,16 Jul  6:06 pm,"Nuwara Eliya, Nuwara Eliya","20,000",Bungalow has 3 rooms. Can accommodate 9 adults. Full bungalow price is (Rs 20000/-).,Holiday bungalow,3,3,
18,Holiday Bungalow Rent - Kalapuwa,15 Jul  4:18 pm,"Nuwara Eliya, Nuwara Eliya","3,000","luxury apartments for short term rent in the heart of Nuwara eliya. Walking distance to bus stand, super markets, laundry, Gym. All Apartments are equipped with Refrigerator, Microwave oven, gas cooker, kettles, other kitchen utensils etc. etc. Bathroom with hot water. Elevator access available for all guests.",2/1 Sahanthipura Rd Kalapuwa,Holiday bungalow,7,7
19,Francis House Nuwara Eliya.,15 Jul  2:40 pm,"Nuwara Eliya, Nuwara Eliya","8,500",4 dabble beds 1 single bed. Kitchen with gas if needed.1 attached bathroom with hot water.parking available.10 people can stay.3 k.m from Nuwara Eliya town.ambewala road.Black Pool.,No 10 Black Pool Nuwara Eliya.,Holiday bungalow,5,1
20,Apartment for Rent in Nuwaraeliya,15 Jul  9:26 am,"Nuwara Eliya, Nuwara Eliya","10,000",This is a brand new Fully furnished 2 bedrooms holiday apartment.,Apartment,2,2,
21,Holiday rooms in Nuwara Eliya,14 Jul 10:19 pm,"Nuwara Eliya, Nuwara Eliya","8,000",▪ 4 rooms with 3 attached bathrooms & a kitchen with a facility of gascooker▪ located near the Nuwara Eliya townIt is covered with flowers and a large vehicle park Attached bathroom with hotwater showerLCD TV with comfortable rooms,"No.80/7, lady macculum road, Nuwaraeliya",Holiday bungalow,4,3
22,නවාතැන් පහසුකම් නුවර එළිය,14 Jul  9:32 am,"Nuwara Eliya, Nuwara Eliya","1,500",ඔබට අවශ්‍ය ආකාරයේ නවාතැන් පහසුකම්. අවම මිලට. ,Holiday bungalow,2,1,
23,Rooms in Nuwara Eliya,12 Jul  1:27 pm,"Nuwara Eliya, Nuwara Eliya",750,"Double Room,Family room, Full house",Seasonal room,8,6,
