,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Rent at Athurugiriya,13 Jul  3:34 pm,"Athurugiriya, Colombo","40,000",Luxury Two story house  at Millennium City Athurugiriya. (Olympus Residence),3,2,"1,850.0 sqft",7.0 perches,
2,"['House for Rent at Athurugiriya', '13 Jul  3:34 pm', 'Athurugiriya, Colombo', '40,000', 'Luxury Two story house  at Millennium City Athurugiriya. (Olympus Residence)', '3', '2', '1,850.0 sqft', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,02 Bed Rooms New House for Rent Near Athurugiriya Highway Entrance.,19 Jul  5:40 pm,"Athurugiriya, Colombo","35,000","Fully Tiled new house with parking facilities.Living Room/ 02 Bed Rooms/ 01Bathroom/ Pantry/ Kitchen.250m to 170/ 190 main bus route/ Athurugiriya Highway Entrance.Prefer to a small family.Rs.35,000/- per month. Advance for 03 monthsGenuine Tenanats only. Call for appointments.","Nandasara Mawatha, Hokandara",2,1,"1,300.0 sqft",7.0 perches
4,House for Rent Athurugiriya,18 Jul  6:04 pm,"Athurugiriya, Colombo","40,000","The downstair of my house is to be rented or leased. It consists of following A master bedroom with attached bathroom, 3 other bedrooms, common bathroom, servant toilet, a large kitchen with pantry cupboard, dinning hall with ante room with enough of space, tv lobby, a garage, two balconies front & rear. Location: 3km off Athurugiriya town towards Habarakada junction. 10 minutes drive to Homagama, 30 minutes drive to Battaramulla, 50 minutes drive to colombo during peak hours. Price is negotiable.","Mullegama, Athurugiriya",4,3,"2,500.0 sqft",25.0 perches
5,Brand New 3 Storied Luxury House for Rent in Athurugiriya,18 Jul  2:33 pm,"Athurugiriya, Colombo","100,000","3 Storied Luxury House for Rent in Athurugiriya. Consists hallway, Sitting, Dining room, Kitchen with pantry cupboard, Outside kitchen , Store room,  Garage, TV room, 4 Bedrooms with A/C, 5 bathrooms, Laundry room  and  Big roof top terrace. Very calm and quiet environment.",Korathota road,4,5,"3,750.0 sqft",22.0 perches
6,House for Rent Athurugiriya Kaduwela,16 Jul 10:41 pm,"Athurugiriya, Colombo","22,000","අතුරුගිරිය, වදුරම්මුල්ල නගරයට මීටර 500 දුරින් පිහිටි නිවස කුලියට දීමට.නිදන කාමර 3කැම කාමර 1මුලුතැන්ගෙය 1විසිත්ත කාමර 1බාත් රෑම් 1වාහන නැවතීමෙ හැකියාව",3,1,"1,500.0 sqft",10.0 perches,
7,House for Rent at Athurugiriya,13 Jul  3:34 pm,"Athurugiriya, Colombo","40,000",Luxury Two story house  at Millennium City Athurugiriya. (Olympus Residence),3,2,"1,850.0 sqft",7.0 perches,
8,House for Rent Athurugiriya,12 Jul  3:11 pm,"Athurugiriya, Colombo","30,000",Athurugiriya Wandurammulla14.5 perches1850sqft house4 bedrooms2 bathroomsLiving roomDinning roomKitchen Large varenda for parking more than 2 vehicles.Covered by boundary wall with a gate.350m to wandurammulla junction (697 bus route)4km to athurugiriya town.5km to kaduwela town.3.5km to nawagamuwa paththini dewalaya.,"339/2A Co-op road, Nawagamuwa South, Ranala",4,2,"1,850.0 sqft",14.5 perches
9,House for Rent Close to Athurugiriya Highway Entrance,12 Jul 11:02 am,"Athurugiriya, Colombo","28,000","Very Close to Athrugiriya Highway Entarance, And Athurugiriya Town , 3 km to Malabe Town,Garage Faclility available. contacts,","No.210/10, Seelawimala Mawatha, Pore, Athurugiriya.",2,1,"2,000.0 sqft",25.0 perches
