,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Rent - Battaramulla,16 Jul  8:10 pm,"Battaramulla, Colombo","60,000","Battaramulla, Koswatta, faced to pipe road,suitable for comercial & residential purposes, two story house, fully tiled,3 bed rooms, 2 bath rooms.pantry & dining room available. Seprate TV lobby,two parking spaces with garage,1000sqft roof top with attractive design  recently build house.",3,2,"2,500.0 sqft",7.0 perches,
2,"['House for Rent - Battaramulla', '16 Jul  8:10 pm', 'Battaramulla, Colombo', '60,000', 'Battaramulla, Koswatta, faced to pipe road,suitable for comercial & residential purposes, two story house, fully tiled,3 bed rooms, 2 bath rooms.pantry & dining room available. Seprate TV lobby,two parking spaces with garage,1000sqft roof top with attractive design  recently build house.', '3', '2', '2,500.0 sqft', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Three Story Modern Luxury House for Rent - Battaramulla,14 Jul  9:24 pm,"Battaramulla, Colombo","250,000","This must see house is located in koswatte, battaramulla with breathtaking views of greenery and rooftop overlooking diyawannawa. If rented as commercial parking available for 20+ vehicles for an additional cost with direct access to premises.Designed by an architect with mastered structural engineering with AC bedrooms and Solar heated hot water.Over 4500 sq feetBedrooms: 4Total interior spaces: 10","130/B, 6th Lane, Gehan Mw, Koswatta, Battaramulla.",4,4,"4,500.0 sqft",13.0 perches
4,නව නිවසක් කුලියට දිමට - බටපොත,20 Jul  2:03 pm,"Battaramulla, Colombo","33,000","වට තාප්ප  සහිත නව නිවස, පැලවත්ත  බත්තරමුල්ල  කොස්වත්ත විනාඩි5හේ දුර,","348 නුගේදේනිය පාර, දකුණු තලංගම, බත්තරමුල්ල",2,1,700.0 sqft,5.0 perches
5,House for Rent in Pelawatte, 6 Jul  2:15 pm,"Battaramulla, Colombo","60,000","**Fully furnished modern apartment with 02 bed rooms, 02 bathrooms, modern kitchen with pantry, living room, balcony with garden view (1st floor) - Rs. 70,000 ","Diyawanna gardens, Pelawatte",2,2,"1,650.0 sqft",10.0 perches
6,House for Rent - Battaramulla,20 Jul  2:00 pm,"Battaramulla, Colombo","40,000","Full of House Rent Price Rs. 40000/-  Harf Part of House Rs. 28000/-(one Bedroom with attached Bathroom, living Room and comman kitchen). House for Rent in Battaramulla, Koswatta.  With furniture or Without Furniture.  3 months or 6 Months or 12 Months Renting House.  12 Months Refundable Security Deposit.  1.5 km to koswatta Junction.  2.5 Km to Battaramulla.  3 km to Malabe.  6 Km to Kaduwela.  7 Km to Athurugiriya.   3.5 Km to Kotte.  5 km to Rajagiriya.  7 Km to Bralle.  9 km to Colombo 10.  5 Km to  Thalawathugoda.  7 Km to Kottawa.   10 Km to Colombo 11.  8 km to Nugegoda.  12 km to Dehiwala.  2.5 km.  to Angoda.  11 Km to Colombo 3.  12 km to Colombo 12",2,1,"1,600.0 sqft",6.0 perches,
7,House for Rent - Battaramulla,20 Jul  8:34 am,"Battaramulla, Colombo","80,000","Two storied luxury house for lease at Battaramulla.three bedrooms with two A/C rooms and one non A/C room.solar powered hot water to all toilets and pantry. Living room,dining,TV lounge.roof top and servant's room with separate toilet.situated in a quite secured location.the distance to the Battaramulla town is less than 01km.security deposit of six months rentals is required.",Liily Avenue Robert Gunawardena Road Battaramulla,3,3,"2,000.0 sqft",9.0 perches
8,House For Rent - Pelawatta,19 Jul  5:13 pm,"Battaramulla, Colombo","120,000","BRAND NEW LUXURY HOUSE FOR RENT IN PELAWATTA04 spacious room with attached bathrooms.Air ConditionedHot water (Solar)Fully furnished/2000 sqft.Quiet & pleasant environment.Formerly occupied by Expatriates.Walking distance to popular walking path.Easy access to Supermarkets, Close to Overseas School & IWMI.Principals only.",4,4,"2,000.0 sqft",9.0 perches,
9,House For Rent - Battaramulla,19 Jul  5:01 pm,"Battaramulla, Colombo","65,000",400M For Battaramulla Road Newly Built Fully  tiled House 3 Bed RoomsPantry & Kitchen Large Garden Servant Toilet Parking Available Separate House surround From Wall Pleasant And Calm environment 6 Month Advance Needed  No Brokers,"432/3, Dutugamunu Mawatha, Thalangama, North, Battaramulla",3,1,"2,500.0 sqft",20.0 perches
