,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Ground floor of an upstair house for rent - Boralesgamuwa,17 Jul  4:37 pm,"Boralesgamuwa, Colombo","55,000","3 bed rooms, 2 bathrooms, pantry and spacious living.200 metres to Boralesgamuwa junctionOnly 100 metres to Commercial bank and walking distance to leading supermarkets.","School Lane, Boralesgawa",3,2,"1,500.0 sqft",11.0 perches
2,"['Ground floor of an upstair house for rent - Boralesgamuwa', '17 Jul  4:37 pm', 'Boralesgamuwa, Colombo', '55,000', '3 bed rooms, 2 bathrooms, pantry and spacious living.200 metres to Boralesgamuwa junctionOnly 100 metres to Commercial bank and walking distance to leading supermarkets.', 'School Lane, Boralesgawa', '3', '2', '1,500.0 sqft', '11.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Upper House for Rent Boralesgamuwa, 2 Jul  7:07 pm,"Boralesgamuwa, Colombo","40,000",දෙමහල් නිවසක උඩුමහල මස 6 අතිකාරම් මුදලක් අවශ්‍ය වහන නැවැත්වීමේ පහසුකම් ඇත ජාල විදුලි වෙන වෙනම ඇත,"No 581, Lake Road  ,Boralasgamuwa",3,1,"1,800.0 sqft",20.0 perches
4,House for Rent in - Borelasgamuwa,20 Jul  1:21 pm,"Boralesgamuwa, Colombo","26,000","2 Bed rooms one with attached bathroom, pantry, Garaj, separate entrance, surrounding parapats. As a separate unit.Located at Katuwawala.200M to 120 bus root. Preferred married couple or small family. Four months deposit, pets not allow.",Katuwawala Borelasgamuwa,2,1,"1,000.0 sqft",10.0 perches
5,Up Stair for Rent - Boralesgamuwa,19 Jul  1:22 pm,"Boralesgamuwa, Colombo","50,000",3 Bedrooms ( 2 with A/C)2 Bathrooms ( 1 with hot water)Separate entrance Separate water and electricity meters 1 Vehicle parking 5 months advance ☆ Don't keep pets,"73/B , Embillawathha Rd. , Boralesgamuwa.",3,2,"1,450.0 sqft",10.0 perches
6,House for Rent - Borelesgamuwa,18 Jul  8:22 am,"Boralesgamuwa, Colombo","30,000",upstairs house for rent. separate electricity and water supply and entrance available. peaceful environment. small family prefer.  500 meters to borelesgamuwa    junction. walking distance to piliyandala kohuwala road and maharagama dehiwala road. fully tile floor and pantry. parking space for small car available.key money for 06 month expecting,School lane Borelesgamuwa,2,1,"2,000.0 sqft",15.0 perches
7,Ground floor of an upstair house for rent - Boralesgamuwa,17 Jul  4:37 pm,"Boralesgamuwa, Colombo","55,000","3 bed rooms, 2 bathrooms, pantry and spacious living.200 metres to Boralesgamuwa junctionOnly 100 metres to Commercial bank and walking distance to leading supermarkets.","School Lane, Boralesgawa",3,2,"1,500.0 sqft",11.0 perches
8,House for Rent Boralesgamuwa,16 Jul 10:54 am,"Boralesgamuwa, Colombo","40,000",House for rent in Borelasgamuwa. (upstairs house with separate entrance) - 50 m to the main road (120) route- Good neighborhood - 2 master bedrooms- 2 main bathrooms and 1 maid bathroom- Pantry kitchen - Storeroom - Balconies,2,2,"2,000.0 sqft",8.0 perches,
9,"2B/R House For Rent at Boralesgamuwa, Rattanapitiya.",16 Jul 10:46 am,"Boralesgamuwa, Colombo","36,000",2B/R House for Rent Close Jayawaradanepura campuss.,"Boralesgamuwa, Rattanapitiya",2,1,750.0 sqft,5.0 perches
10,Brand New House For Rent Boralesgamuwa,15 Jul  9:38 pm,"Boralesgamuwa, Colombo","65,000","One Minute Walking distance to Commercial / Seylan / Sanasa Banks / Cargills Food city / Laugfs super market / Sathosa...etc... 100 meters to the junction. Parking for two vehicles. Separate Electricity, Water. Two beds are attached bathrooms. NO PETS, NO BROKERS. If interested Six Months or One year Advance.","5A, School Lane, Dehiwala Road, Boralesgamuwa",3,2,"2,000.0 sqft",15.0 perches
11,Two Storey House for Rent Boralasgamuwa,14 Jul 12:25 pm,"Boralesgamuwa, Colombo","75,000",Two storey house for rent 4 bedrooms 3 bedrooms sqft 2000 monthly rent 75000 advance 6 month half month broker fees please no brokers,dehiwala road boralasgamuwa,4,3,"2,000.0 sqft",7.0 perches
12,Single Story 04 Room House for Rent - Boralasgamuwa,13 Jul 12:46 pm,"Boralesgamuwa, Colombo","40,000",Halle tile 06 month advance half month broker fee neded,aberathna road boralasgamuwa,4,1,900.0 sqft,20.0 perches
13,Brand New Luxury Three Storey House for Rent - Boralasgamuwa,13 Jul 11:26 am,"Boralesgamuwa, Colombo","200,000","Luxury three storey house for rent 5 bedrooms 5 bathrooms servant room and bathroom gym,bar roftop 3 vehicles car parking sqft 4000 monthly rent 200000 advance 6 month half month broker fees please no brokers",sadaham mawatha boralasgamuwa,5,5,"4,000.0 sqft",8.5 perches
14,"Brand New House for Rent - Diulpitiya , Boralasgamuwa.",13 Jul 10:26 am,"Boralesgamuwa, Colombo","75,000","Diulpitiya , Boralasgamuwa,☆ Residential Purposes☆Near by 120 Bus Road.♤Ground Floor☆3 Bed Rooms ☆1 Bath Room and servant Bathroom .☆Kitchen With Pantry.☆Parking Available.☆Fully Tiled.",3,1,"2,000.0 sqft",15.0 perches,
15,Up - Stair House for Rent Boralesgamuwa,16 Jul 12:22 pm,"Boralesgamuwa, Colombo","36,000","Newly built upstair for rent. Separate entrance. Fully tilled. 2 bed rooms , living room ,panty , kitchen ,  bath room &  balconies. Walking distance for Borelasgamuwa junction. 5 minutes drive to Maharagama & kohuwala.  Highly residential area, ideal place for peaceful living.  Rent 36,000/= per month . Need 5 months advance.",2,1,"2,500.0 sqft",12.0 perches,
16,House for Rent in Katuwawela,12 Jul  8:32 pm,"Boralesgamuwa, Colombo","50,000","2 story house with 3 bedrooms, 2 bathrooms, 2 living rooms, dinning room, pantry, tiled floor, rooftop area and parking.Only 300m to the Horana-Colombo (120 bus route) and 3.5 km to Maharagama.Near to KDU and RMV.","Asiri Uyana, Katuwawela",3,2,"2,500.0 sqft",14.0 perches
17,House for Rent - Boralesgamuwa,12 Jul 11:44 am,"Boralesgamuwa, Colombo","35,000","Full Tile ,Two Bead rooms ,Living area,Pantry,Car Parking areaClose to the 120 bus root 6 month Cash Advanced",177/2 Hikgahawaththa Pepiliyana Boralesgamuwa,2,1,"1,800.0 sqft",15.0 perches
18,First Floor for Rent - Boralesgamuwa,12 Jul 11:08 am,"Boralesgamuwa, Colombo","40,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Boralesgamuwa,3,1,"1,200.0 sqft",10.0 perches
19,Three Two Storey House for Rent Boralasgamuwa,10 Jul  9:17 am,"Boralesgamuwa, Colombo","300,000",Super Luxury three storey house for rent 6 bedrooms 5 bedrooms servant room and bathroom 10 vehicles car parking sqft 7000 monthly rent 300000 Lakh 6 month advance half month broker fees please no brokers suitable for company office,lake road boralasgamuwa,6,5,"7,000.0 sqft",26.0 perches
20,First-Floor for Rent in - Boralesgamuwa,12 Jul 10:02 am,"Boralesgamuwa, Colombo","33,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Boralesgamuwa,2,1,"1,000.0 sqft",10.0 perches
21,House for Rent - Borelesgamuwa,12 Jul 11:43 am,"Boralesgamuwa, Colombo","150,000","An open plan two story house for rent with a large garden, off Abeyrathna Mawatha. Ideal for nature lovers.	• 4 Bedrooms 3 Bathrooms.	• External maids room and a Bathroom.	• Two living spaces	• TV Lobby	• Pantry and Dinning space	• 800m from Borelesgamuwa Junction, 600m from the 120 bus route.",4,3,"2,600.0 sqft",40.0 perches,
22,Ground Floor Unit for Rent Boralasgamuwa,18 Jul 10:19 am,"Boralesgamuwa, Colombo","38,000","Three Rooms, Living, Pantry and Kitchen, one bathroom and one servant Bathroom. looking for married couple or a small family only. No Pets please. one car parking available with roller gate. NO BROKERS Please. 6 months advance",Ambillawattha Road,3,1,"1,200.0 sqft",10.0 perches
23,Separate House for Rent Boralasgamuwa, 7 Jul 11:05 am,"Boralesgamuwa, Colombo","45,000",06 month advance parking half month broker fee neded,katuwawala boralasgamuwa,3,2,"1,100.0 sqft",25.0 perches
