,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,3 BR H/S Ground Fl rent wellawatta, 3 Jul  8:11 am,"Colombo 6, Colombo","60,000",3 Bedrooms ground floor house for rent in wellawatta 2 bathrooms garden Spacious Pl Parking Close to roads 6 months advance Half months broker fees,Close to galle rd,3,2,"1,380.0 sqft",10.0 perches
2,"['3 BR H/S Ground Fl rent wellawatta', ' 3 Jul  8:11 am', 'Colombo 6, Colombo', '60,000', '3 Bedrooms ground floor house for rent in wellawatta 2 bathrooms garden Spacious Pl Parking Close to roads 6 months advance Half months broker fees', 'Close to galle rd', '3', '2', '1,380.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,2 Storied Units House for Rent in Heart of Wellawatte, 8 Jul 12:43 pm,"Colombo 6, Colombo","220,000","6 PERCHES 2 STORIED 2 UNITS HOUSE FOR RENT WITH ALL FACILITIES, WALKING DISTANCE MAIN ROAD ACCESS FROM MAINE DRIVE AND GALLE ROAD, SHOPPING MALLS, MEDICAL CENTER, MOSQUE, RESTAURANT, SUPER MARKET'S, BANK'S, SCHOOLS INTERNATIONAL AND GOVERNMENT ",WELLAWATTE,4,5,"3,000.0 sqft",6.0 perches
4,Luxury House for Rent in Colombo 06 [HR19],19 Jul 10:53 pm,"Colombo 6, Colombo","450,000","Almost new luxury house for sale in Wellawatte, conveniently located less than 200 meters away from both Galle Road & Marine Drive, within close proximity to all modern day conveniences. The house offers extensive living space along with four bedrooms and four bathrooms. The house has been tastefully designed and constructed to exceptional standards with the use of high quality fittings and fixtures.","Lily Avenue, Colombo 6",4,4,"4,850.0 sqft",7.25 perches
5,Luxury House for Rent in Colombo 06,18 Jul 11:42 pm,"Colombo 6, Colombo","75,000","A spacious, luxury three Bedroom house for rent in the residential area of Colombo 6.Fully furnished and Fully Air conditioned.Two bathrooms with Hot water.Kitchen with full Pantry and all necessary cutlery provided.Three balconies overlooking beautiful scenery in natural habitat.Internet (High Speed ADSL).Previously occupied by American, British, French and Australian expatriates etc...",4,2,"2,300.0 sqft",12.0 perches,
6,Luxury House for Rent in - Colombo 6.,15 Jul  8:06 pm,"Colombo 6, Colombo","150,000",2 Storied Luxury House4 Bedrooms with 2 Attached Toilets & 1 Common ToiletLiving and Dining AreaPantry with Servants Quarters BackyardTv Lobby UpstairsGarage with Roller Gate for 2 Vehicles,"39/4, Jayasinghe Road, Kirulapona, Colombo 6",4,3,"3,500.0 sqft",16.0 perches
7,3BR Apartment in Colombo 6,19 Jul  3:42 pm,"Colombo 6, Colombo","160,000",The apartments are tastefully furnished including fully equipped kitchen.,32 Colling wood place colombo-6,3,2,"1,350.0 sqft","1,550.0 perches"
8,Luxury 3 Storey House for Rent - Colombo 6,12 Jul 10:14 am,"Colombo 6, Colombo","500,000","Brand New Luxury House in Colombo 06 for Rent or Lease. Suitable for the commercial purposes.  * Property situated facing 35ft wide road with 300meters distance to Havelock Road.* 20 perch Land in exclusive residential area.* 03 storied Luxury House with 5500 sqft * House with luxurius finishes and high end fixtures and fittings and equiped with          following modern amneties :         * Front and Back Garden         * Garage for 02 Vehicles         * 04 Specious Bed rooms with 05 wash rooms         * Separate Office, Laundry and Shrine Room         * Roof top Terrace and Lounge with scenic city view.         * Security monthly rent 5 lakh 6 month advance half month broker fees please no brokers suitable for company",pamankada road colombo 6,5,5,"5,000.0 sqft",20.0 perches
9,Luxury House for Rent - Colombo 6,11 Jul  4:26 pm,"Colombo 6, Colombo","140,000",3 bedrooms 2 bathrooms sqft 1500 a/c hot water monthly rent 140000 advance 6 month half month broker fees please no brokers,lilly avinue colombo 6,3,2,"1,500.0 sqft",6.0 perches
10,Semi Furnished Upper Floor Unit for Rent in Colombo 6,11 Jul  3:22 pm,"Colombo 6, Colombo","90,000",• Our Reference No LH 2974( Please quote this reference number when inquiring),Colombo 6,3,2,"1,800.0 sqft",12.0 perches
11,Brand New Luxury House for Rent in Wellawata, 9 Jul 12:39 pm,"Colombo 6, Colombo","195,000",brand new luxury house for rent in wellawatait can be given for residential or comercial purpose4bed 3bathrooms4 car parking available_____________________call/smsomix real estateagent fee half month,"sea side ,wellawata close to galle road",4,3,"2,000.0 sqft",10.0 perches
12,House for Rent In - WELLAWATTA, 8 Jul 12:12 pm,"Colombo 6, Colombo","150,000",Two Storey House for Rent in Col.6. Very Close to Galle Road. 6.Months Advance. Parking Available. Posted by Agent,wellawatta,4,3,"2,000.0 sqft",8.0 perches
13,Rent for Upstair House in Wellawatte, 6 Jul  4:45 pm,"Colombo 6, Colombo","55,000","Newly constructed upstair house with 3 bed rooms,three bath rooms(attached bathroom for master bed room,servants BR ) with large living and dining area located at calm and quite place. 5 minuts to Wellawatte junction,Kirulapone and Kohuwala.",Wellawatte,3,3,"2,500.0 sqft",10.0 perches
14,House for Rent - Wellawatta,12 Jul 10:15 am,"Colombo 6, Colombo","80,000",House for rent at Wellawatta w a Silva mawathaPamankada Lane3 bedrooms 2 bathrooms Ground floor Suitable for Office  or residential Parking available  inside and outside Monthly  rental 90000.00 negotiable Posted by  agent,wellawatta,2,2,"1,300.0 sqft",10.0 perches
15,Fully Furnished Luxury House for Rent in Colombo 6, 4 Jul  2:37 am,"Colombo 6, Colombo","1,000,000",• Our Reference No LH 2936( Please quote this reference number when inquiring),Colombo 6,4,5,"7,000.0 sqft",20.0 perches
16,3 BR H/S Ground Fl rent wellawatta, 3 Jul  8:11 am,"Colombo 6, Colombo","60,000",3 Bedrooms ground floor house for rent in wellawatta 2 bathrooms garden Spacious Pl Parking Close to roads 6 months advance Half months broker fees,Close to galle rd,3,2,"1,380.0 sqft",10.0 perches
17,Beautiful Luxury Two Storied House for rent in Colombo 6, 3 Jul  4:48 pm,"Colombo 6, Colombo","180,000","Beautiful luxury two storied house located at 64 Dharmarama rd Colombo 6( Opp Charlemont rd) with 2500 sq ft, fully tiled,  4 airconditioned bedrooms, 3 attached bathrooms with hot water , double garage with roller remote gate , small garden and backyard available with maids quarters , large living room, Tv lounge, open courtyard is FOR RENT.Highly residential area with broad road. Convenient location.Unfurnished house.","64,Dharmarama road, Colombo 6. (Opp.to Savoy cinema)",4,3,"2,500.0 sqft",8.0 perches
18,House for Rent in Colombo 06,29 Jun 10:37 am,"Colombo 6, Colombo","130,000",Suitable for Office or Residential,5,3,"2,500.0 sqft",15.0 perches,
19,Ground Floor House for Rent in Wellawatte,29 Jun  8:59 am,"Colombo 6, Colombo","60,000",House for rent in wellawatta 2 bedrooms 2 bathrooms 2 Pantri Small car can take inside Garden 6months advance Half months broker fees Charge as service thankyou,close to galle rd,2,2,900.0 sqft,7.0 perches
20,Luxury Apartment For Rent in Kirulapone,29 Jun 10:24 pm,"Colombo 6, Colombo","155,000",FOR RENT AT KIRILAPANA COLOMBO 6 CLOSE TO KANDY SHOWROOM  306 PRIME RESIDENCE 3 BEDROOM FULLY FURNISHED,HighLevel Road,3,2,"1,500.0 sqft",8.0 perches
21,House for Rent in Colombo - 06,27 Jun  4:32 pm,"Colombo 6, Colombo","75,000","The house has 3 bedrooms,living room dining room and the kitchen. All with ceiling fans .Two bathrooms with hot water(one).fully tiled and house is surrounded by a wall with parking space.","no.21,pamankada d,pamankada,colombo-06",3,2,"1,300.0 sqft",7.0 perches
22,2 Store House for Rent - Wellawatta, 4 Jul  7:53 am,"Colombo 6, Colombo","100,000",2 Store House Col 6 3 bedrooms 3 Bathrooms Semi terraso Single 2 Store House Good even for office Balconies parking 6 months advance Half Months Brokers fees as service,wellawatta Walking dis St Peter's College,3,3,"1,680.0 sqft",8.0 perches
23,20 Perch Brand New Luxury House for Rent - Colombo 6, 8 Jul 10:44 am,"Colombo 6, Colombo","700,000",STRICTLY NO AGENT PLS.,"LAND SIDE ,COLOMBO 6.",4,5,"7,000.0 sqft",20.0 perches
24,House for Rent - Wellawatte, 6 Jul  6:18 pm,"Colombo 6, Colombo","55,000","3 bedrooms 2 bathrooms independent house with separate entrance separate water and electricity front and back garden.Good for  a  small family.No pets,No brokers pleaseClose  to Hindu college, st.peters etc",3,2,"2,000.0 sqft",6.0 perches,
25,Colombo 06 Luxury House For Rent,17 Jun  4:55 pm,"Colombo 6, Colombo","200,000",4 Bedrooms3 Bathrooms2500 square FeetUnfurnished.Highly residential area with broad roadAir ConditionedHot waterDouble garage with roller remote gateGarden and backyard availableTwo storied house. Fully tiled. ,Dharmarama Road,4,3,"2,500.0 sqft",9.0 perches
26,B/n 03 Story House & 20 P Rent Col 06,15 Jun  9:35 am,"Colombo 6, Colombo","1,500,000",Just completed 3 story luxury house on 20 perch land. Over 7000 sq ft of interior space.,PAMANKADA ROAD COLOMBO 06,4,5,"7,000.0 sqft",20.0 perches
27,House for Rent in Balapokuna Road, 6 Jul  3:04 pm,"Colombo 6, Colombo","300,000","This road facing house is situated in a tranquil and peaceful commercialized as well as residential and well secured convenient location close to the Nugegoda junction off High Level road and is situated within close proximity to supermarkets, shopping malls, leading International and local schools, also close to banks, hospitals, places of worship, the post office etc, it is only about 30 minutes drive to downtown Colombo and in a prime location to access most of the towns in and around Colombo and the suburbs.It is a luxurious fully tiled and spacious three storied house with a car porch. It consists of a spacious sitting and dinning room, 3 spacious bed rooms with the (master bedroom fitted with AC), all with attached bathrooms, one common bathroom, a very large and elegant pantry area with fitted cupboards, there is a basement type area with two separate entrances with 2 large rooms a meeting area and a courtyard as well.There is a double car porch (with parking facilities for four vehicles), surrounded by a high parapet wall with two automated roller gates and a small wooden door for the main entrances.Ideally suited for an office, NGO, lawyers and or architects or any other similar commercial or residential use.",3,4,"5,000.0 sqft",6.0 perches,
28,House for Rent in Wellawatte (Ground floor),15 Jun 10:49 am,"Colombo 6, Colombo","100,000","Ground unit of a two storey house for rent in WellawatteHighly residential, tranquil neighbourhoodRecently renovatedUnfurnished3 Bedrooms, 1 Bath, Large Sitting room + dining area, Office room/ Gym, Kitchen, Outdoor shower",Pamankade Lane,3,1,"2,000.0 sqft",9.0 perches
29,3 BR H/S Ground Fl rent wellawatta, 3 Jul  8:11 am,"Colombo 6, Colombo","60,000",3 Bedrooms ground floor house for rent in wellawatta 2 bathrooms garden Spacious Pl Parking Close to roads 6 months advance Half months broker fees,Close to galle rd,3,2,"1,380.0 sqft",10.0 perches
30,2 Storied Units House for Rent in Heart of Wellawatte, 8 Jul 12:43 pm,"Colombo 6, Colombo","220,000","6 PERCHES 2 STORIED 2 UNITS HOUSE FOR RENT WITH ALL FACILITIES, WALKING DISTANCE MAIN ROAD ACCESS FROM MAINE DRIVE AND GALLE ROAD, SHOPPING MALLS, MEDICAL CENTER, MOSQUE, RESTAURANT, SUPER MARKET'S, BANK'S, SCHOOLS INTERNATIONAL AND GOVERNMENT ",WELLAWATTE,4,5,"3,000.0 sqft",6.0 perches
31,House for Rent - wellawatta, 3 Jul 11:13 am,"Colombo 6, Colombo","30,000",House for rent in col.6. Very close to Galle Road. 6.months advance. Posted by agent half a months agent fee,wellawatta,1,1,800.0 sqft,4.0 perches
32,House for Rent in Wellawatta, 5 Jul  4:28 pm,"Colombo 6, Colombo","48,000",1st floor house for rent in wellawatta. 6. months Advance. Only for Tamil family. no parking. Posted by agent half a months agent fee,wellawatta,2,2,"1,000.0 sqft",6.0 perches
33,House for Rent in Col 6, 3 Jul 11:13 am,"Colombo 6, Colombo","40,000",1st floor house for rent in wellawatta .6.months advance.  Very close to Galle Road. Posted by agent,wellawatta,2,1,"1,000.0 sqft",6.0 perches
34,Single Storey House Katubedda,24 Jun  9:15 am,"Colombo 6, Colombo","40,000",03 Bed Rooms / 02 bathrooms / Dining & Pantry / Large Hall / Open Verandah / Kitchen / AC / Hot Water,Katubedda,3,2,"1,500.0 sqft",10.0 perches
35,Luxury House for Rent - Colombo 06,17 Jun 12:45 pm,"Colombo 6, Colombo","325,000",Modern Luxury House Available For Rent in Colombo 06. Peterson Lane,Peterson Lane. Colombo 06,5,5,"5,700.0 sqft",15.5 perches
36,Fully Furnished Colonial House for Rent in Colombo 6, 5 Jun 10:49 pm,"Colombo 6, Colombo","90,000","Fully furnished colonial style house for rent with 3 bedrooms 2 bathrooms, living room and kitchen. one parking space available. Very close proximity to schools, bus stands, super markets, hospitals etc. Highly residential area with good security. Please call for more details.",3,2,"2,500.0 sqft",9.5 perches,
37,House for Rent in Colombo 06 (784 B/3), 5 Jun  2:18 pm,"Colombo 6, Colombo","75,000","Three story house ground and 1st floor already given for a couple.only 2nd floor availabaletwo bedrooms with balcony, one attached and one common bathroom  1350 square feet",OFF BALAPOKUNA PLACE,2,2,"1,350.0 sqft",7.06 perches
38,Brand New Luxury House for Rent in Colombo 06,12 Jul  2:40 pm,"Colombo 6, Colombo","700,000",STRICTLY NO AGENT PLS.,COLOMBO 6,4,4,"7,000.0 sqft",20.0 perches
39,House for Rent in - Wellawatha,28 Jun  2:51 pm,"Colombo 6, Colombo","65,000",6month advance lift normal house car park,Rohini Road Wellawatha,3,2,"1,000.0 sqft",2.0 perches
40,House For Rent Wellawatta, 8 Jun  3:32 pm,"Colombo 6, Colombo","55,000",House for rent in Col 6 2 Bedrooms 2 Bathrooms Hall Pantry Good neighbour hood 6 months advance negotiable Half months broker fee charge as service,Near Gall Rd,2,2,975.0 sqft,20.0 perches
41,Upstairs House for Rent in Colombo 06,30 Jun  9:41 am,"Colombo 6, Colombo","70,000",Upstairs House for Rent in Colombo 06========================,"Wellawatta, Colombo 06",3,2,"2,000.0 sqft",10.0 perches
42,"2 Storey House for Rent in Colombo 6, Balapokuna Rd", 3 Jun 11:40 am,"Colombo 6, Colombo","140,000",House for Rent at Colombo 6.Bala Pokuna Road.Near Balapokuna Temple.,"Colombo 6, Balapokuna Road.",4,2,"1,800.0 sqft",15.0 perches
43,House for Rent in Col 6,28 Jun  2:51 pm,"Colombo 6, Colombo","110,000",Brand new apartment with A/C car parking 6month advance,perera lane wellawatha,3,2,"1,200.0 sqft",2.0 perches
44,"House for rent in Havelock Town, Col 06", 5 Jun  5:06 pm,"Colombo 6, Colombo","80,000","House for rent in Havelock Town, Colombo 06 ","Fonseka Terrace, Havelock Town, Colombo 06",3,2,"1,200.0 sqft",10.0 perches
45,House for Rent - Colombo 06,28 Jun  2:52 pm,"Colombo 6, Colombo","140,000",Kirulapone 4 bedrooms house 3 bathrooms 140000 office or residence,Kirulapone,4,2,"2,500.0 sqft",10.0 perches
46,House for Rent - Colombo 06,28 Jun  2:51 pm,"Colombo 6, Colombo","175,000",Land side suitable for office and residence  for long lease and rent,wellawatha land side,4,2,"3,000.0 sqft",6.0 perches
47,Brand New House for Rent Col 6,14 Jul  8:31 am,"Colombo 6, Colombo","300,000",4 CAR PARKING 3 STORYED BUILDING,4,4,"3,000.0 sqft","3,000.0 perches",
48,House for Rent Colombo 6,28 Jun  2:52 pm,"Colombo 6, Colombo","55,000",Wellawatta W A Silva Mawatha 2 bathrooms 2 brdrooms 55000.00,Wellawatta W A Silva Mawatha,2,2,"2,000.0 sqft",10.0 perches
