,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Rent - Galle Road,11 Jun 10:48 am,"Dehiwala, Colombo","45,000","100m from Galle road with all utilities. Parking available for one vehicle, separate house and separate entrance.",2,1,"1,500.0 sqft",6.0 perches,
2,"['House for Rent - Galle Road', '11 Jun 10:48 am', 'Dehiwala, Colombo', '45,000', '100m from Galle road with all utilities. Parking available for one vehicle, separate house and separate entrance.', '2', '1', '1,500.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,3 Bed Room House for Rent Dehiwala,17 Jul 12:18 am,"Dehiwala, Colombo","40,000",3 BED ROOM HOUSE FOR RENT,"Bellantara Lane, (Siri Sadaham Ashramaya Road),Dehiwala",3,2,"1,500.0 sqft",10.0 perches
4,House for Rent in Kalubowila, 7 Jul  1:54 pm,"Dehiwala, Colombo","35,000","Fully tiled. With necessary furniture. Not even 20 meters from the main road. Walking distance to the keells super, mosques and other essential amenities. First floor. Contact for more info. foreigners and maldivians welcome.","Hospital road, kalubowila",1,1,"1,900.0 sqft",8.0 perches
5,Separate House for Rent in - Dehiwala,12 Jul 10:02 am,"Dehiwala, Colombo","65,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Anderson road,3,3,"2,200.0 sqft",5.0 perches
6,House For Rent - Dehiwala,20 Jul  8:38 am,"Dehiwala, Colombo","45,000",Ground floor of a New house is availabe for rent .,"Sumanarama Road, Mt. Lavinia / Dehiwala",2,2,"1,100.0 sqft",6.0 perches
7,Separate House for Rent in - Attidiya,20 Jul 12:57 pm,"Dehiwala, Colombo","35,000",Separated House for Rent in Attidiya. Looking for A Family.,3,1,"5,000.0 sqft",10.0 perches,
8,House for rent- Dehiwala,20 Jul 11:50 am,"Dehiwala, Colombo","55,000","•	3  bedrooms•	1 bathroom with laundry area & separate servant toilet•	2 living areas •	Large kitchen area with pantry & dining room•	2 car parking slots•	3 months advance & Price Rs.55,000 is negotiable.•	Suitable for family, office working people, company boarding house & students.","143/6A Quarry Rd, Dehiwala",3,1,"1,200.0 sqft",1.0 perches
9,Hill Street House For Rent Dehiwala,28 Jun 12:08 pm,"Dehiwala, Colombo","125,000",Hill Street House For Rent •	Beautiful Landscaped House for Rent•	Attractive Garden Space •	Ample Parking Space available •	Highly  Residential Area.•	Large Colonial Type House.•	100m to Dehiwala Junction.,Dehiwala,4,4,"2,000.0 sqft","5,000.0 perches"
10,New Two Storey House for Rent in Kalubowila,20 Jul 10:00 am,"Dehiwala, Colombo","70,000",3 bedroom 3 bathroom hall kitchen fully tiled two bedroom with attached bathroom one with common bathroom rooftop remote Gate car park 6 month advance agent fee half month,Wood Lane avenue off Anderson road kalubowila,3,3,"1,500.0 sqft",4.0 perches
11,Brand New House For Rent In Dehiwala,20 Jul 10:00 am,"Dehiwala, Colombo","82,000",3 Bedroom 3 Bathroom 2 with Attached with Command Large Hall Modern Kitchen Fully Tiled Car Park Remote Gate Close to Karagampitiya and 500 Metres from Gateway College 6 Month Advance Agent Fee Half Month,Waydya Road Dehiwala,3,3,"1,500.0 sqft",7.0 perches
12,2 Story New House for Rent in Dehiwala,20 Jul  9:41 am,"Dehiwala, Colombo","85,000",4 bedroom 3 bathroom 2 with attached one with common hall pantry kitchen 2 story fully tiled parking for2 vehicles remote Gate High residential area close to Zainab Masjid 6 month advance agent fee half month,Peiris road mt lavinia,4,3,"2,000.0 sqft",6.0 perches
13,House for Rent in Dehiwala Nedimala,20 Jul  9:16 am,"Dehiwala, Colombo","42,000",3 bedroom 2 bathroom hall kitchen pantry fully tiled car park first floor close to to day Bridge college and gateway  collage 6 month advance agent fee half month,vijita road nedimala,3,2,"1,500.0 sqft",10.0 perches
14,Ground Floor House for Rent Kalubowila,20 Jul  9:11 am,"Dehiwala, Colombo","35,000",2 bedroom two bathroom hall kitchen tiles  no car park  very close to Hospital road and masjid 6 month advance agent fee of month,vijayaba mawata kalubowila,2,2,750.0 sqft,3.0 perches
15,House for Rent in Dehiwala,20 Jul  9:07 am,"Dehiwala, Colombo","62,000",3 bedroom two bathroom large hall pantry kitchen dining area first floor remote Gate 700 metres from Gateway college three rooms with air condition 6 month advanced agent fee half month,Off kawdana road dehiwala,3,2,"1,800.0 sqft",8.0 perches
16,Brand New House For Rent in Kalubowila,20 Jul  9:00 am,"Dehiwala, Colombo","85,000","ONLY GROUND FLOORThis house is a brand new house which is situated in kalubowila in Rathnaweli Road10 perches of land area*The house includes a living area, 3 bedrooms with 3 attached bathroom, and a huge kitchen *The house guest is provided with Hot Water, Car Park, a Garden Area and Ventilation is also Available *A Very Highly Residential Area*The house has easy access to Supermarkets, Kalubowila Teaching Hospital, International Schools, Play Grounds, Mosque, Petrol Sheds, Restaurants,…",Rathnawalee Road Kalubowila,3,3,"2,500.0 sqft",10.0 perches
17,Two Separate Unit House for Rent - Dehiwala,20 Jul  8:59 am,"Dehiwala, Colombo","130,000",Separate two unit ground floor : 3 bedroom 4 bathroom 2 with attached one with common and one servant large hall pantry kitchen one room with air condition first floor : 3 bedroom with attached bathroom large hall pantry kitchen fully tiled and 3 rooms with air condition remote Gate car park 6 month advanced agent fee half month,off kawdana road dehiwala,6,6,"4,000.0 sqft",8.0 perches
18,Brand New Modern Ground Floor House Rent Dehiwala,20 Jul  8:52 am,"Dehiwala, Colombo","85,000",3 bedroom two bathroom large hall modern kitchen fully tiled car park remote gate ground floor very close to Zoo Road brand new and modern house 6 month advance agent fee half month,1st Lane off zoo road dehiwala,3,2,"1,800.0 sqft",8.0 perches
19,Brand New Ground Floor House for Rent - Kalubowila,20 Jul  8:18 am,"Dehiwala, Colombo","74,000",3 bedroom 3 bathroom 2 with attached one with common large hall modern kitchen fully tiled car park remote Gate parking for 2 vehicles 6 month advanced agent fee half months this house is suitable for Muslim families only,ratnawali road kalubowila,3,3,"2,000.0 sqft",8.0 perches
20,Brand New Luxury House Rent in Dehiwala,20 Jul  8:17 am,"Dehiwala, Colombo","76,000",3 bedroom 3 bathroom 2 with attach 1 with common hall kitchen pantry dining area two bedroom with attach  1 St floor remote Gate car park very very close to Gateway college 6 month advanced agent fee half month,Near Gateway College Dehiwala,3,3,"1,750.0 sqft",8.0 perches
21,Brand New House in Dehiwala for Rent,20 Jul  8:17 am,"Dehiwala, Colombo","50,000",2 bedroom 2 bathroom and attached one common large hall modern kitchen fully tiled no car Park first floor close to Masjid 6 month advance agent fee half month suitable for maldivians families,off kawdana road dehiwala,2,2,"1,200.0 sqft",7.0 perches
22,New Ground Floor House for Rent - Dehiwala,20 Jul  8:16 am,"Dehiwala, Colombo","65,000",3 bedroom 3 bathroom one attach one common 1 servant hall kitchen pantry fully tiled ground floor car park remote get very close to galle Road 6 month advanced agent fee half month this house is suitable for Muslim family only,Vandavat place dehiwala,3,3,"1,500.0 sqft",8.0 perches
23,2 Story New House for Rent - Dehiwala,20 Jul  8:11 am,"Dehiwala, Colombo","69,500",3 bedroom 3 bathroom 2 with attach one common hall kitchen pantry fully tiled two storey car park rooftop close to Food City and Bilal Masjid six month advance agent fee of month this house is suitable for Muslim family maldivians families welcome,kawdana road dehiwala,3,3,"1,700.0 sqft",7.0 perches
24,Separate 2 Unit House for Rent in Kalubowila,20 Jul  8:10 am,"Dehiwala, Colombo","105,000",Separate two unit groundfloor 3 bedroom to bathroom hall kitchen fully tiled first floor 3 bedroom 3 bathroom two with attach one common large hall pantry kitchen parking for small two vehicle or big one vehicles   6 month advance agent fee half month,sudarsi mawata off temple road kalubowila,6,5,"3,000.0 sqft",7.0 perches
25,Ground Floor Semi Furnished House For Rent - Dehiwala,20 Jul  7:39 am,"Dehiwala, Colombo","66,500","3 bedroom three bathroom large hall kitchen full tiled, two room with air condition servant bathroom two bedroom with attached bathroom one common bathroom,500m from gateway college, remote Gate car park 6 month advance agent fee half month",Off kawdana road dehiwala,3,4,"1,700.0 sqft",8.0 perches
26,House for Rent in Kalubowila,20 Jul  7:39 am,"Dehiwala, Colombo","54,500",4bedroom 3 Bathroom 2 with Attach One Common Hall Kitchen Pantry Fully Tiled Balconies Car Park Close to Hospital Road 6 Month Advanced Agent Fee Half Month,Sudarsi Mawata Off Temple Lane Kalubowila,4,3,"1,350.0 sqft",7.0 perches
27,Ground Floor House In Kalubowila For Rent,20 Jul  7:39 am,"Dehiwala, Colombo","55,500",3 bedroom 2 bathroom hall kitchen fully tiled no car park parking for only Bike close to Hospital road and kalubovila Hospital ground floor 6 month advance agent fee half month,de Silva cross road kalubowila,3,2,"1,500.0 sqft",8.0 perches
28,Ground Floor House For Rent In Kalubowila,20 Jul  7:38 am,"Dehiwala, Colombo","52,500",3 Bedroom 2 Bathroom Hall Kitchen Pantry Dining Area Ground Floor Fully Tiled Car Park 6 Month Advanced Agent Fee Half Month This House Is Suitable for Tamil Muslim Family Only,Sudarsi Mawata Off Temple Lane Kalubowila,3,2,"1,300.0 sqft",6.0 perches
29,4 Bedroom House for Rent in Dehiwela,19 Jul 10:24 pm,"Dehiwala, Colombo","75,000","This is a well maintained spacious house with 4 bedrooms (one attached and one common bathroom). Conveniently located facing to the main Attidiya Road in Bellantara Junction. Good residential / commercial neighbourhood. Keells Super, Banks and necessary amenities in very close proximity.","Bellanthara Road, Attidiya, Dehiwela",4,2,"2,000.0 sqft",6.0 perches
30,House for Rent in Dehiwala,15 Jul 11:59 am,"Dehiwala, Colombo","60,000",Foreigners only With furnichers No Parking Area 2 Attached Bathroom,NO 93/1 Pearis Road Kalubowilla Dehiwalla,4,3,"2,900.0 sqft",9.5 perches
31,2 Story House For Rent In Kalubowila,20 Jul  7:38 am,"Dehiwala, Colombo","82,500",4 bedroom 3 bathroom and bathroom large hall kitchen fully tiled car park remote Gates close to Hospital road 6 month advance agent fee half month,Facing peiris road kalubowila,4,3,"2,500.0 sqft",8.0 perches
32,House for Rent in Dehiwala,20 Jul  7:38 am,"Dehiwala, Colombo","51,000",3 bedroom 3 bathroom one attached one common 17 servant large hall kitchen pantry fully tiled no car park 2nd floor very close to galle road and  Masjid 6 month advance agents fee half month,kawdana road dehiwala,3,3,"1,500.0 sqft",7.0 perches
33,Single Storey House Rent In Mt Lavinia,20 Jul  7:37 am,"Dehiwala, Colombo","38,000",2bedroom 1 bathroom large hall kitchen pantry fully tiled single floor car park six month advance agent fee half month,villiam place mt lavinia,2,1,"1,300.0 sqft",6.0 perches
34,Brand New Ground Floor House for Rent in Dehiwala,20 Jul  7:37 am,"Dehiwala, Colombo","64,500",2 bedroom 2 bathroom 1 attach one common large hall modern kitchen pantry fully tiled ground floor close to karagampitiya high residential area 500 metres from Gateway college 6 month advanced agent fee half month,waydya road dehiwala,2,2,"1,000.0 sqft",7.0 perches
35,Single House For Rent In Dehiwala,20 Jul  7:37 am,"Dehiwala, Colombo","36,000",2 Bedroom 1 Bathroom Hall Kitchen Fully Tiled Single Story House Parking for Small Vehicles Close to Gateway College Five Month Advance Agent Fee of Month,Near Gateway College Dehiwala,2,1,"1,150.0 sqft",3.0 perches
36,Fully Furnished House for Rent - Dehiwala,20 Jul  7:37 am,"Dehiwala, Colombo","51,000",2 bedroom 2 bathroom one attached one common hall kitchen fully tiled and fully  furnished 2nd floor master bedroom with attached and air condition rooftop covered remote gate car Park close to saranankara road and hejaz International School and grand Masjid 6 month advanced agent fee half month this house is suitable for Muslim families,saranankara road dehiwala,2,2,"1,000.0 sqft",7.0 perches
37,Brand New Ground Floor House Kalubowila for Rent,20 Jul  8:23 am,"Dehiwala, Colombo","36,000","2 bedroom 1 bathroom large hall kitchen pantry fully tiled,ground floor, no car park, parking for only Bike six month advance agent  fee half month",Pratimbarama Road Kalubowila,2,1,950.0 sqft,8.0 perches
38,House for Rent in Dehiwala,20 Jul  7:36 am,"Dehiwala, Colombo","41,000",2 bedroom 1 bathroom large hall kitchen terrazzo floor first floor very close to Galle road and masjid parking 3 vehicles 6 month advance agent fee half month this house is suitable for Muslim families,kawdana road dehiwala,2,1,"1,200.0 sqft",8.0 perches
39,3 Bed Room House for Rent Dehiwala,17 Jul 12:18 am,"Dehiwala, Colombo","40,000",3 BED ROOM HOUSE FOR RENT,"Bellantara Lane, (Siri Sadaham Ashramaya Road),Dehiwala",3,2,"1,500.0 sqft",10.0 perches
40,Big Beautiful 5 Bed House In Dehiwela For Rent, 5 Jul  9:51 pm,"Dehiwala, Colombo","135,000",House is located few minutes walk way from the main Galle road in Dehiwela. From there you have access to public transport and shops.,"Malwatta Road, Dehiwela",5,4,"3,000.0 sqft",12.0 perches
41,03 Bed Room House for Rent - Kalubowila,20 Jul 12:32 pm,"Dehiwala, Colombo","85,000",3 bed roomFully furnishedEntire 1st floorPrivate entrance,3,2,"1,300.0 sqft",7.0 perches,
42,Houres for Rent Dehiwala,19 Jul  7:24 pm,"Dehiwala, Colombo","85,000",BRAN NEW HOURES FLOOR 3ROOM 2ATCHRD 1COMMEN BATROOM  GETAWAY SHOOLE 300M AGENT,dehiwala galvihara road hiil steet,3,3,"2,000.0 sqft",7.0 perches
43,House Rent Dehiwala,19 Jul  7:14 pm,"Dehiwala, Colombo","100,000","Commercial House Rent in Dehiwala. 2500 Sqft, car parks, Rent Rs 100,000/ per month make and earlier appointment, suitable for office,  class,",Dehiwala,4,3,"2,500.0 sqft",20.0 perches
44,House for Rent - Nedimala,19 Jul  5:49 pm,"Dehiwala, Colombo","60,000","Pls,note this add is posted by agant ( broker) half month rent will be charged  as a service  chargers .        Separate  water and electricity .                                     Good  residence  area.                                            Near  food city  ,1 vehicle  parking  available .                                                 .prefer to tamil and buddhist ,crithian family.                 Contact  miss tharanga .",papiliyana  road nedimala .,3,2,"1,560.0 sqft",6.0 perches
