,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Newly Build 3 Apartments for Rent in Homagama,16 Jul 10:29 am,"Homagama, Colombo","25,000","Newly Build Very Good Condition Apartment For rent in Homagama Galawilawatta.Near the Upali Newspaper factory.600m to Highlevel Road.Two Bed Rooms,Living Room,Pantry,Kitchen,Attached bathroom,Servent Bath room,Car gurage good living envirement.Fully Tiled Appartment.With celing fans.3 apartments for rent(one is ground floor and two first floor)price negotiable.","Galawilawatta,Homagama",2,2,800.0 sqft,10.0 perches
2,"['Newly Build 3 Apartments for Rent in Homagama', '16 Jul 10:29 am', 'Homagama, Colombo', '25,000', 'Newly Build Very Good Condition Apartment For rent in Homagama Galawilawatta.Near the Upali Newspaper factory.600m to Highlevel Road.Two Bed Rooms,Living Room,Pantry,Kitchen,Attached bathroom,Servent Bath room,Car gurage good living envirement.Fully Tiled Appartment.With celing fans.3 apartments for rent(one is ground floor and two first floor)price negotiable.', 'Galawilawatta,Homagama', '2', '2', '800.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in - Meegoda,20 Jul  3:43 pm,"Homagama, Colombo","18,000",1 KM to NSBM Green University Easy access to Economic center - Meegoda and Railway station.Parking facilities available.Calm and quite surrounding.,"No 287/1 /A/2, Ovitigama, Meegoda",2,1,"1,300.0 sqft",30.0 perches
4,House for Rent in Homagama,20 Jul  1:41 pm,"Homagama, Colombo","30,000","හෝමාගම, අතුරුගිරිය පාරේ,නො.358/1A, උඩුමහල් නිවස කුලියටසම්පූර්ණ ටයිල් කාමර 2TV කාමරබාත්රූම් 1කුස්සියපාකිං ඇත.මාසික කුලිය : 30,000/=මාස 6 අත්තිකාරම්","No: 358/1A, Athurugiriya Road, Homagama",2,1,"1,100.0 sqft",13.0 perches
5,Upstair Floor for Rent in Magammana,20 Jul  1:20 pm,"Homagama, Colombo","20,000",උඩුමහලක් කුලියට දීමට ඇත - මාගම්මන =================================,2,1,"1,010.0 sqft",30.0 perches,
6,House for Rent - Meegoda,13 Jul  9:50 am,"Homagama, Colombo","25,000",New up stair house for rent===================👉🏿 300m to High level Road👉🏿 Hot water / water / electricity facility available👉🏿 Garage available👉🏿 හයිලෙවල් පාර මීගොඩ හංදියට ආසන්න දේවානන්ද මාවතේ මීටර් 300ක් දුරින් පිහිටි ජල විදුලි පහසුකම් ඇති දෙමහල් නිවසේ උඩු මහල කුලියට දෙනු ලැබේ.👉🏿 උණු වතුර පහසුකම්ද සහිතයි.👉🏿 ගරාජයක්ද සහිතයි.👉🏿 වැඩි විස්තර සඳහා විමසන්න.,"390, Highlevel Rd, Dewananda Rd, Meegoda, Homagama.",3,1,"2,000.0 sqft",40.0 perches
7,Upstairs House for Rent in Homagama, 5 Jul  4:51 pm,"Homagama, Colombo","15,000","හෝමාගම සිට 2 Km ක් දුරින් දෙමහල් නිවසක උඩු මහලක් කුලියට දීමට ඇත.විධායක නිලධාරී මහත්මයෙකුට / මහත්මියකට, යුවලකට හෝ NSBM සිසුන් සදහා.මාසික කුලිය රු.15,000/-යි. කතා කර විස්තර දැනගත හැක.තවද පහත මහලේ සියලු පහසුකම් සහිත තනි කාමරයක් කුලියට දීමට ඇත.",Homagama,2,1,"1,500.0 sqft",15.0 perches
8,House for Rent in Homagama_Pitipana,19 Jul 10:32 am,"Homagama, Colombo","30,000","Facing to Homagama - Moragahahena Main RoadNear the AMALYA Reception Hall,NSBM Green University and MAHINDA RAJAPAKSHA School0.5 km to to High-level RoadLarge Living Room04 Bed Room02 BathroomsKitchen with PantryGardenVehicle Parking AreaCalm Residential Area","557, Moragahahena Road, Pitipana.",4,2,"1,850.0 sqft",15.0 perches
9,Rent for House Homagama,18 Jul 10:26 am,"Homagama, Colombo","30,000",Separate  Electricty water and Parking facility. Ceiling bed rooms.Sorrounding parapet  walls.Also 300 m to highleavel road.,No 524. Hospital road. homagama.,4,1,"1,800.0 sqft",12.0 perches
