,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Kalubowila-House for Rent,29 Jun 10:53 am,"Kohuwala, Colombo","80,000","House for rent on Kalubowila Temple Road •	02 Story House.Each Floor 02 Rooms,02 toilets, Kitchen,04 Living Rooms•	Highly Residential Area.•	Ample Parking Space available. •	Close to  Kalubowila  General  Hospital. •	Suitable For Residential,Office or Montessori.        Will be given as 02 separate units also.",KALUBOWILA,4,2,"1,000.0 sqft",35.0 perches
2,"['Kalubowila-House for Rent', '29 Jun 10:53 am', 'Kohuwala, Colombo', '80,000', 'House for rent on Kalubowila Temple Road •\t02 Story House.Each Floor 02 Rooms,02 toilets, Kitchen,04 Living Rooms•\tHighly Residential Area.•\tAmple Parking Space available. •\tClose to  Kalubowila  General  Hospital. •\tSuitable For Residential,Office or Montessori.        Will be given as 02 separate units also.', 'KALUBOWILA', '4', '2', '1,000.0 sqft', '35.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Kalubowila-House for Rent,29 Jun 10:53 am,"Kohuwala, Colombo","80,000","House for rent on Kalubowila Temple Road •	02 Story House.Each Floor 02 Rooms,02 toilets, Kitchen,04 Living Rooms•	Highly Residential Area.•	Ample Parking Space available. •	Close to  Kalubowila  General  Hospital. •	Suitable For Residential,Office or Montessori.        Will be given as 02 separate units also.",KALUBOWILA,4,2,"1,000.0 sqft",35.0 perches
4,Upstair of House for Rent - Kohuwala,19 Jul  1:18 pm,"Kohuwala, Colombo","30,000","Seperate, upstaire annex is for rent in Kohuwala junction for immediate occupancy.Walking distance to kalubowila Hospital,Ceymed and Winlanka hospital Lyceum and several other international schools.- Looking for a decent, working couple- Maintaining quite environment is appreciated- 3 Months advance required (negotiable)- SLT Fiber connection and fixed telephone line connection available- No Parking Available (Motor bike can be parked)- residential area -unfurnished",1,1,"1,500.0 sqft",6.0 perches,
5,House for Rent in Pepiliyana,19 Jul  2:26 pm,"Kohuwala, Colombo","75,000",Looking for a decent family to rent out the house or preferably to an office as well.Situated in a decent neighborhood. Parking available for 2 vehicles. 2 Separate Entrances.6 Month Key Money Required,3,2,"1,000.0 sqft",11.0 perches,
6,Two Storied House for Rent in - Kohuwala,12 Jul 10:01 am,"Kohuwala, Colombo","150,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Kohuwala,4,4,"2,500.0 sqft",12.0 perches
7,Upstair House For Rent in Kalubowila, 7 Jul  4:00 pm,"Kohuwala, Colombo","45,000","Upstair house for rent near Kalubowila Hospital with hot water,Parking and Security. Fully Tilled, Roller gate and newly builed House with modern finishing roof. Large Rooms with 3 balconies and Large Hall area. Survent bathroom available.",2,1,"2,500.0 sqft",18.0 perches,
8,House for Rent - Kohuwala, 6 Jul  5:38 pm,"Kohuwala, Colombo","40,000","Fully tiled two story house,Parking available,8 months advance and half of month broker fee is required.500 meters to hospital road","Anderson rd,Kohuwala",2,2,950.0 sqft,10.0 perches
9,Luxury Fully Furnished House for Rent - Kohuwala, 6 Jul  2:54 pm,"Kohuwala, Colombo","50,000",Fully furnished annex for rent 1 bedroom 1 bathroom a/c hot water car parking monthly rent 50000 advance 6 month half month broker fees please no brokers,kohuwala city,1,1,"1,000.0 sqft",7.0 perches
