,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,New Houses for rent in Kolonnawa,11 Jul  7:34 pm,"Kolonnawa, Colombo","30,000","Two separate houses for rent at Kolonnawa, Colombo.=========================================","Address 01 – No 32/7A/1/1 Gajabapura Housing Scheme, Kolonnawa, Colombo 10600",1,1,400.0 sqft,1.5 perches
2,"['New Houses for rent in Kolonnawa', '11 Jul  7:34 pm', 'Kolonnawa, Colombo', '30,000', 'Two separate houses for rent at Kolonnawa, Colombo.=========================================', 'Address 01 – No 32/7A/1/1 Gajabapura Housing Scheme, Kolonnawa, Colombo 10600', '1', '1', '400.0 sqft', '1.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in kolonnawa, 8 Jun  4:20 pm,"Kolonnawa, Colombo","160,000",The two storied newly built building in 15 perches land,6,5,"2,723.0 sqft",15.0 perches,
4,House for rent Kolonnawa,20 Jul  1:25 pm,"Kolonnawa, Colombo","7,000","Kolonnawe perera mawathe bed rooms 3k saha attached bathroom sahitha hodin idapahasukam athi angasampurana niwasa badu dimata atha.. Lease amount = 12,000,000/=Monthly payment = 7000/=",3,1,"1,500.0 sqft",15.0 perches,
5,House for Rent in Wellampitiya,19 Jul  2:06 pm,"Kolonnawa, Colombo","22,000","UPER LEVEL STOREY HOUSE FOR RENT in WELLAMPITIYA.Facilities available: •	2 bedrooms all located on the upper level•	1 full bathrooms, one on each level. Both equipped with electric water heaters.•	 small front porch with ample parking space for 3 cars equipped with a sliding gate.•	located Polhagapitiya Road, Wellampitiya. Opposite the Ambagaha Junction.•	Nearest KEELS, FOOD CITY, International School.•	Close to Avisawala Road, LOOKING FOR A SMALL FAMILY TO OCCUPY THIS HOUSE.","POLGAHAPITIYA ROAD, WELLAMPITIYA",2,1,"2,454.0 sqft",8.0 perches
6,House for Rent - Kolonnawa,18 Jul  9:07 am,"Kolonnawa, Colombo","30,000","House for rent at Meethotamulla Road-Kolonnawa,Colombo.=========================================Address Meethotamulla Road-Kolonnawa,Colombo. ( Next  to Asiya Catering)Call Mohamed Niyas on 0774467662 (Owners Brother) for more details01-Ground FloorHouse area 900 Sq FeetLiving - 01Kitchen with pantry – 01, Bed - 02Bath - 01Parking for one Vehicle.","Meethotamulla Road-Kolonnawa,Colombo",2,1,900.0 sqft,6.0 perches
7,House For Lease In Kolonnawa,14 Jul 10:32 pm,"Kolonnawa, Colombo","2,500,000",Kamara 2k sahitha mulu niwasama tile karana lada vahana 2k park kala haka.badu mudala 2500000i..,"vijaya road,salamulla,kolonnawa",2,1,"2,000.0 sqft",7.0 perches
8,House for lease in kolonnawa,11 Jul 11:08 am,"Kolonnawa, Colombo","5,000",House for lease in Kolonnawa Rent Amount = 5000/=For leasing Amount call me.immediate lease.House is in excellent condition.newly built.for parking space available.,"kolonnawa,55 waththa",2,1,544.0 sqft,2.0 perches
9,3 Bedrooms Upstair House for Rent in Kolonnawa Road,11 Jul  9:47 am,"Kolonnawa, Colombo","35,000",කොලොන්නවට  කිලෝමීටරයක් පමණ දුරින් රාජගිරියට කිලෝමීටර් 3.5ක් ද ඇති  ප්‍රධාන පාරේ සිට මීටර් 300ක් පමණ වන වාහන නැවතීමේ ඉඩකඩද සහිත කාමර 3ක නාන කාමරයක් ද ඇති විශාල උඩුමහල් නිවස  මාසික කුලිය 35000 ගනනේ මාස් 6ක අත්තිකාරම් ගෙන කුලියට දීමට ඇත .තැරව්කරුවන් අනවශ්‍යයි .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .නිවස පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර ගන්න ....................ස්තූතියි ...............................,SANASA JUNCTION  KOLONNAWA ROAD IDH .,3,1,"1,500.0 sqft",15.0 perches
10,House for Rent at Gothatuwa New Town,18 Jul  1:02 pm,"Kolonnawa, Colombo","30,000","Up stair house for rent at Gothatuwa New Town for a decent couple or a small family. 2 Bedrooms, 1 Bath , Living room, Kitchen with a balcony, Big front balcony, Car park. Secured family neighborhood. Separate Entrance, Water supply and Electricity. Easy access to Rajagiriya, Dematagoda , Koswatta,Kelaniya.",Rajagiriya,2,1,"1,900.0 sqft",20.0 perches
11,New Houses for rent in Kolonnawa,11 Jul  7:34 pm,"Kolonnawa, Colombo","30,000","Two separate houses for rent at Kolonnawa, Colombo.=========================================","Address 01 – No 32/7A/1/1 Gajabapura Housing Scheme, Kolonnawa, Colombo 10600",1,1,400.0 sqft,1.5 perches
12,House for rent in kolonnawa, 7 Jul  1:12 pm,"Kolonnawa, Colombo","27,000",88/9D salawatta road kolonnawaVarandahDining Kitchen 3 Bed rooma,3,1,"1,200.0 sqft",6.0 perches,
13,House for Rent in - Gothatuwa, 7 Jul 12:05 pm,"Kolonnawa, Colombo","47,500","3 bedroom 2 bathroom 2 vehicle parking Kitchen pantry, Large living room and garden Fully tiled with separate water and electricity bill Expecting: 47500 negotiable",3,2,"2,500.0 sqft",27.0 perches,
