,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for rent in Pannipitiya,18 Jul 11:26 am,"Kottawa, Colombo","25,000",** 2 bedrooms** 1 tiled bathroom ** Electricity & water** Parking facility available** Very close to Kottawa** Suitable for family** 1 Year advance,339/2/I Arawuwala Pannipitiya,2,1,850.0 sqft,6.5 perches
2,"['House for rent in Pannipitiya', '18 Jul 11:26 am', 'Kottawa, Colombo', '25,000', '** 2 bedrooms** 1 tiled bathroom ** Electricity & water** Parking facility available** Very close to Kottawa** Suitable for family** 1 Year advance', '339/2/I Arawuwala Pannipitiya', '2', '1', '850.0 sqft', '6.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in Kottawa, 8 Jul  8:37 am,"Kottawa, Colombo","23,000",500 m to 174 bus route800 m to Kottawa Railway Station800 m to Kottawa Ananada Vidyalaya1 Km to Kottawa Town Parking available for a Motorbike or a Three wheelertilled living and dining areaideal for working couple or small familyPl.call and make an appointment for inspectionParapet wall and a gate5 months advance needed,"630/19 Mettarama Road,Kottawa,Pannipitiya",2,1,850.0 sqft,5.0 perches
4,House For Rent - Rukmalgama,20 Jul  3:09 pm,"Kottawa, Colombo","35,000",One story house with  wood  ceilingTiled FloorTwo kitchens & pantryThree rooms One  bathroomparking space for a small vehical,Nugemulla Rukmalgama,3,1,"2,000.0 sqft",10.0 perches
5,"Kottawa, New Upstairs House For Rent",20 Jul 11:43 am,"Kottawa, Colombo","30,000","3 Bed Rooms, 2 Bath Rooms 1500SAn upstair house for rent at Sirimalwatta1, Malmbe Road,Kottawa. 3 bedrooms, kitchen with pantry cupboards and 2 bathrooms. Separate entrance, electricity and water available. Fully tiled house with parking. 2.2 km from Kottawa town. Very calm and beautiful environment. Ideal for a respectable family or a decent working couple. 100,000/-  key money.30,000 per Month","1580/7A Asiri Mawatha, Sirimalwatta1,Kottawa Malambe Road, Kottawa - Pannipitiya.",3,2,"1,500.0 sqft",10.0 perches
6,House for Rent in - Kottawa,20 Jul 11:25 am,"Kottawa, Colombo","30,000","This house is situated in a quiet cul- de- sac location where there are only 4 houses on that road. It is within easy access (1km) to the Highway exit in Kottawa, 100 meters from the High-level road (138 bus root).100m away from keells supermarket. Convenient for all requirements.",2,1,"2,000.0 sqft",12.0 perches,
7,House for rent in Kottawa,20 Jul 10:07 am,"Kottawa, Colombo","30,000","House for Rent Near Kottawa malambe - Horahena Road.Near Prime Urban Art housing Complexclose proximity to Athurugiriya highway entranceRukmale, Malambe,kottawa,pannitipitiya hokandara townsfully separate ground Floor house in two story houseowners living in upstairsAC Room and Hot WaterLandscaped Spacious Garden with GarageLarge Living and Kitchen","Kottawa Horahena Road, Near Prime Urban Living Art",2,1,"2,000.0 sqft",15.0 perches
8,House for Rent in Kottawa Town,20 Jul  9:56 am,"Kottawa, Colombo","37,000",*To Kottawa town 600 m,Kottawa,3,1,"2,000.0 sqft",15.0 perches
9,House for Rent in Kottawa,19 Jul  9:02 pm,"Kottawa, Colombo","35,000",House For rent in kottawa====================,3,1,"1,264.0 sqft",11.9 perches,
10,House for Rent in Kottawa,19 Jul 12:57 pm,"Kottawa, Colombo","30,000",03 bed rooms kitchen/ pantry/ sore room/ citing room/ vehicle park/ well water  (with citting room furniture and dining room furniture) 900 meters to Kottawa high way entrence. highly residentiol area 20 feet road,Kottawa,3,1,"1,200.0 sqft",12.0 perches
11,House for Rent in - Mattegoda,18 Jul 12:31 pm,"Kottawa, Colombo","22,000","A ""B"" type house for rent in mattegoda housing scheme. 2 min Easy walking distance to mattegoda bus stand, bank of ceylon, peoples bank , sampath bank, arpico super centre, food city and laugfs super market..3km to the city of kottawaDirect bus route from mattegoda to pettah (138/2)And easy access  to the bus route 342 (polgasowita - piliyandala)Takes 5 minutes to reach  piliyandala, kahathuduwa highway entrance and kottawa highway entrance.A peaceful and safe residential areaOnly for a couple",2,1,750.0 sqft,5.0 perches,
12,House for rent in Pannipitiya,18 Jul 11:26 am,"Kottawa, Colombo","25,000",** 2 bedrooms** 1 tiled bathroom ** Electricity & water** Parking facility available** Very close to Kottawa** Suitable for family** 1 Year advance,339/2/I Arawuwala Pannipitiya,2,1,850.0 sqft,6.5 perches
13,"Upstairs House for Rent in Polgasowita, Kottawa",17 Jul  4:58 pm,"Kottawa, Colombo","18,000","Upstairs House for Rent in Polgasowita, Kottawa=======================================","Polgasowita, Kottawa",1,1,"1,000.0 sqft",18.0 perches
14,Upstair House for Rent in - Kottawa,17 Jul  8:54 am,"Kottawa, Colombo","21,000","Upstair House for rent in Kottawa (255 bus route)1 KM away from Kottawa town and 50m from 255 bus route200m away from Arpico Super centerConvenient and Excellent Residential Environment, nearby many Groceries and Shopping Centers 2 bedroomsLiving roomFully tiled bathroomKitchenRent Rs. 21000/= (Slightly Negotiable)Surrounded by parapet wall",2,1,"1,800.0 sqft",20.0 perches,
15,"Upstair House for Rent in Rukmalgama, Kottawa",17 Jul  8:20 am,"Kottawa, Colombo","25,000","Upstair for rent in Rukmalgama (Balika Niwasa Road) 2 bedrooms each with 1 washroomAn air condition can be fixed upon request Upstairs 25,000/-",2,1,"1,000.0 sqft",17.0 perches,
16,House for Rent - Mattegoda,16 Jul 11:49 am,"Kottawa, Colombo","21,000","House for rent in Mattegoda KottawaVery Good Environment With Attached Bathrooms , Living RoomParking area , location No : 504/7 ATemple Road Mattegoda 12 purchase ",2,1,"3,200.0 sqft",12.0 perches,
17,House for Rent in - Matthegoda,15 Jul  5:32 pm,"Kottawa, Colombo","25,000",Upstairs House for Rent in Matthegoda.,"197/23, Araliya Uyana,  Matthegoda",3,1,"1,300.0 sqft",10.0 perches
18,House for Rent Pannipitiya,13 Jul  9:00 pm,"Kottawa, Colombo","30,000","3km to Kottawa Town,Calm and Quite surroundingParking AvailableWalking distance to 296 (Kottawa - Piliyandala) Bus RouteMuch suitable for newly married couple or small family.Pipe born water*******************************************Can see the property only on Sundays","260/3, Samagi Mawatha, Pelanwatta, Pannipitiya",2,1,"1,300.0 sqft",10.0 perches
19,House for rent in Kottawa | Mattegoda,13 Jul  8:36 am,"Kottawa, Colombo","23,000",House for rent in Kottawa | Mattegoda,Kottawa | Mattegoda,2,1,800.0 sqft,10.0 perches
20,House for Rent in Kottawa,11 Jul 10:05 am,"Kottawa, Colombo","30,000",Ground floor for Rent in Kottawa Balika Niwasa Road> Bed Rooms  -03> Bath Room - 01> Living Room> Kitchen> Parking for 01 Vehicle> Remote Roller Gate> Advance 6 Months,3,1,"1,000.0 sqft",10.0 perches,
21,House for Rent in Kottawa,12 Jul 10:38 am,"Kottawa, Colombo","250,000",House for Rent in Kottawa====================,no. 98 highlevel road kottawa,5,4,"3,500.0 sqft",15.0 perches
22,House for Rent - Kottawa, 9 Jul 10:18 am,"Kottawa, Colombo","35,000","Ground FloorTwo bedrooms, Kitchen, Large living and bathroom surrounded by walls, Calm environment, Decent Neighbourhood.Car porch is available.","Horahena Rd, Kottawa",2,1,"1,200.0 sqft",12.0 perches
23,House for Rent - Kottawa, 9 Jul 10:57 am,"Kottawa, Colombo","20,000",House for Rent - Kottawa====================,Kottawa,1,1,800.0 sqft,10.0 perches
24,Furnished House for Rent in Dehiwala, 9 Jul  8:50 am,"Kottawa, Colombo","75,000","♤Fully Furnished House For Rent in    Dehiwala.☆4 Bed Rooms.☆2 Attach 1 Common Bath Rooms.☆2 A/C,Hot Water.☛Prefer For Maldivens.☛Minimum For Year.☛3 Months Deposit Only.",Vijitha Road Nedimala Dehiwala,4,3,"1,700.0 sqft",12.0 perches
25,House for Rent in - Kottawa, 7 Jul  4:42 pm,"Kottawa, Colombo","40,000","Walking Distance to 138 Route,1 Vehicle Garage,","Kottawa, Horana Road",3,1,"1,800.0 sqft",20.0 perches
26,පහල මහල බදු දීමට - කොට්ටාව, 6 Jul  9:49 am,"Kottawa, Colombo","38,000",කොට්ටාව  පිළියන්දල 296 බස් මාර්ගයේ අංග සම්පූර්ණ කාමර 3 ක් සහිත නව නිවස බදු දීමට (පහල මහල)CCTV කැමරා සහිතයි,"326A/35,ඉද්ද උයන,පැලන්වත්ත,පන්නිපිටිය",3,1,"1,200.0 sqft",10.0 perches
27,House for Rent in Kottawa, 4 Jul 12:24 pm,"Kottawa, Colombo","35,000","කොට්ටාව  255 මාර්ගයේ කි.මි. 2 ක් දුරින් ඇල්විටිගල  මාවතේ නිදන  කාමර 3, සාලය, කුස්සිය ඇතුලු නාන කාමරය ,සේවක වැසිකිලිය සහිත නිවස රු.35000/= මුදලකට කුලියට දෙනූ ලැබේ.","Elvitigala Mawatha,Kottawa.",3,2,"1,200.0 sqft",15.5 perches
28,House for Rent in - Kottawa, 4 Jul 11:37 am,"Kottawa, Colombo","35,000",Two story house for rent in Kottawa,5,2,"2,150.0 sqft",10.0 perches,
29,House for Rent Pannipitiya,13 Jul  9:00 pm,"Kottawa, Colombo","30,000","3km to Kottawa Town,Calm and Quite surroundingParking AvailableWalking distance to 296 (Kottawa - Piliyandala) Bus RouteMuch suitable for newly married couple or small family.Pipe born water*******************************************Can see the property only on Sundays","260/3, Samagi Mawatha, Pelanwatta, Pannipitiya",2,1,"1,300.0 sqft",10.0 perches
30,House for Rent in Kottawa, 6 Jul 12:39 pm,"Kottawa, Colombo","26,000","House for rent with 3 bed rooms, bathroom, kitchen and living area at Pelenwatta (Kottawa-Piliyandala 255 Road)Deposit 6 months",3,1,"1,000.0 sqft",20.0 perches,
31,House For Rent in Kottawa, 3 Jul  2:34 pm,"Kottawa, Colombo","50,000",House For Rent in Kottawa,Kottawa,3,3,"2,000.0 sqft",10.0 perches
32,House for Rent - Kottawa,19 Jul  1:19 pm,"Kottawa, Colombo","20,000","Upstair for rent, Tiled, Three bed room, 01 bathroom and big living area & a kitchen.Separate water and electricity. Calm environment. 5Km to kottawa,20,000/- per month. 6 months advance","Sadaham Uyana, Kudamaduwa, Mattegoda",3,1,"1,400.0 sqft",10.0 perches
33,House for Rent in Kottawa,29 Jun  2:37 pm,"Kottawa, Colombo","20,000","ගෙයි දිග 32 අඩි පලල 27.කාමර 2 යි , සාලයයි, කුස්සියයි, නානකාමරයයි, ඉඩම පර්චස් 17 යි , අත්තිකාරම් මුදල 100 000","katugampala Mawatha,",2,1,864.0 sqft,17.0 perches
34,House Close to Kottawa Highway for Rent, 6 Jul  5:10 pm,"Kottawa, Colombo","32,000",Ground floor House for Rent - Ideal for a Residential / Office / Business (Secured Parking available)(Looking for a Decent tenant)-------------------------------------------------------,2,2,"2,000.0 sqft",9.0 perches,
35,House for Rent in Kottawa,28 Jun  9:03 pm,"Kottawa, Colombo","35,000",House For Rent very close to Highway Entrance(900 m Hiripitiya rd & 100m  to dolekade junction 280 bus route).,2,2,"1,000.0 sqft",10.0 perches,
36,House for Rent in Kottawa, 1 Jul  2:34 pm,"Kottawa, Colombo","32,000",House for rent in Kottawa,Kottawa,3,2,"2,000.0 sqft",17.5 perches
37,House For Rent in Mattegoda,26 Jun  2:31 pm,"Kottawa, Colombo","30,000","කොට්ටාව, මත්තෙගොඩ, බණ්ඩාරනායකපුර පාර12 x 18 කාමර 2 සහ12 x 10 කාමර 1බාත්රූම් 1වාහන නවතා තැබීමේ පහසුකම් සහිතසියළුම පහසුකම් සහිතයිකොට්ටාව අධිවේගී පිවිසුම් මාර්ගයට 3.5kmවැදගත් පරිසරයක් සහිත තාප්ප ගේට්ටු ඇති ආරක්ෂිත ප්‍රදේශයකිමාස 6 ක අත්තිකාරම්ඉක්මණින් බදු දීමටමාසික කුලිය: 30,000/=මිල සාකච්ඡා කරගත හැක(මෙම නිවසේ උඩුමහලට ඇතුළුවීම පිටතින් ඇති අතර බදු දීමට)","Bandaranayakapura Road, Mattegoda, Kottawa",3,1,"4,000.0 sqft",10.0 perches
