,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Two Story Modern House Kotte,12 Jul  8:41 pm,"Kotte, Colombo","115,000",Two story modern house for rent kotteBedroom 4Bathroom 32 Ac ,Kotte City,4,3,"2,200.0 sqft",8.0 perches
2,"['Two Story Modern House Kotte', '12 Jul  8:41 pm', 'Kotte, Colombo', '115,000', 'Two story modern house for rent kotteBedroom 4Bathroom 32 Ac ', 'Kotte City', '4', '3', '2,200.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New House (1st Floor) for Rent - Kotte,10 Jul 11:08 am,"Kotte, Colombo","45,000",Brand new house for rent kotte========================,"Thalawathugoda road, Kotte",2,2,"1,200.0 sqft",12.0 perches
4,Two Bedroom Luxury House for Rent in Kotte,15 Jul  5:01 pm,"Kotte, Colombo","80,000","Newly built, architecturally design house is located in 9th lane Kotte, in a peaceful residential area with high Securtiy and has its all facilities. It’s surrounded with a large  garden, large lawn and a paved area.This furnished house includes 2 A/C rooms , Solar hot water, Designer pantry, tiled floor, Washroom with classy fittings, ample parking.It got its own private paved court yard opening to a sitting area. Environmentally friendly peaceful location, and two minutes walk to main road, close to all facilities including walking tracks, play ground, international schools, restaurants, gymnasium, Hospital’s, public transport, all in walking distance.","9th lane Ethul Kotte, Kotte.",2,1,"1,000.0 sqft",40.0 perches
5,House for Rent in Kotte,19 Jul  5:46 pm,"Kotte, Colombo","30,000",පහත මහළ බදු දීමට ඇතමගරගමට කි.මී 2.5 කි.නුගේගොඩට  කි.මී 03 කි.කෝට්ටේට  කි.මී 01 කි.ආරක්ෂාකාරී  පරිසරයක පිහිටා ඇත.වාහනයක් නැවැත්වීමේ පහසුකම් සහිතයි.,"No.105/22, Pragathipura, Madiwela, Kotte.",2,1,"1,200.0 sqft",6.0 perches
6,House for Rent - Kotte,19 Jul  2:15 pm,"Kotte, Colombo","20,000",Spare single storySpare light and waterSevan months advance,Etulkotte,2,1,"1,600.0 sqft",4.0 perches
7,Three Story Super Luxury House Kotte,18 Jul  8:42 pm,"Kotte, Colombo","200,000",Three story super luxury house Bedroom 5Bathrooms 4Ac 4,Beddagana doowa road,5,4,"3,500.0 sqft",15.0 perches
8,House for Rent in Kotte,17 Jul  5:36 pm,"Kotte, Colombo","50,000",House For Rent In Kotte====================,"Madiwela, Kotte",3,1,"1,650.0 sqft",9.0 perches
9,Upstairs House for Rent in Pitakotte,20 Jul  1:46 pm,"Kotte, Colombo","28,000",Two bedroom Upper floor with separate entrance ,2,1,850.0 sqft,8.0 perches,
10,House for Rent at Kotte,15 Jul  4:38 pm,"Kotte, Colombo","50,000","Ethul Kotte, Mahindarama road, Ground floor is available for Rent03 bed rooms, 1 bath room, Pantry, Living room, Servent Toilet 2000sqft, Car Parking3 Months in advance",3,1,"2,000.0 sqft",10.0 perches,
11,Garden House for rent - Kotte,15 Jul  7:43 am,"Kotte, Colombo","85,000",GREEN ENVIRONMENT HOUSE FOR RENT,Kotte,4,3,"1,500.0 sqft",20.0 perches
12,Up Stair Unit for Rent - Kotte,14 Jul  2:56 pm,"Kotte, Colombo","32,000",Spare light and waterTiled floorParking availableThree months advance,4th lane kotte,2,1,"1,100.0 sqft",4.0 perches
13,Rent a Luxury House 80 P Baddagana,14 Jul 12:43 pm,"Kotte, Colombo","750,000",RENT AT 02 STORY LUXURY HOUSE & 80 P  AT 30 FEET DUWA ROAD BADDAGANA PITAKOTTE,30 FEET DUWA ROAD BADDAGANA PITAKOTTE,5,5,"9,000.0 sqft",80.0 perches
14,Single Story House - Ethul Kotte,14 Jul 10:27 am,"Kotte, Colombo","110,000",Rs 110000.00 /MonthlyNegotiable,50 METERS TO ETHULKOTTE -PITAKOTTE ROAD ETHUL KOTTE,4,2,"2,500.0 sqft",12.7 perches
15,House for Rent in Kotte (298 B),13 Jul  4:43 pm,"Kotte, Colombo","100,000",Two story houseFive bedrooms with four bathrooms ( one attached & three common bathrooms)2900 sqft15 perch land,Baddagana Road,5,4,"2,900.0 sqft",15.0 perches
16,House for Rent in Pitakotte (1057 B ),13 Jul  3:52 pm,"Kotte, Colombo","150,000",two story  five rooms house with four bathroomstotally 3000 square feet,CLOSE TO PAGADA ROAD,5,4,"3,000.0 sqft",18.0 perches
17,Two Story Modern House Kotte,12 Jul  8:41 pm,"Kotte, Colombo","115,000",Two story modern house for rent kotteBedroom 4Bathroom 32 Ac ,Kotte City,4,3,"2,200.0 sqft",8.0 perches
18,House For Rent in Madiwela,12 Jul  5:08 pm,"Kotte, Colombo","25,000","මාදිවෙල ඊයම්පෝරුව අසල ප්‍රධාන පාරට 25m(තලවතුගොඩ පාරේ සිට කෝට්ටේ) ටයිල් කර ඇත.ඇටෑච් බාත්රූම්වාහන පාකිංවටේට තාප්ප ගසා ඇති නිවස මාසික කුලිය: 25,000/=මාස 8ක අත්තිකාරම්","Madiwela, Kotte",2,1,"1,100.0 sqft",13.94 perches
19,House for Rent in - Kotte,13 Jul  2:57 pm,"Kotte, Colombo","24,000",Up Stare House.One Room.Hall and Kichen.Full Tile Floor.Sutable for Couple.Center Kotte and Thalawathaugoda.,1,1,"1,200.0 sqft",6.0 perches,
20,Upstair House for Rent in Pitakotte.,11 Jul  7:08 pm,"Kotte, Colombo","40,000","Newly bulit and Fully tiled upstair house with 3 bed rooms,Living room,Kitchen,Bathroom & 2 balconies.Parking available. Six monthes advance can be negotiate.Easy access to everything.","34/3, Mihindu Mawatha, Pitakotte.",3,1,"33,000.0 sqft",8.0 perches
21,6BR Semi Furnished House for Rent in Beddagana,12 Jul  9:50 pm,"Kotte, Colombo","200,000",• Our Reference No LH 2938( Please quote this reference number when inquiring),Beddagana,6,3,"4,000.0 sqft",17.0 perches
22,House in Sri Jayawardanapura Mw. - Kotte,10 Jul  6:25 pm,"Kotte, Colombo","130,000",Two A/C bedroom house  with hot water and garage with close proximity to gateway international school for rent,2,2,"1,300.0 sqft",7.0 perches,
