,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Upstairs House for Rent - Maharagama,30 Jun  9:40 am,"Maharagama, Colombo","40,000",Upstairs House for Rent in Maharagama=============================,3,2,"1,800.0 sqft",8.0 perches,
2,"['Upstairs House for Rent - Maharagama', '30 Jun  9:40 am', 'Maharagama, Colombo', '40,000', 'Upstairs House for Rent in Maharagama=============================', '3', '2', '1,800.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in Maharagama,17 Jul  5:07 pm,"Maharagama, Colombo","25,000",An upstair House one bed room barth room and pantry roof top and balcony .full tiled and one km from maharagama town.electricity and water facylities are separately .,jayagath road nawinna maharagama,1,1,800.0 sqft,60.0 perches
4,House for Rent in Maharagama,18 Jul  2:25 pm,"Maharagama, Colombo","58,000",A New House. ,"Dewala Road, Pamunuwa, Maharagama",3,3,"1,700.0 sqft",6.0 perches
5,House for Rent in - Maharagama,20 Jul  2:08 pm,"Maharagama, Colombo","65,000","Newly Build House with Annex Located in Pannipitiya,walking Distance to Sirasa Tv and 174 Bus Road, Close to Thalawathugoda, Maharagama, Kottawa, Sri Jayawardenapura Hospital and Nawinna Arurwedha HospitalHouse Consists3 Bed Rooms(1 A/c),large Living Area,pantry,small Garden and 2 or 3 Vehicle Parking Garage with Roller GateAnnex Consists1 Bed Room with Attach Bathroom ,pantry and Living Area(separate Entrance, Separate Electricity Meter and Water Meter)Both (house and Annex) Rent 65000 per MonthVisiting Time Sunday 2.00pm to 7.00pm",4,2,"1,900.0 sqft",7.5 perches,
6,House for Rent in - Maharagama,20 Jul 10:10 am,"Maharagama, Colombo","35,000",Available now for inspection.,2,1,"1,100.0 sqft",10.0 perches,
7,Fully Tiled Upstair House for Rent Maharagama,19 Jul  2:52 pm,"Maharagama, Colombo","30,000","1km to Maharagama. 2 Bed rooms, Hall, Kitchen, wash room, Servent Bathroom. Surround Balcony. Couple or K.D.U. Four(4) female students.#No parking #Residential area. Key money 6months","Sadu mawatha, neelammahara, maharagama",2,2,"1,200.0 sqft",10.0 perches
8,Upstair House for Rent in Maharagama,19 Jul  2:20 pm,"Maharagama, Colombo","40,000",This upstair house for rent in Maharagama,2,1,"1,500.0 sqft",14.0 perches,
9,House For Rent in Maharagama,19 Jul 12:04 pm,"Maharagama, Colombo","30,000","මහරගම, පතිරගොඩ පාරේ, තෙමහල් නිවසේ උඩුමහල කුලියටකාමර 2බාත්රූම් 1කුස්සියසාලයවාහන නැවැත්වීමේ පහසුකම් ඇත.යුවලකට විශේෂයි.මාසික කුලිය 30,000/=අත්තිකාරම් මාස 6","Pathiragoda Road, Maharagama",2,1,900.0 sqft,15.0 perches
10,House For Rent in Maharagama,18 Jul  1:55 pm,"Maharagama, Colombo","50,000",House for Rent in maharagama,maharagama,4,2,"1,500.0 sqft",10.0 perches
11,Commercial House for Rent in Maharagama,17 Jul  5:33 pm,"Maharagama, Colombo","40,000",Commercial House for Rent in Maharagama,Maharagama,2,1,"1,500.0 sqft",10.0 perches
12,House for Rent - Maharagama,17 Jul 12:48 pm,"Maharagama, Colombo","38,000",.3 bed rooms.1 attached bathroom..Tiled floor.one and half km to the Maharagama town. Near to the bus stand.Three months advance,3,1,"2,200.0 sqft",10.0 perches,
13,Upstair House for Rent - Maharagama,20 Jul  1:32 pm,"Maharagama, Colombo","27,000","Close to High level road and Rajagiriya town. 2 Bed rooms ,Bathroom, Living room ,Kitchenparking available For Working couple    Tel:",2,1,"1,000.0 sqft",15.0 perches,
14,Maharagama Upstairs House for Rent,17 Jul 12:56 am,"Maharagama, Colombo","30,000",2 bed room upstairs house for rent. Highly residential area. 200m to Maharagam - Dehiwala main road and bus route 119. Very calm environment. 1 common bathroom. Garage for car parking. Separate water and electricity. Separate outside entrance. 150m to Royal Institute School Maharagama. Keels super food city closeby. 6 months advance expecting.,"24/13, 3rd Lane, Cancer hospital road, Maharagama",2,1,800.0 sqft,15.0 perches
15,House for Rent in Maharagama,15 Jul  5:41 pm,"Maharagama, Colombo","35,000","මහරගම, ඇරැව්වල පාරේ, වීරෝධාර මාවතේ සම්පූර්ණ ටයිල්පළමු මහල කුලියටපාකිං ඇත.කාමර 3බාත්රූම් 1මාසික කුලිය: 35000/=","Weerodara Mawatha, Arawwala, Maharagama",3,1,"1,700.0 sqft",20.0 perches
16,House on Rent in - Maharagama,15 Jul  2:25 pm,"Maharagama, Colombo","45,000","House located in 1st lane Gammana road maharagama, very close to School and National Institute of Education, is  up for rent. Call on the no for more information. Strictly no brokers.AC available for one room.One toilet and a shower is available outside",4,2,"2,000.0 sqft",12.0 perches,
17,House for Rent Nawinna Close to High Level,15 Jul  1:43 pm,"Maharagama, Colombo","35,000",1 st floor of the house will be rented,nawinne nugegoda,2,1,"1,200.0 sqft",12.0 perches
18,House for Rent in Maharagama,13 Jul  6:16 pm,"Maharagama, Colombo","36,000",House for rent in Maharagama,2,1,"1,300.0 sqft",8.0 perches,
19,House for Rent - Maharagama,13 Jul  1:16 pm,"Maharagama, Colombo","40,000",Upstair fully tile rent a house.3 rooms and 2 bathrooms.walking distance to maharagama town,3,2,"2,300.0 sqft",11.0 perches,
20,House For Rent In Maharagama Tawn,13 Jul 12:23 pm,"Maharagama, Colombo","35,000",මහරගම නගරයට මීටර් 300 දුරින් පිහිටි දෙමහල් නිවාස උඩුමල හෝ බිම් මහල වෙන් වෙන්ව කුලියට දීමට වෙන වෙනම ප්‍රවේශ පහසුකම් ඇත.*** උඩුමහල - නිදන කාමර 03 - නාන කාමරය- සාලය සහ බැල්කනිය - කුස්සිය වාහන නැවතීමේ පහසුකම.,"Gammana Road, Maharagama",3,1,"2,000.0 sqft",36.0 perches
21,House for Rent in Maharagama,13 Jul 11:23 am,"Maharagama, Colombo","28,000","මහරගම, පිළියන්දල පාරෙහි යහම්පත් මාවතේසම්පූර්ණ ටයිල් කල නිවසක උඩුමහල කුලියටකාමර 2සාලයමුළුතැන්ගෙයබාත්රූම් 1පර්චස් 6ජල විදුලිය වෙනමවර්ග අඩි 1900මාසික කුලිය: 28,000/=මාස 6ක අත්තිකාරම් මුදල් ගනු ලැබේ.","Yahampath Mawatha, Piliyandala Road, Maharagama",2,1,"1,900.0 sqft",6.0 perches
22,House for Rent Maharagama,18 Jul 10:34 pm,"Maharagama, Colombo","23,000",6 months key money.Parking only bikes.(no cars etc.)All are separated.(water/elec/stairs)If u want further details cl me.,"84/7D,pamunuwa road,maharagama",2,1,800.0 sqft,2.0 perches
23,House for Rent - Maharagama,20 Jul  2:13 pm,"Maharagama, Colombo","35,000",Upstairs House for Rent in Maharagama=============================,Temple Road.Maharagama,3,1,"1,800.0 sqft",8.0 perches
24,Two Story of House for Rent maharagama,13 Jul  4:03 am,"Maharagama, Colombo","50,000",under repair ,maharagama,3,2,"2,100.0 sqft",8.0 perches
25,House for Rent Arawwala,12 Jul  1:05 pm,"Maharagama, Colombo","26,000","Ground floor for rent , 2.5km to maharagama town, 4 km to pilyandala. Nice area","591/D 2 , Moragalanda mawatha, arawwala",2,1,"1,850.0 sqft",12.5 perches
26,House for Rent in Wattegedera Road Maharagama.,12 Jul  2:52 pm,"Maharagama, Colombo","35,000","kitchen with pantry,  fully tiled, two bathroom, parking, land phone with internet , close to banks, supermarkets and 5 minuts walking distance to high level road.","No 16A Wattegedera Road, Maharagama",3,2,"1,897.0 sqft",5.0 perches
27,House For Rent in Maharagama,15 Jul  1:42 pm,"Maharagama, Colombo","30,000","1st Floor For Rent in Maharagama2 Bedrooms1 BathroomsPantry Living front BalconyFully Tiled Separate Gate & EntranceParking Available6 Months AdvanceMonthly Rent: 30,000/=",Maharagama,2,1,"1,200.0 sqft",16.0 perches
